iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
COD,CD,1498.0,24760.0,13954.0,abbe mangongo,11460.0,20.39833333,2.415277778,3,,,2015.0,,,50,23,,,50,3,,,50,0,,,1,3473
COD,CD,1506.0,24780.0,14228.0,abulakama,50809.0,25.24098,1.09174,3,,,2013.0,,,50,14,,,50,18,,,50,8,,,1,4249
COD,CD,1498.0,24760.0,13936.0,ado mbangi,11327.0,21.04194444,2.784722222,3,,,2015.0,,,50,1,,,50,29,,,50,19,,,1,3387
COD,CD,1506.0,24779.0,14219.0,adobea,50726.0,30.54483,3.0539701,3,,,2013.0,,,30,0,,,30,1,,,30,0,,,1,4197
COD,CD,1506.0,24780.0,14225.0,afilondo,50772.0,25.311934,1.5655999999999999,3,,,2013.0,,,50,26,,,50,13,,,50,3,,,1,4235
COD,CD,1506.0,24779.0,14220.0,agamba,50730.0,30.828671,2.86128,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4201
COD,CD,1506.0,24779.0,14286.0,agoyi,52022.0,27.96586,2.1063001,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4481
COD,CD,1506.0,24779.0,14221.0,ahologo,50735.0,30.50576,2.5537,3,,,2013.0,,,50,1,,,50,1,,,50,0,,,1,4206
COD,CD,1506.0,24779.0,14258.0,akonzkanyi,51550.0,31.011101,2.2184701000000002,3,,,2013.0,,,50,0,,,50,1,,,50,0,,,1,4372
COD,CD,1506.0,24777.0,14276.0,akpudu,51875.0,26.98814,3.0595801,3,,,2013.0,,,50,9,,,50,1,,,50,12,,,1,4447
COD,CD,1498.0,24762.0,13920.0,akula,11185.0,20.1834431,2.3780262,1,,,2014.0,,,50,9,,,50,10,,,50,3,,,1,3312
COD,CD,1506.0,24778.0,14239.0,alimoke,51001.0,29.71689,3.7457700000000003,3,,,2013.0,,,50,11,,,50,0,,,50,0,,,1,4307
COD,CD,1506.0,24779.0,14272.0,alla ceca,51812.0,31.124701,2.25035,3,,,2013.0,,,36,0,,,36,0,,,36,0,,,1,4429
COD,CD,1504.0,24775.0,14164.0,alunguli,51093.0,25.938351,-2.95859,3,,,2013.0,,,64,22,,,64,1,,,64,0,,,1,4118
COD,CD,1506.0,24778.0,14243.0,ambekure,51019.0,29.0434,2.7149301,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4324
COD,CD,1506.0,24778.0,14239.0,andata,51002.0,30.042721,3.8136400999999998,3,,,2013.0,,,50,4,,,50,1,,,50,0,,,1,4299
COD,CD,1506.0,24779.0,14272.0,ang' aba,51813.0,30.2224227,3.8685895,2,,,2013.0,,,34,0,,,34,0,,,34,0,,,1,4430
COD,CD,1506.0,24779.0,14220.0,ania,50731.0,30.83449,2.84057,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4199
COD,CD,1506.0,24780.0,14259.0,anuarite,51553.0,25.050182,0.53437299,3,,,2013.0,,,50,10,,,50,10,,,50,0,,,1,4379
COD,CD,1498.0,24759.0,13957.0,artisanal,11493.0,18.26034,0.0332296,1,,,2014.0,,,50,21,,,50,26,,,50,22,,,1,3487
COD,CD,1498.0,24759.0,13901.0,artisanal/itela,11068.0,19.80205,1.2174407999999999,1,,,2014.0,,,50,10,,,50,18,,,50,13,,,1,3225
COD,CD,1506.0,24779.0,14237.0,as jiba,50988.0,30.67989,1.8658679999999999,1,,,2013.0,,,50,0,,,50,15,,,50,0,,,1,4292
COD,CD,1500.0,24767.0,14028.0,asami,51396.0,23.591511,-3.51405,3,,,2012.0,,,47,11,,,47,2,,,47,1,,,1,3832
COD,CD,1500.0,24767.0,14027.0,asanga mbanga (50),51349.0,22.44536,-3.77916,3,,,2012.0,,,50,21,,,50,14,,,50,14,,,1,3828
COD,CD,1506.0,24777.0,14252.0,asuku,51381.0,23.633333,3.5166668999999997,3,,,2012.0,,,50,21,,,50,18,,,50,20,,,1,4349
COD,CD,1506.0,24779.0,14215.0,atsinia,50708.0,30.555981,3.0819199,3,,,2013.0,,,30,1,,,30,0,,,30,0,,,1,4180
COD,CD,1506.0,24779.0,14251.0,aubha,51372.0,30.45207,3.3678601,3,,,2013.0,,,33,6,,,33,0,,,33,0,,,1,4343
COD,CD,1506.0,24779.0,14220.0,autsai,50732.0,30.822399,2.8673,3,,,2013.0,,,50,1,,,50,0,,,50,0,,,1,4198
COD,CD,1498.0,24762.0,13952.0,av /kambo,11435.0,19.11666667,2.925555556,3,,,2014.0,,,50,1,,,50,5,,,50,0,,,1,3464
COD,CD,1497.0,24756.0,13890.0,av. nkunda,11405.0,12.38152,,99,,,2012.0,,,40,0,,,40,0,,,40,0,,,1,3135
COD,CD,1496.0,24753.0,13824.0,awe nganga,50977.0,18.566429,-4.0920868,3,,,2013.0,,,50,5,,,50,7,,,50,0,,,1,2753
COD,CD,1506.0,24777.0,14276.0,azaya,51876.0,26.80991,3.0500901,3,,,2013.0,,,50,7,,,50,1,,,50,12,,,1,4450
COD,CD,1499.0,24765.0,13988.0,b. nkelende/ep. ditabija,51492.0,23.26615,-5.6233802,3,,,2012.0,,,50,37,,,50,2,,,50,0,,,1,3636
COD,CD,1500.0,24768.0,14050.0,ba nkunda,51979.0,23.30024,-6.33746,3,,,2012.0,,,50,11,,,50,1,,,50,0,,,1,3921
COD,CD,1506.0,24780.0,14287.0,babagulu,52028.0,25.64736,0.47790000000000005,3,,,2013.0,,,47,17,,,47,1,,,47,1,,,1,4485
COD,CD,1506.0,24780.0,14274.0,babagulu,51834.0,27.25,0.5,3,,,2013.0,,,50,18,,,50,0,,,50,25,,,1,4437
COD,CD,1498.0,24759.0,13910.0,babola,101750.0,0.0,,99,,,2014.0,10.0,0.0,50,5,,,50,11,,,50,7,,,1,636
COD,CD,1498.0,24759.0,13928.0,babola,11230.0,0.0,,99,,,2014.0,,,50,1,,,50,11,,,50,18,,,1,19138
COD,CD,1498.0,24759.0,13928.0,babola,101975.0,0.0,,99,,,,,,50,1,,,50,11,,,50,18,,,3,642
COD,CD,1506.0,24780.0,14274.0,babule,51835.0,26.266666999999998,0.766667,1,,,2013.0,,,50,22,,,50,0,,,50,25,,,1,4438
COD,CD,1506.0,24780.0,14228.0,badambila,50810.0,25.202459,1.07078,3,,,2013.0,,,50,18,,,50,18,,,50,10,,,1,4247
COD,CD,1496.0,24753.0,13864.0,badi,52010.0,18.438259,-4.4667802,3,,,2013.0,,,50,7,,,50,6,,,50,4,,,1,2932
COD,CD,1500.0,24766.0,14030.0,badimay,51433.0,25.736481,-5.38901,3,,,2012.0,,,45,19,,,45,0,,,45,0,,,1,3845
COD,CD,1500.0,24767.0,14038.0,badingue,51638.0,23.960751,-5.1630602,3,,,2012.0,,,50,4,,,50,8,,,50,5,,,1,3877
COD,CD,1506.0,24777.0,14229.0,badja baya,11083.0,19.9627329,4.5847874,4,,,2014.0,,,50,4,,,50,7,,,50,1,,,1,4257
COD,CD,1506.0,24777.0,14217.0,badolo,50723.0,25.85302,4.0296998,3,,,2013.0,,,50,9,,,50,7,,,50,5,,,1,4193
COD,CD,1506.0,24780.0,14274.0,baego,51836.0,26.2570385,0.7673283,1,,,2013.0,,,45,15,,,45,0,,,45,1,,,1,4434
COD,CD,1506.0,24778.0,14330.0,bafwabaka,50875.0,27.678333,2.1205561,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4538
COD,CD,1506.0,24780.0,14223.0,bafwabalinga,50745.0,26.9351994,0.8308310999999999,1,,,2013.0,,,50,16,,,50,0,,,50,1,,,1,4218
COD,CD,1506.0,24780.0,14222.0,bafwagbogbo,50741.0,27.00366,1.39467,3,,,2013.0,,,50,33,,,50,1,,,50,9,,,1,4212
COD,CD,1506.0,24780.0,14223.0,bafwamate,50746.0,27.014219,1.31771,3,,,2013.0,,,50,27,,,50,2,,,50,13,,,1,4216
COD,CD,1506.0,24780.0,14244.0,bagbanje,51058.0,24.556931,1.00029,3,,,2013.0,,,50,20,,,50,19,,,50,10,,,1,4329
COD,CD,1498.0,24761.0,13932.0,bagon 2,11259.0,19.61583333,3.376111111,3,,,2014.0,,,50,3,,,50,0,,,50,3,,,1,3370
COD,CD,1498.0,24761.0,13960.0,bainga,11513.0,22.47535,4.07087,3,,,2014.0,,,50,14,,,50,28,,,50,3,,,1,3505
COD,CD,1500.0,24767.0,14047.0,bakamba,51849.0,23.808929,-4.8829098,3,,,2012.0,,,46,3,,,46,9,,,46,3,,,1,3917
