iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
CPV,CV,938.0,8621.0,8621.0,,,,,99,,,2012,6,15,299.0,3.0,,,299.0,87.0,,,299.0,11.0,,,1,22354
CPV,CV,943.0,8635.0,8635.0,,,,,99,,,2012,6,15,147.0,6.0,,,147.0,17.0,,,147.0,1.0,,,1,22357
CPV,CV,,,,,,,,99,,,2012,6,15,142.0,2.0,,,142.0,10.0,,,142.0,1.0,,,1,22355
CPV,CV,,,,,,,,99,,,2012,6,15,150.0,0.0,,,150.0,6.0,,,150.0,1.0,,,1,22351
CPV,CV,928.0,8609.0,8609.0,,,,,99,,,2012,6,15,150.0,0.0,,,150.0,4.0,,,150.0,0.0,,,1,22346
CPV,CV,942.0,8633.0,8633.0,,,,,99,,,2012,6,15,147.0,1.0,,,147.0,2.0,,,147.0,0.0,,,1,22359
CPV,CV,929.0,8610.0,8610.0,,,,,99,,,2012,6,15,149.0,0.0,,,149.0,2.0,,,149.0,3.0,,,1,22349
CPV,CV,940.0,8631.0,8631.0,,,,,99,,,2005,1,17,,,,,,,,,,,,,2,22360
CPV,CV,943.0,8635.0,8635.0,,,,,99,,,2005,1,17,,,,,,,,,,,,,2,22356
CPV,CV,929.0,8610.0,8610.0,,,,,99,,,2005,1,17,,,,,,,,,,,,,2,22348
CPV,CV,942.0,8633.0,8633.0,,,,,99,,,2005,1,17,,,,,,,,,,,,,2,22358
CPV,CV,,,,,,,,99,,,2005,1,17,,,,,,,,,,,,,2,22350
CPV,CV,928.0,8609.0,8609.0,,,,,99,,,2005,1,17,,,,,,,,,,,,,2,22347
CPV,CV,937.0,8620.0,8620.0,,,,,99,,,2005,1,17,,,,,,,,,,,,,2,22352
CPV,CV,937.0,8620.0,8620.0,,,,,99,,,2012,6,15,150.0,0.0,,,150.0,0.0,,,150.0,1.0,,,1,22353
CPV,CV,940.0,8631.0,8631.0,,,,,99,,,2012,6,15,150.0,0.0,,,150.0,0.0,,,150.0,0.0,,,1,22361
