iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
LBR,LR,2747,0,26819,,,,,99,,,2012,10.0,14.0,30,3,0.0,0.0,30,2,0.0,0.0,30,0,0.0,0.0,1,24983
LBR,LR,2756,0,26828,72nd public school,,-10.68462,6.36508,3,,mapping,2015,10.0,14.0,50,3,0.0,0.0,50,8,0.0,0.0,50,0,0.0,0.0,1,25719
LBR,LR,2756,0,26828,72nd public school,,-10.68462,6.36508,3,,mapping,2015,10.0,14.0,50,3,,,50,0,,,50,0,,,1,22468
LBR,LR,2747,0,26819,a g community,,-9.45948,7.1165,3,,mapping,2012,10.0,14.0,30,14,0.0,0.0,30,7,0.0,0.0,30,8,0.0,0.0,1,24984
LBR,LR,2747,0,26819,a g community,54091.0,-9.45948,7.1165,3,,,2012,,,30,14,,,30,6,,,30,8,,,1,7648
LBR,LR,2752,0,26824,a. a hoff elem & jr. high school,,-8.166228,4.670428,3,,mapping,2015,10.0,14.0,50,0,0.0,0.0,50,44,0.0,0.0,50,0,0.0,0.0,1,25467
LBR,LR,2752,0,26824,a. a hoff elem & jr. high school,,-8.166228,4.670428,3,,mapping,2015,10.0,14.0,50,0,,,50,0,,,50,0,,,1,22388
LBR,LR,2754,0,26826,a. a. mission school,,-10.01177778,6.580808056,3,,mapping,2012,10.0,14.0,30,2,0.0,0.0,30,2,0.0,0.0,30,0,0.0,0.0,1,25635
LBR,LR,2747,0,26819,a. g  community,,-9.563790000000001,7.01037,3,,sentinel site,2012,4.0,15.0,124,37,0.0,0.0,124,41,0.0,0.0,124,1,0.0,0.0,1,24985
LBR,LR,2747,0,26819,a. g  community,,-9.563790000000001,7.01037,3,,sentinel site,2018,6.0,11.0,44,10,0.0,0.0,44,0,0.0,0.0,44,3,0.0,0.0,1,24986
LBR,LR,2747,0,26819,a.g. community,,-9.563790000000001,7.01037,3,,sentinel site,2013,5.0,17.0,85,15,0.0,0.0,85,3,0.0,0.0,85,3,0.0,0.0,1,24987
LBR,LR,2754,0,26826,a.g.m. dolo's town,,-10.36533333,6.25669444,3,,mapping,2012,10.0,14.0,30,2,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,25636
LBR,LR,2757,0,26829,a.m. conquoi elementary & jr. high school,,-8.9032497,7.2118611,3,,mapping,2012,10.0,14.0,30,4,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,25745
LBR,LR,2757,0,26829,a.m. conquoi elementary & jr. high school,54706.0,-8.9032497,7.2118611,3,,,2012,,,30,3,,,30,0,,,30,0,,,1,8380
LBR,LR,2751,0,26823,a.t. day elementary school,,-8.1264268,6.0868817,1,,mapping,2013,8.0,14.0,30,1,0.0,0.0,30,3,0.0,0.0,30,1,0.0,0.0,1,25377
LBR,LR,2749,0,26821,a.t. day elementary school,12693.0,-10.04472,6.2308452,1,,,2013,,,810,56,,,810,157,,,810,9,,,1,7955
LBR,LR,2751,0,26823,adnantee academy (aa),,-8.1449699,6.08675,3,,mapping,2013,9.0,14.0,30,4,0.0,0.0,30,4,0.0,0.0,30,2,0.0,0.0,1,25378
LBR,LR,2749,0,26821,adnantee academy (aa),12694.0,-10.04472,6.2308452,1,,,2013,,,60,11,,,60,11,,,60,2,,,1,7907
LBR,LR,2755,0,26827,agnes thompson kg/elem,,-7.713889,4.375833,3,,mapping,2015,10.0,13.0,15,3,0.0,0.0,15,7,0.0,0.0,15,1,0.0,0.0,1,25684
LBR,LR,2755,0,26827,agnes thompson kg/elem,,-7.713889,4.375833,3,,mapping,2015,10.0,14.0,15,3,,,15,1,,,15,1,,,1,22428
LBR,LR,2759,0,26831,aica community,,-8.01333,5.23296,3,,mapping,2013,10.0,15.0,30,0,0.0,0.0,30,6,0.0,0.0,30,0,0.0,0.0,1,26108
LBR,LR,2754,0,26826,all saints catholic school,,-10.37016667,6.246305556,3,,mapping,2012,10.0,14.0,30,2,0.0,0.0,26,2,0.0,0.0,29,1,0.0,0.0,1,25637
LBR,LR,2754,0,26826,all saints catholic school,54644.0,-10.37016667,6.246305556,3,,,2012,,,30,2,,,30,1,,,30,1,,,1,8247
LBR,LR,2751,0,26823,alphonso gaye elementary school (gages),,-8.14043,6.0545,3,,mapping,2013,8.0,14.0,30,4,0.0,0.0,30,5,0.0,0.0,30,3,0.0,0.0,1,25379
LBR,LR,2749,0,26821,alphonso gaye elementary school (gages),12695.0,-10.04472,6.2308452,1,,,2013,,,60,9,,,60,8,,,60,4,,,1,7966
LBR,LR,2749,0,26821,am. nyoun public school,,-9.93441,6.40879,3,,mapping,2013,7.0,14.0,30,4,0.0,0.0,30,4,0.0,0.0,30,2,0.0,0.0,1,25253
LBR,LR,2748,0,26820,amdu memorial public,,-10.0807298,7.4952637,2,,mapping,2013,10.0,16.0,30,7,0.0,0.0,30,3,0.0,0.0,30,0,0.0,0.0,1,25179
LBR,LR,2746,0,26818,amos a. fully elementary school,,-10.885580000000001,6.59872,3,,mapping,2013,10.0,14.0,30,8,0.0,0.0,30,10,0.0,0.0,30,1,0.0,0.0,1,24923
LBR,LR,2748,0,26820,amtel community school,,-10.532424,7.4659822,1,,mapping,2013,10.0,14.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,25180
LBR,LR,2759,0,26831,anderson sarwieh christain foundation bethel,,-7.88258,5.1964,3,,mapping,2013,10.0,15.0,30,0,0.0,0.0,30,2,0.0,0.0,30,0,0.0,0.0,1,26109
LBR,LR,2752,0,26824,anna e holl ums elem & jr high school,,-7.929604,4.501832,3,,mapping,2015,10.0,14.0,50,0,0.0,0.0,50,44,0.0,0.0,50,0,0.0,0.0,1,25468
LBR,LR,2752,0,26824,anna e holl ums elem & jr high school,,-7.929604,4.501832,3,,mapping,2015,10.0,14.0,50,0,,,50,0,,,50,0,,,1,22389
LBR,LR,2756,0,26828,annie banks elem school,,-10.79938,6.43553,3,,mapping,2015,10.0,14.0,50,2,,,50,0,,,50,0,,,1,22469
LBR,LR,2760,0,26832,annie banks elem school,,,,99,,,2015,10.0,13.0,50,2,0.0,0.0,50,6,0.0,0.0,50,0,0.0,0.0,1,26198
LBR,LR,2751,0,26823,annie dweh christian academic (adca),,-8.14133,6.04718,3,,mapping,2013,9.0,14.0,30,4,0.0,0.0,30,6,0.0,0.0,30,2,0.0,0.0,1,25380
LBR,LR,2749,0,26821,annie dweh christian academic (adca),12696.0,-10.04472,6.2308452,1,,,2013,,,60,8,,,60,11,,,60,2,,,1,7949
LBR,LR,2754,0,26826,ansaru islamic community school,,-10.34675,6.5336111,3,,mapping,2012,10.0,14.0,30,1,0.0,0.0,30,4,0.0,0.0,30,3,0.0,0.0,1,25638
LBR,LR,2754,0,26826,ansaru islamic community school,54645.0,-10.34675,6.5336111,3,,,2012,,,30,0,,,30,3,,,30,3,,,1,8250
LBR,LR,2753,0,26825,answaru english & arabi school,,-9.75042,8.42536,3,,sentinel site,2012,5.0,10.0,125,10,0.0,0.0,125,1,0.0,0.0,125,1,0.0,0.0,1,25512
LBR,LR,2753,0,26825,answaru english & arabi school,,-9.75042,8.42536,3,,sentinel site,2018,6.0,11.0,110,0,0.0,0.0,110,0,0.0,0.0,110,0,0.0,0.0,1,25513
