iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
SWZ,SZ,4682,45411,45411,all saints,16586,31.093943,-26.378803,3,,,2015.0,,,60,0,,,60,54,,,60,0,,,1,14008
SWZ,SZ,4684,45440,45440,antioch,16581,31.516004,-26.2694818,1,,,2015.0,,,51,0,,,51,7,,,51,0,,,1,14154
SWZ,SZ,4682,45412,45412,ararat,16591,31.2602,-26.2273,3,,,2015.0,,,43,0,,,43,18,,,43,4,,,1,14013
SWZ,SZ,4682,45409,45409,bahai,16554,31.1565,-26.3644,3,,,2015.0,,,27,0,,,27,0,,,27,0,,,1,13996
SWZ,SZ,4685,45453,45453,baleni,109711,0.0,,99,,,2015.0,10.0,0.0,50,0,,,50,1,,,50,0,,,1,1691
SWZ,SZ,4684,45437,45437,bayandza/hilside,16519,31.3713164,-26.5081999,1,,,2015.0,,,50,0,,,50,0,,,49,0,,,1,14137
SWZ,SZ,4684,45438,45438,beaufort nazarene,16524,31.3557289,-26.5059202,1,,,2015.0,,,50,0,,,50,0,,,49,0,,,1,14144
SWZ,SZ,4685,45456,45456,beersheba,16682,31.415359,-27.286119,3,,,2015.0,,,50,0,,,50,1,,,50,0,,,1,14227
SWZ,SZ,4684,45459,45459,bethany,16697,31.2681553,-26.4987338,1,,,2015.0,,,45,0,,,45,2,,,45,0,,,1,14091
SWZ,SZ,4685,45445,45445,bethel lutheran,16436,30.990077,-26.979555,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14178
SWZ,SZ,4682,45406,45406,bhalekane nazarene,16500,31.551562099999998,-26.0833301,1,,,2015.0,,,49,1,,,49,0,,,49,0,,,1,13978
