"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"CIV","CI",1616.0,15371.0,15371.0,"","","","",99,"school","",2012.0,5.0,16.0,150,0,0.0,0.0,150,1,0.0,0.0067,150,1,0.0,0.0,1,24315,0.0,0.006666666666666667,0.006666666666666667,0.012536687631027254
"CIV","CI",1615.0,15369.0,15369.0,"","","","",99,"school","",2012.0,6.0,14.0,60,3,0.0,0.0167,60,0,0.0,0.0,60,3,0.0167,0.0,1,24270,0.05,0.0,0.05,0.09198113207547169
"CIV","CI",1625.0,15404.0,15404.0,"","","","",99,"school","",2012.0,6.0,14.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,24892,0.0,0.0,0.0,0.0
"CIV","CI","","",6553.0,"abadjin doume","",-4.134,5.302,4,"","",1980.0,5.0,15.0,108,98,"","",108,88,"","",108,104,"","",3,30044,0.9074074074074074,0.8148148148148148,0.9629629629629629,0.9427971077426262
"CIV","CI",1608.0,15329.0,15329.0,"abidjan","",-4.032,5.334,3,"","",1994.0,4.0,15.0,1001,63,"","",1001,165,"","",1001,234,"","",3,28682,0.06293706293706294,0.16483516483516483,0.23376623376623376,0.37768293569096534
"CIV","CI",1608.0,15329.0,15329.0,"abidjan","",-4.032,5.334,3,"","",1992.0,15.0,44.0,388,167,"","",388,96,"","",388,96,"","",3,30052,0.43041237113402064,0.24742268041237114,0.24742268041237114,0.6390576992495338
"CIV","CI",1609.0,15339.0,15339.0,"abri 2000 2","",-3.9443,5.30547,3,"school","mapping",2014.0,7.0,13.0,30,0,0.0,0.0,30,0,0.0,0.0,30,4,0.0,0.0,1,23838,0.0,0.0,0.13333333333333333,0.12578616352201255
"CIV","CI",1611.0,15349.0,15349.0,"adaou","",-4.85478,6.54992,3,"school","mapping",2014.0,7.0,12.0,30,15,0.0,0.1333,30,0,0.0,0.0,30,1,0.0,0.0,1,23923,0.5,0.0,0.03333333333333333,0.48742138364779863
"CIV","CI",1618.0,15378.0,15378.0,"aeeci pelezi 1","",-6.4854,7.16551,3,"school","mapping",2014.0,7.0,14.0,32,6,0.0,0.0,32,0,0.0,0.0,32,0,0.0,0.0,1,24420,0.1875,0.0,0.0,0.17688679245283018
"CIV","CI",1610.0,15342.0,15342.0,"agboville","",-4.2230836,5.9354963,1,"","",2001.0,5.0,15.0,360,54,"","",360,20,"","",360,49,"","",2,30043,0.15,0.05555555555555555,0.1361111111111111,0.2891407523876077
