"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"CPV","CV",938.0,8621.0,8621.0,"","","","",99,"","",2012,6,15,299.0,3.0,"","",299.0,87.0,"","",299.0,11.0,"","",1,22354,0.010033444816053512,0.2909698996655518,0.03678929765886288,0.3055725602525758
"CPV","CV",943.0,8635.0,8635.0,"","","","",99,"","",2012,6,15,147.0,6.0,"","",147.0,17.0,"","",147.0,1.0,"","",1,22357,0.04081632653061224,0.11564625850340136,0.006802721088435374,0.14859697163005192
"CPV","CV","","","","","","","",99,"","",2012,6,15,142.0,2.0,"","",142.0,10.0,"","",142.0,1.0,"","",1,22355,0.014084507042253521,0.07042253521126761,0.007042253521126761,0.08487669249280534
"CPV","CV","","","","","","","",99,"","",2012,6,15,150.0,0.0,"","",150.0,6.0,"","",150.0,1.0,"","",1,22351,0.0,0.04,0.006666666666666667,0.04377358490566038
"CPV","CV",928.0,8609.0,8609.0,"","","","",99,"","",2012,6,15,150.0,0.0,"","",150.0,4.0,"","",150.0,0.0,"","",1,22346,0.0,0.02666666666666667,0.0,0.025157232704402514
"CPV","CV",942.0,8633.0,8633.0,"","","","",99,"","",2012,6,15,147.0,1.0,"","",147.0,2.0,"","",147.0,0.0,"","",1,22359,0.006802721088435374,0.013605442176870748,0.0,0.01916566909140758
"CPV","CV",929.0,8610.0,8610.0,"","","","",99,"","",2012,6,15,149.0,0.0,"","",149.0,2.0,"","",149.0,3.0,"","",1,22349,0.0,0.013422818791946308,0.020134228187919462,0.03140263102206003
"CPV","CV",940.0,8631.0,8631.0,"","","","",99,"","",2005,1,17,"","","","","","","","","","","","",2,22360,"","","",""
"CPV","CV",943.0,8635.0,8635.0,"","","","",99,"","",2005,1,17,"","","","","","","","","","","","",2,22356,"","","",""
"CPV","CV",929.0,8610.0,8610.0,"","","","",99,"","",2005,1,17,"","","","","","","","","","","","",2,22348,"","","",""
"CPV","CV",942.0,8633.0,8633.0,"","","","",99,"","",2005,1,17,"","","","","","","","","","","","",2,22358,"","","",""
"CPV","CV","","","","","","","",99,"","",2005,1,17,"","","","","","","","","","","","",2,22350,"","","",""
"CPV","CV",928.0,8609.0,8609.0,"","","","",99,"","",2005,1,17,"","","","","","","","","","","","",2,22347,"","","",""
"CPV","CV",937.0,8620.0,8620.0,"","","","",99,"","",2005,1,17,"","","","","","","","","","","","",2,22352,"","","",""
"CPV","CV",937.0,8620.0,8620.0,"","","","",99,"","",2012,6,15,150.0,0.0,"","",150.0,0.0,"","",150.0,1.0,"","",1,22353,0.0,0.0,0.006666666666666667,0.006289308176100628
"CPV","CV",940.0,8631.0,8631.0,"","","","",99,"","",2012,6,15,150.0,0.0,"","",150.0,0.0,"","",150.0,0.0,"","",1,22361,0.0,0.0,0.0,0.0
