iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
ERI,ER,1835.0,17432.0,17432,357,11674.0,38.78472,15.775831,1,,,2014,,,43,0,,,43,0,,,43,0,,,1,4576,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17449.0,17449,abahani junior,11824.0,39.26519601,15.07923476,3,,,2014,,,52,0,,,52,0,,,52,0,,,1,4699,0.0,0.0,0.0,0.0
ERI,ER,1835.0,17435.0,17435,abdella degol elemetary,11723.0,38.2823293,16.01405005,3,,,2014,,,56,5,,,56,0,,,56,0,,,1,4598,0.08928571428571429,0.0,0.0,0.08423180592991913
ERI,ER,1838.0,17459.0,17459,abdu mohammed faid elemetary,11669.0,36.97071805,15.71717374,3,,,2015,,,51,0,,,51,0,,,51,0,,,1,4767,0.0,0.0,0.0,0.0
ERI,ER,1840.0,17481.0,17481,abdur ele,11685.0,39.85476301,15.15576141,3,,,2015,,,28,0,,,28,0,,,28,0,,,1,4906,0.0,0.0,0.0,0.0
ERI,ER,1838.0,17468.0,17468,abnet elementary&junior,11844.0,37.75255917,15.0389591,3,,,2015,,,56,0,,,56,0,,,56,0,,,1,4825,0.0,0.0,0.0,0.0
ERI,ER,1837.0,17454.0,17454,abo elemetary,11633.0,42.79677,12.83069,3,,,2015,,,47,0,,,47,0,,,47,0,,,1,4729,0.0,0.0,0.0,0.0
ERI,ER,1835.0,,3315,adal,,38.8148,15.5975,4,,,2002,5.0,16.0,40,1,,,40,0,,,40,0,,,2,31314,0.025,0.0,0.0,0.023584905660377357
ERI,ER,1838.0,17460.0,17460,adal elemetary,11700.0,37.35502457,15.41820174,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,4775,0.0,0.0,0.0,0.0
ERI,ER,1840.0,17480.0,17480,adalet ele &junior,11664.0,39.6607801,15.25569899,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,4899,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17442.0,17442,ade beza elemetary,11586.0,38.63605821,15.00724704,3,,,2014,,,56,0,,,56,0,,,56,0,,,1,4641,0.0,0.0,0.0,0.0
ERI,ER,1838.0,17456.0,17456,aderde elementary&junior,11571.0,38.0261698,15.5415243,3,,,2015,,,56,0,,,56,0,,,56,0,,,1,4744,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17447.0,17447,adi bhailay elementary&junior,11780.0,38.50272139,14.57919393,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4681,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17447.0,17447,adi nala elementary&junior,11781.0,38.604856,14.61837723,3,,,2014,,,51,0,,,51,0,,,51,0,,,1,4682,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17442.0,17442,adi wisk elemetary,11588.0,38.63605896,14.96222992,3,,,2014,,,56,0,,,56,0,,,56,0,,,1,4643,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17440.0,17440,adi  keih elemetary,11543.0,39.37330436,14.8508762,3,,,2014,,,54,0,,,54,0,,,54,0,,,1,4623,0.0,0.0,0.0,0.0
ERI,ER,1839.0,17476.0,17476,adi abeito elementary&junior,11864.0,38.91169132,15.375808750000001,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4880,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17445.0,17445,adi absha elemetary,11657.0,39.37323386,14.8435786,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4671,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17447.0,17447,adi chigono elementary,11779.0,38.604856,14.61837723,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4684,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17443.0,17443,adi felesti elemetary,11624.0,38.8286544,15.13409017,3,,,2014,,,51,0,,,51,0,,,51,0,,,1,4650,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17445.0,17445,adi gebru(sela elemetary,11658.0,38.766667,15.333333,1,,,2014,,,50,0,,,50,0,,,50,0,,,1,4675,0.0,0.0,0.0,0.0
ERI,ER,1839.0,17471.0,17471,adi guadad elemetary,11680.0,38.89493157,15.26792004,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4852,0.0,0.0,0.0,0.0
ERI,ER,1839.0,17471.0,17471,adi guadad junior,11681.0,38.8999015,15.26714998,3,,,2014,,,52,0,,,52,0,,,52,0,,,1,4849,0.0,0.0,0.0,0.0
ERI,ER,1839.0,,3336,adi guedad,,38.895,15.2669,4,,,2002,5.0,16.0,40,0,,,40,0,,,40,0,,,2,31337,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17443.0,17443,adi gula elemetary,11625.0,38.70243447,15.17323237,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4655,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17442.0,17442,adi gulti elementary&junior,11587.0,38.60772778,15.00719776,3,,,2014,,,56,0,,,56,0,,,56,0,,,1,4645,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17445.0,17445,adi hanso elementary&junior,11659.0,38.71134437,14.81707345,3,,,2014,,,51,0,,,51,0,,,51,0,,,1,4672,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17441.0,17441,adi kemznab elemetary,11552.0,38.90347419,14.660239690000001,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4638,0.0,0.0,0.0,0.0
ERI,ER,1838.0,17467.0,17467,adi mihret elemetary,11803.0,38.35205324,14.80520329,3,,,2015,,,56,0,,,56,0,,,56,0,,,1,4815,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17446.0,17446,adi nebri elementary&junior,11774.0,39.22161622,14.90274887,3,,,2014,,,52,0,,,52,0,,,52,0,,,1,4680,0.0,0.0,0.0,0.0
ERI,ER,1839.0,17473.0,17473,adi nefas elementary&junior,11819.0,38.94317085,15.40010072,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4860,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17444.0,17444,adi roso elemetary,11638.0,38.99665008,15.08875488,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4661,0.0,0.0,0.0,0.0
ERI,ER,1839.0,17476.0,17476,adi segudo elemetary,11865.0,38.82916255,15.39815055,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4879,0.0,0.0,0.0,0.0
ERI,ER,1839.0,17470.0,17470,adi teklay elemetary,11615.0,38.76030359,15.31913417,4,,,2014,,,50,0,,,50,0,,,50,0,,,1,4843,0.0,0.0,0.0,0.0
ERI,ER,1840.0,17478.0,17478,adishurim ele,11566.0,38.65031008,16.34196115,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,4886,0.0,0.0,0.0,0.0
ERI,ER,1835.0,17429.0,17429,aditekelezan elementary&junior,11553.0,38.82283329,15.62115103,3,,,2014,,,56,0,,,56,1,,,56,0,,,1,4563,0.0,0.017857142857142856,0.0,0.016846361185983826
ERI,ER,1835.0,17437.0,17437,adiyae elementary&junior,11743.0,38.46367647,15.78817974,3,,,2014,,,58,0,,,58,0,,,58,0,,,1,4611,0.0,0.0,0.0,0.0
ERI,ER,1840.0,17477.0,17477,adobha ele & junior,11562.0,38.25896082,17.12591211,3,,,2015,,,56,0,,,56,0,,,56,0,,,1,4883,0.0,0.0,0.0,0.0
ERI,ER,1838.0,17469.0,17469,adulis elementary&junior,11869.0,36.67697099,15.11144701,3,,,2015,,,52,0,,,52,0,,,52,0,,,1,4831,0.0,0.0,0.0,0.0
ERI,ER,1839.0,17472.0,17472,adulis junior&sec.,11814.0,38.94577081,15.34248607,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4856,0.0,0.0,0.0,0.0
ERI,ER,1837.0,17455.0,17455,afambo 1 elemetary,11764.0,41.63333,13.6,3,,,2015,,,56,0,,,56,0,,,56,0,,,1,4737,0.0,0.0,0.0,0.0
ERI,ER,1837.0,17455.0,17455,afambo 2 elemetary,11765.0,41.5159609,13.56720965,3,,,2015,,,49,0,,,49,0,,,49,0,,,1,4736,0.0,0.0,0.0,0.0
ERI,ER,1837.0,,3351,affambo,,41.5159,13.5667,4,,,2002,5.0,16.0,40,0,,,40,0,,,40,0,,,2,31308,0.0,0.0,0.0,0.0
ERI,ER,1838.0,17458.0,17458,afhimbol elementary&junior,11647.0,37.50049475,15.90367805,4,,,2015,,,55,0,,,55,0,,,55,0,,,1,4765,0.0,0.0,0.0,0.0
ERI,ER,1838.0,17457.0,17457,afoshila elemetary,11605.0,37.59067,15.1074513,1,,,2015,,,56,0,,,56,0,,,56,0,,,1,4750,0.0,0.0,0.0,0.0
ERI,ER,1835.0,17433.0,17433,afuen junior,11713.0,38.35846261,16.27075504,3,,,2014,,,50,0,,,50,0,,,50,0,,,1,4583,0.0,0.0,0.0,0.0
ERI,ER,1837.0,17453.0,17453,ahmed hilal elemetary,11600.0,42.73944,13.0139405,1,,,2015,,,56,0,,,56,0,,,56,0,,,1,4726,0.0,0.0,0.0,0.0
ERI,ER,1836.0,17440.0,17440,ahune elementary school,11544.0,39.33475495,14.91765163,3,,,2014,,,56,0,,,56,2,,,56,0,,,1,4622,0.0,0.03571428571428571,0.0,0.03369272237196765
ERI,ER,1838.0,17460.0,17460,aimasa,,37.394001,15.0976,3,,,2002,5.0,16.0,42,0,,,42,0,,,42,0,,,2,31323,0.0,0.0,0.0,0.0
ERI,ER,1837.0,17453.0,17453,akito junior,11601.0,42.64143235,13.06091366,3,,,2015,,,46,0,,,46,0,,,46,0,,,1,4723,0.0,0.0,0.0,0.0
ERI,ER,1840.0,17484.0,17484,al mahad ele,11769.0,39.44020346,15.62373867,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,4927,0.0,0.0,0.0,0.0
