iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
GIN,GN,2283.0,22619.0,22619.0,almamya,12219.0,-13.7117334,9.5110054,1,,,2013.0,,,50,2,,,50,6,,,50,2,,,1,5704,0.04,0.12,0.04,0.17829433962264152
GIN,GN,2283.0,22619.0,22619.0,almamya,103473.0,-13.7117334,9.5110054,1,,,,,,50,2,,,50,6,,,50,2,,,3,708,0.04,0.12,0.04,0.17829433962264152
GIN,GN,2272.0,22607.0,22607.0,alpha yaya diallo,12214.0,0.0,,99,,,2013.0,,,50,3,,,50,4,,,50,0,,,1,19189,0.06,0.08,0.0,0.12754716981132075
GIN,GN,2272.0,22607.0,22607.0,alpha yaya diallo,103468.0,0.0,,99,,,,,,50,3,,,50,4,,,50,0,,,3,703,0.06,0.08,0.0,0.12754716981132075
GIN,GN,,,,aly dioum,,,,99,,,1996.0,7.0,12.0,50,3,,,50,8,,,50,7,,,3,30292,0.06,0.16,0.14,0.3027773584905661
GIN,GN,2279.0,22615.0,22615.0,banian,52701.0,-10.5380494,9.5979848,1,,,1990.0,,,44,9,,,44,6,,,44,2,,,3,5700,0.20454545454545456,0.13636363636363635,0.045454545454545456,0.324757594658577
GIN,GN,2284.0,22620.0,22620.0,bankalan,,-9.23485,10.57345,1,,,1996.0,7.0,12.0,49,5,,,49,7,,,49,1,,,3,30285,0.10204081632653061,0.14285714285714285,0.02040816326530612,0.23210230238748222
GIN,GN,2292.0,22628.0,22628.0,belemou,12234.0,-9.46667,7.41667,1,,,2013.0,,,50,5,,,50,1,,,50,9,,,1,19223,0.1,0.02,0.18,0.2610943396226415
GIN,GN,2292.0,22628.0,22628.0,belemou,103488.0,-9.46667,7.41667,1,,,,,,50,5,,,50,1,,,50,9,,,3,723,0.1,0.02,0.18,0.2610943396226415
GIN,GN,2305.0,22641.0,22641.0,beregna,12264.0,0.0,,99,,,2013.0,,,50,6,,,50,0,,,50,0,,,1,19242,0.12,0.0,0.0,0.11320754716981131
GIN,GN,2305.0,22641.0,22641.0,beregna,103518.0,0.0,,99,,,,,,50,6,,,50,0,,,50,0,,,3,753,0.12,0.0,0.0,0.11320754716981131
GIN,GN,,,,biankana,,,,99,,,1996.0,7.0,12.0,50,2,,,50,7,,,50,3,,,3,30296,0.04,0.14,0.06,0.21126037735849054
GIN,GN,,,,bjirlan,,,,99,,,1996.0,7.0,12.0,50,4,,,50,12,,,50,0,,,3,30297,0.08,0.24,0.0,0.28377358490566035
GIN,GN,2272.0,22606.0,22606.0,bok?ac,52697.0,-14.296,10.94,3,,,1995.0,,,100,64,,,100,0,,,100,7,,,3,5689,0.64,0.0,0.07,0.6275471698113207
GIN,GN,2272.0,22606.0,22606.0,boke,,-14.296,10.94,3,,,1995.0,5.0,18.0,100,64,,,100,0,,,100,7,,,3,30276,0.64,0.0,0.07,0.6275471698113207
GIN,GN,2297.0,22633.0,22633.0,bonfi port,12244.0,-13.6420778,9.560877,2,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,19228,0.0,0.0,0.0,0.0
GIN,GN,2297.0,22633.0,22633.0,bonfi port,103498.0,-13.6420778,9.560877,2,,,,,,50,0,,,50,0,,,50,0,,,3,733,0.0,0.0,0.0,0.0
GIN,GN,2272.0,22607.0,22607.0,bourkakourac,12215.0,,,99,,,2013.0,,,50,3,,,50,1,,,50,0,,,1,19190,0.06,0.02,0.0,0.07433962264150942
GIN,GN,2272.0,22607.0,22607.0,bourkakoure,103469.0,,,99,,,,,,50,3,,,50,1,,,50,0,,,3,704,0.06,0.02,0.0,0.07433962264150942
GIN,GN,2277.0,22613.0,22613.0,camacroum citac,12200.0,,,99,,,2013.0,,,50,0,,,50,2,,,50,0,,,1,19199,0.0,0.04,0.0,0.03773584905660377
GIN,GN,2277.0,22613.0,22613.0,camayene plage,12199.0,-13.689522,9.5308,1,,,2013.0,,,50,2,,,50,2,,,50,3,,,1,19201,0.04,0.04,0.06,0.12612830188679244
GIN,GN,2277.0,22613.0,22613.0,camayene plage,103453.0,-13.689522,9.5308,1,,,,,,50,2,,,50,2,,,50,3,,,3,688,0.04,0.04,0.06,0.12612830188679244
GIN,GN,2277.0,22613.0,22613.0,cameroum cite,103454.0,-13.5784012,9.6411855,2,,,,,,50,0,,,50,2,,,50,0,,,3,689,0.0,0.04,0.0,0.03773584905660377
GIN,GN,2297.0,22633.0,22633.0,carria?re,12245.0,,,99,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,19229,0.0,0.0,0.0,0.0
GIN,GN,2297.0,22633.0,22633.0,carriere,103499.0,-13.6486853,9.564941,2,,,,,,50,0,,,50,0,,,50,0,,,3,734,0.0,0.0,0.0,0.0
GIN,GN,2283.0,22619.0,22619.0,centre,12220.0,-13.63983,9.602881,1,,,2013.0,,,50,1,,,50,4,,,50,0,,,1,19210,0.02,0.08,0.0,0.09283018867924528
GIN,GN,2283.0,22619.0,22619.0,centre,103474.0,-13.63983,9.602881,1,,,,,,50,1,,,50,4,,,50,0,,,3,709,0.02,0.08,0.0,0.09283018867924528
GIN,GN,2301.0,22637.0,22637.0,cobaya,12254.0,-13.602567,9.661433,1,,,2013.0,,,50,0,,,50,2,,,50,1,,,1,19233,0.0,0.04,0.02,0.055849056603773574
GIN,GN,2301.0,22637.0,22637.0,cobaya,103508.0,-13.602567,9.661433,1,,,,,,50,0,,,50,2,,,50,1,,,3,743,0.0,0.04,0.02,0.055849056603773574
GIN,GN,,,,conakry,,,,99,,,1995.0,5.0,18.0,100,30,,,100,7,,,100,52,,,3,30279,0.3,0.07,0.52,0.6486037735849057
GIN,GN,2272.0,22606.0,22606.0,corracrah,12189.0,,,99,,,2013.0,,,50,1,,,50,0,,,50,0,,,1,19186,0.02,0.0,0.0,0.018867924528301886
GIN,GN,2272.0,22606.0,22606.0,correrah,103443.0,-14.3,10.96667,1,,,,,,50,1,,,50,0,,,50,0,,,3,678,0.02,0.0,0.0,0.018867924528301886
GIN,GN,,,,de la mission,,,,99,,,1996.0,7.0,12.0,50,7,,,50,31,,,50,23,,,3,30291,0.14,0.62,0.46,0.7769132075471697
GIN,GN,2292.0,22628.0,22628.0,didita,12235.0,-8.51139,7.9475,3,,,2013.0,,,50,12,,,50,0,,,50,0,,,1,5713,0.24,0.0,0.0,0.22641509433962262
GIN,GN,2292.0,22628.0,22628.0,didita,103489.0,-8.51139,7.9475,3,,,,,,50,12,,,50,0,,,50,0,,,3,724,0.24,0.0,0.0,0.22641509433962262
GIN,GN,2275.0,22611.0,22611.0,ditinn,,-12.17645,10.87902,1,,,1996.0,7.0,12.0,44,2,,,44,2,,,44,8,,,3,30286,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.2401017818918957
GIN,GN,2277.0,22613.0,22613.0,dixinn gare i,12201.0,-13.672011,9.550278,1,,,2013.0,,,50,0,,,50,4,,,50,3,,,1,19197,0.0,0.08,0.06,0.12754716981132075
