iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
GNB,GW,,,,adventista betel,,-15.47691383,11.57801075,4,school,mapping,2018.0,10.0,14.0,50,2.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33456,0.04,0.0,0.0,0.03773584905660377
GNB,GW,,,,amizade gb / suecia,,-15.58827978,11.85304036,4,school,mapping,2018.0,,,50,10.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33534,0.2,0.0,0.0,0.18867924528301885
GNB,GW,,,,bambadinca,,-14.18841776,12.43653209,4,school,mapping,2017.0,9.0,12.0,45,0.0,0.0,0.0,45,0,0.0,0.0,45,0.0,0.0,0.0,1,33477,0.0,0.0,0.0,0.0
GNB,GW,2408.0,,0.0,bandim ii and belem,,-15.598666,11.851805,4,,,2001.0,4.0,12.0,706,225.0,,,706,5,,,706,30.0,,,2,29648,0.31869688385269124,0.007082152974504249,0.042492917847025496,0.33232783189700005
GNB,GW,,,,bantandjam/mansaba,,-14.95642821,12.27802193,4,school,mapping,2017.0,10.0,14.0,50,8.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33512,0.16,0.0,0.0,0.1509433962264151
GNB,GW,,,,basico 22 de novembro,,-15.58613734,11.86726534,4,school,mapping,2018.0,10.0,14.0,50,0.0,0.0,0.0,50,2,0.0,0.0,50,0.0,0.0,0.0,1,33535,0.0,0.04,0.0,0.03773584905660377
GNB,GW,,,,bentem missida,,-14.01861111,12.30722222,4,school,mapping,2017.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33478,0.0,0.0,0.0,0.0
GNB,GW,2413.0,23683.0,23683.0,bruce,103523.0,-16.238826,11.23933,1,,,,,,0,0.0,,,0,0,,,0,0.0,,,3,758,,,,
GNB,GW,2413.0,23684.0,23684.0,bruce,12269.0,0.0,,99,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19251,,,,
GNB,GW,2407.0,23679.0,23679.0,bumini,12286.0,0.0,,99,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19249,,,,
GNB,GW,2407.0,23679.0,23679.0,bumini,103540.0,0.0,,99,,,,,,0,0.0,,,0,0,,,0,0.0,,,3,775,,,,
GNB,GW,,,,c.e. amizade sao paulo,,-15.62751607,11.88904214,4,school,mapping,2018.0,,,50,2.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33536,0.04,0.0,0.0,0.03773584905660377
GNB,GW,,,,cabuxanque,,-15.12016487,11.2800251,4,school,mapping,2018.0,10.0,14.0,49,57.0,2.0,2.0,49,0,0.0,0.0,49,0.0,0.0,0.0,1,33539,,0.0,0.0,
GNB,GW,2415.0,23685.0,23685.0,cacheu/tchur brique,103528.0,-16.16583,12.27056,1,,,,,,0,0.0,,,0,0,,,0,0.0,,,3,763,,,,
GNB,GW,2415.0,23761.0,23761.0,cacheu/tchur brique,12274.0,0.0,,99,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19253,,,,
GNB,GW,2427.0,23755.0,23755.0,cacoca,12303.0,-14.9126044,11.105238,1,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,6166,,,,
GNB,GW,2427.0,23755.0,23755.0,cacoca,103530.0,-14.9126044,11.105238,1,,,,,,0,0.0,,,0,0,,,0,0.0,,,3,765,,,,
GNB,GW,,,,cadic,,-15.11208503,11.23639045,4,school,mapping,2018.0,10.0,14.0,49,31.0,0.0,0.0,49,0,0.0,0.0,49,0.0,0.0,0.0,1,33540,0.6326530612244898,0.0,0.0,0.5968425105891413
GNB,GW,,,,caira,,-13.7225,12.37194444,4,school,mapping,2017.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33479,0.0,0.0,0.0,0.0
GNB,GW,,,,camadjaba,,-13.76736627,12.37295886,4,school,mapping,2017.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33480,0.0,0.0,0.0,0.0
GNB,GW,2410.0,23668.0,23668.0,campate,12300.0,0.0,,99,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19246,,,,
GNB,GW,2410.0,23668.0,23668.0,campate,103554.0,0.0,,99,,,,,,0,0.0,,,0,0,,,0,0.0,,,3,789,,,,
GNB,GW,2415.0,23687.0,23687.0,campo de aviaa?a?o,12293.0,,,99,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19255,,,,
GNB,GW,2415.0,23687.0,23687.0,campo de aviacao,103547.0,,,99,,,,,,0,0.0,,,0,0,,,0,0.0,,,3,782,,,,
GNB,GW,,,,candjadude,,-14.23016396,12.07596,4,school,mapping,2017.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33481,0.0,0.0,0.0,0.0
GNB,GW,,,,candjufa,,-14.12605244,12.43669055,4,school,mapping,2017.0,10.0,14.0,48,0.0,0.0,0.0,48,2,0.0,0.0,48,2.0,0.0,0.0,1,33482,0.0,0.041666666666666664,0.041666666666666664,0.07697851153039832
GNB,GW,,,,canfaram,,-14.37077483,12.21731318,4,school,mapping,2017.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33483,0.0,0.0,0.0,0.0
GNB,GW,2415.0,23685.0,23685.0,cantchungo/teix. pinto,103529.0,-16.03333,12.06722,1,,,,,,0,0.0,,,0,0,,,0,0.0,,,3,764,,,,
GNB,GW,2415.0,23761.0,23761.0,cantchungo/teix. pinto,12281.0,0.0,,99,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19254,,,,
GNB,GW,,,,capa?,,-14.69275244,12.22591189,4,school,mapping,2017.0,10.0,14.0,50,2.0,0.0,0.0,50,0,0.0,0.0,50,4.0,0.0,0.0,1,33432,0.04,0.0,0.08,0.11018867924528301
GNB,GW,,,,capassa,,-13.93473764,12.37819539,4,school,mapping,2017.0,10.0,14.0,50,0.0,0.0,0.0,50,0,0.0,0.0,50,0.0,0.0,0.0,1,33484,0.0,0.0,0.0,0.0
GNB,GW,2422.0,23730.0,23730.0,com,12288.0,0.0,,99,,,2004.0,,,0,0.0,,,0,0,,,0,0.0,,,2,19265,,,,
