"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"MDG","MG",2864.0,0.0,27853.0,"agnalarajy",12950.0,49.86160333,-16.981015,3,"","",2015.0,"","",50,2,"","",50,15,"","",50,40,"","",1,8809,0.04,0.3,0.8,0.8166037735849058
"MDG","MG",2881.0,0.0,27936.0,"alatsinainy",55159.0,46.736698,-19.643499,3,"","",1995.0,"","",121,2,"","",121,76,"","",121,8,"","",3,9088,0.01652892561983471,0.628099173553719,0.06611570247933884,0.6211588281278382
"MDG","MG",2863.0,0.0,27842.0,"alatsinainy",12780.0,47.679829,-19.32358,1,"","",2015.0,"","",50,0,"","",50,11,"","",50,2,"","",1,8796,0.0,0.22,0.04,0.2369811320754717
"MDG","MG",2871.0,0.0,27889.0,"ambalabe/befanjava",12885.0,46.95271167,-15.77795,3,"","",2015.0,"","",50,0,"","",50,1,"","",50,0,"","",1,8914,0.0,0.02,0.0,0.018867924528301886
"MDG","MG",2881.0,0.0,27936.0,"ambalafeno",55160.0,46.6666669,-20.116667,1,"","",1995.0,"","",78,0,"","",78,63,"","",78,4,"","",3,9076,0.0,0.8076923076923077,0.05128205128205128,0.7712775855010978
"MDG","MG",2874.0,0.0,27900.0,"ambalakindresy","",47.332001,-21.166,3,"","",1990.0,1.0,10.0,96,0,"","",96,75,"","",96,31,"","",3,29173,0.0,0.78125,0.3229166666666667,0.8036679441823898
"MDG","MG",2872.0,0.0,27894.0,"ambalanjanakomby",55248.0,47.0753348,-16.6980043,1,"","",1996.0,"","",104,61,"","",104,18,"","",104,7,"","",3,8929,0.5865384615384616,0.17307692307692307,0.0673076923076923,0.6425581812892366
"MDG","MG",2880.0,0.0,27929.0,"ambalavelona",104155.0,47.5833333,-16.1999999,3,"","",2015.0,10.0,0.0,50,0,"","",50,0,"","",50,0,"","",1,859,0.0,0.0,0.0,0.0
"MDG","MG",2871.0,0.0,27887.0,"ambaliha",104015.0,46.0,-17.45,1,"","",2015.0,10.0,0.0,50,0,"","",50,0,"","",50,0,"","",1,828,0.0,0.0,0.0,0.0
"MDG","MG",2871.0,0.0,27887.0,"ambaliha",104020.0,46.0,-17.45,1,"","","","","",50,0,"","",50,0,"","",50,0,"","",3,825,0.0,0.0,0.0,0.0
"MDG","MG",2879.0,0.0,27922.0,"ambanifaho",12815.0,50.28308833,-14.91431667,3,"","",2015.0,"","",50,2,"","",50,31,"","",50,43,"","",1,9019,0.04,0.62,0.86,0.8952150943396225
"MDG","MG",2880.0,0.0,27931.0,"ambanjabe",104200.0,47.703911,-15.644120000000001,1,"","",2015.0,9.0,0.0,50,15,"","",50,0,"","",50,0,"","",1,872,0.3,0.0,0.0,0.28301886792452824
"MDG","MG",2870.0,0.0,27884.0,"ambanjabe ouest",12875.0,46.04979167,-17.50399167,3,"","",2015.0,"","",50,0,"","",50,0,"","",50,0,"","",1,8892,0.0,0.0,0.0,0.0
"MDG","MG",2880.0,0.0,27925.0,"ambarijiby sud",104040.0,47.680099,-14.93211,1,"","",2015.0,9.0,0.0,50,10,"","",50,0,"","",50,2,"","",1,831,0.2,0.0,0.04,0.21886792452830187
"MDG","MG",2871.0,0.0,27890.0,"ambatobe","","","",99,"","",2014.0,10.0,14.0,43,1,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,26289,0.023255813953488372,0.0,0.0,0.021939447125932425
"MDG","MG",2876.0,0.0,27908.0,"ambatomainty",12830.0,46.683333,-18.816667,1,"","",2015.0,"","",50,0,"","",50,6,"","",50,2,"","",1,8962,0.0,0.12,0.04,0.14641509433962263
"MDG","MG",2872.0,0.0,27893.0,"ambatomainty sud",12865.0,46.113392,-18.9743,1,"","",2015.0,"","",50,5,"","",50,3,"","",50,2,"","",1,8927,0.1,0.06,0.04,0.1772075471698113
