"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"MLI","ML",3119.0,30034.0,30034.0,"agouni",55484.0,-2.9944999,17.0541,3,"","",2004.0,"","",69,0,"","",69,0,"","",69,0,"","",2,9344,0.0,0.0,0.0,0.0
"MLI","ML",3115.0,30002.0,30002.0,"alasso",55445.0,-8.0240188,14.9229085,1,"","",2004.0,"","",65,0,"","",65,0,"","",65,0,"","",2,9256,0.0,0.0,0.0,0.0
"MLI","ML",3112.0,29979.0,29979.0,"almoustarat",55314.0,0.0725377,17.3613875,1,"","",2004.0,"","",71,0,"","",71,0,"","",71,0,"","",2,9155,0.0,0.0,0.0,0.0
"MLI","ML",3112.0,29980.0,29980.0,"arhabou",55360.0,0.0025,16.1696,3,"","",2004.0,"","",70,0,"","",70,0,"","",70,0,"","",2,9156,0.0,0.0,0.0,0.0
"MLI","ML",3119.0,30030.0,30030.0,"arham",55346.0,-3.3778,16.378201,3,"","",2004.0,"","",70,0,"","",70,0,"","",70,0,"","",2,9334,0.0,0.0,0.0,0.0
"MLI","ML",3113.0,29982.0,29982.0,"babaroto",55296.0,-10.8219,13.8079,3,"","",2004.0,"","",70,0,"","",70,0,"","",70,0,"","",2,9162,0.0,0.0,0.0,0.0
"MLI","ML",3111.0,29975.0,29975.0,"baco dijcoroni","",-8.0107411,12.5953273,1,"","",1993.0,6.0,11.0,580,30,"","",580,0,"","",580,0,"","",3,30599,0.05172413793103448,0.0,0.0,0.04879635653871177
"MLI","ML",3111.0,29976.0,29976.0,"badala",55330.0,-7.9846681,12.625425,1,"","",2004.0,"","",78,0,"","",78,0,"","",78,0,"","",2,9139,0.0,0.0,0.0,0.0
"MLI","ML",3113.0,29982.0,29982.0,"bafoulabe",13336.0,-10.8345647,13.8092603,1,"","",2014.0,"","",122,0,"","",122,0,"","",122,0,"","",1,9160,0.0,0.0,0.0,0.0
"MLI","ML",3113.0,29982.0,29982.0,"bafoulabe",104592.0,-10.8345647,13.8092603,1,"","","","","",122,0,"","",122,0,"","",122,0,"","",3,886,0.0,0.0,0.0,0.0
"MLI","ML",3115.0,29999.0,29999.0,"baguineda",55378.0,-7.7715529,12.6090319,1,"","",2004.0,"","",74,4,"","",74,1,"","",74,0,"","",2,9232,0.05405405405405406,0.013513513513513514,0.0,0.06305387488457351
"MLI","ML",3113.0,29986.0,29986.0,"balandougou",55404.0,-9.5519961,13.3559918,1,"","",2004.0,"","",69,2,"","",69,0,"","",69,0,"","",2,9195,0.028985507246376812,0.0,0.0,0.027344818156959255
"MLI","ML",3111.0,29973.0,29973.0,"bamako","",-7.9879999999999995,12.657,3,"","",1980.0,1.0,65.0,548,274,"","",548,0,"","",548,0,"","",3,30597,0.5,0.0,0.0,0.4716981132075471
"MLI","ML",3112.0,29979.0,29979.0,"bamba ii",55315.0,-1.4036179,17.0358391,1,"","",2004.0,"","",70,0,"","",70,0,"","",70,0,"","",2,9150,0.0,0.0,0.0,0.0
"MLI","ML",3113.0,29986.0,29986.0,"bamgassikoto",55405.0,-9.2608004,13.3824,3,"","",2004.0,"","",70,1,"","",70,0,"","",70,0,"","",2,9196,0.014285714285714285,0.0,0.0,0.013477088948787061
"MLI","ML",3115.0,29994.0,29994.0,"banamba",13337.0,-7.4435441,13.5543249,1,"","",2016.0,"","",126,0,"","",126,0,"","",126,0,"","",1,9219,0.0,0.0,0.0,0.0
"MLI","ML",3115.0,29994.0,29994.0,"banamba",104593.0,-7.4435441,13.5543249,1,"","","","","",126,0,"","",126,0,"","",126,0,"","",3,887,0.0,0.0,0.0,0.0
"MLI","ML",3115.0,29998.0,29998.0,"banankoro",55376.0,-7.933333,12.466667,1,"","",2004.0,"","",68,16,"","",68,0,"","",68,0,"","",2,9229,0.23529411764705882,0.0,0.0,0.22197558268590453
"MLI","ML",3115.0,30000.0,30000.0,"banankoro1",55421.0,-7.7367001,13.7365,3,"","",2004.0,"","",71,2,"","",71,0,"","",71,0,"","",2,9247,0.028169014084507043,0.0,0.0,0.026574541589157584
"MLI","ML",3118.0,30021.0,30021.0,"banasso",55369.0,-6.0317998,10.8811,3,"","",2004.0,"","",66,7,"","",66,0,"","",66,0,"","",2,9312,0.10606060606060606,0.0,0.0,0.10005717552887364
"MLI","ML",3111.0,29972.0,29972.0,"banconi",55320.0,-7.9660975,12.6730992,1,"","",2004.0,"","",65,3,"","",65,1,"","",65,2,"","",2,9123,0.046153846153846156,0.015384615384615385,0.03076923076923077,0.08464716036447642
"MLI","ML",3116.0,30004.0,30004.0,"bandiagara",13338.0,-3.609117,14.3489479,1,"","",2014.0,"","",132,0,"","",132,0,"","",132,0,"","",1,9265,0.0,0.0,0.0,0.0
"MLI","ML",3116.0,30004.0,30004.0,"bandiagara",104594.0,-3.609117,14.3489479,1,"","","","","",132,0,"","",132,0,"","",132,0,"","",3,888,0.0,0.0,0.0,0.0
"MLI","ML",3112.0,29978.0,29978.0,"bara",55292.0,0.32609999,15.8175,3,"","",2004.0,"","",71,0,"","",71,0,"","",71,0,"","",2,9149,0.0,0.0,0.0,0.0
"MLI","ML",3113.0,29985.0,29985.0,"batama",55397.0,-11.1766,13.0634,3,"","",2004.0,"","",62,1,"","",62,0,"","",62,0,"","",2,9189,0.016129032258064516,0.0,0.0,0.01521606816798539
"MLI","ML",3117.0,30017.0,30017.0,"belenitieni",55466.0,-4.9166001999999995,13.3792,3,"","",2004.0,"","",115,4,"","",115,0,"","",115,0,"","",2,9299,0.034782608695652174,0.0,0.0,0.03281378178835111
"MLI","ML",3112.0,29979.0,29979.0,"bia",55316.0,-0.26480001000000003,16.8368,3,"","",2004.0,"","",69,0,"","",69,0,"","",69,0,"","",2,9153,0.0,0.0,0.0,0.0
"MLI","ML",3113.0,29986.0,29986.0,"biliko",55406.0,-9.8646203,12.8739673,1,"","",2004.0,"","",70,34,"","",70,1,"","",70,1,"","",2,9199,0.4857142857142857,0.014285714285714285,0.014285714285714285,0.4719841575444193
"MLI","ML",3116.0,30007.0,30007.0,"boni",55351.0,-2.2199773,15.0756229,1,"","",2004.0,"","",61,1,"","",61,0,"","",61,0,"","",2,9276,0.01639344262295082,0.0,0.0,0.015465511908444168
"MLI","ML",3112.0,29979.0,29979.0,"bormo",55317.0,-0.889,17.004101,3,"","",2004.0,"","",70,0,"","",70,1,"","",70,0,"","",2,9154,0.0,0.014285714285714285,0.0,0.013477088948787061
"MLI","ML",3115.0,30002.0,30002.0,"bouabougou",55446.0,-8.23,12.69,1,"","",2004.0,"","",61,0,"","",61,0,"","",61,0,"","",2,9260,0.0,0.0,0.0,0.0
"MLI","ML",3115.0,30000.0,30000.0,"bouadiana",55422.0,-7.6734865,13.4704069,1,"","",2004.0,"","",70,0,"","",70,0,"","",70,0,"","",2,9243,0.0,0.0,0.0,0.0
"MLI","ML",3115.0,29999.0,29999.0,"bougoula 1c",55379.0,-7.8002,12.3119,3,"","",2004.0,"","",69,2,"","",69,0,"","",69,0,"","",2,9235,0.028985507246376812,0.0,0.0,0.027344818156959255
"MLI","ML",3118.0,30026.0,30026.0,"bougoulaba",55473.0,-5.6775999,11.3177,3,"","",2004.0,"","",61,7,"","",61,0,"","",61,1,"","",2,9327,0.11475409836065574,0.0,0.01639344262295082,0.12194936439281386
"MLI","ML",3118.0,30020.0,30020.0,"bougouni",13339.0,-7.4705935,11.4182881,1,"","",2016.0,"","",183,0,"","",183,0,"","",183,0,"","",1,9308,0.0,0.0,0.0,0.0
"MLI","ML",3118.0,30020.0,30020.0,"bougouni",104597.0,-7.4705935,11.4182881,1,"","","","","",183,0,"","",183,0,"","",183,0,"","",3,889,0.0,0.0,0.0,0.0
"MLI","ML",3115.0,30002.0,30002.0,"boulal",55447.0,-8.4252996,15.079,3,"","",2004.0,"","",69,0,"","",69,0,"","",69,0,"","",2,9257,0.0,0.0,0.0,0.0
"MLI","ML",3113.0,29986.0,29986.0,"boulouli",55407.0,-9.5510998,13.2669,3,"","",2004.0,"","",70,1,"","",70,0,"","",70,0,"","",2,9194,0.014285714285714285,0.0,0.0,0.013477088948787061
"MLI","ML",3112.0,29979.0,29979.0,"bourem iv",55318.0,-0.34424489999999996,16.9562322,1,"","",2004.0,"","",72,0,"","",72,0,"","",72,0,"","",2,9151,0.0,0.0,0.0,0.0
"MLI","ML",3113.0,29984.0,29984.0,"boutinguisse",55388.0,-11.6461,15.1383,3,"","",2004.0,"","",32,1,"","",32,0,"","",32,0,"","",2,9184,0.03125,0.0,0.0,0.029481132075471695
"MLI","ML",3111.0,29973.0,29973.0,"bozola",55323.0,-7.9885791,12.637524299999999,1,"","",2004.0,"","",74,0,"","",74,0,"","",74,1,"","",2,9126,0.0,0.0,0.013513513513513514,0.012748597654258032
"MLI","ML",3111.0,29972.0,29972.0,"commune 1",13340.0,-7.956562,12.6662607,1,"","",2014.0,"","",122,0,"","",122,0,"","",122,0,"","",1,9124,0.0,0.0,0.0,0.0
"MLI","ML",3111.0,29972.0,29972.0,"commune 1",104599.0,-7.956562,12.6662607,1,"","","","","",122,0,"","",122,0,"","",122,0,"","",3,890,0.0,0.0,0.0,0.0
"MLI","ML",3111.0,29973.0,29973.0,"commune 2",13341.0,-7.9749531,12.6564501,1,"","",2014.0,"","",120,0,"","",120,0,"","",120,0,"","",1,9127,0.0,0.0,0.0,0.0
"MLI","ML",3111.0,29973.0,29973.0,"commune 2",104600.0,-7.9749531,12.6564501,1,"","","","","",120,0,"","",120,0,"","",120,0,"","",3,891,0.0,0.0,0.0,0.0
"MLI","ML",3111.0,29974.0,29974.0,"commune 3",13342.0,-8.0097045,12.6347543,1,"","",2014.0,"","",119,0,"","",119,0,"","",119,1,"","",1,9130,0.0,0.0,0.008403361344537815,0.007927699381639447
"MLI","ML",3111.0,29974.0,29974.0,"commune 3",104601.0,-8.0097045,12.6347543,1,"","","","","",119,0,"","",119,0,"","",119,1,"","",3,892,0.0,0.0,0.008403361344537815,0.007927699381639447
"MLI","ML",3111.0,29975.0,29975.0,"commune 4",13343.0,-8.0274274,12.6299491,1,"","",2014.0,"","",119,0,"","",119,0,"","",119,0,"","",1,9133,0.0,0.0,0.0,0.0
"MLI","ML",3111.0,29975.0,29975.0,"commune 4",104602.0,-8.0274274,12.6299491,1,"","","","","",119,0,"","",119,0,"","",119,0,"","",3,893,0.0,0.0,0.0,0.0
"MLI","ML",3111.0,29976.0,29976.0,"commune 5",13344.0,-8.0013996,12.6075427,1,"","",2014.0,"","",119,0,"","",119,0,"","",119,0,"","",1,9138,0.0,0.0,0.0,0.0
