"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"MWI","MW",2993.0,28954.0,28954.0,"amazing grace","",35.28772,-15.97972,4,"school","sentinel site",2016,6.0,11.0,118,0,0.0,0.0,118,0,0.0,0.0,118,0,0.0,0.0,1,26478,0.0,0.0,0.0,0.0
"MWI","MW",2993.0,28954.0,28954.0,"amazing grace pvt","",33.81958,-14.00754,3,"school","sentinel site",2012,5.0,12.0,121,0,0.0,0.0,121,0,0.0,0.0,121,0,0.0,0.0,1,26479,0.0,0.0,0.0,0.0
"MWI","MW",2993.0,28954.0,28954.0,"amazing grace pvt school","",35.28772,-15.97972,4,"school","sentinel site",2017,6.0,11.0,115,0,0.0,0.0,115,0,0.0,0.0,115,0,0.0,0.0,1,26480,0.0,0.0,0.0,0.0
"MWI","MW",2993.0,28954.0,28954.0,"amazinga grace pvt school","",35.28772,-15.97972,4,"school","sentinel site",2015,6.0,12.0,82,0,0.0,0.0,82,0,0.0,0.0,82,0,0.0,0.0,1,26481,0.0,0.0,0.0,0.0
"MWI","MW",2993.0,28954.0,28954.0,"amwiri","",33.4434647,-14.1569117,3,"school","mapping",2018,10.0,14.0,29,0,0.0,0.0,29,0,0.0,0.0,29,0,0.0,0.0,1,26482,0.0,0.0,0.0,0.0
"MWI","MW",2993.0,28954.0,28954.0,"amwiri primary","",33.443675,-14.157055,3,"school","mapping",2012,10.0,13.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,26418,0.0,0.0,0.0,0.0
"MWI","MW",2984.0,28945.0,28945.0,"andisen primary school","",34.910505,-15.676695,3,"school","mapping",2012,11.0,14.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,26976,0.0,0.0,0.0,0.0
"MWI","MW",2984.0,28945.0,28945.0,"andiseni","",34.9108137,-15.6764975,3,"","mapping",2018,10.0,14.0,30,1,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,26977,0.03333333333333333,0.0,0.0,0.03144654088050314
"MWI","MW",2999.0,28972.0,28972.0,"area 1b f p school","",33.994915,-11.40484,3,"","mapping",2012,10.0,14.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,26772,0.0,0.0,0.0,0.0
"MWI","MW",2999.0,28972.0,28972.0,"area 1b","",33.9944379,-11.4042938,3,"","mapping",2018,10.0,14.0,29,0,0.0,0.0,29,0,0.0,0.0,29,0,0.0,0.0,1,26773,0.0,0.0,0.0,0.0
"MWI","MW",2993.0,28954.0,28954.0,"athens l l pvt school","",33.7302771,-14.0073891,3,"school","mapping",2018,10.0,14.0,28,0,0.0,0.0,28,0,0.0,0.0,28,0,0.0,0.0,1,26483,0.0,0.0,0.0,0.0
"MWI","MW",3005.0,28966.0,28966.0,"badanjala","",33.8855098,-13.3349719,3,"school","mapping",2018,10.0,14.0,29,0,0.0,0.0,29,3,0.0,0.0,29,0,0.0,0.0,1,26653,0.0,0.10344827586206896,0.0,0.09759271307742354
"MWI","MW",2990.0,28951.0,28951.0,"baka","",33.92246407,-9.93539449,3,"school","mapping",2017,10.0,15.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,26751,0.0,0.0,0.0,0.0
"MWI","MW",3004.0,28965.0,28965.0,"banda","",34.6384332,-14.8219765,1,"school","mapping",2012,10.0,14.0,31,2,0.0,0.0,31,0,0.0,0.0,31,0,0.0,0.0,1,26611,0.06451612903225806,0.0,0.0,0.06086427267194156
