"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"RWA","RW",3913,38118,38118,"apapec irebero","",30.07377,-1.920906,3,"","mapping",2014,8.0,18.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,22619,0.0,0.0,0.0,0.0
"RWA","RW",3913,38120,38120,"ape rugunga",56568.0,30.0714885,-1.95716,1,"","",2008,"","",50,0,"","",50,0,"","",50,4,"","",1,13252,0.0,0.0,0.08,0.07547169811320754
"RWA","RW",3913,38120,38120,"ape rugunga",16119.0,30.0714885,-1.95716,1,"","",2007,"","",0,0,"","",50,0,"","",0,0,"","",1,13255,"",0.0,"",""
"RWA","RW",3916,38139,38139,"apefe mweya","",29.2559,-1.69784,3,"","mapping",2014,8.0,18.0,45,0,0.0,0.0,45,4,0.0,0.044,45,12,0.0,0.022,1,22742,0.0,0.08888888888888889,0.26666666666666666,0.3130677847658979
"RWA","RW",3916,38137,38137,"bigogwe",56549.0,29.4209845,-1.6284478,1,"","",2008,"","",57,2,"","",57,52,"","",57,50,"","",1,13374,0.03508771929824561,0.9122807017543859,0.8771929824561403,0.9335900364627253
"RWA","RW",3916,38137,38137,"bigogwe",16103.0,29.4209845,-1.6284478,1,"","",2008,"","",0,0,"","",57,0,"","",0,0,"","",1,13379,"",0.0,"",""
"RWA","RW",3916,38134,38134,"bigugu",56517.0,29.2569444,-2.4344444,1,"","",2008,"","",55,1,"","",55,13,"","",55,8,"","",1,13363,0.01818181818181818,0.23636363636363636,0.14545454545454545,0.33896488666487107
"RWA","RW",3916,38134,38134,"bigugu",16064.0,29.2569444,-2.4344444,1,"","",2007,"","",0,0,"","",55,0,"","",0,0,"","",1,13354,"",0.0,"",""
"RWA","RW",3916,38138,38138,"bigutu",56558.0,28.98636,-2.49244,3,"","",2008,"","",62,17,"","",62,30,"","",62,36,"","",1,13391,0.27419354838709675,0.4838709677419355,0.5806451612903226,0.7951939391597941
"RWA","RW",3916,38138,38138,"bigutu",16115.0,28.98636,-2.49244,3,"","",2008,"","",0,0,"","",62,0,"","",0,0,"","",1,13387,"",0.0,"",""
