iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
SOM,SO,,,,abbiamo,,,,99,,,1981,6.0,20,158,58,,,158,37,,,158,83,,,3,29369,0.3670886075949367,0.23417721518987342,0.5253164556962026,0.7263413698338456
SOM,SO,,,,afgoye,,,,99,,,1984,1.0,20,278,4,,,278,19,,,278,164,,,3,30730,0.014388489208633094,0.0683453237410072,0.5899280575539568,0.5881618999511493
SOM,SO,,,,burao,,,,99,,,1986,1.0,45,234,2,,,234,1,,,234,8,,,3,30733,0.008547008547008548,0.004273504273504274,0.03418803418803419,0.04390090749197427
SOM,SO,,,,"chisimario, near kisimaio",,,,99,,,1982,1.0,65,84,4,,,84,27,,,84,22,,,3,31660,0.047619047619047616,0.32142857142857145,0.2619047619047619,0.4933959208121702
SOM,SO,,,0.0,daymo samo,,45.515999,,99,,,1980,1.0,65,50,3,,,50,7,,,50,3,,,3,30729,0.06,0.14,0.06,0.2265132075471698
SOM,SO,,,,"farhane, near merca",,,,99,,,1980,1.0,65,142,20,,,142,46,,,142,9,,,3,30732,0.14084507042253522,0.323943661971831,0.06338028169014084,0.4301664960135816
SOM,SO,5609.0,56009.0,56009.0,kismayo,,42.537998,,99,,,1986,1.0,45,283,48,,,283,85,,,283,223,,,3,30345,0.1696113074204947,0.3003533568904594,0.7879858657243817,0.8271927472686105
SOM,SO,,,,lafoole,,,,99,,,1984,6.0,18,237,107,,,237,46,,,237,179,,,3,30731,0.45147679324894513,0.1940928270042194,0.7552742616033755,0.8413366386483213
SOM,SO,,,,merin gubai and bulo mereerta,,,,99,,,1984,1.0,45,152,4,,,152,23,,,152,7,,,3,29367,0.02631578947368421,0.1513157894736842,0.046052631578947366,0.19972188276249078
SOM,SO,,,0.0,mogadishu,,45.341,,99,,,1983,,6,740,356,,,740,83,,,740,491,,,3,29370,0.4810810810810811,0.11216216216216217,0.6635135135135135,0.7971465490877815
SOM,SO,,,,mooda moode,,,,99,,,1980,10.0,65,127,1,,,127,2,,,127,2,,,3,29368,0.007874015748031496,0.015748031496062992,0.015748031496062992,0.0366755004792137
