"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"TGO","TG",5019,48681,48681,"abate kope",58051.0,1.3,6.266667,2,"","",2009.0,"","",15,6,"","",15,0,"","",15,0,"","",1,15001,0.4,0.0,0.0,0.3773584905660377
"TGO","TG",5021,48699,48699,"abi",57789.0,1.2333,7.4716001,3,"","",2009.0,"","",15,7,"","",15,0,"","",15,0,"","",1,15437,0.4666666666666667,0.0,0.0,0.440251572327044
"TGO","TG",5019,48683,48683,"abobo",58155.0,1.374608,6.2409400999999995,3,"","",2009.0,"","",15,0,"","",15,0,"","",15,1,"","",1,15064,0.0,0.0,0.06666666666666667,0.06289308176100628
"TGO","TG",5019,48683,48683,"abobo kpeguede",58156.0,1.375263,6.2468028,3,"","",2009.0,"","",15,1,"","",15,0,"","",15,0,"","",1,15080,0.06666666666666667,0.0,0.0,0.06289308176100628
"TGO","TG",5019,48682,48682,"abossehoe",58123.0,1.576753,6.7550702,3,"","",2009.0,"","",15,8,"","",15,0,"","",15,0,"","",1,15049,0.5333333333333333,0.0,0.0,0.5031446540880502
"TGO","TG",5021,48700,48700,"abrewankor efako",58082.0,0.59854198,7.6421671,3,"","",2009.0,"","",15,11,"","",15,0,"","",15,0,"","",1,15495,0.7333333333333333,0.0,0.0,0.691823899371069
"TGO","TG",5018,48676,48676,"adabawere","",1.169057,9.548097,3,"","sentinel site",2015.0,6.0,9.0,15,0,0.0,0.0,15,0,0.0,0.0,15,0,0.0,0.0,1,21368,0.0,0.0,0.0,0.0
"TGO","TG",5018,48676,48676,"adabawere",57622.0,1.169057,9.548097,3,"","",2009.0,"","",15,2,"","",15,0,"","",15,0,"","",1,14901,0.13333333333333333,0.0,0.0,0.12578616352201255
"TGO","TG",5019,48682,48682,"adabiam",58124.0,1.598393,6.6483722,3,"","",2009.0,"","",15,10,"","",15,0,"","",15,0,"","",1,15055,0.6666666666666666,0.0,0.0,0.6289308176100628
"TGO","TG",5020,48685,48685,"adamavo mayakope",57475.0,1.3037051,6.1781079,1,"","",2009.0,"","",15,2,"","",15,0,"","",15,0,"","",1,15112,0.13333333333333333,0.0,0.0,0.12578616352201255
"TGO","TG",5019,48680,48680,"adame",57749.0,1.7833329999999998,6.333333,1,"","",2009.0,"","",15,4,"","",15,2,"","",15,0,"","",1,14987,0.26666666666666666,0.13333333333333333,0.0,0.3438155136268344
"TGO","TG",5019,48683,48683,"adangbe kpeve",58157.0,1.3,6.533333,1,"","",2009.0,"","",15,11,"","",15,0,"","",15,0,"","",1,15085,0.7333333333333333,0.0,0.0,0.691823899371069
"TGO","TG",5019,48683,48683,"adangbe lakoto",58158.0,1.289642,6.562809,3,"","",2009.0,"","",15,9,"","",15,0,"","",15,0,"","",1,15079,0.6,0.0,0.0,0.5660377358490565
"TGO","TG",5019,48677,48677,"adekpui",57214.0,0.81193298,6.4865422,3,"","",2009.0,"","",15,1,"","",15,0,"","",15,0,"","",1,14914,0.06666666666666667,0.0,0.0,0.06289308176100628
"TGO","TG",5017,48667,48667,"adeli",57859.0,0.77292001,8.6916647,3,"","",2009.0,"","",15,3,"","",15,0,"","",15,0,"","",1,14585,0.2,0.0,0.0,0.18867924528301885
"TGO","TG",5021,48690,48690,"adiva",57149.0,1.020313,7.5116172,3,"","",2009.0,"","",15,4,"","",15,0,"","",15,0,"","",1,15166,0.26666666666666666,0.0,0.0,0.2515723270440251
"TGO","TG",5021,48694,48694,"adjagouda",57487.0,1.275058,8.3479404,3,"","",2009.0,"","",15,8,"","",15,0,"","",15,0,"","",1,15291,0.5333333333333333,0.0,0.0,0.5031446540880502
"TGO","TG",5021,48690,48690,"adjahoun",57150.0,0.92177802,7.4788852,3,"","",2009.0,"","",15,4,"","",15,0,"","",15,0,"","",1,15187,0.26666666666666666,0.0,0.0,0.2515723270440251
"TGO","TG",5018,48676,48676,"adjamoulakou",57623.0,1.1832,9.5263004,3,"","",2009.0,"","",15,0,"","",15,0,"","",15,0,"","",1,14866,0.0,0.0,0.0,0.0
"TGO","TG",5021,48690,48690,"adjeassi woewoe",57151.0,1.09763,7.7281299,3,"","",2009.0,"","",15,5,"","",15,0,"","",15,0,"","",1,15160,0.3333333333333333,0.0,0.0,0.3144654088050314
"TGO","TG",5017,48667,48667,"adjengre",57860.0,1.0100729,8.6528282,3,"","",2009.0,"","",15,1,"","",15,0,"","",15,0,"","",1,14593,0.06666666666666667,0.0,0.0,0.06289308176100628
"TGO","TG",5017,48667,48667,"adjengre piyow",57861.0,1.014713,8.6636152,3,"","",2009.0,"","",15,2,"","",15,0,"","",15,0,"","",1,14603,0.13333333333333333,0.0,0.0,0.12578616352201255
"TGO","TG",5021,48692,48692,"adjibarou",57270.0,1.331743,7.858346,3,"","",2009.0,"","",15,6,"","",15,0,"","",15,0,"","",1,15246,0.4,0.0,0.0,0.3773584905660377
"TGO","TG",5017,48666,48666,"adjigbe",57325.0,0.97911,8.242775,3,"","",2009.0,"","",15,0,"","",15,0,"","",15,0,"","",1,14549,0.0,0.0,0.0,0.0
"TGO","TG",5021,48699,48699,"adjigo",57790.0,1.422612,7.677237,3,"","",2009.0,"","",15,4,"","",15,0,"","",15,0,"","",1,15430,0.26666666666666666,0.0,0.0,0.2515723270440251
"TGO","TG",5021,48695,48695,"adjivou",57522.0,1.417545,6.9702382,3,"","",2009.0,"","",15,1,"","",15,0,"","",15,0,"","",1,15314,0.06666666666666667,0.0,0.0,0.06289308176100628
"TGO","TG",5018,48670,48670,"adjoda",57198.0,1.20619,9.2532225,3,"","",2009.0,"","",15,1,"","",15,0,"","",15,0,"","",1,14717,0.06666666666666667,0.0,0.0,0.06289308176100628
"TGO","TG",5021,48694,48694,"adjogba",57488.0,1.5800049999999999,8.2285032,3,"","",2009.0,"","",15,7,"","",15,0,"","",15,0,"","",1,15274,0.4666666666666667,0.0,0.0,0.440251572327044
"TGO","TG",5017,48669,48669,"adjorogo",57964.0,1.129938,8.9436598,3,"","",2009.0,"","",15,2,"","",15,0,"","",15,0,"","",1,14697,0.13333333333333333,0.0,0.0,0.12578616352201255
"TGO","TG",5019,48680,48680,"adjove",57750.0,1.653302,6.309834,3,"","",2009.0,"","",15,13,"","",15,1,"","",15,0,"","",1,14975,0.8666666666666667,0.06666666666666667,0.0,0.8259958071278825
"TGO","TG",5021,48697,48697,"adjra",57715.0,0.75257701,6.985898,3,"","",2009.0,"","",15,6,"","",15,0,"","",15,0,"","",1,15398,0.4,0.0,0.0,0.3773584905660377
"TGO","TG",5021,48699,48699,"adogbenou",57791.0,1.429657,7.739027,3,"","",2009.0,"","",15,6,"","",15,0,"","",15,0,"","",1,15440,0.4,0.0,0.0,0.3773584905660377
"TGO","TG",5021,48699,48699,"adokame",57792.0,1.2716,7.4091001,3,"","",2009.0,"","",15,3,"","",15,0,"","",15,0,"","",1,15434,0.2,0.0,0.0,0.18867924528301885
"TGO","TG",5019,48683,48683,"adokpoe",58159.0,1.1839047,6.6336818,1,"","",2009.0,"","",15,9,"","",15,0,"","",15,0,"","",1,15110,0.6,0.0,0.0,0.5660377358490565
"TGO","TG",5021,48700,48700,"adonsso",58083.0,0.69264698,7.5513701,3,"","",2009.0,"","",15,6,"","",15,0,"","",15,0,"","",1,15490,0.4,0.0,0.0,0.3773584905660377
"TGO","TG",5021,48689,48689,"adrakpo",57113.0,0.7761080300000001,6.6198082,3,"","",2009.0,"","",15,2,"","",15,0,"","",15,0,"","",1,15133,0.13333333333333333,0.0,0.0,0.12578616352201255
"TGO","TG",5021,48689,48689,"adzakpa",57114.0,0.81496298,6.6411972,3,"","",2009.0,"","",15,7,"","",15,0,"","",15,0,"","",1,15130,0.4666666666666667,0.0,0.0,0.440251572327044
"TGO","TG",5019,48682,48682,"afangandji",58125.0,1.4425319,6.7586679,3,"","",2009.0,"","",15,15,"","",15,0,"","",15,0,"","",1,15054,1.0,0.0,0.0,0.9433962264150942
"TGO","TG",5017,48669,48669,"afedede",57965.0,1.359982,9.0044813,3,"","",2009.0,"","",15,8,"","",15,0,"","",15,0,"","",1,14670,0.5333333333333333,0.0,0.0,0.5031446540880502
"TGO","TG",5017,48668,48668,"affem boussou",57938.0,1.531693,9.1259298,3,"","",2009.0,"","",15,0,"","",15,0,"","",15,0,"","",1,14636,0.0,0.0,0.0,0.0
"TGO","TG",5017,48668,48668,"affem kabye",57939.0,1.507955,9.1399279,3,"","",2009.0,"","",15,0,"","",15,0,"","",15,0,"","",1,14628,0.0,0.0,0.0,0.0
"TGO","TG",5017,48668,48668,"affossala kope",57940.0,1.290578,8.4456854,3,"","",2009.0,"","",15,3,"","",15,0,"","",15,0,"","",1,14639,0.2,0.0,0.0,0.18867924528301885
"TGO","TG",5021,48699,48699,"afi kope",57793.0,1.20848,7.3898902,3,"","",2009.0,"","",15,9,"","",15,3,"","",15,0,"","",1,15449,0.6,0.2,0.0,0.6415094339622641
"TGO","TG",5019,48677,48677,"afiadegnigban",57215.0,1.100953,6.2529721,3,"","",2009.0,"","",15,8,"","",15,0,"","",15,0,"","",1,14908,0.5333333333333333,0.0,0.0,0.5031446540880502
"TGO","TG",5021,48691,48691,"afidegnigba",57252.0,0.8101369700000001,7.8910827999999995,3,"","",2009.0,"","",15,1,"","",15,0,"","",15,0,"","",1,15215,0.06666666666666667,0.0,0.0,0.06289308176100628
"TGO","TG",5019,48681,48681,"afidegnigban",58052.0,1.283333,7.383333,1,"","",2009.0,"","",15,5,"","",15,0,"","",15,0,"","",1,15006,0.3333333333333333,0.0,0.0,0.3144654088050314
"TGO","TG",5021,48693,48693,"afidenyigba",57416.0,0.70388198,7.306706,3,"","",2009.0,"","",15,3,"","",15,0,"","",15,0,"","",1,15251,0.2,0.0,0.0,0.18867924528301885
"TGO","TG",5021,48694,48694,"afodji",57489.0,1.5852119999999998,7.9495769,3,"","",2009.0,"","",15,6,"","",15,0,"","",15,0,"","",1,15292,0.4,0.0,0.0,0.3773584905660377
"TGO","TG",5021,48692,48692,"afole",57271.0,1.35,7.5,1,"","",2009.0,"","",15,7,"","",15,0,"","",15,0,"","",1,15230,0.4666666666666667,0.0,0.0,0.440251572327044
"TGO","TG",5021,48698,48698,"afotrokpe",57778.0,1.5968879,7.204051,3,"","",2009.0,"","",15,2,"","",15,0,"","",15,0,"","",1,15410,0.13333333333333333,0.0,0.0,0.12578616352201255
"TGO","TG",5021,48700,48700,"agadja",58084.0,0.7833329,7.5,1,"","",2009.0,"","",15,0,"","",15,0,"","",15,0,"","",1,15460,0.0,0.0,0.0,0.0
"TGO","TG",5021,48695,48695,"agadjakope",57523.0,1.128162,6.8004321999999995,4,"","",2009.0,"","",15,14,"","",15,0,"","",15,0,"","",1,15306,0.9333333333333333,0.0,0.0,0.880503144654088
