"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"ZWE","ZW",5551.0,52909.0,52909.0,"aberfoyle",18247.0,0.0,"",99,"","",2010.0,"","",0,0,"","",0,0,"","",0,0,"","",1,20068,"","","",""
"ZWE","ZW",5551.0,52909.0,52909.0,"aberfoyle",112358.0,0.0,"",99,"","","","","",0,0,"","",0,0,"","",0,0,"","",3,2013,"","","",""
"ZWE","ZW",5549.0,52902.0,52902.0,"aisleby",18052.0,28.5823513,-20.0661435,1,"","",2010.0,"","",0,0,"","",0,0,"","",0,0,"","",1,18375,"","","",""
"ZWE","ZW",5549.0,52902.0,52902.0,"aisleby",112159.0,28.5823513,-20.0661435,1,"","","","","",0,0,"","",0,0,"","",0,0,"","",3,1818,"","","",""
"ZWE","ZW","","","","amsterdam","","","",99,"","",1987.0,1.0,99.0,70,31,"","",70,2,"","",0,0,"","",3,29430,0.44285714285714284,0.02857142857142857,"",""
"ZWE","ZW",5549.0,52902.0,52902.0,"baines infant",18053.0,28.5832632,-20.1338602,1,"","",2010.0,"","",0,0,"","",0,0,"","",0,0,"","",1,18367,"","","",""
"ZWE","ZW",5549.0,52902.0,52902.0,"baines infant",112160.0,28.5832632,-20.1338602,1,"","","","","",0,0,"","",0,0,"","",0,0,"","",3,1819,"","","",""
"ZWE","ZW",5551.0,52907.0,52907.0,"bandanyenje",18197.0,31.9627778,-18.8630556,1,"","",2010.0,"","",0,0,"","",0,0,"","",0,0,"","",1,18409,"","","",""
"ZWE","ZW",5551.0,52907.0,52907.0,"bandanyenje",112308.0,31.9627778,-18.8630556,1,"","","","","",0,0,"","",0,0,"","",0,0,"","",3,1963,"","","",""
"ZWE","ZW",5556.0,52945.0,52945.0,"bango",18206.0,0.0,"",99,"","",2010.0,"","",0,0,"","",0,0,"","",0,0,"","",1,20171,"","","",""
"ZWE","ZW",5556.0,52945.0,52945.0,"bango",112317.0,0.0,"",99,"","","","","",0,0,"","",0,0,"","",0,0,"","",3,1972,"","","",""
"ZWE","ZW",5550.0,52903.0,52903.0,"batanai",18136.0,31.0171812,-17.8852773,1,"","",2010.0,"","",0,0,"","",0,0,"","",0,0,"","",1,18378,"","","",""
"ZWE","ZW",5550.0,52903.0,52903.0,"batanai",112245.0,31.0171812,-17.8852773,1,"","","","","",0,0,"","",0,0,"","",0,0,"","",3,1902,"","","",""
