"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"BDI","BI",715.0,6414.0,6414.0,"",29.7915,-2.906027778,3,"school","mapping",2016.0,13.0,14.0,50,0,50,9,50,24,1,23577,0.0,0.18,0.48,0.541132075471698,5574.965279097866,22,22,22,2
"BDI","BI",717.0,6418.0,6418.0,"",30.333333,-3.65,1,"school","mapping",2014.0,12.0,16.0,50,1,50,1,50,0,1,23613,0.02,0.02,0.0,0.03735849056603773,6853.472238316963,28,28,28,4
"BDI","BI",710.0,6402.0,6402.0,10373.0,30.0882,-2.6908000000000003,1,"","",2014.0,"","",50,1,50,1,50,0,1,18630,0.02,0.02,0.0,0.03735849056603773,0.0,41,41,4,6
"BDI","BI",717.0,6419.0,6419.0,"",30.4327029,-3.2515663,1,"school","mapping",2014.0,12.0,16.0,50,2,50,3,50,0,1,23623,0.04,0.06,0.0,0.0920754716981132,7487.927948228562,49,49,49,8
"BDI","BI",705.0,6387.0,6387.0,10314.0,30.6339,-3.0634,3,"","",2014.0,"","",50,6,50,0,50,0,1,2185,0.12,0.0,0.0,0.11320754716981131,0.0,52,52,8,9
"BDI","BI",717.0,6417.0,6417.0,"",30.182022,-3.3603962,1,"school","mapping",2014.0,12.0,15.0,50,1,50,28,50,7,1,23610,0.02,0.56,0.14,0.593554716981132,4799.66160264073,58,58,58,11
"BDI","BI",710.0,6401.0,6401.0,"",30.1857,-2.6413,1,"school","mapping",2014.0,12.0,15.0,50,3,50,5,50,4,1,23472,0.06,0.1,0.08,0.20913207547169807,0.0,60,60,13,12
"BDI","BI",710.0,6401.0,6401.0,10305.0,30.1857,-2.6413,1,"","",2014.0,"","",50,3,50,5,50,3,1,18623,0.06,0.1,0.06,0.1931698113207547,0.0,61,61,12,13
"BDI","BI","","",3518.0,"",29.3533,-3.3697,4,"","",1984.0,6.0,16.0,3053,382,3053,537,3053,824,3,28655,0.12512283000327545,0.17589256469046838,0.2698984605306256,0.4467943969891585,0.0,63,63,15,14
"BDI","BI",703.0,"",3518.0,"",29.3533,-3.3697,4,"","",1991.0,6.0,16.0,2706,179,2706,452,2706,330,3,28659,0.06614929785661493,0.1670362158167036,0.12195121951219512,0.2990543642451687,0.0,64,64,14,15
"BDI","BI",709.0,6397.0,6397.0,10254.0,29.5733,-2.9652000000000003,3,"","",2014.0,"","",50,0,50,0,50,0,1,2207,0.0,0.0,0.0,0.0,1891.016908541867,65,65,65,16
"BDI","BI",715.0,6414.0,6414.0,"",29.884,-2.945111111,3,"school","mapping",2016.0,13.0,14.0,50,0,50,7,50,11,1,23579,0.0,0.14,0.22,0.310566037735849,3759.2827948311424,67,67,67,17
"BDI","BI",702.0,6377.0,6377.0,"",29.5145,-3.4234,3,"school","mapping",2014.0,12.0,16.0,50,2,50,26,50,14,1,23225,0.04,0.52,0.28,0.6304,0.0,68,68,19,18
"BDI","BI",703.0,"",3480.0,"",29.378,-3.335,4,"","",1984.0,6.0,16.0,697,194,697,63,697,114,3,29166,0.2783357245337159,0.09038737446197992,0.16355810616929697,0.42540596099165984,0.0,73,73,21,20
"BDI","BI",714.0,6411.0,6411.0,"",29.74636111,-3.532416667,3,"school","mapping",2016.0,11.0,13.0,50,0,50,7,50,2,1,23542,0.0,0.14,0.04,0.16452830188679246,132.26798685576833,92,92,92,25
"BDI","BI",715.0,6413.0,6413.0,"",30.05902778,-2.787166667,3,"school","mapping",2016.0,12.0,14.0,50,0,50,4,50,7,1,23566,0.0,0.08,0.14,0.19698113207547172,5427.6856533871,93,93,93,26
"BDI","BI",715.0,6413.0,6413.0,"",30.02330556,-2.922305556,3,"school","mapping",2016.0,12.0,14.0,50,1,50,6,50,4,1,23567,0.02,0.12,0.08,0.19489811320754716,3074.8277582063156,94,94,94,27
"BDI","BI",715.0,6413.0,6413.0,"",29.99461111,-2.939888889,3,"school","mapping",2016.0,12.0,14.0,50,1,50,9,50,8,1,23568,0.02,0.18,0.16,0.30658113207547166,3747.609312633924,95,95,95,28
"BDI","BI",704.0,6385.0,6385.0,"",29.54527778,-3.760277778,3,"school","sentinel site",2017.0,6.0,15.0,120,0,120,16,120,0,1,23340,0.0,0.13333333333333333,0.0,0.12578616352201255,0.0,98,98,151,29
"BDI","BI",702.0,6377.0,6377.0,"",29.34833333,-3.296666667,3,"school","sentinel site",2017.0,6.0,15.0,120,2,120,1,120,4,1,23226,0.016666666666666666,0.008333333333333333,0.03333333333333333,0.05411862334032144,4756.803664637353,99,99,99,30
"BDI","BI",706.0,6388.0,6388.0,"",29.30416667,-2.971666667,3,"school","sentinel site",2017.0,6.0,15.0,120,0,120,1,120,1,1,23376,0.0,0.008333333333333333,0.008333333333333333,0.01565775681341719,5404.173381260157,100,100,100,31
"BDI","BI",704.0,6385.0,6385.0,"",29.513333330000002,-3.891388889,3,"school","sentinel site",2017.0,6.0,15.0,120,0,120,2,120,1,1,23341,0.0,0.016666666666666666,0.008333333333333333,0.023453878406708595,0.0,101,101,196,32
