iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
BEN,BJ,375,3262.0,3262,,,1.885303,6.396553,3,,mapping+lf-tas,2017,8.0,10.0,57.0,1.0,0.0,0.0,57.0,3.0,2.0,0.0,57.0,1.0,0.0,0.0,1,22309,0.017543859649122806,0.05263157894736842,0.017543859649122806,0.0807367815870623
BEN,BJ,375,3262.0,3262,,,1.885303,6.396553,3,,mapping+lf-tas,2017,8.0,10.0,57.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1,22311,0.017543859649122806,0.0,0.0,0.016550810989738495
BEN,BJ,375,3262.0,3262,,,1.885303,6.396553,3,,mapping+lf-tas,2017,8.0,10.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1,22310,0.0,0.0,0.0,0.0
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,18.0,2.0,0.0,80.0,5.0,5.0,0.0,80.0,0.0,0.0,0.0,1,22305,0.225,0.0625,0.0,0.25795990566037735
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,3.0,0.0,0.0,80.0,3.0,0.0,0.0,80.0,2.0,0.0,0.0,1,22308,0.0375,0.0375,0.025,0.09127727004716979
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,5.0,0.0,0.0,80.0,1.0,0.0,0.0,80.0,0.0,0.0,0.0,1,22307,0.0625,0.0125,0.0,0.07001768867924528
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,1.0,0.0,0.0,80.0,1.0,0.0,0.0,80.0,0.0,0.0,0.0,1,22306,0.0125,0.0125,0.0,0.0234375
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,12.0,0.0,0.0,80.0,0.0,1.0,0.0,80.0,0.0,0.0,0.0,1,22304,0.15,0.0,0.0,0.14150943396226412
BEN,BJ,373,3255.0,3255,,,1.684444,6.9045559999999995,3,,mapping+lf-tas,2017,8.0,10.0,133.0,42.0,0.0,0.0,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,1,22343,0.3157894736842105,0.0,0.0,0.2979145978152929
BEN,BJ,373,3255.0,3255,,,1.684444,6.9045559999999995,3,,mapping+lf-tas,2017,8.0,10.0,133.0,41.0,0.0,0.0,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,1,22344,0.3082706766917293,0.0,0.0,0.290821393105405
BEN,BJ,373,3255.0,3255,,,1.684444,6.9045559999999995,3,,mapping+lf-tas,2017,8.0,10.0,134.0,36.0,0.0,0.0,134.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,1,22345,0.26865671641791045,0.0,0.0,0.2534497324697268
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,30.0,0.0,0.0,67.0,23.0,8.0,0.0,67.0,0.0,0.0,0.0,1,22336,0.44776119402985076,0.34328358208955223,0.0,0.6012601033133403
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,15.0,0.0,0.0,67.0,14.0,7.0,0.0,67.0,1.0,0.0,0.0,1,22334,0.22388059701492538,0.208955223880597,0.014925373134328358,0.37284732246081803
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,4.0,0.0,0.0,67.0,14.0,9.0,0.0,67.0,0.0,0.0,0.0,1,22333,0.05970149253731343,0.208955223880597,0.0,0.24168092233846253
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,11.0,0.0,0.0,67.0,12.0,1.0,0.0,67.0,0.0,0.0,0.0,1,22335,0.16417910447761194,0.1791044776119403,0.0,0.29611166919555976
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,14.0,1.0,0.0,67.0,5.0,0.0,0.0,67.0,0.0,0.0,0.0,1,22332,0.208955223880597,0.07462686567164178,0.0,0.2528192604984091
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,10.0,0.0,0.0,67.0,1.0,0.0,0.0,67.0,0.0,0.0,0.0,1,22331,0.14925373134328357,0.014925373134328358,0.0,0.15278437438266282
BEN,BJ,373,3265.0,3265,,,1.910447,6.914883,3,,mapping+lf-tas,2017,8.0,10.0,133.0,26.0,0.0,0.0,133.0,9.0,2.0,0.0,133.0,0.0,0.0,0.0,1,22338,0.19548872180451127,0.06766917293233082,0.0,0.23578239114597385
BEN,BJ,373,3265.0,3265,,,1.910447,6.914883,3,,mapping+lf-tas,2017,8.0,10.0,133.0,12.0,0.0,0.0,133.0,4.0,0.0,0.0,133.0,1.0,0.0,0.0,1,22337,0.09022556390977443,0.03007518796992481,0.007518796992481203,0.11719045640002469
BEN,BJ,373,3265.0,3265,,,1.910447,6.914883,3,,mapping+lf-tas,2017,8.0,10.0,134.0,21.0,1.0,1.0,134.0,1.0,0.0,0.0,134.0,1.0,0.0,0.0,1,22339,0.15671641791044777,0.007462686567164179,0.007462686567164179,0.15967526051195954
BEN,BJ,373,3254.0,3254,,,1.726861,6.985417,3,,mapping+lf-tas,2017,8.0,10.0,50.0,8.0,0.0,0.0,50.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,1,22303,0.16,0.08,0.0,0.2143396226415094
BEN,BJ,373,3254.0,3254,,,1.726861,6.985417,3,,mapping+lf-tas,2017,8.0,10.0,48.0,9.0,0.0,0.0,48.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,1,22326,0.1875,0.020833333333333332,0.0,0.19285573899371067
BEN,BJ,373,3254.0,3254,,,1.726861,6.985417,3,,mapping+lf-tas,2017,8.0,10.0,49.0,18.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,1,22324,0.3673469387755102,0.0,0.02040816326530612,0.3587341752257314
