iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
CIV,CI,,,6553.0,abadjin doume,,-4.134,5.302,4,,,1980.0,5.0,15.0,108,98,108,88,108,104,3,30044,0.9074074074074074,0.8148148148148148,0.9629629629629629,0.9427971077426262
CIV,CI,1608.0,15329.0,15329.0,abidjan,,-4.032,5.334,3,,,1994.0,4.0,15.0,1001,63,1001,165,1001,234,3,28682,0.06293706293706294,0.16483516483516483,0.23376623376623376,0.37768293569096534
CIV,CI,1608.0,15329.0,15329.0,abidjan,,-4.032,5.334,3,,,1992.0,15.0,44.0,388,167,388,96,388,96,3,30052,0.43041237113402064,0.24742268041237114,0.24742268041237114,0.6390576992495338
CIV,CI,1609.0,15339.0,15339.0,abri 2000 2,,-3.9443,5.30547,3,school,mapping,2014.0,7.0,13.0,30,0,30,0,30,4,1,23838,0.0,0.0,0.13333333333333333,0.12578616352201255
CIV,CI,1611.0,15349.0,15349.0,adaou,,-4.85478,6.54992,3,school,mapping,2014.0,7.0,12.0,30,15,30,0,30,1,1,23923,0.5,0.0,0.03333333333333333,0.48742138364779863
CIV,CI,1618.0,15378.0,15378.0,aeeci pelezi 1,,-6.4854,7.16551,3,school,mapping,2014.0,7.0,14.0,32,6,32,0,32,0,1,24420,0.1875,0.0,0.0,0.17688679245283018
CIV,CI,1610.0,15342.0,15342.0,agboville,,-4.2230836,5.9354963,1,,,2001.0,5.0,15.0,360,54,360,20,360,49,2,30043,0.15,0.05555555555555555,0.1361111111111111,0.2891407523876077
CIV,CI,1619.0,15379.0,15379.0,agni extension,,-3.47577,6.7251,3,school,mapping,2014.0,7.0,13.0,31,2,31,0,31,0,1,24435,0.06451612903225806,0.0,0.0,0.06086427267194156
CIV,CI,1610.0,15346.0,15346.0,ahouaty,,-4.972778,6.109444,3,,,2010.0,40.0,83.0,8,6,8,0,8,2,1,28670,0.75,0.0,0.25,0.7665094339622641
CIV,CI,1609.0,15340.0,15340.0,aliodan 4,,-3.9631600000000002,5.30748,3,school,mapping,2014.0,7.0,13.0,33,0,33,2,33,16,1,23853,0.0,0.06060606060606061,0.48484848484848486,0.4868582913179825
CIV,CI,1611.0,,6568.0,alluminankro,,-5.0725,6.390278,4,,,2006.0,5.0,15.0,75,46,75,0,75,3,1,28688,0.6133333333333333,0.0,0.04,0.5932075471698113
