"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"GAB","GA",2060.0,20375.0,20375.0,11948.0,10.76233,1.00371,3,"","",2015.0,"","",32,0,32,24,32,28,1,5579,0.0,0.75,0.875,0.9139150943396226,3182.378567440579,0,0,0,1
"GAB","GA",2060.0,20375.0,20375.0,11949.0,10.789353,0.9943829999999999,1,"","",2015.0,"","",97,0,97,43,97,60,1,5576,0.0,0.44329896907216493,0.6185567010309279,0.7430661530409463,3182.378567440579,2,2,2,2
"GAB","GA",2060.0,20376.0,20376.0,11954.0,12.14867,2.13607,3,"","",2015.0,"","",45,0,45,23,45,30,1,5582,0.0,0.5111111111111111,0.6666666666666666,0.7896575821104121,2049.9219779374694,4,4,4,4
"GAB","GA",2053.0,20337.0,20337.0,12060.0,13.01148,-1.8263800000000001,3,"","",2015.0,"","",46,0,46,13,46,5,1,5381,0.0,0.2826086956521739,0.10869565217391304,0.34017548239825934,0.0,6,6,6,6
"GAB","GA",2053.0,20338.0,20338.0,11923.0,13.91634,-1.36617,3,"","",2015.0,"","",20,0,20,10,20,1,1,5389,0.0,0.5,0.05,0.4952830188679245,16006.638567337279,18,18,18,10
"GAB","GA",2053.0,20336.0,20336.0,12050.0,13.89741,-1.21274,3,"","",2015.0,"","",46,42,46,36,46,42,1,5371,0.9130434782608695,0.782608695652174,0.9130434782608695,0.941845480583887,9703.700484154379,19,19,19,11
"GAB","GA",2060.0,20375.0,20375.0,11950.0,10.68559,0.96235,3,"","",2015.0,"","",24,0,24,13,24,22,1,5578,0.0,0.5416666666666666,0.9166666666666666,0.9073637316561844,5227.159289476323,27,27,27,16
"GAB","GA",2060.0,20378.0,20378.0,12169.0,11.58814,1.6097700000000001,3,"","",2015.0,"","",49,7,49,6,49,29,1,5594,0.14285714285714285,0.12244897959183673,0.5918367346938775,0.6537594959871843,1061.1839074923028,51,51,51,22
"GAB","GA",2060.0,20375.0,20375.0,11952.0,10.5296115,0.8154355,1,"","",2015.0,"","",62,0,62,18,62,31,1,5575,0.0,0.2903225806451613,0.5,0.6086427267194157,23854.17739352347,54,54,54,23
"GAB","GA",2053.0,20341.0,20341.0,12151.0,14.42196,-1.4937,3,"","",2015.0,"","",8,4,8,6,8,6,1,5404,0.5,0.75,0.75,0.9139150943396226,21095.66248176081,59,59,59,26
"GAB","GA",2053.0,20337.0,20337.0,12064.0,12.97184,-1.93722,3,"","",2015.0,"","",10,0,10,1,10,2,1,5382,0.0,0.1,0.2,0.2641509433962264,13110.251487298236,63,63,63,28
"GAB","GA",2053.0,20343.0,20343.0,11989.0,13.7318129,-1.2265508,1,"","",2015.0,"","",12,0,12,0,12,0,1,5417,0.0,0.0,0.0,0.0,13494.972366380478,68,68,68,31
"GAB","GA",2053.0,20341.0,20341.0,12153.0,14.37418,-1.08325,3,"","",2015.0,"","",20,8,20,12,20,16,1,5403,0.4,0.6,0.8,0.8981132075471694,26126.632964927925,73,73,73,32
"GAB","GA",2053.0,20338.0,20338.0,11927.0,14.05405,-1.58752,3,"","",2015.0,"","",33,2,33,12,33,6,1,5390,0.06060606060606061,0.36363636363636365,0.18181818181818182,0.48197553265384213,21946.3349392408,76,76,76,33
"GAB","GA",2053.0,20340.0,20340.0,12078.0,13.59352,-1.63292,3,"","",2015.0,"","",48,1,48,16,48,16,1,5398,0.020833333333333332,0.3333333333333333,0.3333333333333333,0.5328441649196365,1549.5677120218575,81,81,81,35
"GAB","GA",2051.0,20330.0,20330.0,11995.0,9.44038,0.4052385,1,"","",2014.0,"","",46,0,46,1,46,2,1,5344,0.0,0.021739130434782608,0.043478260869565216,0.060634162000214,1552.2382803850244,82,82,82,36
"GAB","GA",2052.0,20328.0,20328.0,12100.0,9.58083,1.00211,3,"","",2014.0,"","",43,1,43,5,43,15,1,5333,0.023255813953488372,0.11627906976744186,0.3488372093023256,0.41314743616973554,525.7789655085772,83,83,83,37
"GAB","GA",2053.0,20340.0,20340.0,12079.0,13.60744,-1.63293,3,"","",2015.0,"","",47,0,47,6,47,3,1,5402,0.0,0.1276595744680851,0.06382978723404255,0.17296309266551071,1549.5677120218575,84,84,84,38
"GAB","GA",2052.0,20333.0,20333.0,11964.0,9.77094,0.30907,4,"","",2014.0,"","",44,4,44,2,44,19,1,5357,0.09090909090909091,0.045454545454545456,0.4318181818181818,0.47825439802673547,7237.43149919723,86,86,86,40
"GAB","GA",2059.0,20372.0,20372.0,11947.0,9.2613,-1.57062,3,"","",2015.0,"","",50,4,50,7,50,7,1,5558,0.08,0.14,0.14,0.3014792452830189,0.0,89,89,82,36
"GAB","GA",2059.0,20372.0,20372.0,11946.0,9.2613,-1.57062,3,"","",2014.0,"","",50,4,50,7,50,7,1,5559,0.08,0.14,0.14,0.3014792452830189,0.0,90,90,81,35
"GAB","GA",2056.0,20359.0,20359.0,11936.0,10.92565842,-2.632749474,3,"","",2015.0,"","",69,0,69,21,69,31,1,5507,0.0,0.30434782608695654,0.4492753623188406,0.5819690646883284,0.0,93,93,86,40
"GAB","GA",2056.0,20362.0,20362.0,12072.0,11.00353,-2.91636,3,"","",2015.0,"","",42,0,42,7,42,3,1,5515,0.0,0.16666666666666666,0.07142857142857142,0.21338724168912843,1272.1954822133146,98,98,98,44
"GAB","GA",2056.0,20362.0,20362.0,12073.0,10.99288,-2.9205,3,"","",2015.0,"","",49,0,49,7,49,8,1,5514,0.0,0.14285714285714285,0.16326530612244897,0.2667913526596622,1220.7426923955923,99,99,99,45
"GAB","GA",2056.0,20359.0,20359.0,11938.0,10.92673,-2.44534,3,"","",2015.0,"","",50,0,50,18,50,11,1,5508,0.0,0.36,0.22,0.4724528301886791,1479.0389257246989,100,100,100,46
"GAB","GA",2056.0,20362.0,20362.0,12074.0,10.98487,-2.91302,3,"","",2015.0,"","",47,0,47,5,47,11,1,5513,0.0,0.10638297872340426,0.23404255319148937,0.2976673471305209,1220.7426923955923,101,101,101,47
"GAB","GA",2055.0,20349.0,20349.0,12040.0,11.598700000000001,-2.35051,3,"","",2015.0,"","",48,14,48,34,48,39,1,5464,0.2916666666666667,0.7083333333333334,0.8125,0.9068519064465409,12038.372892564397,104,104,104,48
"GAB","GA",2052.0,20333.0,20333.0,11965.0,9.81959,0.38293000000000005,4,"","",2014.0,"","",42,3,42,4,42,18,1,5361,0.07142857142857142,0.09523809523809523,0.42857142857142855,0.4904926930340867,5231.341549563284,107,107,107,49
"GAB","GA",2057.0,20364.0,20364.0,11959.0,13.22416,0.31776000000000004,3,"","",2015.0,"","",51,0,51,40,51,31,1,5525,0.0,0.7843137254901961,0.6078431372549019,0.8636010823123181,49149.19615056124,108,108,108,50
"GAB","GA",2058.0,20369.0,20369.0,12080.0,12.66614,-0.88402,3,"","",2015.0,"","",42,0,42,3,42,6,1,5546,0.0,0.07142857142857142,0.14285714285714285,0.19252984212552943,9886.067471844568,109,109,109,51
"GAB","GA",2056.0,20359.0,20359.0,11939.0,10.91346,-2.446,3,"","",2015.0,"","",48,0,48,18,48,15,1,5505,0.0,0.375,0.3125,0.5380306603773585,1479.0389257246989,115,115,115,52
"GAB","GA",2059.0,20371.0,20371.0,12095.0,11.5,-2.2669385,1,"","",2015.0,"","",41,0,41,0,41,9,1,5556,0.0,0.0,0.21951219512195122,0.20708697653014263,6799.226185128041,117,117,117,53
"GAB","GA",2054.0,20347.0,20347.0,11891.0,10.48581,-0.27390000000000003,3,"","",2014.0,"","",50,12,50,16,50,28,1,5449,0.24,0.32,0.56,0.7288754716981132,0.0,119,119,102,55
"GAB","GA",2057.0,20364.0,20364.0,103059.0,12.68767,0.0,4,"","",2015.0,7.0,0.0,25,1,25,7,25,3,1,667,0.04,0.28,0.12,0.36956981132075467,60850.02549885934,120,120,120,56
"GAB","GA",2059.0,20371.0,20371.0,12096.0,10.03172,-2.72215,3,"","",2015.0,"","",49,0,49,8,49,14,1,5554,0.0,0.16326530612244897,0.2857142857142857,0.3795588316189008,1315.3085439018994,121,121,121,57
"GAB","GA",2058.0,20367.0,20367.0,12115.0,11.89337,-1.00027,3,"","",2015.0,"","",45,0,45,28,45,20,1,5537,0.0,0.6222222222222222,0.4444444444444444,0.7453994875378522,0.0,122,122,107,49
"GAB","GA",2058.0,20370.0,20370.0,12020.0,12.62921,-1.6688100000000001,3,"","",2015.0,"","",109,0,109,44,109,12,1,5551,0.0,0.4036697247706422,0.11009174311926606,0.4427554379673904,18263.21451640949,124,124,124,58
"GAB","GA",2059.0,20371.0,20371.0,12097.0,10.02098,-2.7270700000000003,3,"","",2015.0,"","",47,0,47,13,47,17,1,5555,0.0,0.2765957446808511,0.3617021276595745,0.507785474516771,726.3515485460259,125,125,125,59
"GAB","GA",2058.0,20367.0,20367.0,12112.0,11.82352,-1.2223600000000001,4,"","",2014.0,"","",118,0,118,76,118,66,1,5533,0.0,0.6440677966101694,0.559322033898305,0.795423132584976,0.0,127,127,110,61
"GAB","GA",2058.0,20368.0,20368.0,12016.0,12.47637,-1.1436,3,"","",2015.0,"","",108,1,108,8,108,11,1,5540,0.009259259259259259,0.07407407407407407,0.10185185185185185,0.16611463872185459,18731.45514139939,129,129,129,62
"GAB","GA",2058.0,20369.0,20369.0,12081.0,12.99685,-1.24106,3,"","",2015.0,"","",25,0,25,4,25,5,1,5543,0.0,0.16,0.2,0.3094339622641509,35464.635110723044,130,130,130,63
"GAB","GA",2058.0,20369.0,20369.0,12082.0,12.7263,-0.8187000000000001,3,"","",2015.0,"","",85,0,85,5,85,5,1,5547,0.0,0.058823529411764705,0.058823529411764705,0.10772344453874778,9886.067471844568,131,131,131,64
"GAB","GA",2058.0,20367.0,20367.0,12117.0,12.0077,-1.41864,4,"","",2015.0,"","",28,0,28,18,28,22,1,5539,0.0,0.6428571428571429,0.7857142857142857,0.8711975356180207,0.0,132,132,116,65
"GAB","GA",2058.0,20367.0,20367.0,12113.0,12.0077,-1.41864,4,"","",2014.0,"","",29,0,29,18,29,22,1,5535,0.0,0.6206896551724138,0.7586206896551724,0.8570210665649608,0.0,133,133,115,52
"GAB","GA",2059.0,20371.0,20371.0,12098.0,10.01951,-2.72072,3,"","",2015.0,"","",50,0,50,15,50,12,1,5557,0.0,0.3,0.24,0.4415094339622641,88.21718589426783,136,136,136,67
"GAB","GA",2058.0,20370.0,20370.0,12022.0,12.65953,-1.82997,3,"","",2015.0,"","",17,0,17,16,17,13,1,5548,0.0,0.9411764705882353,0.7647058823529411,0.9303388391982763,18263.21451640949,138,138,138,69
"GAB","GA",2052.0,20329.0,20329.0,11970.0,10.0875,0.19924000000000003,3,"","",2014.0,"","",49,0,49,4,49,10,1,5340,0.0,0.08163265306122448,0.20408163265306123,0.25382505716957554,3215.6299910656007,139,139,139,70
"GAB","GA",2058.0,20368.0,20368.0,12017.0,12.55508,-1.38042,3,"","",2014.0,"","",20,0,20,14,20,4,1,5541,0.0,0.7,0.2,0.7169811320754715,5455.6870106615115,140,140,140,71
"GAB","GA",2058.0,20368.0,20368.0,12018.0,12.36376,-1.4487,3,"","",2015.0,"","",30,4,30,24,30,27,1,5542,0.13333333333333333,0.8,0.9,0.9270440251572327,22614.122135809583,141,141,141,72
"GAB","GA",2058.0,20367.0,20367.0,12114.0,12.15147,-1.38828,3,"","",2014.0,"","",2,0,2,2,2,1,1,5538,0.0,1.0,0.5,0.9433962264150942,0.0,144,144,125,59
