iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
GIN,GN,2283.0,22619.0,22619.0,almamya,12219.0,-13.7117334,9.5110054,1,,,2013.0,,,50,2,,,50,6,,,50,2,,,1,5704,0.04,0.12,0.04,0.17829433962264152
GIN,GN,2279.0,22615.0,22615.0,banian,52701.0,-10.5380494,9.5979848,1,,,1990.0,,,44,9,,,44,6,,,44,2,,,3,5700,0.20454545454545456,0.13636363636363635,0.045454545454545456,0.324757594658577
GIN,GN,2284.0,22620.0,22620.0,bankalan,,-9.23485,10.57345,1,,,1996.0,7.0,12.0,49,5,,,49,7,,,49,1,,,3,30285,0.10204081632653061,0.14285714285714285,0.02040816326530612,0.23210230238748222
GIN,GN,2292.0,22628.0,22628.0,belemou,12234.0,-9.46667,7.41667,1,,,2013.0,,,50,5,,,50,1,,,50,9,,,1,19223,0.1,0.02,0.18,0.2610943396226415
GIN,GN,2272.0,22606.0,22606.0,bok?ac,52697.0,-14.296,10.94,3,,,1995.0,,,100,64,,,100,0,,,100,7,,,3,5689,0.64,0.0,0.07,0.6275471698113207
GIN,GN,2272.0,22606.0,22606.0,boke,,-14.296,10.94,3,,,1995.0,5.0,18.0,100,64,,,100,0,,,100,7,,,3,30276,0.64,0.0,0.07,0.6275471698113207
GIN,GN,2297.0,22633.0,22633.0,bonfi port,12244.0,-13.6420778,9.560877,2,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,19228,0.0,0.0,0.0,0.0
GIN,GN,2277.0,22613.0,22613.0,camayene plage,12199.0,-13.689522,9.5308,1,,,2013.0,,,50,2,,,50,2,,,50,3,,,1,19201,0.04,0.04,0.06,0.12612830188679244
GIN,GN,2283.0,22619.0,22619.0,centre,12220.0,-13.63983,9.602881,1,,,2013.0,,,50,1,,,50,4,,,50,0,,,1,19210,0.02,0.08,0.0,0.09283018867924528
GIN,GN,2301.0,22637.0,22637.0,cobaya,12254.0,-13.602567,9.661433,1,,,2013.0,,,50,0,,,50,2,,,50,1,,,1,19233,0.0,0.04,0.02,0.055849056603773574
GIN,GN,2292.0,22628.0,22628.0,didita,12235.0,-8.51139,7.9475,3,,,2013.0,,,50,12,,,50,0,,,50,0,,,1,5713,0.24,0.0,0.0,0.22641509433962262
GIN,GN,2275.0,22611.0,22611.0,ditinn,,-12.17645,10.87902,1,,,1996.0,7.0,12.0,44,2,,,44,2,,,44,8,,,3,30286,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.2401017818918957
GIN,GN,2277.0,22613.0,22613.0,dixinn gare i,12201.0,-13.672011,9.550278,1,,,2013.0,,,50,0,,,50,4,,,50,3,,,1,19197,0.0,0.08,0.06,0.12754716981132075
GIN,GN,2277.0,22613.0,22613.0,dixinn gare rail,12202.0,-13.672011,9.550278,1,,,2013.0,,,50,1,,,50,7,,,50,3,,,1,19200,0.02,0.14,0.06,0.19600754716981128
GIN,GN,2273.0,22609.0,22609.0,e.p . toguiron,12195.0,-13.350945,9.653233,1,,,2013.0,,,50,5,,,50,0,,,50,0,,,1,5695,0.1,0.0,0.0,0.09433962264150943
GIN,GN,2281.0,22617.0,22617.0,e.p. baguinet,12210.0,-13.521009,10.4998591,3,,,2013.0,,,50,1,,,50,0,,,50,0,,,1,5702,0.02,0.0,0.0,0.018867924528301886
GIN,GN,2272.0,22605.0,22605.0,e.p. balandougou,12184.0,-14.409705,10.854989,1,,,2013.0,,,50,3,,,50,0,,,50,0,,,1,5684,0.06,0.0,0.0,0.056603773584905655
GIN,GN,2272.0,22605.0,22605.0,e.p. bigori i,12185.0,-14.48333,10.51667,3,,,2013.0,,,50,6,,,50,0,,,50,0,,,1,5685,0.12,0.0,0.0,0.11320754716981131
GIN,GN,2278.0,22614.0,22614.0,e.p. dixinn,12206.0,-13.239722,9.551111,1,,,2013.0,,,50,1,,,50,0,,,50,0,,,1,19203,0.02,0.0,0.0,0.018867924528301886
GIN,GN,2273.0,22609.0,22609.0,e.p. kouriah,12196.0,-13.3486213,9.7769382,1,,,2013.0,,,50,5,,,50,0,,,50,0,,,1,5694,0.1,0.0,0.0,0.09433962264150943
GIN,GN,2272.0,22605.0,22605.0,e.p. thia,12188.0,-14.06667,10.18333,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,5686,0.0,0.0,0.0,0.0
GIN,GN,2281.0,22617.0,22617.0,e.p. tormelin,12213.0,-13.7202285,10.298578299999999,1,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,5701,0.0,0.0,0.0,0.0
GIN,GN,2286.0,22622.0,22622.0,ep bangouyah centre,12224.0,-12.95,10.333333,1,,,2013.0,,,50,15,,,50,14,,,50,8,,,1,19215,0.3,0.28,0.16,0.5439999999999999
GIN,GN,2272.0,22608.0,22608.0,ep guingan,12229.0,-12.9234073,12.370695,1,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,5691,0.0,0.0,0.0,0.0
GIN,GN,2291.0,22627.0,22627.0,ep komba centre,12240.0,-12.513431,11.7426368,3,,,2013.0,,,50,17,,,50,22,,,50,12,,,1,5711,0.34,0.44,0.24,0.6783999999999999
GIN,GN,2291.0,22627.0,22627.0,ep ley lagui,12241.0,-11.480378,11.518839,2,,,2013.0,,,50,15,,,50,27,,,50,14,,,1,19218,0.3,0.54,0.28,0.7246792452830189
GIN,GN,2272.0,22608.0,22608.0,ep sambailo,12232.0,-13.367393,12.5733522,1,,,2013.0,,,50,4,,,50,2,,,50,0,,,1,5692,0.08,0.04,0.0,0.11018867924528301
GIN,GN,2272.0,22608.0,22608.0,ep tabadel,12233.0,-13.25,12.416667,1,,,2013.0,,,50,2,,,50,2,,,50,0,,,1,5693,0.04,0.04,0.0,0.07396226415094338
GIN,GN,2299.0,22635.0,22635.0,ep/gbily,,-8.850999999999999,7.851,3,,,1996.0,7.0,12.0,50,25,,,50,8,,,50,9,,,3,30306,0.5,0.16,0.18,0.6184905660377358
GIN,GN,2279.0,22615.0,22615.0,faranah,,-10.7492466,10.0451022,1,,,1995.0,5.0,18.0,100,43,,,100,1,,,100,2,,,3,30280,0.43,0.01,0.02,0.42168490566037725
GIN,GN,2283.0,22619.0,22619.0,frederic mayor,12221.0,-13.5784012,9.6411855,2,,,2013.0,,,50,0,,,50,2,,,50,2,,,1,19211,0.0,0.04,0.04,0.07396226415094338
GIN,GN,2283.0,22619.0,22619.0,gare,12222.0,-13.5953246,9.6227792,2,,,2013.0,,,50,2,,,50,2,,,50,1,,,1,5705,0.04,0.04,0.02,0.0913509433962264
GIN,GN,2305.0,22641.0,22641.0,gbamou,12265.0,-9.0646159,7.473378,1,,,2013.0,,,50,8,,,50,1,,,50,0,,,1,5730,0.16,0.02,0.0,0.16679245283018865
GIN,GN,2284.0,22620.0,22620.0,kankan,,-9.3118282,10.3827887,1,,,1995.0,5.0,18.0,100,26,,,100,4,,,100,9,,,3,30278,0.26,0.04,0.09,0.3335245283018868
GIN,GN,2277.0,22613.0,22613.0,kaporo,,-13.645967,9.612105,1,,,1996.0,7.0,12.0,50,1,,,50,24,,,50,28,,,3,30294,0.02,0.48,0.56,0.7318641509433962
GIN,GN,2301.0,22637.0,22637.0,kaporo,12255.0,-13.645967,9.612105,1,,,2013.0,,,50,0,,,50,2,,,50,2,,,1,19235,0.0,0.04,0.04,0.07396226415094338
GIN,GN,2284.0,22620.0,22620.0,karfarmouria,,-9.2670002,10.418,3,,,1996.0,7.0,12.0,50,5,,,50,10,,,50,1,,,3,30302,0.1,0.2,0.02,0.27773584905660376
GIN,GN,2301.0,22637.0,22637.0,kobaya,,-13.602567,9.661433,1,,,1996.0,7.0,12.0,50,6,,,50,22,,,50,26,,,3,30298,0.12,0.44,0.52,0.7202415094339623
GIN,GN,2298.0,22634.0,22634.0,kochiro(enta),12249.0,-13.5784012,9.6411855,2,,,2013.0,,,50,0,,,50,1,,,50,1,,,1,19230,0.0,0.02,0.02,0.03735849056603773
GIN,GN,2292.0,22628.0,22628.0,kokota,12236.0,-8.493729,7.909157,1,,,2013.0,,,50,20,,,50,1,,,50,1,,,1,5712,0.4,0.02,0.02,0.3997735849056603
GIN,GN,2272.0,22606.0,22606.0,kolia,12191.0,-14.05121,10.41398,1,,,2013.0,,,50,3,,,50,0,,,50,0,,,1,5688,0.06,0.0,0.0,0.056603773584905655
GIN,GN,2299.0,22635.0,22635.0,koumou,,-8.818,7.833,3,,,1996.0,7.0,12.0,50,10,,,50,9,,,50,6,,,3,30290,0.2,0.18,0.12,0.3987924528301886
GIN,GN,2290.0,22626.0,22626.0,lab?ac,52707.0,-12.3,11.324,3,,,1995.0,,,100,38,,,100,3,,,100,1,,,3,5710,0.38,0.03,0.01,0.3817113207547169
GIN,GN,2290.0,22626.0,22626.0,labe,,-12.3,11.324,3,,,1995.0,5.0,18.0,100,38,,,100,3,,,100,1,,,3,30277,0.38,0.03,0.01,0.3817113207547169
GIN,GN,2298.0,22634.0,22634.0,lansanaya village,12250.0,-13.531655,9.6586,1,,,2013.0,,,49,0,,,49,0,,,49,1,,,1,5718,0.0,0.0,0.02040816326530612,0.01925298421255294
GIN,GN,2293.0,22629.0,22629.0,macenta,,-9.4728244,8.538294,1,,,1995.0,5.0,18.0,100,71,,,100,27,,,100,19,,,3,30273,0.71,0.27,0.19,0.781625471698113
GIN,GN,2272.0,22607.0,22607.0,madina guiledji,12218.0,-13.485017,11.746433,1,,,2013.0,,,50,7,,,50,3,,,50,0,,,1,5690,0.14,0.06,0.0,0.18075471698113207
GIN,GN,2297.0,22633.0,22633.0,madina port ii,12247.0,-13.5784012,9.6411855,2,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,19226,0.0,0.0,0.0,0.0
GIN,GN,2300.0,22636.0,22636.0,misside hinde,,-12.184283,10.920561,2,,,1996.0,7.0,12.0,38,27,,,38,0,,,38,8,,,3,30312,0.7105263157894737,0.0,0.21052631578947367,0.7278001358908691
GIN,GN,2299.0,22635.0,22635.0,n'z?acr?ackor?ac,52714.0,-8.8252502,7.7478359,1,,,1995.0,,,100,51,,,100,32,,,100,15,,,3,5724,0.51,0.32,0.15,0.6762075471698112
GIN,GN,2299.0,22635.0,22635.0,n'zerekore,,-8.819,7.756,3,,,1995.0,5.0,18.0,100,51,,,100,32,,,100,15,,,3,30274,0.51,0.32,0.15,0.6762075471698112
GIN,GN,2293.0,22629.0,22629.0,n'zoyaro,,-9.401,8.568,3,,,1996.0,7.0,12.0,39,15,,,39,18,,,39,9,,,3,30282,0.38461538461538464,0.46153846153846156,0.23076923076923078,0.7029310981527125
GIN,GN,2277.0,22613.0,22613.0,nango,,-13.6339206,9.6157696,1,,,1996.0,7.0,12.0,50,0,,,50,19,,,50,13,,,3,30283,0.0,0.38,0.26,0.510566037735849
GIN,GN,2298.0,22634.0,22634.0,sangoya,12251.0,-13.583333,9.616667,1,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,5719,0.0,0.0,0.0,0.0
GIN,GN,2301.0,22637.0,22637.0,sonfonia,,-13.5819739,9.680726,1,,,1996.0,7.0,12.0,47,4,,,47,25,,,47,3,,,3,30288,0.0851063829787234,0.5319148936170213,0.06382978723404255,0.5651763278540636
GIN,GN,2301.0,22637.0,22637.0,sonfonia ii,12257.0,-13.5819739,9.680726,1,,,2013.0,,,50,0,,,50,1,,,50,0,,,1,5726,0.0,0.02,0.0,0.018867924528301886
GIN,GN,2298.0,22634.0,22634.0,symbaya i,12252.0,-13.634389,9.609933,1,,,2013.0,,,50,0,,,50,5,,,50,2,,,1,5720,0.0,0.1,0.04,0.12830188679245283
GIN,GN,2301.0,22637.0,22637.0,taouyah,12258.0,-13.6573154,9.579502699999999,2,,,2013.0,,,50,3,,,50,5,,,50,2,,,1,19234,0.06,0.1,0.04,0.1772075471698113
GIN,GN,2299.0,22635.0,22635.0,teaye,,-8.834,7.884,3,,,1996.0,7.0,12.0,50,2,,,50,10,,,50,7,,,3,30293,0.04,0.2,0.14,0.3203018867924528
GIN,GN,2282.0,22618.0,22618.0,tekoulo,52703.0,-9.9534933,8.5438423,1,,,1990.0,,,36,18,,,36,18,,,36,3,,,3,5703,0.5,0.5,0.08333333333333333,0.7272012578616351
GIN,GN,2272.0,22605.0,22605.0,thia,,-14.0667,10.1833,3,,,1996.0,7.0,12.0,50,17,,,50,28,,,50,14,,,3,30289,0.34,0.56,0.28,0.746143396226415
GIN,GN,2283.0,22619.0,22619.0,tombo ii,12223.0,-13.71,9.51,1,,,2013.0,,,50,2,,,50,4,,,50,3,,,1,5706,0.04,0.08,0.06,0.16018113207547172
GIN,GN,2297.0,22633.0,22633.0,touguiwondy,12248.0,-13.6568497,9.5459096,2,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,19225,0.0,0.0,0.0,0.0
GIN,GN,2292.0,22628.0,22628.0,woroyapo,12238.0,-8.8179,7.75624,1,,,2013.0,,,50,7,,,50,3,,,50,2,,,1,19222,0.14,0.06,0.04,0.21126037735849057
GIN,GN,2301.0,22637.0,22637.0,yattaya,,-13.5856891,9.6689394,1,,,1996.0,7.0,12.0,49,5,,,49,34,,,49,18,,,3,30284,0.10204081632653061,0.6938775510204082,0.3673469387755102,0.7793328957242017
GIN,GN,2293.0,22629.0,22629.0,zimodou,,-9.38355,8.512917,1,,,1996.0,7.0,12.0,40,27,,,40,19,,,40,6,,,3,30304,0.675,0.475,0.15,0.8065742924528302
