"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"LBR","LR",2756,0,26828,"",-10.68462,6.36508,3,"","mapping",2015.0,10.0,14.0,50,3,50,8,50,0,1,25719,0.06,0.16,0.0,0.19849056603773582,0.0,1,1,1,1
"LBR","LR",2747,0,26819,"",-9.45948,7.1165,3,"","mapping",2012.0,10.0,14.0,30,14,30,7,30,8,1,24984,0.4666666666666667,0.23333333333333334,0.26666666666666666,0.6605171208944793,0.0,3,3,3,3
"LBR","LR",2752,0,26824,"",-8.166228,4.670428,3,"","mapping",2015.0,10.0,14.0,50,0,50,44,50,0,1,25467,0.0,0.88,0.0,0.830188679245283,0.0,5,5,5,4
"LBR","LR",2747,0,26819,"",-9.563790000000001,7.01037,3,"","sentinel site",2012.0,4.0,15.0,124,37,124,41,124,1,1,24985,0.29838709677419356,0.33064516129032256,0.008064516129032258,0.5039238970171439,0.0,8,8,8,6
"LBR","LR",2757,0,26829,"",-8.9032497,7.2118611,3,"","mapping",2012.0,10.0,14.0,30,4,30,0,30,0,1,25745,0.13333333333333333,0.0,0.0,0.12578616352201255,0.0,12,12,12,8
"LBR","LR",2755,0,26827,"",-7.713889,4.375833,3,"","mapping",2015.0,10.0,13.0,15,3,15,7,15,1,1,25684,0.2,0.4666666666666667,0.06666666666666667,0.5677148846960168,0.0,18,18,18,11
"LBR","LR",2759,0,26831,"",-8.01333,5.23296,3,"","mapping",2013.0,10.0,15.0,30,0,30,6,30,0,1,26108,0.0,0.2,0.0,0.18867924528301885,211.08928397377187,20,20,20,12
"LBR","LR",2754,0,26826,54644.0,-10.37016667,6.246305556,3,"","",2012.0,"","",30,2,30,1,30,1,1,8247,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.12061495457721871,0.0,22,22,20,12
"LBR","LR",2751,0,26823,"",-8.14043,6.0545,3,"","mapping",2013.0,8.0,14.0,30,4,30,5,30,3,1,25379,0.13333333333333333,0.16666666666666666,0.1,0.330188679245283,749.4659472427151,23,23,23,14
"LBR","LR",2746,0,26818,"",-10.885580000000001,6.59872,3,"","mapping",2013.0,10.0,14.0,30,8,30,10,30,1,1,24923,0.26666666666666666,0.3333333333333333,0.03333333333333333,0.4975541579315164,1795.5694195802007,27,27,27,17
"LBR","LR",2748,0,26820,"",-10.532424,7.4659822,1,"","mapping",2013.0,10.0,14.0,30,0,30,0,30,0,1,25180,0.0,0.0,0.0,0.0,13336.599507260586,28,28,28,18
"LBR","LR",2759,0,26831,"",-7.88258,5.1964,3,"","mapping",2013.0,10.0,15.0,30,0,30,2,30,0,1,26109,0.0,0.06666666666666667,0.0,0.06289308176100628,36.88702464476228,29,29,29,19
"LBR","LR",2752,0,26824,"",-7.929604,4.501832,3,"","mapping",2015.0,10.0,14.0,50,0,50,44,50,0,1,25468,0.0,0.88,0.0,0.830188679245283,0.0,30,30,30,20
"LBR","LR",2752,0,26824,"",-7.929604,4.501832,3,"","mapping",2015.0,10.0,14.0,50,0,50,0,50,0,1,22389,0.0,0.0,0.0,0.0,0.0,31,31,29,19
