"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"LSO","LS",2645,0,25817,12683,28.2860556,-29.5214087,1,"","",2015.0,"","",50,0,50,33,50,0,1,8778,0.0,0.66,0.0,0.6226415094339622,11122.855237742111,0,0,0,1
"LSO","LS",2637,0,25809,12643,28.4142816,-28.8153166,1,"","",2015.0,"","",50,0,50,3,50,49,1,8740,0.0,0.06,0.98,0.9256603773584905,4297.758350326525,1,1,1,2
"LSO","LS",2641,0,25813,12663,28.2009172,-30.0346778,1,"","",2015.0,"","",50,0,50,22,50,0,1,8759,0.0,0.44,0.0,0.4150943396226415,20242.858460339132,2,2,2,3
"LSO","LS",2644,0,25816,12678,27.8475881,-30.2827949,1,"","",2015.0,"","",50,0,50,28,50,0,1,8774,0.0,0.56,0.0,0.5283018867924528,17363.09508480434,3,3,3,4
"LSO","LS",2636,0,25808,12638,27.55,-29.3147222,1,"","",2015.0,"","",51,0,51,17,51,2,1,8735,0.0,0.3333333333333333,0.0392156862745098,0.3391293624367986,4573.238175091237,4,4,4,5
"LSO","LS",2639,0,25811,12653,27.68781667,-29.836561670000002,4,"","",2015.0,"","",50,1,50,5,50,0,1,8751,0.02,0.1,0.0,0.11132075471698112,10406.48907824338,5,5,5,6
"LSO","LS",2637,0,25809,12644,28.56093833,-28.949185,3,"","",2015.0,"","",50,1,50,10,50,49,1,8738,0.02,0.2,0.98,0.9286037735849055,23334.14827491587,6,6,6,7
"LSO","LS",2637,0,25809,12645,28.51622,-28.61582167,3,"","",2015.0,"","",50,0,50,5,50,50,1,8741,0.0,0.1,1.0,0.9433962264150942,24148.837360210855,7,7,7,8
"LSO","LS",2645,0,25817,12684,28.24846,-29.44082,3,"","",2015.0,"","",50,0,50,23,50,0,1,8779,0.0,0.46,0.0,0.43396226415094336,11122.855237742111,8,8,8,9
"LSO","LS",2640,0,25812,12658,27.46531167,-29.67301,3,"","",2015.0,"","",50,0,50,2,50,0,1,8754,0.0,0.04,0.0,0.03773584905660377,16744.81268879426,9,9,9,10
"LSO","LS",2645,0,25817,12685,28.60043333,-29.275685,3,"","",2015.0,"","",50,0,50,30,50,0,1,8782,0.0,0.6,0.0,0.5660377358490565,29684.502473016477,10,10,10,11
"LSO","LS",2639,0,25811,12654,27.0498741,-29.6416632,1,"","",2015.0,"","",50,0,50,10,50,0,1,8748,0.0,0.2,0.0,0.18867924528301885,46420.305406227664,11,11,11,12
"LSO","LS",2641,0,25813,12665,28.41714833,-29.924995,3,"","",2015.0,"","",50,0,50,18,50,1,1,8760,0.0,0.36,0.02,0.3516981132075471,17850.4044829987,12,12,12,13
"LSO","LS",2638,0,25810,12649,28.29657,-29.06459,3,"","",2015.0,"","",50,0,50,13,50,46,1,8746,0.0,0.26,0.92,0.8875471698113208,15598.515331353583,13,13,13,14
"LSO","LS",2636,0,25808,12639,28.07141,-29.18597833,3,"","",2015.0,"","",50,0,50,15,50,0,1,8737,0.0,0.3,0.0,0.28301886792452824,27182.809372905598,14,14,14,15
"LSO","LS",2641,0,25813,12667,27.42553,-30.24401,3,"","",2015.0,"","",50,0,50,17,50,0,1,8762,0.0,0.34,0.0,0.32075471698113206,36807.44698858557,15,15,15,16
"LSO","LS",2645,0,25817,12686,28.81566,-29.74286333,3,"","",2015.0,"","",50,0,50,30,50,0,1,8781,0.0,0.6,0.0,0.5660377358490565,31664.258415900873,16,16,16,17
"LSO","LS",2643,0,25815,12673,28.47742,-29.5622,4,"","",2015.0,"","",50,2,50,22,50,33,1,8769,0.04,0.44,0.66,0.7709584905660377,16345.73391458302,17,17,17,18
"LSO","LS",2639,0,25811,12655,27.6609551,-29.9142034,1,"","",2015.0,"","",50,1,50,6,50,0,1,8752,0.02,0.12,0.0,0.12981132075471694,10406.48907824338,18,18,18,19
"LSO","LS",2644,0,25816,12679,28.03314,-30.14228,3,"","",2015.0,"","",50,0,50,39,50,0,1,8777,0.0,0.78,0.0,0.7358490566037735,18102.208417837708,20,20,20,21
"LSO","LS",2636,0,25808,12640,27.5005643,-29.3043298,1,"","",2015.0,"","",50,0,50,19,50,0,1,8736,0.0,0.38,0.0,0.3584905660377358,3563.957672262858,21,21,21,22
"LSO","LS",2636,0,25808,12641,27.85626333,-29.28676167,3,"","",2015.0,"","",52,0,52,2,52,2,1,8733,0.0,0.038461538461538464,0.038461538461538464,0.07117338394551748,17930.780955137416,22,22,22,23
"LSO","LS",2642,0,25814,12669,29.0797,-29.11177,3,"","",2015.0,"","",55,0,55,9,55,0,1,8765,0.0,0.16363636363636364,0.0,0.1543739279588336,10107.297563950933,23,23,23,24
"LSO","LS",2644,0,25816,12680,27.7080133,-30.4015687,1,"","",2015.0,"","",50,0,50,12,50,0,1,8775,0.0,0.24,0.0,0.22641509433962262,21820.273206944687,24,24,24,25
"LSO","LS",2636,0,25808,12642,27.97607167,-28.95564333,3,"","",2015.0,"","",50,0,50,20,50,0,1,8734,0.0,0.4,0.0,0.3773584905660377,26549.148178549473,25,25,25,26
"LSO","LS",2637,0,25809,12646,28.44581,-28.79579167,3,"","",2015.0,"","",50,0,50,8,50,50,1,8739,0.0,0.16,1.0,0.9433962264150941,4297.758350326525,26,26,26,27
"LSO","LS",2638,0,25810,12651,28.2143063,-28.9653924,3,"","",2015.0,"","",50,0,50,36,50,44,1,8745,0.0,0.72,0.88,0.9116981132075472,15598.515331353583,28,28,28,28
