iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
MRT,MR,3226.0,31058.0,31058.0,adelbegrou,13381.0,-7.033361111,15.53516667,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,9514
MRT,MR,3227.0,31067.0,31067.0,agargar,13505.0,-10.36677778,16.15180556,3,,,2015,,,109,2,,,109,2,,,109,0,,,1,9547
MRT,MR,3227.0,31067.0,31067.0,agarghar,13506.0,-10.36677778,16.15175,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,9545
MRT,MR,3221.0,31043.0,31043.0,aghmamine   ecole aghmamine,13438.0,-11.5499999,15.8666667,3,,,2015,,,50,1,,,50,1,,,50,0,,,1,9501
MRT,MR,3221.0,31043.0,31043.0,aguamine,13439.0,-11.52701,15.92703,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,9497
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville,13377.0,-14.3879205,19.7461122,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,9553
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville   ecole 1,13373.0,-14.3883752,19.7461659,1,,,2015,,,50,3,,,50,1,,,50,0,,,1,9551
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville   ecole 4,13374.0,-14.3856927,19.7503366,1,,,2015,,,26,0,,,26,0,,,26,0,,,1,9550
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville   ecole 5,13375.0,-14.3879205,19.7461122,1,,,2015,,,49,2,,,49,0,,,49,0,,,1,9548
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville   ecole 8,13376.0,-14.3879205,19.7461122,1,,,2015,,,47,1,,,47,0,,,47,0,,,1,9549
MRT,MR,3228.0,31068.0,31068.0,al asma,13378.0,-14.38319444,19.74536111,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,9554
MRT,MR,3220.0,31036.0,31036.0,amdeir,13391.0,-13.02989166,20.50180833,3,,,2015,,,49,3,,,49,0,,,49,0,,,1,9479
MRT,MR,3220.0,31035.0,31035.0,aoujeft,13387.0,-13.0594443,19.9622222,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,9474
MRT,MR,3220.0,31035.0,31035.0,aoujeft   ecole 1,13384.0,-13.0594443,19.9622222,3,,,2015,,,51,4,,,51,0,,,51,0,,,1,9471
MRT,MR,3220.0,31035.0,31035.0,aoujeft   ecole 2,13385.0,-13.0594443,19.9622222,3,,,2015,,,48,0,,,48,0,,,48,0,,,1,9475
MRT,MR,3220.0,31035.0,31035.0,aoujeft   ecole 3,13386.0,-13.0594443,19.9622222,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,9476
MRT,MR,3228.0,31068.0,31068.0,asma   ecole asma,13379.0,-14.37513889,19.74536111,3,,,2015,,,50,3,,,50,2,,,50,0,,,1,9552
MRT,MR,3220.0,31036.0,31036.0,atar ville,13394.0,-12.99016667,20.57394444,3,,,2015,,,0,0,,,0,0,,,0,0,,,1,9478
MRT,MR,3223.0,31051.0,31051.0,bagdad   ecole bagdad,13468.0,-17.03855556,20.94055556,3,,,2015,,,52,3,,,52,1,,,52,0,,,1,9510
MRT,MR,3229.0,31074.0,31074.0,basra   ecole ahmed zeina,13486.0,-15.99002778,18.07744444,3,,,2015,,,50,8,,,50,1,,,50,1,,,1,9570
MRT,MR,3229.0,31074.0,31074.0,basra   ecole sakho,13487.0,-15.99002778,18.07744444,3,,,2015,,,50,9,,,50,0,,,50,0,,,1,9567
MRT,MR,3226.0,31059.0,31059.0,bassiknou,13405.0,-5.9541824,15.861876,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,9518
MRT,MR,3226.0,31060.0,31060.0,bneibarie,13424.0,-8.6672,15.8936801,1,,,2015,,,0,0,,,0,0,,,0,0,,,1,9521
