iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
NGA,NG,3799.0,36845.0,36845.0,4th avenue,13940.0,3.2799237,6.4759676,1,,,2014.0,,,43,2,,,43,3,,,43,5,,,1,12056,0.046511627906976744,0.06976744186046512,0.11627906976744186,0.20393362777360766
NGA,NG,3808.0,37061.0,37061.0,500 estate model pri sch old airport,56445.0,5.2475518,13.0058731,1,,,2011.0,,,60,3,,,60,0,,,60,0,,,1,12927,0.05,0.0,0.0,0.04716981132075471
NGA,NG,3803.0,36920.0,36920.0,a.u.d,55763.0,5.7418599,7.5179701,3,,,2011.0,,,52,0,,,52,9,,,52,0,,,1,12309,0.0,0.17307692307692307,0.0,0.16328011611030477
NGA,NG,3803.0,36921.0,36921.0,a.u.d,55768.0,5.9078202,7.6883101,3,,,2011.0,,,50,0,,,50,4,,,50,0,,,1,12320,0.0,0.08,0.0,0.07547169811320754
NGA,NG,3803.0,36921.0,36921.0,a.u.d,55769.0,5.9078202,7.6883101,3,,,2011.0,,,50,0,,,50,0,,,50,0,,,1,12313,0.0,0.0,0.0,0.0
NGA,NG,3804.0,36943.0,36943.0,aagba,14194.0,4.6960756,7.8935611,1,,,2014.0,,,50,0,,,50,11,,,50,0,,,1,12463,0.0,0.22,0.0,0.20754716981132074
NGA,NG,3778.0,36408.0,36408.0,abaegbu,13950.0,6.79701,6.41364,3,,,2011.0,,,53,10,,,53,1,,,53,0,,,1,10468,0.18867924528301888,0.018867924528301886,0.0,0.19244073967100359
NGA,NG,3778.0,36408.0,36408.0,abaegbu pry sch,55803.0,6.7970099,6.41364,3,,,2011.0,,,53,10,,,53,1,,,53,0,,,1,10464,0.18867924528301888,0.018867924528301886,0.0,0.19244073967100359
NGA,NG,3798.0,36829.0,36829.0,abagyama,14357.0,7.94161,8.8891769,1,,,2012.0,,,59,3,,,59,0,,,59,0,,,1,11905,0.05084745762711865,0.0,0.0,0.04796929964822513
NGA,NG,3789.0,36613.0,36613.0,abaji,13825.0,6.9450688,8.4746755,1,,,2014.0,,,48,3,,,48,0,,,48,0,,,1,10921,0.0625,0.0,0.0,0.05896226415094339
NGA,NG,3785.0,36551.0,36551.0,abarigwe,14342.0,8.016667,6.5,1,,,2010.0,,,60,2,,,60,2,,,60,0,,,1,10778,0.03333333333333333,0.03333333333333333,0.0,0.06184486373165619
NGA,NG,3785.0,36551.0,36551.0,abarigwe isieke p/s,55911.0,8.0274274,6.3850252,2,,,2011.0,,,60,2,,,60,2,,,60,0,,,1,10779,0.03333333333333333,0.03333333333333333,0.0,0.06184486373165619
NGA,NG,3811.0,37103.0,37103.0,abarma,14555.0,7.416807333,12.18992,4,,,2009.0,,,60,4,,,60,5,,,60,0,,,1,13084,0.06666666666666667,0.08333333333333333,0.0,0.1362683438155136
NGA,NG,3811.0,37103.0,37103.0,abarma model pri sch,55997.0,6.62606,12.18992,3,,,2011.0,,,60,4,,,60,5,,,60,0,,,1,13081,0.06666666666666667,0.08333333333333333,0.0,0.1362683438155136
NGA,NG,3794.0,36722.0,36722.0,abasawa,14514.0,8.6621209,11.9935609,3,,,2013.0,,,50,16,,,50,0,,,50,0,,,1,11348,0.32,0.0,0.0,0.3018867924528302
NGA,NG,3804.0,36949.0,36949.0,abata egba,14658.0,3.8677076,7.0159061,2,,,2014.0,,,50,0,,,50,32,,,50,0,,,1,12496,0.0,0.64,0.0,0.6037735849056604
NGA,NG,3778.0,36415.0,36415.0,abatete,14640.0,6.9262805,6.1239333,1,,,2011.0,,,53,0,,,53,0,,,53,0,,,1,10510,0.0,0.0,0.0,0.0
NGA,NG,3779.0,36438.0,36438.0,abatiyo,15025.0,10.44286966,11.60330057,3,,,2014.0,,,50,12,,,50,5,,,50,0,,,1,10613,0.24,0.1,0.0,0.29811320754716975
NGA,NG,3779.0,36435.0,36435.0,abba korawa,14519.0,10.1993,11.3882479,1,,,2014.0,,,50,6,,,50,0,,,50,0,,,1,10598,0.12,0.0,0.0,0.11320754716981131
NGA,NG,3779.0,36427.0,36427.0,abbas,13930.0,10.7080828,10.156884,1,,,2014.0,,,50,11,,,50,1,,,50,0,,,1,10561,0.22,0.02,0.0,0.22226415094339622
NGA,NG,3808.0,37060.0,37060.0,abdul baki model pri sch,56426.0,5.5464201,12.5944,3,,,2011.0,,,60,9,,,60,0,,,60,0,,,1,12921,0.15,0.0,0.0,0.14150943396226412
