iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
BWA,BW,482.0,4299.0,4299.0,artesia primary,10063,26.3113112,-24.0325508,3,,,2015,,,49,0,,,49,0,,,49,0,,,1,2455
BWA,BW,481.0,4298.0,4298.0,bokspits primary school,10058,20.6831788,-26.8668794,3,,,2015,,,46,0,,,46,0,,,46,0,,,1,2449
BWA,BW,486.0,4308.0,4308.0,bothakga primary,10075,25.69039667,-25.20587333,3,,,2015,,,46,1,,,46,0,,,46,0,,,1,2497
BWA,BW,479.0,4293.0,4293.0,botshabelo,10114,27.87153167,-21.978385,3,,,2015,,,48,0,,,48,3,,,48,0,,,1,18742
BWA,BW,,,,botshabelo,10114,,,99,,,2015,,,48,0,,,48,3,,,48,0,,,1,2414
BWA,BW,486.0,4307.0,4307.0,camp primary school,10023,25.94184667,-24.666965,3,,,2015,,,54,0,,,54,2,,,54,0,,,1,2494
BWA,BW,485.0,4305.0,4305.0,chanoga primary school,10098,23.6407748,-20.1446924,3,,,2015,,,44,2,,,44,7,,,44,0,,,1,18812
BWA,BW,,,,chanoga primary school,10098,,,99,,,2015,,,44,2,,,44,7,,,44,0,,,1,2484
BWA,BW,486.0,4308.0,4308.0,digawana,10076,25.5319754,-25.3688181,4,,,2015,,,48,1,,,48,1,,,48,1,,,1,2495
BWA,BW,479.0,4295.0,4295.0,dukwi,10133,26.4981503,-20.5808072,3,,,2015,,,51,0,,,51,3,,,51,3,,,1,2428
BWA,BW,485.0,4306.0,4306.0,etsha 13 primary school,10108,22.3193484,-19.0158991,3,,,2015,,,52,6,,,52,7,,,52,0,,,1,2490
BWA,BW,480.0,4296.0,4296.0,gantsi,10027,21.64376333,-21.703485,3,,,2015,,,22,1,,,22,0,,,22,0,,,1,18767
BWA,BW,,,,gantsi,10027,,,99,,,2015,,,22,1,,,22,0,,,22,0,,,1,2439
BWA,BW,487.0,4310.0,4310.0,good hope primary school,10036,25.44311667,-25.47561167,3,,,2015,,,52,0,,,52,6,,,52,0,,,1,2507
BWA,BW,481.0,4297.0,4297.0,hunhukwe,10053,21.6027974,-23.413266,3,,,2015,,,49,1,,,49,0,,,49,0,,,1,2444
BWA,BW,479.0,4293.0,4293.0,iapologang,10115,27.81451667,-21.98705833,3,,,2015,,,50,0,,,50,6,,,50,0,,,1,18744
BWA,BW,,,,iapologang,10115,,,99,,,2015,,,50,0,,,50,6,,,50,0,,,1,2416
BWA,BW,482.0,4299.0,4299.0,isang primary school,10064,26.1315544,-24.3893174,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,2454
BWA,BW,484.0,4303.0,4303.0,jackalas 2,10103,27.6114921,-20.9140415,3,,,2015,,,38,1,,,38,0,,,38,0,,,1,2470
BWA,BW,484.0,4302.0,4302.0,john phooko,10016,27.44569333,-21.437085,4,,,2015,,,28,0,,,28,3,,,28,0,,,1,2464
BWA,BW,480.0,4296.0,4296.0,kacgae,10028,22.207054,-22.8554457,3,,,2015,,,50,2,,,50,4,,,50,0,,,1,18763
BWA,BW,,,,kacgae,10028,,,99,,,2015,,,50,2,,,50,4,,,50,0,,,1,2435
BWA,BW,485.0,4304.0,4304.0,kachikau p school,10011,24.5066171,-18.1488558,3,,,2015,,,48,4,,,48,8,,,48,15,,,1,2476
BWA,BW,480.0,4296.0,4296.0,kalkfontein,10029,20.8773525,-22.1461799,3,,,2015,,,48,4,,,48,7,,,48,0,,,1,18765
BWA,BW,,,,kalkfontein,10029,,,99,,,2015,,,48,4,,,48,7,,,48,0,,,1,2437
BWA,BW,481.0,4297.0,4297.0,kang primary school,10054,22.7966741,-23.6750115,3,,,2015,,,35,3,,,35,1,,,35,0,,,1,2445
BWA,BW,480.0,4296.0,4296.0,karakubis,10030,20.6134111,-22.0807872,3,,,2015,,,47,3,,,47,1,,,47,0,,,1,18761
BWA,BW,,,,karakubis,10030,,,99,,,2015,,,47,3,,,47,1,,,47,0,,,1,2433
BWA,BW,485.0,4304.0,4304.0,kasane primary school,10012,25.1569067,-17.798005,3,,,2015,,,50,0,,,50,4,,,50,0,,,1,2479
BWA,BW,485.0,4306.0,4306.0,kathiana primary school,10109,21.8493909,-18.3795757,3,,,2015,,,52,8,,,52,10,,,52,0,,,1,2485
BWA,BW,479.0,4291.0,4291.0,kedia primary school,10006,24.7323061,-21.3661946,3,,,2015,,,43,0,,,43,0,,,43,0,,,1,2401
BWA,BW,486.0,4309.0,4309.0,ketshwerebothata,10129,25.852665000000002,-24.87810167,3,,,2015,,,47,0,,,47,0,,,47,0,,,1,2503
BWA,BW,487.0,4311.0,4311.0,kgalagadi primary,10040,24.7238972,-24.6031428,3,,,2015,,,43,0,,,43,0,,,43,0,,,1,2508
BWA,BW,479.0,4313.0,4313.0,khakhia,10089,23.5073455,-24.7106408,4,,,2015,,,51,0,,,51,0,,,51,0,,,1,2523
BWA,BW,480.0,4296.0,4296.0,kjoe primary school,10031,22.4190608,-22.1198647,3,,,2015,,,34,5,,,34,0,,,34,0,,,1,18760
BWA,BW,,,,kjoe primary school,10031,,,99,,,2015,,,34,5,,,34,0,,,34,0,,,1,2432
BWA,BW,487.0,4292.0,4292.0,kudumatse,10081,27.14215983,-23.41421948,4,,,2015,,,50,5,,,50,1,,,50,0,,,1,18731
BWA,BW,,,,kudumatse,10081,,,99,,,2015,,,50,5,,,50,1,,,50,0,,,1,2406
BWA,BW,480.0,4296.0,4296.0,kuke,10032,22.4163022,-21.0133072,3,,,2015,,,35,14,,,35,0,,,35,0,,,1,18764
BWA,BW,,,,kuke,10032,,,99,,,2015,,,35,14,,,35,0,,,35,0,,,1,2436
BWA,BW,481.0,4297.0,4297.0,ledibela,10055,21.7963186,-23.9984424,3,,,2015,,,32,1,,,32,2,,,32,0,,,1,2441
BWA,BW,486.0,4307.0,4307.0,ledumang primary school,10024,25.94402167,-24.60814167,3,,,2015,,,43,0,,,43,0,,,43,0,,,1,2491
BWA,BW,481.0,4297.0,4297.0,lekgwabe primary school,10056,21.7769813,-24.1084742,3,,,2015,,,68,7,,,68,5,,,68,0,,,1,2442
BWA,BW,483.0,4300.0,4300.0,lekgwapheng primary school,10068,25.4680136,-24.4035375,3,,,2015,,,50,0,,,50,1,,,50,0,,,1,2456
BWA,BW,487.0,4310.0,4310.0,leporung primary school,10037,24.96724167,-25.75854333,3,,,2015,,,45,0,,,45,0,,,45,0,,,1,2504
BWA,BW,485.0,4304.0,4304.0,lesoma primary school,10013,25.22378833,-17.90159833,3,,,2015,,,50,2,,,50,9,,,50,27,,,1,2475
BWA,BW,483.0,4301.0,4301.0,letlhakeng,10072,25.0385112,-24.1088067,3,,,2015,,,51,0,,,51,2,,,51,0,,,1,2462
BWA,BW,482.0,4299.0,4299.0,letsebe primary,10065,26.4493814,-24.6036885,3,,,2015,,,50,1,,,50,14,,,50,0,,,1,2451
BWA,BW,485.0,4305.0,4305.0,letsholathebe primary school,10099,23.4265553,-19.9822068,3,,,2015,,,42,0,,,42,9,,,42,0,,,1,18808
BWA,BW,,,,letsholathebe primary school,10099,,,99,,,2015,,,42,0,,,42,9,,,42,0,,,1,2480
