iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
STP,ST,,,,2 schools,,,,99,,,1991.0,5.0,15.0,371,55,,,371,337,,,371,346,,,3,30739
STP,ST,,,,3 schools,,,,99,,,1991.0,5.0,15.0,329,20,,,329,302,,,329,309,,,3,30737
STP,ST,,,,4 schools,,,,99,,,1991.0,5.0,15.0,421,33,,,421,392,,,421,364,,,3,30738
STP,ST,,,,5 schools,,,,99,,,1991.0,5.0,15.0,835,99,,,835,754,,,835,724,,,3,30740
STP,ST,,,,6 schools,,,,99,,,1991.0,5.0,15.0,1074,77,,,1074,845,,,1074,892,,,3,30736
STP,ST,4018.0,,39147.0,agostinho neto village,,6.643889,0.367778,4,,,2009.0,0.0,10.0,134,1,,,134,37,,,134,6,,,1,29900
STP,ST,4018.0,,39143.0,aires de menezes hospital,,6.722222,0.356389,4,,,2009.0,0.0,10.0,214,1,,,214,22,,,214,14,,,1,29901
STP,ST,4018.0,39143.0,39143.0,ba!sica de 12 de julho,16226.0,,,99,,,2014.0,,,49,2,,,49,30,,,49,24,,,1,19857
STP,ST,4018.0,39143.0,39143.0,ba!sica de boa morte,16227.0,,,99,,,2014.0,,,50,4,,,50,34,,,50,28,,,1,19862
STP,ST,4018.0,39148.0,39148.0,ba!sica de bombom,16210.0,,,99,,,2014.0,,,39,2,,,39,5,,,39,17,,,1,19874
STP,ST,4018.0,39143.0,39143.0,ba!sica de dona maria de jesus,16162.0,,,99,,,2014.0,,,48,1,,,48,22,,,48,21,,,1,19860
STP,ST,4018.0,39148.0,39148.0,ba!sica de folha fede,16211.0,,,99,,,2014.0,,,47,1,,,47,13,,,47,41,,,1,19873
STP,ST,4018.0,39148.0,39148.0,ba!sica de madalena,16212.0,,,99,,,2014.0,,,50,0,,,50,13,,,50,29,,,1,19877
STP,ST,4018.0,39143.0,39143.0,ba!sica de praia gamboa,16163.0,,,99,,,2014.0,,,50,1,,,50,39,,,50,16,,,1,19865
STP,ST,4018.0,39148.0,39148.0,ba!sica de s. fenicia,16206.0,,,99,,,2014.0,,,50,4,,,50,13,,,50,34,,,1,19881
STP,ST,4018.0,39143.0,39143.0,ba!sica de s. mara?al,16230.0,,,99,,,2014.0,,,50,1,,,50,33,,,50,18,,,1,19855
STP,ST,4018.0,39143.0,39143.0,ba!sica integrada de vila fernanda,16165.0,,,99,,,2014.0,,,50,1,,,49,20,,,50,13,,,1,19859
STP,ST,4018.0,39143.0,39143.0,ba!sica integrada de vila fernanda,16231.0,,,99,,,2014.0,,,50,1,,,50,20,,,50,13,,,1,19858
STP,ST,4018.0,39143.0,39143.0,basica de 12 de julho,109204.0,,,99,,,2014.0,10.0,0.0,49,2,,,49,30,,,49,24,,,1,1516
STP,ST,4018.0,39143.0,39143.0,basica de 12 de julho,109291.0,,,99,,,,,,49,2,,,49,30,,,49,24,,,3,1582
STP,ST,4018.0,39145.0,39145.0,basica de angolares,109222.0,6.6491132,0.1333856,1,,,2014.0,8.0,0.0,51,7,,,51,2,,,51,45,,,1,1528
STP,ST,4018.0,39145.0,39145.0,basica de angolares,109228.0,6.6491132,0.1333856,1,,,,,,51,7,,,51,2,,,51,45,,,3,1534
STP,ST,4018.0,39145.0,39145.0,basica de angra toldo,109223.0,3.931772775,,99,,,2014.0,9.0,0.0,50,7,,,50,3,,,50,39,,,1,1529
STP,ST,4018.0,39145.0,39145.0,basica de angra toldo,109229.0,3.931772775,,99,,,,,,50,7,,,50,3,,,50,39,,,3,1535
STP,ST,4018.0,39144.0,39144.0,basica de anselmo andrade,109211.0,6.6897102,0.23356559999999998,1,,,2014.0,8.0,0.0,25,0,,,24,1,,,25,16,,,1,1522
STP,ST,4018.0,39143.0,39143.0,basica de atana!sio gomes,16159.0,,,99,,,2014.0,,,50,2,,,49,26,,,50,19,,,1,19856
STP,ST,4018.0,39143.0,39143.0,basica de atana!sio gomes,16225.0,,,99,,,2014.0,,,50,2,,,50,26,,,50,19,,,1,19863
STP,ST,4018.0,39143.0,39143.0,basica de atanasio gomes,109203.0,,,99,,,2014.0,10.0,0.0,50,2,,,49,26,,,50,19,,,1,1515
STP,ST,4018.0,39143.0,39143.0,basica de atanasio gomes,109290.0,,,99,,,,,,50,2,,,50,26,,,50,19,,,3,1581
STP,ST,4018.0,39143.0,39143.0,basica de boa morte,109205.0,6.7174651999999995,0.3400317,1,,,2014.0,6.0,0.0,50,4,,,50,34,,,50,28,,,1,1517
STP,ST,4018.0,39143.0,39143.0,basica de boa morte,109292.0,6.7174651999999995,0.3400317,1,,,,,,50,4,,,50,34,,,50,28,,,3,1583
STP,ST,4018.0,39148.0,39148.0,basica de bombom,109259.0,,,99,,,2014.0,11.0,0.0,39,2,,,39,5,,,39,17,,,1,1559
STP,ST,4018.0,39148.0,39148.0,basica de bombom,109266.0,,,99,,,,,,39,2,,,39,5,,,39,17,,,3,1566
STP,ST,4018.0,39144.0,39144.0,basica de claudino farro,109213.0,6.666819,0.2343046,1,,,2014.0,8.0,0.0,25,4,,,25,2,,,25,18,,,1,1523
STP,ST,4018.0,39146.0,39146.0,basica de diogo vaz,109234.0,6.5,0.31667,3,,,2014.0,10.0,0.0,50,1,,,50,4,,,50,29,,,1,1540
STP,ST,4018.0,39146.0,39146.0,basica de diogo vaz,109240.0,6.5,0.31667,3,,,,,,50,1,,,50,4,,,50,29,,,3,1546
STP,ST,4018.0,39143.0,39143.0,basica de dona maria de jesus,109206.0,,,99,,,2014.0,12.0,0.0,48,1,,,48,22,,,48,21,,,1,1518
STP,ST,4018.0,39143.0,39143.0,basica de dona maria de jesus,109293.0,,,99,,,,,,48,1,,,48,22,,,48,21,,,3,1584
STP,ST,4018.0,39146.0,39146.0,basica de esprainha,109235.0,3.891266167,,99,,,2014.0,12.0,0.0,24,0,,,24,0,,,24,5,,,1,1541
STP,ST,4018.0,39146.0,39146.0,basica de esprainha,109241.0,3.891266167,,99,,,,,,24,0,,,24,0,,,24,5,,,3,1547
STP,ST,4018.0,39148.0,39148.0,basica de folha fede,109260.0,,,99,,,2014.0,10.0,0.0,47,1,,,47,13,,,47,41,,,1,1560
STP,ST,4018.0,39148.0,39148.0,basica de folha fede,109267.0,,,99,,,,,,47,1,,,47,13,,,47,41,,,3,1567
STP,ST,4018.0,39148.0,39148.0,basica de madalena,109261.0,6.66667,0.33333,1,,,2014.0,12.0,0.0,50,0,,,50,13,,,50,29,,,1,1561
STP,ST,4018.0,39148.0,39148.0,basica de madalena,109268.0,6.66667,0.33333,1,,,,,,50,0,,,50,13,,,50,29,,,3,1568
STP,ST,4018.0,39145.0,39145.0,basica de monte ma!rio,16174.0,,,99,,,2014.0,,,25,4,,,25,3,,,25,25,,,1,19869
STP,ST,4018.0,39145.0,39145.0,basica de monte mario,109224.0,,,99,,,2014.0,7.0,0.0,25,4,,,25,3,,,25,25,,,1,1530
STP,ST,4018.0,39145.0,39145.0,basica de monte mario,109230.0,,,99,,,,,,25,4,,,25,3,,,25,25,,,3,1536
STP,ST,4018.0,39146.0,39146.0,basica de neves,109236.0,6.5489836,0.35602229999999996,1,,,2014.0,10.0,0.0,50,0,,,50,8,,,50,31,,,1,1542
STP,ST,4018.0,39146.0,39146.0,basica de neves,109242.0,6.5489836,0.35602229999999996,1,,,,,,50,0,,,50,8,,,50,31,,,3,1548
STP,ST,4018.0,39146.0,39146.0,basica de ponta figo,109237.0,6.544557,0.34000389999999997,1,,,2014.0,10.0,0.0,50,1,,,50,4,,,50,24,,,1,1543
STP,ST,4018.0,39146.0,39146.0,basica de ponta figo,109243.0,6.544557,0.34000389999999997,1,,,,,,50,1,,,50,4,,,50,24,,,3,1549
STP,ST,4018.0,39143.0,39143.0,basica de praia gamboa,109207.0,6.7188766,0.33233959999999996,1,,,2014.0,9.0,0.0,50,1,,,50,39,,,50,16,,,1,1519
STP,ST,4018.0,39143.0,39143.0,basica de praia gamboa,109294.0,6.7188766,0.33233959999999996,1,,,,,,50,1,,,50,39,,,50,16,,,3,1585
STP,ST,4018.0,39144.0,39144.0,basica de riboque santana,109215.0,6.7374529,0.2472452,1,,,2014.0,12.0,0.0,51,0,,,51,3,,,51,25,,,1,1524
STP,ST,4018.0,39148.0,39148.0,basica de s. fenicia,109262.0,,,99,,,2014.0,9.0,0.0,50,4,,,50,13,,,50,34,,,1,1562
STP,ST,4018.0,39148.0,39148.0,basica de s. fenicia,109269.0,,,99,,,,,,50,4,,,50,13,,,50,34,,,3,1569
STP,ST,4018.0,39143.0,39143.0,basica de s. marcal,109208.0,6.7348843,0.3187309,1,,,2014.0,9.0,0.0,50,1,,,50,33,,,50,18,,,1,1520
STP,ST,4018.0,39143.0,39143.0,basica de s. marcal,109295.0,6.7348843,0.3187309,1,,,,,,50,1,,,50,33,,,50,18,,,3,1586
