"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"BDI","BI",706.0,6389.0,6389.0,"",29.333333,-2.883333,1,"school","mapping",2014.0,12.0,14.0,50,2,50,3,50,0,1,23394,0.04,0.06,0.0,0.0920754716981132,7594.089128450823,0,0,0,1
"BDI","BI",715.0,6414.0,6414.0,"",29.7915,-2.906027778,3,"school","mapping",2016.0,13.0,14.0,50,0,50,9,50,24,1,23577,0.0,0.18,0.48,0.541132075471698,5574.965279097866,1,1,1,2
"BDI","BI",702.0,6378.0,6378.0,10243.0,29.438,-3.4523,1,"","",2014.0,"","",47,0,47,12,47,9,1,18499,0.0,0.2553191489361702,0.19148936170212766,0.3753939714888491,5123.092338443237,2,2,2,3
"BDI","BI",717.0,6418.0,6418.0,"",30.333333,-3.65,1,"school","mapping",2014.0,12.0,16.0,50,1,50,1,50,0,1,23613,0.02,0.02,0.0,0.03735849056603773,6853.472238316963,3,3,3,4
"BDI","BI",709.0,6396.0,6396.0,"",29.808,-3.0943,3,"school","mapping",2014.0,13.0,14.0,50,2,50,4,50,0,1,23438,0.04,0.08,0.0,0.11018867924528301,7883.542588803293,6,6,6,6
"BDI","BI",717.0,6419.0,6419.0,"",30.4327029,-3.2515663,1,"school","mapping",2014.0,12.0,16.0,50,2,50,3,50,0,1,23623,0.04,0.06,0.0,0.0920754716981132,7487.927948228562,7,7,7,7
"BDI","BI",715.0,6412.0,6412.0,"",29.90111111,-2.874833333,3,"school","mapping",2016.0,12.0,15.0,50,0,50,6,49,10,1,23557,0.0,0.12,0.20408163265306123,0.2826338082402772,5007.467545060681,10,10,10,9
"BDI","BI",717.0,6417.0,6417.0,"",30.182022,-3.3603962,1,"school","mapping",2014.0,12.0,15.0,50,1,50,28,50,7,1,23610,0.02,0.56,0.14,0.593554716981132,4799.66160264073,11,11,11,10
"BDI","BI","","",3518.0,"",29.3533,-3.3697,4,"","",1984.0,6.0,16.0,3053,382,3053,537,3053,824,3,28655,0.12512283000327545,0.17589256469046838,0.2698984605306256,0.4467943969891585,0.0,14,14,15,12
"BDI","BI",703.0,"",3518.0,"",29.3533,-3.3697,4,"","",1991.0,6.0,16.0,2706,179,2706,452,2706,330,3,28659,0.06614929785661493,0.1670362158167036,0.12195121951219512,0.2990543642451687,0.0,15,15,14,12
"BDI","BI",709.0,6397.0,6397.0,10254.0,29.5733,-2.9652000000000003,3,"","",2014.0,"","",50,0,50,0,50,0,1,2207,0.0,0.0,0.0,0.0,1891.016908541867,16,16,16,13
"BDI","BI",715.0,6414.0,6414.0,"",29.884,-2.945111111,3,"school","mapping",2016.0,13.0,14.0,50,0,50,7,50,11,1,23579,0.0,0.14,0.22,0.310566037735849,3759.2827948311424,17,17,17,14
"BDI","BI",703.0,"",3480.0,"",29.378,-3.335,4,"","",1984.0,6.0,16.0,697,194,697,63,697,114,3,29166,0.2783357245337159,0.09038737446197992,0.16355810616929697,0.42540596099165984,0.0,20,20,21,16
