"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"BWA","BW",482.0,4299.0,4299.0,10063,26.3113112,-24.0325508,3,"","",2015.0,"","",49,0,49,0,49,0,1,2455,0.0,0.0,0.0,0.0,47922.99542203728,0,0,0,1
"BWA","BW",481.0,4298.0,4298.0,10058,20.6831788,-26.8668794,3,"","",2015.0,"","",46,0,46,0,46,0,1,2449,0.0,0.0,0.0,0.0,136795.6187382484,1,1,1,2
"BWA","BW",486.0,4308.0,4308.0,10075,25.69039667,-25.20587333,3,"","",2015.0,"","",46,1,46,0,46,0,1,2497,0.021739130434782608,0.0,0.0,0.02050861361771944,1450.1092632796974,2,2,2,3
"BWA","BW",479.0,4293.0,4293.0,10114,27.87153167,-21.978385,3,"","",2015.0,"","",48,0,48,3,48,0,1,18742,0.0,0.0625,0.0,0.05896226415094339,1246.1954700683789,3,3,3,4
"BWA","BW",486.0,4307.0,4307.0,10023,25.94184667,-24.666965,3,"","",2015.0,"","",54,0,54,2,54,0,1,2494,0.0,0.037037037037037035,0.0,0.034940600978336823,3610.1342249911954,4,4,4,5
"BWA","BW",485.0,4305.0,4305.0,10098,23.6407748,-20.1446924,3,"","",2015.0,"","",44,2,44,7,44,0,1,18812,0.045454545454545456,0.1590909090909091,0.0,0.18614532979884604,30650.942730894418,5,5,5,6
"BWA","BW",486.0,4308.0,4308.0,10076,25.5319754,-25.3688181,4,"","",2015.0,"","",48,1,48,1,48,1,1,2495,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.05774241406795947,16465.25182657348,6,6,6,7
"BWA","BW",479.0,4295.0,4295.0,10133,26.4981503,-20.5808072,3,"","",2015.0,"","",51,0,51,3,51,3,1,2428,0.0,0.058823529411764705,0.058823529411764705,0.10772344453874778,31088.67157042104,7,7,7,8
"BWA","BW",485.0,4306.0,4306.0,10108,22.3193484,-19.0158991,3,"","",2015.0,"","",52,6,52,7,52,0,1,2490,0.11538461538461539,0.1346153846153846,0.0,0.22119571285028466,25338.005627280745,8,8,8,9
"BWA","BW",480.0,4296.0,4296.0,10027,21.64376333,-21.703485,3,"","",2015.0,"","",22,1,22,0,22,0,1,18767,0.045454545454545456,0.0,0.0,0.04288164665523156,50045.275327725845,9,9,9,10
"BWA","BW",487.0,4310.0,4310.0,10036,25.44311667,-25.47561167,3,"","",2015.0,"","",52,0,52,6,52,0,1,2507,0.0,0.11538461538461539,0.0,0.10885341074020319,16465.25182657348,10,10,10,11
"BWA","BW",481.0,4297.0,4297.0,10053,21.6027974,-23.413266,3,"","",2015.0,"","",49,1,49,0,49,0,1,2444,0.02040816326530612,0.0,0.0,0.01925298421255294,74335.07973892952,11,11,11,12
"BWA","BW",479.0,4293.0,4293.0,10115,27.81451667,-21.98705833,3,"","",2015.0,"","",50,0,50,6,50,0,1,18744,0.0,0.12,0.0,0.11320754716981131,2281.4577085178626,12,12,12,13
"BWA","BW",482.0,4299.0,4299.0,10064,26.1315544,-24.3893174,3,"","",2015.0,"","",50,0,50,0,50,0,1,2454,0.0,0.0,0.0,0.0,24943.804744442292,13,13,13,14
"BWA","BW",484.0,4303.0,4303.0,10103,27.6114921,-20.9140415,3,"","",2015.0,"","",38,1,38,0,38,0,1,2470,0.02631578947368421,0.0,0.0,0.02482621648460774,30615.271193645578,14,14,14,15
"BWA","BW",484.0,4302.0,4302.0,10016,27.44569333,-21.437085,4,"","",2015.0,"","",28,0,28,3,28,0,1,2464,0.0,0.10714285714285714,0.0,0.10107816711590295,7254.606171697208,15,15,15,16
"BWA","BW",480.0,4296.0,4296.0,10028,22.207054,-22.8554457,3,"","",2015.0,"","",50,2,50,4,50,0,1,18763,0.04,0.08,0.0,0.11018867924528301,91712.63008734082,16,16,16,17
"BWA","BW",485.0,4304.0,4304.0,10011,24.5066171,-18.1488558,3,"","",2015.0,"","",48,4,48,8,48,15,1,2476,0.08333333333333333,0.16666666666666666,0.3125,0.4479494234800838,24442.090453473633,17,17,17,18
"BWA","BW",480.0,4296.0,4296.0,10029,20.8773525,-22.1461799,3,"","",2015.0,"","",48,4,48,7,48,0,1,18765,0.08333333333333333,0.14583333333333334,0.0,0.20473008385744232,30414.32954233129,18,18,18,19
"BWA","BW",481.0,4297.0,4297.0,10054,22.7966741,-23.6750115,3,"","",2015.0,"","",35,3,35,1,35,0,1,2445,0.08571428571428572,0.02857142857142857,0.0,0.10550635348479012,111815.01870374032,19,19,19,20
"BWA","BW",480.0,4296.0,4296.0,10030,20.6134111,-22.0807872,3,"","",2015.0,"","",47,3,47,1,47,0,1,18761,0.06382978723404255,0.02127659574468085,0.0,0.07900783245214688,26413.19760681637,20,20,20,21
"BWA","BW",485.0,4304.0,4304.0,10012,25.1569067,-17.798005,3,"","",2015.0,"","",50,0,50,4,50,0,1,2479,0.0,0.08,0.0,0.07547169811320754,14219.988871208438,21,21,21,22
"BWA","BW",485.0,4306.0,4306.0,10109,21.8493909,-18.3795757,3,"","",2015.0,"","",52,8,52,10,52,0,1,2485,0.15384615384615385,0.19230769230769232,0.0,0.2986491012615831,34009.714750138475,22,22,22,23
"BWA","BW",479.0,4291.0,4291.0,10006,24.7323061,-21.3661946,3,"","",2015.0,"","",43,0,43,0,43,0,1,2401,0.0,0.0,0.0,0.0,54145.689948428175,23,23,23,24
"BWA","BW",486.0,4309.0,4309.0,10129,25.852665000000002,-24.87810167,3,"","",2015.0,"","",47,0,47,0,47,0,1,2503,0.0,0.0,0.0,0.0,2631.3241966596593,24,24,24,25
"BWA","BW",487.0,4311.0,4311.0,10040,24.7238972,-24.6031428,3,"","",2015.0,"","",43,0,43,0,43,0,1,2508,0.0,0.0,0.0,0.0,13090.94898015865,25,25,25,26
"BWA","BW",479.0,4313.0,4313.0,10089,23.5073455,-24.7106408,4,"","",2015.0,"","",51,0,51,0,51,0,1,2523,0.0,0.0,0.0,0.0,40226.53537192327,26,26,26,27
"BWA","BW",480.0,4296.0,4296.0,10031,22.4190608,-22.1198647,3,"","",2015.0,"","",34,5,34,0,34,0,1,18760,0.14705882352941177,0.0,0.0,0.13873473917869034,72069.33937161315,27,27,27,28
"BWA","BW",487.0,4292.0,4292.0,10081,27.14215983,-23.41421948,4,"","",2015.0,"","",50,5,50,1,50,0,1,18731,0.1,0.02,0.0,0.11132075471698112,51014.97721847716,28,28,28,29
"BWA","BW",480.0,4296.0,4296.0,10032,22.4163022,-21.0133072,3,"","",2015.0,"","",35,14,35,0,35,0,1,18764,0.4,0.0,0.0,0.3773584905660377,69994.29550376073,29,29,29,30
"BWA","BW",481.0,4297.0,4297.0,10055,21.7963186,-23.9984424,3,"","",2015.0,"","",32,1,32,2,32,0,1,2441,0.03125,0.0625,0.0,0.0866008254716981,8708.513151519053,30,30,30,31
"BWA","BW",486.0,4307.0,4307.0,10024,25.94402167,-24.60814167,3,"","",2015.0,"","",43,0,43,0,43,0,1,2491,0.0,0.0,0.0,0.0,6492.582061122067,31,31,31,32
"BWA","BW",481.0,4297.0,4297.0,10056,21.7769813,-24.1084742,3,"","",2015.0,"","",68,7,68,5,68,0,1,2442,0.10294117647058823,0.07352941176470588,0.0,0.1593409283802311,13585.065086974068,32,32,32,33
"BWA","BW",483.0,4300.0,4300.0,10068,25.4680136,-24.4035375,3,"","",2015.0,"","",50,0,50,1,50,0,1,2456,0.0,0.02,0.0,0.018867924528301886,33377.56503735914,33,33,33,34
"BWA","BW",487.0,4310.0,4310.0,10037,24.96724167,-25.75854333,3,"","",2015.0,"","",45,0,45,0,45,0,1,2504,0.0,0.0,0.0,0.0,14348.222299510975,34,34,34,35
"BWA","BW",485.0,4304.0,4304.0,10013,25.22378833,-17.90159833,3,"","",2015.0,"","",50,2,50,9,50,27,1,2475,0.04,0.18,0.54,0.6017811320754717,14219.988871208438,35,35,35,36
"BWA","BW",483.0,4301.0,4301.0,10072,25.0385112,-24.1088067,3,"","",2015.0,"","",51,0,51,2,51,0,1,2462,0.0,0.0392156862745098,0.0,0.03699593044765075,27834.711861319254,36,36,36,37
