iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
GHA,GH,2164.0,21469.0,21469.0,abomosu,,-0.7277281999999999,6.302051,1,,,2008,9.0,16.0,60,1,,,60,0,,,60,0,,,1,30217,0.016666666666666666,0.0,0.0,0.01572327044025157
GHA,GH,2161.0,21404.0,21404.0,abonkosu a,,-1.3975100999999999,7.01086,3,,,2008,7.0,16.0,60,2,,,60,12,,,60,0,,,1,30236,0.03333333333333333,0.2,0.0,0.21383647798742136
GHA,GH,2163.0,21457.0,21457.0,adventist,,-2.15405,6.20005,3,,,2008,6.0,20.0,58,0,,,58,0,,,58,0,,,1,30250,0.0,0.0,0.0,0.0
GHA,GH,2169.0,21569.0,21569.0,agbogbome,,1.06744,6.09305,3,,,2008,10.0,22.0,60,0,,,60,3,,,60,0,,,1,30229,0.0,0.05,0.0,0.04716981132075471
GHA,GH,2163.0,21445.0,21445.0,akim manso zion,,-0.529185,5.54352,3,,,2008,10.0,17.0,60,0,,,60,0,,,60,0,,,1,30202,0.0,0.0,0.0,0.0
GHA,GH,2164.0,21458.0,21458.0,akpamu,,-0.23333299999999998,6.183333,1,,,2008,10.0,17.0,60,0,,,60,0,,,60,0,,,1,30259,0.0,0.0,0.0,0.0
GHA,GH,2162.0,21428.0,21428.0,akyeremade battor,,-0.624485,7.57564,3,,,2008,5.0,19.0,60,1,,,60,0,,,60,0,,,1,30230,0.016666666666666666,0.0,0.0,0.01572327044025157
GHA,GH,2170.0,21592.0,21592.0,allengenzule,,-2.41632,5.00956,3,,,2008,8.0,16.0,60,0,,,60,0,,,60,0,,,1,30232,0.0,0.0,0.0,0.0
GHA,GH,2161.0,21392.0,21392.0,amanchia rc,,-1.8590200000000001,6.59281,3,,,2008,10.0,15.0,60,2,,,60,4,,,60,0,,,1,30208,0.03333333333333333,0.06666666666666667,0.0,0.09224318658280922
GHA,GH,2170.0,21603.0,21603.0,asankragwa,,-2.435696,5.81434,1,,,2008,6.0,19.0,60,0,,,60,3,,,60,1,,,1,30222,0.0,0.05,0.016666666666666666,0.0621069182389937
GHA,GH,2169.0,21577.0,21577.0,avenorpeme,,0.49564,6.0073,3,,,2008,10.0,18.0,60,5,,,60,0,,,60,0,,,1,30233,0.08333333333333333,0.0,0.0,0.07861635220125784
GHA,GH,2163.0,21443.0,21443.0,awisem da,,-1.7073597999999999,7.0390197,1,,,2008,8.0,15.0,60,0,,,60,0,,,60,0,,,1,30237,0.0,0.0,0.0,0.0
GHA,GH,2162.0,21420.0,21420.0,baanu,,-2.9,7.616667,1,,,2008,8.0,27.0,60,0,,,60,1,,,60,0,,,1,30238,0.0,0.016666666666666666,0.0,0.01572327044025157
GHA,GH,2169.0,21577.0,21577.0,bakpa agortakpo,,0.39728,6.08654,3,,,2008,11.0,20.0,60,0,,,60,0,,,60,1,,,1,30264,0.0,0.0,0.016666666666666666,0.01572327044025157
GHA,GH,2162.0,21430.0,21430.0,bishop lemaire,,-2.33221,7.33273,3,,,2008,10.0,16.0,60,0,,,60,0,,,60,0,,,1,30235,0.0,0.0,0.0,0.0
GHA,GH,2166.0,21521.0,21521.0,bole,,-2.48642,9.03924,3,,,2008,11.0,18.0,60,1,,,60,1,,,60,0,,,1,30249,0.016666666666666666,0.016666666666666666,0.0,0.031184486373165614
GHA,GH,2166.0,21507.0,21507.0,bolla,,0.17291,8.33409,3,,,2008,3.0,18.0,60,4,,,60,0,,,60,1,,,1,30247,0.06666666666666667,0.0,0.016666666666666666,0.07756813417190775
GHA,GH,2161.0,21382.0,21382.0,bonkrom d/a,,-2.1059,6.97185,3,,,2008,7.0,18.0,60,2,,,60,0,,,60,1,,,1,30223,0.03333333333333333,0.0,0.016666666666666666,0.046645702306079666
GHA,GH,2170.0,21592.0,21592.0,bonsukrom,,-2.25775,5.20845,3,,,2008,10.0,15.0,60,0,,,60,0,,,60,2,,,1,30269,0.0,0.0,0.03333333333333333,0.03144654088050314
