iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
MUS,MU,3341,32098,32098,antoinette prudence gs,13553,63.44693833,-19.71369333,3,,,2015,,,50,0,,,50,2,,,50,16,,,1,9635,0.0,0.04,0.32,0.3275471698113207
MUS,MU,3341,32098,32098,araucaria community gs,13554,63.44284667,-19.70169333,3,,,2015,,,22,0,,,22,0,,,22,3,,,1,9634,0.0,0.0,0.13636363636363635,0.12864493996569465
MUS,MU,3337,32094,32094,arsenal govt school,13546,57.5406263,-20.1010109,1,,,2015,,,20,0,,,20,8,,,20,0,,,1,9614,0.0,0.4,0.0,0.3773584905660377
MUS,MU,3334,32091,32091,b rosunee gs,13515,57.717659,-20.200199,1,,,2015,,,36,0,,,36,0,,,36,0,,,1,9599,0.0,0.0,0.0,0.0
MUS,MU,3339,32096,32096,bambous a government school,13537,57.49889,-20.1887446,1,,,2015,,,18,0,,,18,2,,,18,2,,,1,9627,0.0,0.1111111111111111,0.1111111111111111,0.19799673887724198
MUS,MU,3339,32096,32096,bambous b government school,13538,57.49889,-20.1608912,1,,,2015,,,32,0,,,32,0,,,32,1,,,1,9631,0.0,0.0,0.03125,0.029481132075471695
MUS,MU,3335,32092,32092,beau vallon g.s,13524,57.70472833,-20.41732167,3,,,2015,,,48,0,,,48,1,,,48,1,,,1,9605,0.0,0.020833333333333332,0.020833333333333332,0.03889871593291404
MUS,MU,3339,32096,32096,briquetterie govt s chool,13539,57.5226713,-20.1436198,1,,,2015,,,25,0,,,25,0,,,25,3,,,1,9630,0.0,0.0,0.12,0.11320754716981131
MUS,MU,3338,32095,32095,candos gs (zep),13529,57.4782836,-20.2763888,1,,,2015,,,16,0,,,16,0,,,16,0,,,1,9621,0.0,0.0,0.0,0.0
MUS,MU,3334,32091,32091,caroline gs,13516,57.75471,-20.24806167,3,,,2015,,,16,0,,,16,0,,,16,0,,,1,9596,0.0,0.0,0.0,0.0
MUS,MU,3338,32095,32095,chooroommooney gs,13530,57.4853561,-20.3054872,1,,,2015,,,33,0,,,33,1,,,33,2,,,1,9623,0.0,0.030303030303030304,0.06060606060606061,0.08403070152641336
MUS,MU,3339,32096,32096,emmanuel anquetil government school,13540,57.5117192,-20.1447708,1,,,2015,,,30,0,,,30,8,,,30,7,,,1,9624,0.0,0.26666666666666666,0.23333333333333334,0.4129979035639412
MUS,MU,3337,32094,32094,h ramnarain govt school,13547,57.52713667,-20.13122167,3,,,2015,,,49,0,,,49,19,,,49,11,,,1,9609,0.0,0.3877551020408163,0.22448979591836735,0.4954696549393727
MUS,MU,3339,32096,32096,jules koenig government school,13541,57.4842386,-20.1887446,1,,,2015,,,50,0,,,50,0,,,50,1,,,1,9626,0.0,0.0,0.02,0.018867924528301886
MUS,MU,3341,32098,32098,mangues gs,13555,63.39713833,-19.71862333,3,,,2015,,,18,0,,,18,1,,,18,3,,,1,9638,0.0,0.05555555555555555,0.16666666666666666,0.20090845562543674
MUS,MU,3339,32096,32096,marcel carbon government school,13542,57.5314702,-20.1555389,1,,,2015,,,20,0,,,20,1,,,20,4,,,1,9628,0.0,0.05,0.2,0.22641509433962262
MUS,MU,3337,32094,32094,marie reine r c a,13548,57.68445833,-20.06284167,4,,,2015,,,30,0,,,30,5,,,30,2,,,1,9615,0.0,0.16666666666666666,0.06666666666666667,0.20964360587002095
MUS,MU,3337,32094,32094,mohabeer foogooa government school,13549,57.57164833,-20.15064833,3,,,2015,,,55,0,,,55,8,,,55,1,,,1,9612,0.0,0.14545454545454545,0.01818181818181818,0.15187899578980196
MUS,MU,3339,32096,32096,nicolay government school,13543,57.5168333,-20.1455976,1,,,2015,,,26,0,,,26,0,,,26,2,,,1,9625,0.0,0.0,0.07692307692307693,0.07256894049346879
MUS,MU,3338,32095,32095,nuckcheddy,13531,57.46161833,-20.25444667,3,,,2015,,,6,0,,,6,1,,,6,0,,,1,9622,0.0,0.16666666666666666,0.0,0.1572327044025157
MUS,MU,3334,32091,32091,osman perrun gs,13517,57.65276333,-20.24621167,3,,,2015,,,31,0,,,31,0,,,31,0,,,1,9600,0.0,0.0,0.0,0.0
MUS,MU,3341,32098,32098,oyster bay gs,13556,63.40713833,-19.69359,3,,,2015,,,24,0,,,24,0,,,24,1,,,1,9636,0.0,0.0,0.041666666666666664,0.03930817610062892
MUS,MU,3337,32094,32094,pamplemousses government school,13550,57.5773913,-20.1071452,1,,,2015,,,46,0,,,46,5,,,46,1,,,1,9610,0.0,0.10869565217391304,0.021739130434782608,0.12082248457395584
MUS,MU,3334,32091,32091,pere dorbec rca,13518,57.7496879,-20.2568371,1,,,2015,,,27,0,,,27,0,,,27,0,,,1,9602,0.0,0.0,0.0,0.0
MUS,MU,3338,32095,32095,phoenix govt school,13532,57.501713,-20.2837929,1,,,2015,,,13,0,,,13,1,,,13,0,,,1,9620,0.0,0.07692307692307693,0.0,0.07256894049346879
MUS,MU,3337,32094,32094,pointes aux piments govt school,13551,57.526495,-20.05737833,3,,,2015,,,29,0,,,29,13,,,29,6,,,1,9611,0.0,0.4482758620689655,0.20689655172413793,0.53059026765082
MUS,MU,3341,32098,32098,port mathurin gs,13557,63.4286929,-19.6795306,1,,,2015,,,26,0,,,26,0,,,26,3,,,1,9637,0.0,0.0,0.11538461538461539,0.10885341074020319
MUS,MU,3341,32098,32098,port sud est gs,13558,63.4493361,-19.740393,1,,,2015,,,28,0,,,28,0,,,28,1,,,1,9640,0.0,0.0,0.03571428571428571,0.03369272237196765
MUS,MU,3334,32091,32091,poste de flacq gs,13519,57.7487911,-20.1674203,1,,,2015,,,42,0,,,42,0,,,42,0,,,1,9595,0.0,0.0,0.0,0.0
MUS,MU,3334,32091,32091,poste de flacq rca,13520,57.7406021,-20.1631835,1,,,2015,,,9,0,,,9,0,,,9,0,,,1,9603,0.0,0.0,0.0,0.0
MUS,MU,3337,32094,32094,poudre d'or village govt school,13552,57.5773913,-20.1071452,1,,,2015,,,20,0,,,20,7,,,20,1,,,1,9613,0.0,0.35,0.05,0.3608490566037735
MUS,MU,3334,32091,32091,rajcoomar gajadhur gs,13521,57.7249444,-20.1933101,1,,,2015,,,50,0,,,50,0,,,50,0,,,1,9601,0.0,0.0,0.0,0.0
MUS,MU,3334,32091,32091,ramnarain roy gs,13522,57.7467665,-20.2629218,1,,,2015,,,25,0,,,25,2,,,25,0,,,1,9598,0.0,0.08,0.0,0.07547169811320754
MUS,MU,3334,32091,32091,ramudeen gs,13523,57.64066167,-20.24244833,3,,,2015,,,17,0,,,17,0,,,17,0,,,1,9597,0.0,0.0,0.0,0.0
MUS,MU,3338,32095,32095,reunion gs,13533,57.4853561,-20.3054872,1,,,2015,,,50,0,,,50,0,,,50,0,,,1,9617,0.0,0.0,0.0,0.0
MUS,MU,3342,32099,32099,riv. des anguilles govt school,13561,57.5619462,-20.4887799,1,,,2015,,,54,0,,,54,3,,,54,4,,,1,9641,0.0,0.05555555555555555,0.07407407407407407,0.1184098144265859
MUS,MU,3335,32092,32092,rose belle south g.s,13525,57.608892,-20.4066934,1,,,2015,,,23,0,,,23,0,,,23,0,,,1,9604,0.0,0.0,0.0,0.0
MUS,MU,3335,32092,32092,seegoolam torul g.s,13526,57.6056039,-20.4035983,1,,,2015,,,26,0,,,26,5,,,26,6,,,1,9607,0.0,0.19230769230769232,0.23076923076923078,0.3572624762755387
MUS,MU,3338,32095,32095,shri shamboonath g.s,13534,57.5222384,-20.2910112,1,,,2015,,,37,0,,,37,0,,,37,0,,,1,9616,0.0,0.0,0.0,0.0
MUS,MU,3342,32099,32099,souillac rca,13562,57.522406,-20.5165016,1,,,2015,,,7,0,,,7,0,,,7,0,,,1,9642,0.0,0.0,0.0,0.0
MUS,MU,3335,32092,32092,st patrice rca,13527,57.65830167,-20.43214667,3,,,2015,,,25,0,,,25,0,,,25,0,,,1,9608,0.0,0.0,0.0,0.0
MUS,MU,3341,32098,32098,st. esprit rca,13559,63.3790128,-19.7244513,1,,,2015,,,50,0,,,50,1,,,50,7,,,1,9633,0.0,0.02,0.14,0.14830188679245282
MUS,MU,3338,32095,32095,stanley,13535,57.4613117,-20.2491911,1,,,2015,,,44,0,,,44,0,,,44,0,,,1,9618,0.0,0.0,0.0,0.0
MUS,MU,3338,32095,32095,ste therese rca,13536,57.5275714,-20.31967,1,,,2015,,,50,0,,,50,0,,,50,0,,,1,9619,0.0,0.0,0.0,0.0
MUS,MU,3339,32096,32096,sunnee soorty government school,13544,57.5012222,-20.1608912,1,,,2015,,,19,0,,,19,0,,,19,0,,,1,9629,0.0,0.0,0.0,0.0
MUS,MU,3335,32092,32092,trois boutiques gs,13528,57.6467382,-20.4522205,1,,,2015,,,25,0,,,25,0,,,25,0,,,1,9606,0.0,0.0,0.0,0.0
MUS,MU,3339,32096,32096,vallee des pretres government school,13545,57.5352163,-20.1682295,1,,,2015,,,29,0,,,29,0,,,29,1,,,1,9632,0.0,0.0,0.034482758620689655,0.03253090435914118
