"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"SWZ","SZ",4682,45411,45411,16586,31.093943,-26.378803,3,"","",2015.0,"","",60,0,60,54,60,0,1,14008,0.0,0.9,0.0,0.8490566037735848,5342.100284377746,0,0,0,1
"SWZ","SZ",4684,45440,45440,16581,31.516004,-26.2694818,1,"","",2015.0,"","",51,0,51,7,51,0,1,14154,0.0,0.13725490196078433,0.0,0.12948575656677766,5856.291091998981,1,1,1,2
"SWZ","SZ",4682,45412,45412,16591,31.2602,-26.2273,3,"","",2015.0,"","",43,0,43,18,43,4,1,14013,0.0,0.4186046511627907,0.09302325581395349,0.4459320183270916,5852.2164443133215,2,2,2,3
"SWZ","SZ",4682,45409,45409,16554,31.1565,-26.3644,3,"","",2015.0,"","",27,0,27,0,27,0,1,13996,0.0,0.0,0.0,0.0,3085.2953329562993,3,3,3,4
"SWZ","SZ",4684,45438,45438,16524,31.3557289,-26.5059202,1,"","",2015.0,"","",50,0,50,0,49,0,1,14144,0.0,0.0,0.0,0.0,1758.2133290465654,5,5,5,6
"SWZ","SZ",4685,45456,45456,16682,31.415359,-27.286119,3,"","",2015.0,"","",50,0,50,1,50,0,1,14227,0.0,0.02,0.0,0.018867924528301886,4447.523553701952,6,6,6,7
"SWZ","SZ",4684,45459,45459,16697,31.2681553,-26.4987338,1,"","",2015.0,"","",45,0,45,2,45,0,1,14091,0.0,0.044444444444444446,0.0,0.04192872117400419,4767.565179144596,7,7,7,8
"SWZ","SZ",4685,45445,45445,16436,30.990077,-26.979555,3,"","",2015.0,"","",50,0,50,0,50,0,1,14178,0.0,0.0,0.0,0.0,1190.6114817121054,8,8,8,9
"SWZ","SZ",4682,45406,45406,16500,31.551562099999998,-26.0833301,1,"","",2015.0,"","",49,1,49,0,49,0,1,13978,0.02040816326530612,0.0,0.0,0.01925298421255294,5762.0111075103105,9,9,9,10
"SWZ","SZ",4685,45446,45446,16450,31.554413,-27.218813,3,"","",2015.0,"","",50,0,50,0,50,0,1,14181,0.0,0.0,0.0,0.0,3997.0942493288735,10,10,10,11
"SWZ","SZ",4682,45411,45411,16587,31.085558,-26.421126,3,"","",2015.0,"","",50,0,50,1,50,0,1,14007,0.0,0.02,0.0,0.018867924528301886,5342.100284377746,11,11,11,12
"SWZ","SZ",4684,45430,45430,16431,31.4229575,-26.3333437,1,"","",2015.0,"","",48,0,48,0,48,0,1,14105,0.0,0.0,0.0,0.0,2963.3809538209584,12,12,12,13
"SWZ","SZ",4683,45426,45426,16642,31.927981,-26.827367,3,"","",2015.0,"","",50,2,50,7,50,0,1,14082,0.04,0.14,0.0,0.16452830188679246,5256.591298513259,13,13,13,14
"SWZ","SZ",4684,45439,45439,16565,30.9962356,-26.5380011,1,"","",2015.0,"","",50,0,50,0,50,0,1,14149,0.0,0.0,0.0,0.0,3859.4521941941416,14,14,14,15
"SWZ","SZ",4684,45441,45441,16607,31.4158016,-26.5465245,1,"","",2015.0,"","",50,0,50,0,50,0,1,14157,0.0,0.0,0.0,0.0,4145.9154886867045,15,15,15,16
"SWZ","SZ",4682,45406,45406,16501,31.601476,-26.095638,3,"","",2015.0,"","",49,0,49,1,49,0,1,13982,0.0,0.02040816326530612,0.0,0.01925298421255294,5762.0111075103105,16,16,16,17
"SWZ","SZ",4684,45441,45441,16608,31.553988,-26.617029,3,"","",2015.0,"","",50,0,50,0,50,0,1,14156,0.0,0.0,0.0,0.0,5900.2568977795,17,17,17,18
"SWZ","SZ",4684,45442,45442,16627,31.0026074,-26.7515205,1,"","",2015.0,"","",50,0,50,0,50,0,1,14165,0.0,0.0,0.0,0.0,691.1661058965951,18,18,18,19
"SWZ","SZ",4682,45413,45413,16617,31.435674,-26.007904,3,"","",2015.0,"","",50,0,50,2,50,0,1,14017,0.0,0.04,0.0,0.03773584905660377,4606.523565834013,19,19,19,20
"SWZ","SZ",4685,45458,45458,16717,31.274138,-27.225917,3,"","",2015.0,"","",50,0,50,0,50,0,1,14237,0.0,0.0,0.0,0.0,3892.250812605512,20,20,20,21
"SWZ","SZ",4684,45439,45439,16566,30.862597,-26.480796,3,"","",2015.0,"","",48,0,48,0,48,0,1,14147,0.0,0.0,0.0,0.0,4969.843521109234,21,21,21,22
"SWZ","SZ",4683,45421,45421,16485,31.8598,-26.9658,3,"","",2015.0,"","",48,3,48,6,48,0,1,14057,0.0625,0.125,0.0,0.16951650943396224,7178.975675829941,22,22,22,23
"SWZ","SZ",4682,45404,45404,16441,31.238,-26.3368,3,"","",2015.0,"","",52,1,52,1,52,1,1,13971,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.05338674736561864,4337.316394060166,23,23,23,24
"SWZ","SZ",4683,45426,45426,16643,31.900448,-26.861596,3,"","",2015.0,"","",50,0,50,0,50,0,1,14081,0.0,0.0,0.0,0.0,3998.058939231866,24,24,24,25
"SWZ","SZ",4683,45423,45423,16534,32.090798,-26.586231,3,"","",2015.0,"","",56,1,56,10,56,0,1,14065,0.017857142857142856,0.17857142857142858,0.0,0.1823016942626107,6578.236394290485,25,25,25,26
"SWZ","SZ",4684,45436,45436,16515,30.796599,-26.6614854,1,"","",2015.0,"","",50,0,50,0,50,0,1,14133,0.0,0.0,0.0,0.0,11281.30422016873,26,26,26,27
"SWZ","SZ",4684,45435,45435,16510,31.0958,-26.7453,3,"","",2015.0,"","",50,0,50,0,50,0,1,14131,0.0,0.0,0.0,0.0,9791.196832988178,27,27,27,28
"SWZ","SZ",4685,45452,45452,16612,31.3769842,-26.9521579,1,"","",2015.0,"","",50,0,50,0,50,0,1,14213,0.0,0.0,0.0,0.0,4589.225456861174,28,28,28,29
"SWZ","SZ",4685,45455,45455,16667,31.475721,-27.074323,3,"","",2015.0,"","",50,0,50,2,50,0,1,14222,0.0,0.04,0.0,0.03773584905660377,5523.374709448413,29,29,29,30
"SWZ","SZ",4682,45414,45414,16637,31.2026,-26.1868,3,"","",2015.0,"","",54,0,54,5,54,0,1,14022,0.0,0.09259259259259259,0.0,0.08735150244584206,7286.463495299989,30,30,30,31
"SWZ","SZ",4684,45430,45430,16432,31.399982,-26.35825,3,"","",2015.0,"","",50,0,50,0,50,0,1,14108,0.0,0.0,0.0,0.0,4014.192083637103,31,31,31,32
"SWZ","SZ",4684,45435,45435,16511,31.2759955,-26.822422,3,"","",2015.0,"","",50,0,50,1,50,0,1,14129,0.0,0.02,0.0,0.018867924528301886,1830.332401838989,32,32,32,33
