iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
ZAF,ZA,4463.0,43274.0,43274.0,aberdeen primary school,,24.0611,-32.4743,3,school,mapping,2017.0,5.0,15.0,37,0,0.0,0.0,37,12,0.0,0.0,37,0,0.0,0.0,1,36314,0.0,0.32432432432432434,0.0,0.3059663437021927
ZAF,ZA,4465.0,43283.0,43283.0,akasia primary school,,28.1291,-25.6679,3,school,mapping,2017.0,5.0,16.0,50,4,0.0,0.0,50,7,0.0,0.0,50,0,0.0,0.0,1,36360,0.08,0.14,0.0,0.19698113207547172
ZAF,ZA,4463.0,43274.0,43274.0,alexandria primary school,,26.4155,-33.6501,3,school,mapping,2017.0,5.0,15.0,27,4,0.0,0.0,27,2,0.0,0.0,27,0,0.0,0.0,1,36315,0.14814814814814814,0.07407407407407407,0.0,0.199290835209773
ZAF,ZA,4465.0,43280.0,43280.0,alrapark primary school,,28.5086,-26.4355,3,school,mapping,2017.0,5.0,16.0,46,1,0.0,0.0,46,10,0.0,10.0,46,0,0.0,0.0,1,36321,0.021739130434782608,0.21739130434782608,0.0,0.22113635553019223
ZAF,ZA,4469.0,43306.0,43306.0,b.m mokitime primary shool,,25.5884,-25.8672,3,school,mapping,2017.0,5.0,16.0,35,2,0.0,0.0,35,13,0.0,7.69,35,0,0.0,0.0,1,36655,0.05714285714285714,0.37142857142857144,0.0,0.38428956488255683
ZAF,ZA,4463.0,43269.0,43269.0,balasi primary school,,27.4429,-32.8306,3,school,mapping,2017.0,5.0,15.0,48,0,0.0,0.0,48,8,12.5,0.0,48,0,0.0,0.0,1,36286,0.0,0.16666666666666666,0.0,0.1572327044025157
ZAF,ZA,4465.0,43280.0,43280.0,bapsfontein primary school,,28.428,-25.9999,3,school,mapping,2017.0,5.0,16.0,47,1,0.0,0.0,47,0,0.0,0.0,47,0,0.0,0.0,1,36322,0.02127659574468085,0.0,0.0,0.020072260136491365
ZAF,ZA,4469.0,43304.0,43304.0,barseba primary school,,27.5345,-25.5482,3,school,mapping,2017.0,5.0,16.0,50,7,14.29,0.0,50,11,0.0,0.0,50,0,0.0,0.0,1,36629,0.14,0.22,0.0,0.310566037735849
ZAF,ZA,4469.0,43306.0,43306.0,bathobatho primary school,,25.4744,-26.2016,3,school,mapping,2017.0,5.0,16.0,34,0,0.0,0.0,34,11,0.0,0.0,34,0,0.0,0.0,1,36656,0.0,0.3235294117647059,0.0,0.30521642619311873
ZAF,ZA,4469.0,43305.0,43305.0,baviaanskraans primary school,,26.4417,-27.3437,3,school,mapping,2017.0,5.0,16.0,24,0,0.0,0.0,24,3,0.0,0.0,24,0,0.0,0.0,1,36643,0.0,0.125,0.0,0.11792452830188678
ZAF,ZA,4469.0,43304.0,43304.0,bogatsu primary school,,26.618,-25.4923,3,school,mapping,2017.0,5.0,16.0,50,11,27.27,0.0,50,23,0.0,0.0,50,0,0.0,0.0,1,36630,0.22,0.46,0.0,0.5460377358490567
ZAF,ZA,4469.0,43304.0,43304.0,bogosi primary school,,26.9575,-26.419,3,school,mapping,2017.0,5.0,16.0,50,1,0.0,0.0,50,5,0.0,0.0,50,0,0.0,0.0,1,36631,0.02,0.1,0.0,0.11132075471698112
ZAF,ZA,4465.0,43282.0,43282.0,boiketlong christian school,,27.9462,-26.6504,3,school,mapping,2017.0,5.0,16.0,30,1,0.0,0.0,30,2,0.0,0.0,30,0,0.0,0.0,1,36346,0.03333333333333333,0.06666666666666667,0.0,0.09224318658280922
ZAF,ZA,4469.0,43307.0,43307.0,boitumelong primary school,,26.6077,-26.897,3,school,mapping,2017.0,5.0,16.0,47,8,0.0,12.5,47,12,0.0,0.0,47,0,0.0,0.0,1,36669,0.1702127659574468,0.2553191489361702,0.0,0.3604465437276322
ZAF,ZA,4463.0,43267.0,43267.0,bokamoso primary school,,28.803,-30.3409,3,school,mapping,2017.0,5.0,15.0,35,0,0.0,0.0,35,8,0.0,0.0,35,0,0.0,0.0,1,36276,0.0,0.22857142857142856,0.0,0.21563342318059298
ZAF,ZA,4465.0,43282.0,43282.0,boneha primary school,,28.328,-26.552,3,school,mapping,2017.0,5.0,16.0,33,1,0.0,0.0,33,11,0.0,0.0,33,0,0.0,0.0,1,36347,0.030303030303030304,0.3333333333333333,0.0,0.3335239184295788
ZAF,ZA,4465.0,43281.0,43281.0,bonwelong primary school,,28.2001,-25.999,3,school,mapping,2017.0,5.0,16.0,44,2,0.0,0.0,44,7,0.0,0.0,44,0,0.0,0.0,1,36336,0.045454545454545456,0.1590909090909091,0.0,0.18614532979884604
ZAF,ZA,4469.0,43304.0,43304.0,borite primary school,,27.1967,-25.2889,3,school,mapping,2017.0,5.0,16.0,43,1,0.0,0.0,43,15,0.0,0.0,43,0,0.0,0.0,1,36632,0.023255813953488372,0.3488372093023256,0.0,0.3433778585058726
ZAF,ZA,4465.0,43283.0,43283.0,boschkop primary school,,28.5008,-25.8582,3,school,mapping,2017.0,5.0,16.0,49,6,16.67,33.33,49,6,0.0,0.0,49,0,0.0,0.0,1,36361,0.12244897959183673,0.12244897959183673,0.0,0.21689076092508622
ZAF,ZA,4465.0,43281.0,43281.0,bottom mine primary school,,27.7645,-26.2189,3,school,mapping,2017.0,5.0,16.0,50,1,100.0,0.0,50,20,0.0,0.0,50,0,0.0,0.0,1,36337,0.02,0.4,0.0,0.38867924528301884
ZAF,ZA,4465.0,43284.0,43284.0,brandvlei primary farm school,,27.5948,-26.134900000000002,3,school,mapping,2017.0,5.0,16.0,49,2,50.0,0.0,49,20,0.0,0.0,49,1,0.0,0.0,1,36375,0.04081632653061224,0.40816326530612246,0.02040816326530612,0.41877846751377656
ZAF,ZA,4463.0,43269.0,43269.0,breidbach primary school,,27.4429,-32.8865,3,school,mapping,2017.0,5.0,15.0,26,0,0.0,0.0,26,4,0.0,0.0,26,0,0.0,0.0,1,36287,0.0,0.15384615384615385,0.0,0.14513788098693758
ZAF,ZA,4463.0,43267.0,43267.0,buffalonek jr primary school,,28.8575,-30.8261,3,school,mapping,2017.0,5.0,15.0,24,1,0.0,0.0,24,7,0.0,0.0,24,0,0.0,0.0,1,36277,0.041666666666666664,0.2916666666666667,0.0,0.3030005241090147
ZAF,ZA,4465.0,43284.0,43284.0,bulelani primary school,,27.6981,-26.2297,3,school,mapping,2017.0,5.0,16.0,50,3,0.0,0.0,50,17,0.0,0.0,50,1,0.0,100.0,1,36376,0.06,0.34,0.02,0.3698188679245283
ZAF,ZA,4463.0,43270.0,43270.0,cala river sr primary school,,27.6164,-31.5034,3,school,mapping,2017.0,5.0,15.0,12,0,0.0,0.0,12,3,0.0,0.0,12,0,0.0,0.0,1,36291,0.0,0.25,0.0,0.23584905660377356
ZAF,ZA,4468.0,43302.0,43302.0,carolina combined,,30.117,-26.0674,3,school,mapping,2018.0,5.0,15.0,46,0,0.0,0.0,46,24,0.0,0.0,46,0,0.0,0.0,1,36608,0.0,0.5217391304347826,0.0,0.49220672682526656
ZAF,ZA,4463.0,43268.0,43268.0,cilo primary school,,28.3336,-32.3438,3,school,mapping,2017.0,5.0,15.0,50,0,0.0,0.0,50,22,40.9,0.0,50,1,0.0,0.0,1,36281,0.0,0.44,0.02,0.42566037735849055
