"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"ZMB","ZM",5335.0,50876.0,50876.0,"batunga",59914.0,26.133333,-15.533333,1,"","",2005,"","",61,51,61,0,61,0,2,18321,0.8360655737704918,0.0,0.0,0.7887411073306526
"ZMB","ZM",5339.0,53177.0,53177.0,"bbakasa",59902.0,28.7857,-16.360500000000002,3,"","",2005,"","",72,1,72,1,72,0,2,18354,0.013888888888888888,0.013888888888888888,0.0,0.026023468436990445
"ZMB","ZM",5337.0,50837.0,50837.0,"chamanda",59871.0,32.740101,-13.3024,3,"","",2002,"","",54,25,54,0,54,0,2,18284,0.46296296296296297,0.0,0.0,0.4367575122292103
"ZMB","ZM",5335.0,50823.0,50823.0,"changachanga basic",59959.0,27.451799,-15.5184,3,"","",2005,"","",62,19,62,4,62,0,2,18260,0.3064516129032258,0.06451612903225806,0.0,0.3313176133351658
"ZMB","ZM",5342.0,50877.0,50877.0,"chawila",59936.0,26.2894,-16.5011,3,"","",2005,"","",61,0,61,1,61,0,2,18330,0.0,0.01639344262295082,0.0,0.015465511908444168
"ZMB","ZM",5337.0,50837.0,50837.0,"chikoka",59872.0,32.686901,-13.3512,3,"","",2002,"","",53,26,53,0,53,0,2,18275,0.49056603773584906,0.0,0.0,0.4627981488074047
"ZMB","ZM",5342.0,50874.0,50874.0,"chilube community",59904.0,27.194599,-16.7936,3,"","",2005,"","",61,4,61,0,61,0,2,18306,0.06557377049180328,0.0,0.0,0.06186204763377667
"ZMB","ZM",5337.0,50837.0,50837.0,"chingazi",59873.0,32.3386,-13.8725,3,"","",2002,"","",66,36,66,1,66,0,2,18289,0.5454545454545454,0.015151515151515152,0.0,0.5210769790529652
"ZMB","ZM",5337.0,50837.0,50837.0,"chipangali",59874.0,32.763401,-13.2175,3,"","",2002,"","",45,27,45,1,45,1,2,18281,0.6,0.022222222222222223,0.022222222222222223,0.5826228744467736
"ZMB","ZM",5337.0,50837.0,50837.0,"chipata",59875.0,32.6447001,-13.6445104,1,"","",2002,"","",60,33,60,0,60,2,2,18264,0.55,0.0,0.03333333333333333,0.5330188679245284
"ZMB","ZM",5337.0,50837.0,50837.0,"dzoole",59876.0,32.857201,-13.4181,3,"","",2002,"","",40,12,40,0,40,0,2,18261,0.3,0.0,0.0,0.28301886792452824
"ZMB","ZM",5342.0,50877.0,50877.0,"goodhope basic",59937.0,26.3403,-17.0468,3,"","",2005,"","",58,4,58,0,58,0,2,18332,0.06896551724137931,0.0,0.0,0.06506180871828236
"ZMB","ZM",5342.0,53186.0,53186.0,"habeenzu middle basic",59966.0,27.4375,-16.7748,3,"","",2005,"","",60,4,60,0,60,1,2,18358,0.06666666666666667,0.0,0.016666666666666666,0.07756813417190775
"ZMB","ZM",5335.0,50876.0,50876.0,"habulile community",59915.0,26.3098,-16.2154,3,"","",2005,"","",55,11,55,0,55,0,2,18318,0.2,0.0,0.0,0.18867924528301885
"ZMB","ZM",5342.0,50874.0,50874.0,"hamubwatu",59905.0,26.9285,-16.4495,3,"","",2005,"","",59,3,59,0,59,0,2,18302,0.05084745762711865,0.0,0.0,0.04796929964822513
"ZMB","ZM",5337.0,50837.0,50837.0,"hillside",59877.0,32.643501,-13.6391,3,"","",2002,"","",63,31,63,2,63,1,2,18286,0.49206349206349204,0.031746031746031744,0.015873015873015872,0.4867877291899311
"ZMB","ZM",5342.0,50877.0,50877.0,"inkumbi basic",59938.0,26.3277,-17.1521,3,"","",2005,"","",61,4,61,0,61,0,2,18329,0.06557377049180328,0.0,0.0,0.06186204763377667
"ZMB","ZM",5335.0,50876.0,50876.0,"itezhizhi basic",59916.0,26.0542,-16.0468,3,"","",2005,"","",59,15,59,2,59,0,2,18317,0.2542372881355932,0.03389830508474576,0.0,0.26369564156905684
"ZMB","ZM",5342.0,50878.0,50878.0,"james siachitema",59946.0,25.5044,-17.2594,3,"","",2005,"","",62,6,62,0,62,0,2,18338,0.0967741935483871,0.0,0.0,0.09129640900791235
"ZMB","ZM",5342.0,50880.0,50880.0,"kaabo mid basic",59954.0,27.556100999999998,-15.487,3,"","",2005,"","",59,14,59,0,59,0,2,18339,0.23728813559322035,0.0,0.0,0.22385673169171727
