"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"BEN","BJ",376,3275.0,3275,"",2.631317,6.468061,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22109,"","","","",3034.8930937510713,66,66,66,15
"BEN","BJ",369,3230.0,3230,"",2.201858,6.410489,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22219,"","","","",1283.8914659028965,67,67,67,16
"BEN","BJ",378,3286.0,3286,"",2.529119,7.035931,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22167,"","","","",7759.455972571023,68,68,68,17
"BEN","BJ",372,3252.0,3252,"",2.088772,9.746483,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22236,"","","","",41432.01873980109,69,69,69,18
"BEN","BJ",375,3262.0,3262,"",1.922222,6.403333,3,"","mapping",2014.0,8.0,14.0,"","","","","","",2,22019,"","","","",2687.2400610723776,70,70,70,19
"BEN","BJ",371,3245.0,3245,"",2.321692,7.898922,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22231,"","","","",8071.017363679569,71,71,71,20
"BEN","BJ",376,"",17550,"",2.5,6.385,4,"","",2000.0,3.0,5.0,140.0,18.0,140.0,53.0,140.0,66.0,3,29139,0.12857142857142856,0.37857142857142856,0.4714285714285714,0.6733607459156168,1964.0535098661242,72,72,72,21
"BEN","BJ",376,3267.0,3267,"",2.675617,6.455275,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22134,"","","","",2245.7307570668913,73,73,73,22
"BEN","BJ",378,3285.0,3285,"",2.144978,7.437356,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22175,"","","","",8324.771490782829,74,74,74,23
"BEN","BJ",376,3268.0,3268,"",2.477278,6.657456,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22138,"","","","",602.8708170126954,75,75,75,24
"BEN","BJ",377,3274.0,3274,"",2.483444,7.590756,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22125,"","","","",20112.83536497764,76,76,76,25
"BEN","BJ",378,3282.0,3282,"",1.9534859999999998,7.037925,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22250,"","","","",4903.373440676018,77,77,77,26
"BEN","BJ",376,3268.0,3268,"",2.541161,6.773139,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22137,"","","","",2155.312173886858,78,78,78,27
"BEN","BJ",376,3268.0,3268,"",2.5491669999999997,6.7556329999999996,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22136,"","","","",2155.312173886858,79,79,79,28
"BEN","BJ",377,3274.0,3274,"",2.687531,7.639247,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22127,"","","","",4347.811929766238,80,80,80,29
"BEN","BJ",371,3247.0,3247,"",2.7515140000000002,8.707253,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22183,"","","","",25946.412188395112,81,81,81,30
"BEN","BJ",376,3270.0,3270,"",2.602422,6.567217,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22131,"","","","",780.7271494406768,82,82,82,31
"BEN","BJ",370,3239.0,3239,"",3.2794721,9.9966936,3,"","mapping",2012.0,"","",0.0,0.0,72.0,0.0,72.0,0.0,1,30341,"",0.0,0.0,"",10021.701374741371,83,83,83,32
"BEN","BJ",373,3257.0,3257,"",1.836389,6.979167,3,"","mapping",2014.0,8.0,14.0,"","","","","","",2,22064,"","","","",6649.845165731798,84,84,84,33
"BEN","BJ",378,3281.0,3281,"",1.981822,7.164103,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22256,"","","","",2300.9330317658073,85,85,85,34
"BEN","BJ",371,3245.0,3245,"",2.370111,7.759461,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22229,"","","","",8572.727705840845,86,86,86,35
"BEN","BJ",371,3249.0,3249,"",2.393036,8.014528,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22245,"","","","",8434.776282715671,87,87,87,36
"BEN","BJ",370,3241.0,3241,"",3.048656,9.613778,3,"","mapping",2015.0,8.0,14.0,"","","","","","",2,22239,"","","","",7407.809290970588,88,88,88,37
