"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"CMR","CM",821.0,7501.0,7501.0,"",15.184,10.383,3,"","",1982.0,0.0,99.0,158,80,0.0,0,0.0,0,3,30065,0.5063291139240507,"","","",1189.1575643867106,0,0,0,1
"CMR","CM",819.0,7432.0,7432.0,"",11.23,4.752,3,"","",1980.0,0.0,99.0,689,411,689.0,476,689.0,483,3,29141,0.5965166908563135,0.690856313497823,0.7010159651669086,0.9082136136156582,27917.29342749834,1,1,1,2
"CMR","CM",827.0,7602.0,7602.0,50438.0,9.2124004,4.4748001,3,"","",1998.0,"","",48,12,48.0,34,48.0,30,3,2578,0.25,0.7083333333333334,0.625,0.8660082547169812,1677.2972949892257,2,2,2,3
"CMR","CM",827.0,7604.0,7604.0,50483.0,9.3274282,4.5345138,1,"","",1998.0,"","",28,6,28.0,19,28.0,6,3,2583,0.21428571428571427,0.6785714285714286,0.21428571428571427,0.7561953352769679,12450.821647509223,3,3,3,4
"CMR","CM",827.0,7599.0,7599.0,"",9.4575,4.607222,3,"","",2010.0,5.0,15.0,162,12,162.0,28,162.0,18,1,31296,0.07407407407407407,0.1728395061728395,0.1111111111111111,0.301141009529342,29.823233429739187,4,4,4,5
"CMR","CM",827.0,7599.0,7599.0,50386.0,9.4576998,4.6073999,3,"","",1998.0,"","",40,4,40.0,20,40.0,13,3,2573,0.1,0.5,0.325,0.6568396226415093,29.823233429739187,5,5,5,6
"CMR","CM",822.0,7512.0,7512.0,50399.0,9.75,4.7305999,3,"","",2000.0,"","",142,1,142.0,69,142.0,103,3,2567,0.007042253521126761,0.4859154929577465,0.7253521126760564,0.8111340449715468,35328.62064846111,6,6,6,7
"CMR","CM",818.0,7422.0,7422.0,"",14.691,6.834,3,"","",1985.0,0.0,99.0,763,352,763.0,34,763.0,60,3,29126,0.4613368283093054,0.04456094364351245,0.07863695937090433,0.49604853950979566,634.3818508555312,7,7,7,8
"CMR","CM",821.0,7477.0,7477.0,10441.0,15.26857,10.09638,3,"","",2012.0,"","",50,4,50.0,0,50.0,0,1,2614,0.08,0.0,0.0,0.07547169811320754,6274.7383720522475,8,8,8,9
"CMR","CM",821.0,7495.0,7495.0,10545.0,14.1407948,11.0465171,1,"","",2012.0,"","",50,1,50.0,0,50.0,0,1,19008,0.02,0.0,0.0,0.018867924528301886,5548.368350424286,9,9,9,10
"CMR","CM",821.0,7473.0,7473.0,10394.0,14.7533198,10.81632,3,"","",2012.0,"","",50,0,50.0,0,50.0,0,1,2604,0.0,0.0,0.0,0.0,12416.843449040136,10,10,10,11
"CMR","CM",821.0,7477.0,7477.0,10440.0,15.27195,10.03109,3,"","",2012.0,"","",50,0,50.0,0,50.0,0,1,2613,0.0,0.0,0.0,0.0,4961.085192605952,11,11,11,12
"CMR","CM",821.0,7474.0,7474.0,10399.0,13.55076,10.27468,1,"","",2012.0,"","",50,0,50.0,0,50.0,0,1,18912,0.0,0.0,0.0,0.0,7458.823384039141,12,12,12,13
"CMR","CM",821.0,7494.0,7494.0,10540.0,13.77587,10.736,3,"","",2012.0,"","",50,2,50.0,0,50.0,0,1,19002,0.04,0.0,0.0,0.03773584905660377,3241.6204981582523,13,13,13,14
"CMR","CM",823.0,7536.0,7536.0,10573.0,13.4612924,9.2780215,1,"","",2012.0,"","",50,0,50.0,0,50.0,0,1,19092,0.0,0.0,0.0,0.0,7239.821100161202,14,14,14,15
"CMR","CM",823.0,7530.0,7530.0,10420.0,13.4090842,9.316294,3,"","",2012.0,"","",50,0,50.0,0,50.0,0,1,2680,0.0,0.0,0.0,0.0,1886.5174836203096,15,15,15,16
"CMR","CM",821.0,7480.0,7480.0,10460.0,14.4432179,10.1111834,1,"","",2012.0,"","",50,0,50.0,0,50.0,0,1,2624,0.0,0.0,0.0,0.0,3335.784805366544,16,16,16,17
