iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
ETH,ET,1949.0,3143.0,18889.0,abadir,52341.0,42.39694,9.3010169,1,,,2009.0,,,91.0,9,,,91.0,4,,,91.0,0,,,1,5166
ETH,ET,1948.0,3189.0,18966.0,abaye deneba village,52466.0,40.489674,9.1450005,3,,,2008.0,,,0.0,0,,,491.0,41,,,491.0,46,,,1,5214
ETH,ET,1948.0,3135.0,18845.0,abdi boru,52290.0,38.267101,5.39575,3,,,2009.0,,,107.0,17,,,107.0,9,,,107.0,7,,,1,5147
ETH,ET,1948.0,3144.0,18747.0,abine germama,52147.0,38.681099,7.99264,3,,,2009.0,,,107.0,1,,,107.0,1,,,107.0,4,,,1,5103
ETH,ET,1943.0,3171.0,18602.0,achera,,38.415001,11.719,3,,,1995.0,5.0,16.0,63.0,11,,,63.0,37,,,63.0,12,,,3,30116
ETH,ET,1948.0,3155.0,18756.0,adare,52166.0,35.750702,8.5789204,3,,,2009.0,,,78.0,33,,,78.0,31,,,78.0,5,,,1,5107
ETH,ET,1943.0,3171.0,18602.0,adarkay,,38.063,13.451,3,,,1995.0,5.0,19.0,114.0,23,,,114.0,49,,,114.0,2,,,3,30114
ETH,ET,1943.0,3171.0,18602.0,addis zemen junior,,37.782002,12.116,3,,,1995.0,7.0,19.0,115.0,19,,,115.0,57,,,115.0,0,,,3,31533
ETH,ET,1943.0,3171.0,18533.0,adi arkay,52150.0,38.064999,13.45,3,,,0.0,,,120.0,47,,,0.0,0,,,0.0,0,,,3,4956
ETH,ET,1948.0,3155.0,18787.0,adis alem,52198.0,38.4060986,9.0465617,1,,,2009.0,,,101.0,55,,,101.0,36,,,101.0,4,,,1,5121
