"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"GAB","GA",2060.0,20375.0,20375.0,11948.0,10.76233,1.00371,3,"","",2015.0,"","",32,0,32,24,32,28,1,5579,0.0,0.75,0.875,0.9139150943396226,3182.378567440579,0,0,0,1
"GAB","GA",2060.0,20375.0,20375.0,11949.0,10.789353,0.9943829999999999,1,"","",2015.0,"","",97,0,97,43,97,60,1,5576,0.0,0.44329896907216493,0.6185567010309279,0.7430661530409463,3182.378567440579,1,1,1,2
"GAB","GA",2060.0,20376.0,20376.0,11953.0,12.13923,2.15187,3,"","",2015.0,"","",75,2,74,33,74,45,1,5581,0.02666666666666667,0.44594594594594594,0.6081081081081081,0.7440196443256104,1016.0071918545189,2,2,2,3
"GAB","GA",2060.0,20376.0,20376.0,11954.0,12.14867,2.13607,3,"","",2015.0,"","",45,0,45,23,45,30,1,5582,0.0,0.5111111111111111,0.6666666666666666,0.7896575821104121,2049.9219779374694,3,3,3,4
"GAB","GA",2060.0,20376.0,20376.0,11955.0,12.13128,2.14739,3,"","",2015.0,"","",68,0,68,18,68,29,1,5584,0.0,0.2647058823529412,0.4264705882352941,0.5455539596526734,1016.0071918545189,4,4,4,5
"GAB","GA",2053.0,20335.0,20335.0,11900.0,14.1378899,-0.6544913,1,"","",2015.0,"","",77,8,77,32,77,14,1,5367,0.1038961038961039,0.4155844155844156,0.18181818181818182,0.539170348263485,27025.37014617999,7,7,7,7
"GAB","GA",2053.0,20345.0,20345.0,11928.0,14.22667,-0.8990400000000001,3,"","",2015.0,"","",20,2,20,9,20,2,1,5433,0.1,0.45,0.1,0.5231132075471698,956.2854427755893,8,8,8,8
"GAB","GA",2053.0,20338.0,20338.0,11923.0,13.91634,-1.36617,3,"","",2015.0,"","",20,0,20,10,20,1,1,5389,0.0,0.5,0.05,0.4952830188679245,16006.638567337279,15,15,15,12
"GAB","GA",2053.0,20336.0,20336.0,12050.0,13.89741,-1.21274,3,"","",2015.0,"","",46,42,46,36,46,42,1,5371,0.9130434782608695,0.782608695652174,0.9130434782608695,0.941845480583887,9703.700484154379,16,16,16,13
"GAB","GA",2053.0,20338.0,20338.0,11924.0,13.76829,-1.6029200000000001,3,"","",2015.0,"","",16,0,16,3,16,2,1,5391,0.0,0.1875,0.125,0.2727004716981132,4850.194787351799,17,17,17,14
"GAB","GA",2053.0,20340.0,20340.0,12075.0,13.61026,-1.65243,3,"","",2015.0,"","",50,0,50,10,50,12,1,5401,0.0,0.2,0.24,0.36981132075471695,2194.1947955744167,18,18,18,15
"GAB","GA",2053.0,20342.0,20342.0,11975.0,13.19577,-1.48984,3,"","",2015.0,"","",8,1,8,7,8,7,1,5408,0.125,0.875,0.875,0.9304982311320754,7454.155214898928,19,19,19,16
"GAB","GA",2060.0,20375.0,20375.0,11950.0,10.68559,0.96235,3,"","",2015.0,"","",24,0,24,13,24,22,1,5578,0.0,0.5416666666666666,0.9166666666666666,0.9073637316561844,5227.159289476323,22,22,22,18
"GAB","GA",2053.0,20343.0,20343.0,11985.0,13.77499,-1.3397999999999999,3,"","",2015.0,"","",36,1,36,11,36,6,1,5414,0.027777777777777776,0.3055555555555556,0.16666666666666666,0.41261452752542893,11490.335477526814,27,27,27,21
"GAB","GA",2053.0,20343.0,20343.0,11986.0,13.77483,-1.55986,3,"","",2015.0,"","",36,0,36,4,36,1,1,5415,0.0,0.1111111111111111,0.027777777777777776,0.12811553692056835,4850.194787351799,34,34,34,25
"GAB","GA",2053.0,20343.0,20343.0,11987.0,13.7129887,-1.4222993,1,"","",2015.0,"","",26,2,26,10,26,0,1,5413,0.07692307692307693,0.38461538461538464,0.0,0.40750251200178633,10955.995846039252,35,35,35,26
"GAB","GA",2053.0,20344.0,20344.0,12154.0,13.8332,-0.7755000000000001,3,"","",2015.0,"","",28,3,28,7,28,5,1,5428,0.10714285714285714,0.25,0.17857142857142858,0.4244681363111282,19434.72216390422,36,36,36,27
"GAB","GA",2060.0,20375.0,20375.0,11951.0,10.71691,0.99733,3,"","",2015.0,"","",15,0,16,8,16,14,1,5577,0.0,0.5,0.875,0.8844339622641508,5105.783719292167,37,37,37,28
"GAB","GA",2060.0,20378.0,20378.0,12169.0,11.58814,1.6097700000000001,3,"","",2015.0,"","",49,7,49,6,49,29,1,5594,0.14285714285714285,0.12244897959183673,0.5918367346938775,0.6537594959871843,1061.1839074923028,46,46,46,33
"GAB","GA",2060.0,20375.0,20375.0,11952.0,10.5296115,0.8154355,1,"","",2015.0,"","",62,0,62,18,62,31,1,5575,0.0,0.2903225806451613,0.5,0.6086427267194157,23854.17739352347,49,49,49,35
"GAB","GA",2060.0,20378.0,20378.0,12170.0,11.57761,1.61189,3,"","",2015.0,"","",50,4,50,3,50,16,1,5593,0.08,0.06,0.32,0.38861886792452827,238.10209462756166,50,50,50,36
"GAB","GA",2053.0,20342.0,20342.0,11977.0,13.2980962,-1.6761005999999998,1,"","",2015.0,"","",21,3,21,8,21,8,1,5406,0.14285714285714285,0.38095238095238093,0.38095238095238093,0.6335148614701945,13704.82576598311,51,51,51,37
"GAB","GA",2053.0,20341.0,20341.0,12151.0,14.42196,-1.4937,3,"","",2015.0,"","",8,4,8,6,8,6,1,5404,0.5,0.75,0.75,0.9139150943396226,21095.66248176081,54,54,54,39
"GAB","GA",2053.0,20341.0,20341.0,12152.0,14.25697,-1.58689,3,"","",2015.0,"","",96,6,96,45,96,50,1,5405,0.0625,0.46875,0.5208333333333334,0.7182571123231133,21095.66248176081,57,57,57,41
"GAB","GA",2053.0,20337.0,20337.0,12064.0,12.97184,-1.93722,3,"","",2015.0,"","",10,0,10,1,10,2,1,5382,0.0,0.1,0.2,0.2641509433962264,13110.251487298236,58,58,58,42
"GAB","GA",2053.0,20340.0,20340.0,12076.0,13.49226,-1.63272,3,"","",2015.0,"","",50,0,50,34,50,38,1,5400,0.0,0.68,0.76,0.8709433962264149,8487.086938217097,59,59,59,43
"GAB","GA",2053.0,20340.0,20340.0,12077.0,13.41676,-1.6433179999999998,3,"","",2015.0,"","",50,0,50,18,50,13,1,5399,0.0,0.36,0.26,0.4966037735849056,8487.086938217097,60,60,60,44
"GAB","GA",2053.0,20343.0,20343.0,11989.0,13.7318129,-1.2265508,1,"","",2015.0,"","",12,0,12,0,12,0,1,5417,0.0,0.0,0.0,0.0,13494.972366380478,63,63,63,46
"GAB","GA",2053.0,20341.0,20341.0,12153.0,14.37418,-1.08325,3,"","",2015.0,"","",20,8,20,12,20,16,1,5403,0.4,0.6,0.8,0.8981132075471694,26126.632964927925,68,68,68,49
"GAB","GA",2053.0,20338.0,20338.0,11927.0,14.05405,-1.58752,3,"","",2015.0,"","",33,2,33,12,33,6,1,5390,0.06060606060606061,0.36363636363636365,0.18181818181818182,0.48197553265384213,21946.3349392408,69,69,69,50
"GAB","GA",2055.0,20348.0,20348.0,12164.0,10.58328,-1.23197,3,"","",2014.0,"","",48,1,48,5,48,5,1,5456,0.020833333333333332,0.10416666666666667,0.10416666666666667,0.20207712318745633,1946.5349066126862,72,72,72,52
"GAB","GA",2053.0,20340.0,20340.0,12078.0,13.59352,-1.63292,3,"","",2015.0,"","",48,1,48,16,48,16,1,5398,0.020833333333333332,0.3333333333333333,0.3333333333333333,0.5328441649196365,1549.5677120218575,73,73,73,53
"GAB","GA",2051.0,20330.0,20330.0,11995.0,9.44038,0.4052385,1,"","",2014.0,"","",46,0,46,1,46,2,1,5344,0.0,0.021739130434782608,0.043478260869565216,0.060634162000214,1552.2382803850244,74,74,74,54
"GAB","GA",2052.0,20328.0,20328.0,12100.0,9.58083,1.00211,3,"","",2014.0,"","",43,1,43,5,43,15,1,5333,0.023255813953488372,0.11627906976744186,0.3488372093023256,0.41314743616973554,525.7789655085772,75,75,75,55
"GAB","GA",2053.0,20340.0,20340.0,12079.0,13.60744,-1.63293,3,"","",2015.0,"","",47,0,47,6,47,3,1,5402,0.0,0.1276595744680851,0.06382978723404255,0.17296309266551071,1549.5677120218575,76,76,76,56
"GAB","GA",2056.0,20358.0,20358.0,11896.0,10.65465,-3.4319800000000003,3,"","",2015.0,"","",48,0,48,8,48,4,1,5503,0.0,0.16666666666666666,0.08333333333333333,0.22274633123689724,676.3074594468658,77,77,77,57
"GAB","GA",2052.0,20333.0,20333.0,11964.0,9.77094,0.30907,4,"","",2014.0,"","",44,4,44,2,44,19,1,5357,0.09090909090909091,0.045454545454545456,0.4318181818181818,0.47825439802673547,7237.43149919723,78,78,78,58
"GAB","GA",2059.0,20372.0,20372.0,11947.0,9.2613,-1.57062,3,"","",2015.0,"","",50,4,50,7,50,7,1,5558,0.08,0.14,0.14,0.3014792452830189,0.0,81,81,82,60
"GAB","GA",2059.0,20372.0,20372.0,11946.0,9.2613,-1.57062,3,"","",2014.0,"","",50,4,50,7,50,7,1,5559,0.08,0.14,0.14,0.3014792452830189,0.0,82,82,81,60
"GAB","GA",2055.0,20352.0,20352.0,11911.0,11.91761,-1.9105,3,"","",2015.0,"","",89,5,38,23,89,23,1,5477,0.056179775280898875,0.6052631578947368,0.25842696629213485,0.682753862716069,1554.4926870209704,84,84,84,62
"GAB","GA",2056.0,20362.0,20362.0,12072.0,11.00353,-2.91636,3,"","",2015.0,"","",42,0,42,7,42,3,1,5515,0.0,0.16666666666666666,0.07142857142857142,0.21338724168912843,1272.1954822133146,90,90,90,65
"GAB","GA",2056.0,20362.0,20362.0,12073.0,10.99288,-2.9205,3,"","",2015.0,"","",49,0,49,7,49,8,1,5514,0.0,0.14285714285714285,0.16326530612244897,0.2667913526596622,1220.7426923955923,91,91,91,66
"GAB","GA",2056.0,20359.0,20359.0,11938.0,10.92673,-2.44534,3,"","",2015.0,"","",50,0,50,18,50,11,1,5508,0.0,0.36,0.22,0.4724528301886791,1479.0389257246989,92,92,92,67
"GAB","GA",2056.0,20362.0,20362.0,12074.0,10.98487,-2.91302,3,"","",2015.0,"","",47,0,47,5,47,11,1,5513,0.0,0.10638297872340426,0.23404255319148937,0.2976673471305209,1220.7426923955923,93,93,93,68
"GAB","GA",2055.0,20349.0,20349.0,12040.0,11.598700000000001,-2.35051,3,"","",2015.0,"","",48,14,48,34,48,39,1,5464,0.2916666666666667,0.7083333333333334,0.8125,0.9068519064465409,12038.372892564397,94,94,94,69
"GAB","GA",2052.0,20333.0,20333.0,11965.0,9.81959,0.38293000000000005,4,"","",2014.0,"","",42,3,42,4,42,18,1,5361,0.07142857142857142,0.09523809523809523,0.42857142857142855,0.4904926930340867,5231.341549563284,97,97,97,71
"GAB","GA",2057.0,20364.0,20364.0,11959.0,13.22416,0.31776000000000004,3,"","",2015.0,"","",51,0,51,40,51,31,1,5525,0.0,0.7843137254901961,0.6078431372549019,0.8636010823123181,49149.19615056124,98,98,98,72
"GAB","GA",2058.0,20369.0,20369.0,12080.0,12.66614,-0.88402,3,"","",2015.0,"","",42,0,42,3,42,6,1,5546,0.0,0.07142857142857142,0.14285714285714285,0.19252984212552943,9886.067471844568,99,99,99,73
"GAB","GA",2056.0,20359.0,20359.0,11939.0,10.91346,-2.446,3,"","",2015.0,"","",48,0,48,18,48,15,1,5505,0.0,0.375,0.3125,0.5380306603773585,1479.0389257246989,100,100,100,74
"GAB","GA",2059.0,20371.0,20371.0,12095.0,11.5,-2.2669385,1,"","",2015.0,"","",41,0,41,0,41,9,1,5556,0.0,0.0,0.21951219512195122,0.20708697653014263,6799.226185128041,101,101,101,75
"GAB","GA",2057.0,20364.0,20364.0,103059.0,12.68767,0.0,4,"","",2015.0,7.0,0.0,25,1,25,7,25,3,1,667,0.04,0.28,0.12,0.36956981132075467,60850.02549885934,104,104,104,77
"GAB","GA",2059.0,20371.0,20371.0,12096.0,10.03172,-2.72215,3,"","",2015.0,"","",49,0,49,8,49,14,1,5554,0.0,0.16326530612244897,0.2857142857142857,0.3795588316189008,1315.3085439018994,105,105,105,78
"GAB","GA",2058.0,20367.0,20367.0,12115.0,11.89337,-1.00027,3,"","",2015.0,"","",45,0,45,28,45,20,1,5537,0.0,0.6222222222222222,0.4444444444444444,0.7453994875378522,0.0,106,106,107,79
"GAB","GA",2058.0,20367.0,20367.0,12111.0,11.89337,-1.00027,3,"","",2014.0,"","",45,0,45,28,45,20,1,5534,0.0,0.6222222222222222,0.4444444444444444,0.7453994875378522,0.0,107,107,106,79
"GAB","GA",2058.0,20370.0,20370.0,12020.0,12.62921,-1.6688100000000001,3,"","",2015.0,"","",109,0,109,44,109,12,1,5551,0.0,0.4036697247706422,0.11009174311926606,0.4427554379673904,18263.21451640949,108,108,108,80
"GAB","GA",2059.0,20371.0,20371.0,12097.0,10.02098,-2.7270700000000003,3,"","",2015.0,"","",47,0,47,13,47,17,1,5555,0.0,0.2765957446808511,0.3617021276595745,0.507785474516771,726.3515485460259,109,109,109,81
"GAB","GA",2058.0,20367.0,20367.0,12116.0,11.82352,-1.2223600000000001,4,"","",2015.0,"","",116,0,116,76,116,66,1,5532,0.0,0.6551724137931034,0.5689655172413793,0.8031768110739684,0.0,110,110,111,82
"GAB","GA",2058.0,20367.0,20367.0,12112.0,11.82352,-1.2223600000000001,4,"","",2014.0,"","",118,0,118,76,118,66,1,5533,0.0,0.6440677966101694,0.559322033898305,0.795423132584976,0.0,111,111,110,82
"GAB","GA",2058.0,20368.0,20368.0,12016.0,12.47637,-1.1436,3,"","",2015.0,"","",108,1,108,8,108,11,1,5540,0.009259259259259259,0.07407407407407407,0.10185185185185185,0.16611463872185459,18731.45514139939,112,112,112,83
"GAB","GA",2058.0,20369.0,20369.0,12081.0,12.99685,-1.24106,3,"","",2015.0,"","",25,0,25,4,25,5,1,5543,0.0,0.16,0.2,0.3094339622641509,35464.635110723044,113,113,113,84
"GAB","GA",2058.0,20369.0,20369.0,12082.0,12.7263,-0.8187000000000001,3,"","",2015.0,"","",85,0,85,5,85,5,1,5547,0.0,0.058823529411764705,0.058823529411764705,0.10772344453874778,9886.067471844568,114,114,114,85
"GAB","GA",2058.0,20367.0,20367.0,12117.0,12.0077,-1.41864,4,"","",2015.0,"","",28,0,28,18,28,22,1,5539,0.0,0.6428571428571429,0.7857142857142857,0.8711975356180207,0.0,115,115,116,86
"GAB","GA",2058.0,20367.0,20367.0,12113.0,12.0077,-1.41864,4,"","",2014.0,"","",29,0,29,18,29,22,1,5535,0.0,0.6206896551724138,0.7586206896551724,0.8570210665649608,0.0,116,116,115,86
"GAB","GA",2058.0,20369.0,20369.0,12083.0,12.97951,-0.75938,3,"","",2015.0,"","",57,0,57,23,57,16,1,5545,0.0,0.40350877192982454,0.2807017543859649,0.5386272699292088,8302.671309493324,117,117,117,87
"GAB","GA",2055.0,20348.0,20348.0,12165.0,10.591374,-1.2164736,3,"","",2014.0,"","",46,1,46,3,46,5,1,5458,0.021739130434782608,0.06521739130434782,0.10869565217391304,0.17446859817229093,1946.5349066126862,118,118,118,88
