"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"GMB","GM",4915,47651,47651,16867.0,-13.8876548,13.4125447,3,"","",2015.0,"","",49,1,49,2,49,0,1,5998,0.02040816326530612,0.04081632653061224,0.0,0.056973116547350544,1151.255421299134,0,0,0,1
"GMB","GM",4916,47662,47662,16899.0,-16.65094667,13.312075,3,"","",2015.0,"","",49,1,49,1,49,0,1,6101,0.02040816326530612,0.02040816326530612,0.0,0.03811305037995174,1282.2496784977502,1,1,1,2
"GMB","GM",4912,47633,47633,16821.0,-16.70612167,13.44792833,3,"","",2015.0,"","",49,0,49,1,49,0,1,5811,0.0,0.02040816326530612,0.0,0.01925298421255294,483.893127430939,2,2,2,3
"GMB","GM",4912,47633,47633,16822.0,-16.66231667,13.44337833,3,"","",2015.0,"","",52,0,52,0,52,0,1,5829,0.0,0.0,0.0,0.0,205.51939684546053,3,3,3,4
"GMB","GM",4916,47662,47662,16900.0,-16.631725,13.287365,3,"","",2015.0,"","",50,0,50,0,50,0,1,6104,0.0,0.0,0.0,0.0,506.9162488350189,4,4,4,5
"GMB","GM",4916,47664,47664,16942.0,-16.72693167,13.39610333,3,"","",2015.0,"","",50,0,50,0,50,0,1,6145,0.0,0.0,0.0,0.0,734.6082549511436,8,8,8,7
"GMB","GM",4912,47633,47633,16825.0,-16.66584,13.45881667,3,"","",2015.0,"","",50,0,50,0,50,0,1,5816,0.0,0.0,0.0,0.0,455.168918043733,9,9,9,8
"GMB","GM",4912,47633,47633,16826.0,-16.68366667,13.45572333,3,"","",2015.0,"","",49,0,49,1,49,0,1,5855,0.0,0.02040816326530612,0.0,0.01925298421255294,367.6507446228119,10,10,10,9
"GMB","GM",4912,47633,47633,16827.0,-16.70727333,13.44385167,3,"","",2015.0,"","",50,0,50,0,50,0,1,5841,0.0,0.0,0.0,0.0,483.893127430939,12,12,12,11
"GMB","GM",4916,47664,47664,16943.0,-16.76670833,13.38535333,3,"","",2015.0,"","",50,0,50,1,50,1,1,6159,0.0,0.02,0.02,0.03735849056603773,98.09583528329709,15,15,15,13
"GMB","GM",4916,47664,47664,52576.0,-16.6984026,13.4314429,1,"","",2010.0,"","",50,0,50,1,50,0,1,6138,0.0,0.02,0.0,0.018867924528301886,1013.8152481165494,22,22,22,17
"GMB","GM",4916,47667,47667,16722.0,-16.5790323,13.4548761,1,"","",2015.0,"","",0,0,0,0,0,0,1,6059,"","","","",607.0616259788221,25,25,25,19
"GMB","GM",4914,47645,47645,16972.0,-16.5451491,13.4865118,1,"","",2015.0,"","",0,0,0,0,0,0,1,5943,"","","","",622.3215258213221,28,28,28,21
"GMB","GM",4913,47635,47635,16783.0,-14.1161056,13.4886943,1,"","",2015.0,"","",0,0,0,0,0,0,1,5868,"","","","",217.2187941524595,29,29,29,22
"GMB","GM",4913,47635,47635,16784.0,-15.26569667,13.48819667,3,"","",2015.0,"","",50,0,50,1,50,0,1,5867,0.0,0.02,0.0,0.018867924528301886,7352.863148211813,30,30,30,23
"GMB","GM",4915,47654,47654,17077.0,-14.11727,13.48717167,3,"","",2015.0,"","",49,0,49,0,49,0,1,6032,0.0,0.0,0.0,0.0,217.2187941524595,31,31,31,24
"GMB","GM",4916,47664,47664,16944.0,-16.73420833,13.39795833,3,"","",2015.0,"","",50,0,50,3,50,0,1,6155,0.0,0.06,0.0,0.056603773584905655,300.3783683240382,35,35,35,26
"GMB","GM",4915,47655,47655,52594.0,-14.029701,13.420695,3,"","",2005.0,"","",30,0,30,0,30,0,2,6054,0.0,0.0,0.0,0.0,2566.6220545275064,36,36,36,27
"GMB","GM",4913,47637,47637,16873.0,-15.7681278,13.4065482,1,"","",2015.0,"","",0,0,0,0,0,0,1,5878,"","","","",1743.3615127243936,48,48,48,34
"GMB","GM",4913,47637,47637,16874.0,-15.78135167,13.39838667,3,"","",2015.0,"","",48,1,48,1,48,0,1,5880,0.020833333333333332,0.020833333333333332,0.0,0.03889871593291404,1743.3615127243936,49,49,49,35
"GMB","GM",4912,47633,47633,52562.0,-16.685136,13.4197727,1,"","",2010.0,"","",54,1,54,0,54,0,1,5857,0.018518518518518517,0.0,0.0,0.017470300489168412,0.0,50,50,51,36
"GMB","GM",4912,47633,47633,16828.0,-16.685136,13.4197727,1,"","",2015.0,"","",0,0,0,0,0,0,1,5851,"","","","",0.0,51,51,50,36
"GMB","GM",4916,47661,47661,16750.0,-16.05173667,13.18167333,3,"","",2015.0,"","",0,0,0,0,0,0,1,6094,"","","","",42.35139010501556,54,54,54,38
"GMB","GM",4916,47661,47661,16751.0,-16.0515269,13.1813643,1,"","",2015.0,"","",50,0,50,0,50,0,1,6086,0.0,0.0,0.0,0.0,42.35139010501556,55,55,55,39
"GMB","GM",4916,47667,47667,16723.0,-16.58434167,13.45608667,3,"","",2015.0,"","",50,0,50,30,50,4,1,6058,0.0,0.6,0.08,0.5962264150943395,607.0616259788221,56,56,56,40
"GMB","GM",4912,47633,47633,16831.0,-16.67106167,13.42623167,3,"","",2015.0,"","",50,0,50,1,50,0,1,5836,0.0,0.02,0.0,0.018867924528301886,571.0348420045696,57,57,57,41
"GMB","GM",4915,47652,47652,52584.0,-14.331977,13.347914,1,"","",2010.0,"","",50,0,50,0,50,0,1,6005,0.0,0.0,0.0,0.0,494.60510183368757,64,64,64,45
"GMB","GM",4915,47652,47652,52585.0,-14.332483,13.343619,3,"","",2005.0,"","",30,0,30,0,30,0,2,6007,0.0,0.0,0.0,0.0,494.60510183368757,65,65,65,46
"GMB","GM",4912,47633,47633,16832.0,-16.68929667,13.43129167,3,"","",2015.0,"","",98,0,98,0,98,0,1,5848,0.0,0.0,0.0,0.0,753.5496874707111,66,66,66,47
"GMB","GM",4916,47664,47664,16947.0,-16.67305167,13.40195,3,"","",2015.0,"","",49,1,49,0,49,0,1,6152,0.02040816326530612,0.0,0.0,0.01925298421255294,328.1282310628918,67,67,67,48
"GMB","GM",4912,47633,47633,16833.0,-16.67987667,13.46126167,3,"","",2015.0,"","",49,0,49,0,49,0,1,5814,0.0,0.0,0.0,0.0,642.9876460303971,68,68,68,49
"GMB","GM",4915,47652,47652,52586.0,-14.273346,13.406569,3,"","",2005.0,"","",30,0,30,1,30,0,2,6006,0.0,0.03333333333333333,0.0,0.03144654088050314,3696.7040475707604,72,72,72,52
"GMB","GM",4911,47623,47623,16762.0,-14.61191,13.361416,1,"","",2015.0,"","",0,0,0,0,0,0,1,5744,"","","","",1079.6121576305034,73,73,73,53
"GMB","GM",4911,47623,47623,16763.0,-14.6088,13.37035333,3,"","",2015.0,"","",50,0,50,0,50,0,1,5741,0.0,0.0,0.0,0.0,1079.6121576305034,74,74,74,54
"GMB","GM",4915,47652,47652,17042.0,-14.46402,13.503285,3,"","",2015.0,"","",48,0,48,0,48,0,1,6011,0.0,0.0,0.0,0.0,3921.819988729028,77,77,77,56
"GMB","GM",4915,47652,47652,52587.0,-14.40639,13.3835,1,"","",2005.0,"","",30,0,30,0,30,0,2,6009,0.0,0.0,0.0,0.0,3949.4909675691615,82,82,82,59
"GMB","GM",4911,47631,47631,17027.0,-14.6391064,13.4745096,1,"","",2015.0,"","",0,0,0,0,0,0,1,5791,"","","","",276.8563842381849,83,83,83,60
"GMB","GM",4911,47631,47631,52583.0,-14.640618,13.472589,3,"","",2010.0,"","",52,1,52,0,52,0,1,5788,0.019230769230769232,0.0,0.0,0.018142235123367198,276.8563842381849,84,84,84,61
"GMB","GM",4911,47631,47631,17028.0,-14.63910833,13.469155,3,"","",2015.0,"","",49,0,49,1,49,0,1,5792,0.0,0.02040816326530612,0.0,0.01925298421255294,427.5031439933651,85,85,85,62
"GMB","GM",4913,47635,47635,16785.0,-15.29746667,13.38078,3,"","",2015.0,"","",50,0,50,1,50,0,1,5865,0.0,0.02,0.0,0.018867924528301886,9459.50042058675,86,86,86,63
"GMB","GM",4916,47664,47664,16948.0,-16.76182833,13.38840333,3,"","",2015.0,"","",50,0,50,0,50,0,1,6134,0.0,0.0,0.0,0.0,645.6894511938176,89,89,89,65
"GMB","GM",4914,47645,47645,16975.0,-16.5171626,13.4786086,1,"","",2015.0,"","",0,0,0,0,0,0,1,5944,"","","","",1470.1548745140183,90,90,90,66
"GMB","GM",4914,47645,47645,16976.0,-16.52984333,13.48219667,3,"","",2015.0,"","",50,0,50,1,50,0,1,5939,0.0,0.02,0.0,0.018867924528301886,1394.8436199053585,91,91,91,67
"GMB","GM",4912,47633,47633,16834.0,-16.6910322,13.4696557,1,"","",2015.0,"","",0,0,0,0,0,0,1,5854,"","","","",1151.128075691643,92,92,92,68
"GMB","GM",4912,47633,47633,16835.0,-16.6661,13.414939,1,"","",2015.0,"","",0,0,0,0,0,0,1,5846,"","","","",297.37039757604026,93,93,93,69
"GMB","GM",4916,47662,47662,16905.0,-16.661741,13.3159871,1,"","",2015.0,"","",0,0,0,0,0,0,1,6095,"","","","",1282.2496784977502,95,95,95,71
"GMB","GM",4915,47651,47651,16868.0,-13.8897501,13.4026933,1,"","",2015.0,"","",0,0,0,0,0,0,1,6002,"","","","",0.0,98,98,99,73
"GMB","GM",4915,47651,47651,52565.0,-13.8897501,13.4026933,1,"","",2005.0,"","",31,0,31,0,31,0,2,5999,0.0,0.0,0.0,0.0,0.0,99,99,98,73
"GMB","GM",4911,47623,47623,52558.0,-14.782556,13.438355,3,"","",2010.0,"","",51,0,51,0,51,0,1,5731,0.0,0.0,0.0,0.0,513.6505527141353,106,106,106,77
"GMB","GM",4912,47633,47633,16836.0,-16.67444,13.4401962,1,"","",2015.0,"","",0,0,0,0,0,0,1,5823,"","","","",577.4469815377437,107,107,107,78
"GMB","GM",4911,47623,47623,16764.0,-14.778348,13.4401962,1,"","",2015.0,"","",50,0,50,0,50,0,1,5734,0.0,0.0,0.0,0.0,513.6505527141353,108,108,108,79
