"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"GNB","GW","","","","",-15.47691383,11.57801075,4,"school","mapping",2018.0,10.0,14.0,50,2.0,50,0,50,0.0,1,33456,0.04,0.0,0.0,0.03773584905660377,336.41968723224755,0,0,0,1
"GNB","GW","","","","",-15.58827978,11.85304036,4,"school","mapping",2018.0,"","",50,10.0,50,0,50,0.0,1,33534,0.2,0.0,0.0,0.18867924528301885,1164.6960773781234,1,1,1,2
"GNB","GW","","","","",-14.18841776,12.43653209,4,"school","mapping",2017.0,9.0,12.0,45,0.0,45,0,45,0.0,1,33477,0.0,0.0,0.0,0.0,8.984198114094346,2,2,2,3
"GNB","GW",2408.0,"",0.0,"",-15.598666,11.851805,4,"","",2001.0,4.0,12.0,706,225.0,706,5,706,30.0,2,29648,0.31869688385269124,0.007082152974504249,0.042492917847025496,0.33232783189700005,1164.6960773781234,3,3,3,4
"GNB","GW","","","","",-14.95642821,12.27802193,4,"school","mapping",2017.0,10.0,14.0,50,8.0,50,0,50,0.0,1,33512,0.16,0.0,0.0,0.1509433962264151,15841.757449703551,4,4,4,5
"GNB","GW","","","","",-15.58613734,11.86726534,4,"school","mapping",2018.0,10.0,14.0,50,0.0,50,2,50,0.0,1,33535,0.0,0.04,0.0,0.03773584905660377,1635.541791729329,5,5,5,6
"GNB","GW","","","","",-14.01861111,12.30722222,4,"school","mapping",2017.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33478,0.0,0.0,0.0,0.0,12352.518531547246,6,6,6,7
"GNB","GW","","","","",-15.62751607,11.88904214,4,"school","mapping",2018.0,"","",50,2.0,50,0,50,0.0,1,33536,0.04,0.0,0.0,0.03773584905660377,3775.4207356939464,7,7,7,8
"GNB","GW","","","","",-15.12016487,11.2800251,4,"school","mapping",2018.0,10.0,14.0,49,57.0,49,0,49,0.0,1,33539,"",0.0,0.0,"",5033.70030545802,8,8,8,9
"GNB","GW",2427.0,23755.0,23755.0,12303.0,-14.9126044,11.105238,1,"","",2004.0,"","",0,0.0,0,0,0,0.0,2,6166,"","","","",16688.82261229354,9,9,9,10
"GNB","GW","","","","",-15.11208503,11.23639045,4,"school","mapping",2018.0,10.0,14.0,49,31.0,49,0,49,0.0,1,33540,0.6326530612244898,0.0,0.0,0.5968425105891413,5033.70030545802,10,10,10,11
"GNB","GW","","","","",-13.7225,12.37194444,4,"school","mapping",2017.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33479,0.0,0.0,0.0,0.0,4995.828185839573,11,11,11,12
"GNB","GW","","","","",-13.76736627,12.37295886,4,"school","mapping",2017.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33480,0.0,0.0,0.0,0.0,4995.828185839573,12,12,12,13
"GNB","GW","","","","",-14.23016396,12.07596,4,"school","mapping",2017.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33481,0.0,0.0,0.0,0.0,15915.951697687802,13,13,13,14
"GNB","GW","","","","",-14.12605244,12.43669055,4,"school","mapping",2017.0,10.0,14.0,48,0.0,48,2,48,2.0,1,33482,0.0,0.041666666666666664,0.041666666666666664,0.07697851153039832,4958.277689430472,14,14,14,15
"GNB","GW","","","","",-14.37077483,12.21731318,4,"school","mapping",2017.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33483,0.0,0.0,0.0,0.0,13613.525193474796,15,15,15,16
"GNB","GW","","","","",-14.69275244,12.22591189,4,"school","mapping",2017.0,10.0,14.0,50,2.0,50,0,50,4.0,1,33432,0.04,0.0,0.08,0.11018867924528301,4646.286677553028,16,16,16,17
"GNB","GW","","","","",-13.93473764,12.37819539,4,"school","mapping",2017.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33484,0.0,0.0,0.0,0.0,6349.245132791022,17,17,17,18
"GNB","GW","","","","",-14.46534543,12.42555752,4,"school","mapping",2017.0,11.0,14.0,22,0.0,22,0,22,0.0,1,33485,0.0,0.0,0.0,0.0,2764.803038263581,18,18,18,19
"GNB","GW","","","","",-13.97560902,12.4170504,4,"school","mapping",2017.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33486,0.0,0.0,0.0,0.0,6349.245132791022,19,19,19,20
"GNB","GW","","","","",-14.41888889,12.40416667,4,"school","mapping",2017.0,10.0,14.0,50,2.0,50,0,50,0.0,1,33487,0.04,0.0,0.0,0.03773584905660377,2154.8431067780234,20,20,20,21
"GNB","GW","","","","",-14.2016906,12.53922831,4,"school","mapping",2017.0,10.0,14.0,49,0.0,49,4,49,4.0,1,33488,0.0,0.08163265306122448,0.08163265306122448,0.14773718497795726,3451.3374552662517,21,21,21,22
"GNB","GW","","","","",-15.394444440000001,11.45388889,4,"school","mapping",2018.0,10.0,14.0,50,30.0,50,0,50,6.0,1,33525,0.6,0.0,0.12,0.6113207547169811,8514.230044722308,22,22,22,23
"GNB","GW","","","","",-16.02005993,12.0808374,4,"school","mapping",2018.0,10.0,14.0,50,2.0,50,0,50,0.0,1,33461,0.04,0.0,0.0,0.03773584905660377,1940.234802504239,23,23,23,24
"GNB","GW","","","","",-15.03694444,11.45388889,4,"school","mapping",2018.0,10.0,14.0,50,28.0,50,0,50,0.0,1,33526,0.56,0.0,0.0,0.5283018867924528,6151.927078657169,24,24,24,25
"GNB","GW","","","","",-15.10252552,11.34370347,4,"school","mapping",2018.0,10.0,14.0,50,36.0,50,0,50,0.0,1,33541,0.72,0.0,0.0,0.6792452830188678,2981.334117831482,25,25,25,26
"GNB","GW","","","","",-13.93197897,11.84047093,4,"school","mapping",2017.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33489,0.0,0.0,0.0,0.0,33052.33237146906,26,26,26,27
"GNB","GW","","","","",-16.05588169,12.10528196,4,"school","mapping",2018.0,10.0,14.0,50,4.0,50,0,50,0.0,1,33462,0.08,0.0,0.0,0.07547169811320754,2043.4816496226165,27,27,27,28
"GNB","GW","","","","",-16.132251750000002,12.26024781,4,"school","mapping",2018.0,10.0,14.0,50,22.0,50,0,50,0.0,1,33463,0.44,0.0,0.0,0.4150943396226415,4057.4213235046786,28,28,28,29
"GNB","GW","","","","",-15.76541121,11.8393809,4,"school","mapping",2018.0,10.0,10.0,48,54.0,48,0,48,2.0,1,33451,"",0.0,0.041666666666666664,"",6989.883665106364,29,29,29,30
"GNB","GW","","","","",-15.67475027,11.90164264,4,"school","mapping",2018.0,10.0,14.0,50,44.0,50,0,50,0.0,1,33452,0.88,0.0,0.0,0.830188679245283,5449.981502449841,30,30,30,31
"GNB","GW","","","","",-15.37833333,11.19555556,4,"school","mapping",2018.0,10.0,14.0,50,6.0,50,0,50,0.0,1,33542,0.12,0.0,0.0,0.11320754716981131,13317.790748083486,31,31,31,32
"GNB","GW","","","","",-16.12179568,11.92771031,4,"school","mapping",2018.0,10.0,14.0,50,6.0,50,0,50,0.0,1,33464,0.12,0.0,0.0,0.11320754716981131,19367.085798302436,32,32,32,33
"GNB","GW","","","","",-16.22464821,12.0666416,4,"school","mapping",2018.0,10.0,14.0,50,2.0,50,0,50,0.0,1,33465,0.04,0.0,0.0,0.03773584905660377,19295.13059747109,33,33,33,34
"GNB","GW","","","","",-15.33190491,12.21473174,4,"school","mapping",2017.0,10.0,14.0,50,20.0,50,0,50,0.0,1,33513,0.4,0.0,0.0,0.3773584905660377,12471.065854770677,34,34,34,35
"GNB","GW","","","","",-16.07277778,12.41194444,4,"school","mapping",2018.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33466,0.0,0.0,0.0,0.0,18510.40605301833,35,35,35,36
"GNB","GW",2422.0,23708.0,23708.0,"",-15.00961509,12.48716963,3,"school","mapping",2018.0,10.0,14.0,50,4.0,50,0,50,0.0,1,33507,0.08,0.0,0.0,0.07547169811320754,9795.379539151116,36,36,36,37
"GNB","GW","","","","",-15.1925,11.25888889,4,"school","mapping",2018.0,10.0,14.0,50,0.0,50,0,50,0.0,1,33543,0.0,0.0,0.0,0.0,4118.274256015774,37,37,37,38
"GNB","GW","","","","",-16.1435855,12.22075575,4,"school","mapping",2018.0,10.0,14.0,50,18.0,50,0,50,0.0,1,33467,0.36,0.0,0.0,0.3396226415094339,4672.081076778448,38,38,38,39
"GNB","GW","","","","",-15.77403774,12.36482438,4,"school","mapping",2018.0,10.0,14.0,50,2.0,50,0,50,0.0,1,33468,0.04,0.0,0.0,0.03773584905660377,3521.136938646459,39,39,39,40
"GNB","GW","","","","",-14.44420281,12.43828454,4,"school","mapping",2017.0,10.0,14.0,28,7.0,28,0,28,0.0,1,33490,0.25,0.0,0.0,0.23584905660377356,2764.803038263581,40,40,40,41
