"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"KEN","KE",2534.0,24797.0,24797.0,12530.0,35.09603,0.20122,3,"","",2013.0,"","",55.0,0,55.0,10,55.0,0,1,19522,0.0,0.18181818181818182,0.0,0.17152658662092624,5576.609574995546,0,0,0,1
"KEN","KE",2528.0,24761.0,54081.0,12388.0,36.79287,-1.08847,3,"","",2013.0,"","",54.0,1,54.0,6,54.0,0,1,6169,0.018518518518518517,0.1111111111111111,0.0,0.12035095892538239,3936.7168061935827,1,1,1,2
"KEN","KE",2532.0,24783.0,54285.0,53996.0,39.7111401,0.6288978,1,"","",2008.0,"","",52.0,0,52.0,0,52.0,0,1,7562,0.0,0.0,0.0,0.0,21468.473810281073,2,2,2,3
"KEN","KE",2533.0,24789.0,54244.0,"",34.188202,-0.029900000000000003,3,"","",2005.0,5.0,20.0,31.0,17,31.0,8,31.0,1,2,30362,0.5483870967741935,0.25806451612903225,0.03225806451612903,0.6374915052855649,2421.7586104964657,3,3,3,4
"KEN","KE",2533.0,24789.0,54244.0,52743.0,34.334499,-0.038957998,3,"","",1997.0,"","",378.0,77,378.0,175,378.0,35,3,7287,0.2037037037037037,0.46296296296296297,0.09259259259259259,0.5773167439769401,0.0,4,4,5,5
"KEN","KE",2533.0,24789.0,54244.0,52742.0,34.334499,-0.038957998,3,"","",1996.0,"","",869.0,101,869.0,218,869.0,52,3,7304,0.11622554660529344,0.2508630609896433,0.05983889528193326,0.35617861721042665,0.0,5,5,4,5
"KEN","KE",2529.0,24770.0,1986.0,"",37.692799,-3.45778,3,"","",2009.0,5.0,15.0,0.0,0,106.0,1,106.0,1,1,28893,"",0.009433962264150943,0.009433962264150943,"",274.50963531350084,6,6,6,6
"KEN","KE",2529.0,24770.0,54250.0,53972.0,37.6936411,-3.4600935,1,"","",1998.0,"","",316.0,5,316.0,2,316.0,3,3,7478,0.015822784810126583,0.006329113924050633,0.00949367088607595,0.029562333313829087,274.50963531350084,7,7,7,7
"KEN","KE",2531.0,24780.0,"",12488.0,36.92313,-1.23088,3,"","",2013.0,"","",61.0,0,61.0,0,61.0,0,1,19383,0.0,0.0,0.0,0.0,650.3639521390444,8,8,8,8
"KEN","KE",2533.0,24784.0,54044.0,53574.0,34.6064,-0.42601001,3,"","",2007.0,"","",25.0,1,25.0,1,25.0,0,1,6686,0.04,0.04,0.0,0.07396226415094338,327.41728956674837,9,9,9,9
"KEN","KE",2529.0,24766.0,54092.0,"",39.9804,-2.8351,3,"","",2008.0,5.0,16.0,97.0,0,97.0,1,97.0,4,1,29007,0.0,0.010309278350515464,0.041237113402061855,0.04822761025673932,0.011145590920932591,10,10,11,10
"KEN","KE",2529.0,24766.0,54091.0,53359.0,39.9804,-2.8350999,3,"","",2012.0,"","",108.0,34,108.0,9,108.0,3,1,6889,0.3148148148148148,0.08333333333333333,0.027777777777777776,0.36732115588684416,0.011145590920932591,11,11,10,10
"KEN","KE",2533.0,24789.0,54244.0,"",34.396999,-0.17268799999999998,3,"","",2001.0,10.0,12.0,36.0,12,36.0,5,36.0,11,2,31559,0.3333333333333333,0.1388888888888889,0.3055555555555556,0.5672994797732742,1227.500516818992,12,12,12,11
"KEN","KE",2535.0,24805.0,1934.0,"",34.063702,0.24367000000000003,3,"","",1999.0,5.0,17.0,65.0,37,65.0,6,65.0,9,3,30139,0.5692307692307692,0.09230769230769231,0.13846153846153847,0.6255975129035305,863.2936278384935,13,13,13,12
"KEN","KE",2533.0,"",1985.0,"",34.149899,-0.4107,4,"","",2012.0,5.0,19.0,50.0,9,50.0,0,50.0,0,1,30563,0.18,0.0,0.0,0.16981132075471694,1298.9706653973271,14,14,14,13
