"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"LBR","LR",2754,0,26826,"",-10.01177778,6.580808056,3,"","mapping",2012.0,10.0,14.0,30,2,30,2,30,0,1,25635,0.06666666666666667,0.06666666666666667,0.0,0.12159329140461214,1686.124470153724,6,6,6,4
"LBR","LR",2754,0,26826,"",-10.36533333,6.25669444,3,"","mapping",2012.0,10.0,14.0,30,2,30,0,30,0,1,25636,0.06666666666666667,0.0,0.0,0.06289308176100628,210.51380419682854,10,10,10,6
"LBR","LR",2751,0,26823,"",-8.1264268,6.0868817,1,"","mapping",2013.0,8.0,14.0,30,1,30,3,30,1,1,25377,0.03333333333333333,0.1,0.03333333333333333,0.15,273.20897347120024,13,13,13,8
"LBR","LR",2751,0,26823,"",-8.1449699,6.08675,3,"","mapping",2013.0,9.0,14.0,30,4,30,4,30,2,1,25378,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.28204053109713484,767.7196165692839,15,15,15,10
"LBR","LR",2759,0,26831,"",-8.01333,5.23296,3,"","mapping",2013.0,10.0,15.0,30,0,30,6,30,0,1,26108,0.0,0.2,0.0,0.18867924528301885,211.08928397377187,19,19,19,12
"LBR","LR",2751,0,26823,"",-8.14043,6.0545,3,"","mapping",2013.0,8.0,14.0,30,4,30,5,30,3,1,25379,0.13333333333333333,0.16666666666666666,0.1,0.330188679245283,749.4659472427151,22,22,22,14
"LBR","LR",2749,0,26821,"",-9.93441,6.40879,3,"","mapping",2013.0,7.0,14.0,30,4,30,4,30,2,1,25253,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.28204053109713484,6227.808220531844,24,24,24,15
"LBR","LR",2746,0,26818,"",-10.885580000000001,6.59872,3,"","mapping",2013.0,10.0,14.0,30,8,30,10,30,1,1,24923,0.26666666666666666,0.3333333333333333,0.03333333333333333,0.4975541579315164,1795.5694195802007,26,26,26,17
"LBR","LR",2748,0,26820,"",-10.532424,7.4659822,1,"","mapping",2013.0,10.0,14.0,30,0,30,0,30,0,1,25180,0.0,0.0,0.0,0.0,13336.599507260586,27,27,27,18
"LBR","LR",2759,0,26831,"",-7.88258,5.1964,3,"","mapping",2013.0,10.0,15.0,30,0,30,2,30,0,1,26109,0.0,0.06666666666666667,0.0,0.06289308176100628,36.88702464476228,28,28,28,19
"LBR","LR",2756,0,26828,"",-10.79938,6.43553,3,"","mapping",2015.0,10.0,14.0,50,2,50,0,50,0,1,22469,0.04,0.0,0.0,0.03773584905660377,1719.111714023691,31,31,31,21
"LBR","LR",2751,0,26823,"",-8.14133,6.04718,3,"","mapping",2013.0,9.0,14.0,30,4,30,6,30,2,1,25380,0.13333333333333333,0.2,0.06666666666666667,0.33291404612159325,825.5259222990628,32,32,32,22
"LBR","LR",2753,0,26825,"",-9.75042,8.42536,3,"","sentinel site",2012.0,5.0,10.0,125,10,125,1,125,1,1,25512,0.08,0.008,0.008,0.08930294339622641,0.0,36,36,37,24
"LBR","LR",2753,0,26825,"",-9.75042,8.42536,3,"","sentinel site",2018.0,6.0,11.0,110,0,110,0,110,0,1,25513,0.0,0.0,0.0,0.0,0.0,37,37,36,24
"LBR","LR",2753,0,26825,"",-9.75045,8.42536,3,"","sentinel site",2013.0,6.0,11.0,96,0,96,0,96,0,1,25514,0.0,0.0,0.0,0.0,3.3395847238134593,38,38,38,25
"LBR","LR",2753,0,26825,"",-9.51328,7.33202,3,"","mapping",2012.0,10.0,14.0,30,2,30,0,30,0,1,25515,0.06666666666666667,0.0,0.0,0.06289308176100628,1612.3699028321334,39,39,39,26
"LBR","LR",2756,0,26828,"",-10.7866,6.39772,3,"","mapping",2015.0,10.0,14.0,50,1,50,0,50,0,1,22470,0.02,0.0,0.0,0.018867924528301886,106.74316790142291,45,45,45,29
"LBR","LR",2749,0,26821,"",-10.02233,5.89323,3,"","mapping",2013.0,7.0,13.0,30,1,30,9,30,0,1,25254,0.03333333333333333,0.3,0.0,0.30503144654088044,304.4813412655088,46,46,46,30
"LBR","LR",2747,0,26819,"",-10.3498,6.92121,3,"","sentinel site",2012.0,4.0,13.0,125,29,125,5,125,0,1,24989,0.232,0.04,0.0,0.24784905660377357,3016.9001908369314,47,47,47,31
"LBR","LR",2758,0,26830,"",-9.5013304,5.68536,3,"","mapping",2013.0,10.0,15.0,30,11,30,4,30,0,1,25998,0.36666666666666664,0.13333333333333333,0.0,0.42557651991614254,40.88757709155591,48,48,48,32
"LBR","LR",2757,0,26829,"",-8.6848326,7.6494722,3,"","mapping",2012.0,10.0,14.0,30,5,30,0,30,0,1,25747,0.16666666666666666,0.0,0.0,0.1572327044025157,9217.087764901145,49,49,49,33
"LBR","LR",2751,0,26823,"",-8.4361,6.22664,3,"","mapping",2013.0,9.0,15.0,30,1,30,1,30,0,1,25382,0.03333333333333333,0.03333333333333333,0.0,0.06184486373165619,502.19559377490475,50,50,50,34
"LBR","LR",2753,0,26825,"",-9.7163887,7.7966671,3,"","mapping",2012.0,10.0,14.0,30,6,30,0,30,0,1,25516,0.2,0.0,0.0,0.18867924528301885,3737.635365876798,51,51,51,35
"LBR","LR",2747,0,26819,54094.0,-9.5893002,7.07236,3,"","",2010.0,"","",49,3,49,0,49,3,1,7643,0.061224489795918366,0.0,0.061224489795918366,0.11198164286893038,5327.311028812866,52,52,52,36
"LBR","LR",2757,0,26829,"",-8.870833333,6.476611111,3,"","mapping",2012.0,10.0,14.0,30,3,30,5,30,0,1,25749,0.1,0.16666666666666666,0.0,0.23584905660377356,1242.2302796679926,61,61,61,41
"LBR","LR",2755,0,26827,"",-7.663333,4.495,3,"","mapping",2015.0,10.0,14.0,47,5,47,2,47,2,1,22429,0.10638297872340426,0.0425531914893617,0.0425531914893617,0.17058240812238679,3529.0036015187584,64,64,64,43
"LBR","LR",2749,0,26821,"",-10.24108,6.15962,3,"","mapping",2013.0,10.0,13.0,30,2,30,15,30,0,1,25255,0.06666666666666667,0.5,0.0,0.5031446540880502,3919.474872992784,65,65,65,44
