iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
MDG,MG,2864.0,0.0,27853.0,agnalarajy,12950.0,49.86160333,-16.981015,3,,,2015.0,,,50,2,,,50,15,,,50,40,,,1,8809
MDG,MG,2881.0,0.0,27936.0,alatsinainy,55159.0,46.736698,-19.643499,3,,,1995.0,,,121,2,,,121,76,,,121,8,,,3,9088
MDG,MG,2863.0,0.0,27842.0,alatsinainy,12780.0,47.679829,-19.32358,1,,,2015.0,,,50,0,,,50,11,,,50,2,,,1,8796
MDG,MG,2871.0,0.0,27889.0,ambalabe/befanjava,12885.0,46.95271167,-15.77795,3,,,2015.0,,,50,0,,,50,1,,,50,0,,,1,8914
MDG,MG,2881.0,0.0,27936.0,ambalafeno,55160.0,46.6666669,-20.116667,1,,,1995.0,,,78,0,,,78,63,,,78,4,,,3,9076
MDG,MG,2874.0,0.0,27900.0,ambalakindresy,,47.332001,-21.166,3,,,1990.0,1.0,10.0,96,0,,,96,75,,,96,31,,,3,29173
MDG,MG,2872.0,0.0,27894.0,ambalanjanakomby,55248.0,47.0753348,-16.6980043,1,,,1996.0,,,104,61,,,104,18,,,104,7,,,3,8929
MDG,MG,2880.0,0.0,27929.0,ambalavelona,104155.0,47.5833333,-16.1999999,3,,,2015.0,10.0,0.0,50,0,,,50,0,,,50,0,,,1,859
MDG,MG,2871.0,0.0,27887.0,ambaliha,104015.0,46.0,-17.45,1,,,2015.0,10.0,0.0,50,0,,,50,0,,,50,0,,,1,828
MDG,MG,2879.0,0.0,27922.0,ambanifaho,12815.0,50.28308833,-14.91431667,3,,,2015.0,,,50,2,,,50,31,,,50,43,,,1,9019
MDG,MG,2880.0,0.0,27931.0,ambanjabe,104200.0,47.703911,-15.644120000000001,1,,,2015.0,9.0,0.0,50,15,,,50,0,,,50,0,,,1,872
MDG,MG,2870.0,0.0,27884.0,ambanjabe ouest,12875.0,46.04979167,-17.50399167,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,8892
MDG,MG,2880.0,0.0,27925.0,ambarijiby sud,104040.0,47.680099,-14.93211,1,,,2015.0,9.0,0.0,50,10,,,50,0,,,50,2,,,1,831
MDG,MG,2876.0,0.0,27908.0,ambatomainty,12830.0,46.683333,-18.816667,1,,,2015.0,,,50,0,,,50,6,,,50,2,,,1,8962
MDG,MG,2872.0,0.0,27893.0,ambatomainty sud,12865.0,46.113392,-18.9743,1,,,2015.0,,,50,5,,,50,3,,,50,2,,,1,8927
MDG,MG,2867.0,0.0,27863.0,ambatomanambahitse,,44.9797424,-24.568543,3,,sentinel site,2015.0,7.0,10.0,55,0,0.0,0.0,55,0,0.0,0.0,55,1,0.0,0.0,1,26248
MDG,MG,2867.0,0.0,27863.0,ambatomanambahitse,,44.9797424,-24.568543,3,,sentinel site,2017.0,7.0,10.0,60,0,0.0,0.0,60,0,0.0,0.0,60,0,0.0,0.0,1,26249
MDG,MG,2872.0,0.0,27894.0,ambatomandondona,,45.77566667,-18.98186111,3,,mapping,2015.0,9.0,13.0,50,0,0.0,0.0,50,1,0.0,0.0,50,2,0.0,0.0,1,26300
MDG,MG,2881.0,0.0,27946.0,ambatomanga,55212.0,47.533333,-19.7,1,,,1995.0,,,158,24,,,158,66,,,158,8,,,3,9113
MDG,MG,2881.0,0.0,27936.0,ambatomaroanaka,55161.0,46.722099,-19.9216,3,,,1995.0,,,12,0,,,12,9,,,12,1,,,3,9057
MDG,MG,2876.0,0.0,27910.0,ambatomboro,,46.76669444,-19.05561111,3,,mapping,2015.0,10.0,14.0,49,0,0.0,0.0,49,10,0.0,0.0204,49,2,0.0,0.0,1,26315
MDG,MG,2864.0,0.0,27853.0,ambatorao,12951.0,49.97192833,-16.76881167,3,,,2015.0,,,50,1,,,50,36,,,50,48,,,1,8813
MDG,MG,2881.0,0.0,27936.0,ambatotsara,55162.0,46.6693,-19.610001,3,,,1995.0,,,36,0,,,36,23,,,36,2,,,3,9091
MDG,MG,2881.0,0.0,27946.0,ambatotsipihina,12905.0,47.75,-19.633333,1,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,9118
MDG,MG,2869.0,0.0,27880.0,ambinanisahanaho,12920.0,48.1666667,-20.0666666,3,,,2015.0,,,50,9,,,50,25,,,50,33,,,1,8874
MDG,MG,2869.0,0.0,27877.0,ambinanizana,12820.0,48.31667,-19.48768,1,,,2015.0,,,50,0,,,50,28,,,50,15,,,1,8865
MDG,MG,2878.0,0.0,27917.0,ambinda,,44.76141667,-20.71186111,3,,mapping,2014.0,5.0,15.0,50,2,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,26326
MDG,MG,2880.0,0.0,27925.0,ambinda,104041.0,47.3175809,-15.68112,1,,,2015.0,10.0,0.0,50,19,,,50,0,,,50,1,,,1,832
MDG,MG,2866.0,0.0,27860.0,amboasary centre,12775.0,46.3840668,-25.040977,2,,,2015.0,,,50,1,,,50,2,,,50,19,,,1,8828
MDG,MG,2881.0,0.0,27946.0,amboassary,55213.0,46.409801,-19.518101,3,,,1995.0,,,93,9,,,93,29,,,93,7,,,3,9108
MDG,MG,2876.0,0.0,27909.0,ambodiamontana,55227.0,46.935398,-18.9856,3,,,1996.0,,,53,2,,,53,34,,,53,6,,,3,8967
MDG,MG,2879.0,0.0,27921.0,ambodiangezoka sud,104045.0,49.744431,-14.99083,1,,,2015.0,10.0,0.0,50,1,,,50,35,,,50,48,,,1,836
MDG,MG,2882.0,0.0,0.0,ambodiaviavy,,47.481,-21.25,4,,,1990.0,1.0,10.0,60,4,,,60,36,,,60,27,,,3,29655
MDG,MG,2871.0,0.0,27889.0,ambodimanga,12886.0,46.7,-16.05,1,,,2015.0,,,50,2,,,50,2,,,50,1,,,1,8912
MDG,MG,2861.0,0.0,27837.0,ambodinifody,12935.0,48.04257,-18.88474,3,,,2015.0,,,50,5,,,50,17,,,50,22,,,1,8790
MDG,MG,2869.0,0.0,27877.0,ambodinonoka,12821.0,47.80843,-20.3601889,1,,,2015.0,,,50,4,,,50,23,,,50,27,,,1,8862
MDG,MG,2879.0,0.0,27921.0,ambodipont,12791.0,49.55161167,-14.64319833,3,,,2015.0,,,50,12,,,50,40,,,50,46,,,1,9013
MDG,MG,2880.0,0.0,27929.0,ambodirafia,,47.4096218,-16.2652248,3,,sentinel site,2015.0,7.0,10.0,80,3,0.0,0.0,80,5,0.0,0.0,80,0,0.0,0.0,1,26346
MDG,MG,2880.0,0.0,27929.0,ambodirafia,,47.4096218,-16.2652248,3,,sentinel site,2017.0,7.0,10.0,80,0,0.0,0.0,80,0,0.0,0.0,80,1,0.0,0.0,1,26347
MDG,MG,2869.0,0.0,27882.0,ambodisaina,12975.0,49.36483333,-18.140645,3,,,2015.0,,,50,5,,,50,36,,,50,43,,,1,8883
MDG,MG,2879.0,0.0,27924.0,ambodisakoa,104258.0,49.733333,-13.566667,1,,,2015.0,10.0,0.0,50,0,,,50,4,,,50,5,,,1,882
MDG,MG,2880.0,0.0,27930.0,ambodisatrana manjola,12910.0,48.616667,-15.35,1,,,2015.0,,,50,0,,,50,3,,,50,0,,,1,9048
MDG,MG,2874.0,0.0,27901.0,amboditanimena,55146.0,47.0966337,-21.4664648,1,,,1990.0,,,53,0,,,53,35,,,53,7,,,3,8952
MDG,MG,2874.0,0.0,27900.0,amboditanimena,,47.366001,-21.198999,3,,,1990.0,1.0,10.0,53,0,,,53,35,,,53,7,,,3,30595
MDG,MG,2869.0,0.0,27883.0,amboditavolo,12993.0,48.881321,-19.180861,1,,,2015.0,,,50,8,,,50,15,,,50,28,,,1,8886
MDG,MG,2869.0,0.0,27877.0,ambodivandrika,12822.0,48.5833333,-19.4499999,3,,,2015.0,,,50,15,,,50,15,,,50,13,,,1,8866
MDG,MG,2879.0,0.0,27923.0,ambodivoara,12955.0,49.828289,-13.61892,1,,,2015.0,,,50,0,,,50,38,,,50,30,,,1,9026
MDG,MG,2878.0,0.0,27917.0,ambohibary,55207.0,44.75,-19.7333329,1,,,1998.0,,,27,7,,,27,2,,,27,3,,,3,9003
MDG,MG,2863.0,0.0,27844.0,ambohibary,12800.0,47.94510667,-18.513165,3,,,2015.0,,,50,3,,,50,36,,,50,12,,,1,8800
MDG,MG,2872.0,0.0,27894.0,ambohibary kofay,,46.17358333,-18.74619444,3,,mapping,2015.0,10.0,14.0,50,0,0.0,0.0,50,1,0.0,0.0,50,0,0.0,0.0,1,26301
MDG,MG,2864.0,0.0,27855.0,ambohibe,12998.0,49.11885,-17.43823,3,,,2015.0,,,50,5,,,50,34,,,50,46,,,1,8822
MDG,MG,2877.0,0.0,27913.0,ambohibengy,,45.0101237,-16.7964373,3,,sentinel site,2015.0,7.0,10.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,26321
MDG,MG,2881.0,0.0,27936.0,ambohidava,55163.0,46.625,-19.8433,3,,,1995.0,,,219,3,,,219,151,,,219,4,,,3,9068
MDG,MG,2876.0,0.0,27908.0,ambohidava,12831.0,47.38771833,-19.06104167,3,,,2015.0,,,50,6,,,50,19,,,50,5,,,1,8961
MDG,MG,2881.0,0.0,27936.0,ambohijazafotsy,55164.0,46.882999,-19.908701,3,,,1995.0,,,47,3,,,47,27,,,47,5,,,3,9080
MDG,MG,2872.0,0.0,27893.0,ambohimahasoa,,47.5239459,-18.9041185,4,,sentinel site,2015.0,7.0,10.0,96,0,0.0,0.0,96,4,0.0,0.0,96,2,0.0,0.0,1,26296
MDG,MG,2872.0,0.0,27893.0,ambohimahasoa,,47.5239459,-18.9041185,4,,sentinel site,2017.0,7.0,10.0,80,0,0.0,0.0,80,3,0.0,0.0,80,0,0.0,0.0,1,26297
MDG,MG,2880.0,0.0,27931.0,ambohimahavelona,,47.8264071,-15.6043461,3,,sentinel site,2015.0,7.0,10.0,38,3,0.0,0.0,38,3,0.0,0.0,38,0,0.0,0.0,1,26350
MDG,MG,2880.0,0.0,27931.0,ambohimahavelona,,47.8264071,-15.6043461,3,,sentinel site,2017.0,7.0,10.0,36,0,0.0,0.0,36,0,0.0,0.0,36,0,0.0,0.0,1,26352
MDG,MG,2872.0,0.0,27893.0,ambohimalaza,104121.0,47.583333,-18.866667,1,,,2015.0,10.0,0.0,50,0,,,50,12,,,50,0,,,1,854
MDG,MG,2871.0,0.0,27888.0,ambohimandamina,12880.0,46.35053667,-15.70619167,3,,,2015.0,,,50,0,,,50,0,,,50,1,,,1,8907
