"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"MOZ","MZ",3449.0,33192.0,33192.0,13700.0,39.4249697,-15.0976814,1,"","",2007.0,"","",0,0,0,0,0,0,1,9414,"","","","",17711.562302664235,0,0,0,1
"MOZ","MZ",3443.0,33101.0,33101.0,13568.0,38.5637919,-13.3497279,1,"","",2007.0,"","",0,0,0,0,0,0,1,19620,"","","","",74923.82760099405,1,1,1,2
"MOZ","MZ",3448.0,33167.0,33167.0,13656.0,32.6701267,-26.3450531,1,"","",2007.0,"","",0,0,0,0,0,0,1,9393,"","","","",44151.02520813365,2,2,2,3
"MOZ","MZ",3443.0,33116.0,33116.0,13712.0,40.283333,-12.566667,1,"","",2007.0,"","",0,0,0,0,0,0,1,9358,"","","","",41146.18538386706,3,3,3,4
"MOZ","MZ",3449.0,33171.0,33171.0,13566.0,39.8302582,-16.1513114,1,"","",2007.0,"","",0,0,0,0,0,0,1,9395,"","","","",40310.9530527536,4,4,4,5
"MOZ","MZ",3451.0,33210.0,33210.0,13572.0,34.3310364,-20.1463938,1,"","",2007.0,"","",0,0,0,0,0,0,1,9431,"","","","",75182.5998298178,5,5,5,6
"MOZ","MZ",3443.0,33107.0,33107.0,"",39.416874,-12.425494,3,"","",2005.0,5.0,12.0,397,139,0,0,0,0,2,29890,0.3501259445843829,"","","",28554.82465718755,6,6,6,7
"MOZ","MZ",3451.0,33211.0,33211.0,13574.0,35.3411388,-17.8176872,1,"","",2007.0,"","",0,0,0,0,0,0,1,19655,"","","","",45289.050562284545,7,7,7,8
"MOZ","MZ",3447.0,33150.0,33150.0,13569.0,33.1745097,-18.0650446,1,"","",2007.0,"","",0,0,0,0,0,0,1,9382,"","","","",103792.33468045684,8,8,8,9
"MOZ","MZ",3445.0,33124.0,33124.0,13579.0,32.4833333,-25.1,1,"","",2007.0,"","",0,0,0,0,0,0,1,9361,"","","","",34258.751790020535,9,9,9,10
