"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"SLE","SL",4360.0,42258.0,42258.0,"",-11.3913379,9.1505664,1,"","mapping",2008.0,5.0,14.0,90,82,90,6,90,1,1,22809,0.9111111111111111,0.06666666666666667,0.011111111111111112,0.8659989129590807,1075.0458847351902,0,0,0,1
"SLE","SL",4360.0,42258.0,42258.0,"",-11.70214,9.4542,3,"","mapping",2008.0,5.0,14.0,111,64,111,0,111,0,1,22808,0.5765765765765766,0.0,0.0,0.543940166581676,54.89538099502442,1,1,1,2
"SLE","SL",4361.0,42264.0,42264.0,"",-12.394611,7.716422,1,"","mapping",2008.0,5.0,14.0,104,6,104,6,104,4,1,22823,0.057692307692307696,0.057692307692307696,0.038461538461538464,0.13793197842684274,10346.816464108937,2,2,2,3
"SLE","SL",4361.0,42262.0,42262.0,"",-12.2299066,7.4476715,3,"","mapping",2008.0,5.0,14.0,136,69,136,7,136,16,1,22791,0.5073529411764706,0.051470588235294115,0.11764705882352941,0.5544199015703428,186.99538163308858,3,3,3,4
"SLE","SL",4362.0,42265.0,42265.0,"",-13.1313101,8.3725004,3,"","mapping",2008.0,5.0,14.0,102,20,102,9,102,2,1,22833,0.19607843137254902,0.08823529411764706,0.0196078431372549,0.2654575355419093,8915.945684372362,6,6,6,6
"SLE","SL",4361.0,42261.0,42261.0,"",-11.544567,7.9051279999999995,1,"","mapping",2008.0,5.0,14.0,101,23,101,4,101,2,1,22785,0.22772277227722773,0.039603960396039604,0.019801980198019802,0.25754243314826863,14605.185958604841,8,8,8,7
"SLE","SL",4360.0,42256.0,42256.0,"",-12.016667,9.166667,1,"","mapping",2008.0,5.0,14.0,104,14,104,6,104,1,1,22787,0.1346153846153846,0.057692307692307696,0.009615384615384616,0.1814928000017176,382.53729700671187,12,12,12,10
"SLE","SL",4361.0,42262.0,42262.0,"",-12.1446911,7.6143003,1,"","mapping",2008.0,5.0,14.0,136,61,136,0,136,11,1,22790,0.4485294117647059,0.0,0.08088235294117647,0.46522042501795385,585.5108200128963,17,17,17,12
"SLE","SL",4360.0,42260.0,42260.0,"",-11.8136325,8.861578,1,"","mapping",2008.0,5.0,14.0,110,29,110,20,110,2,1,22826,0.2636363636363636,0.18181818181818182,0.01818181818181818,0.3853536141077073,13327.869713275364,18,18,18,13
"SLE","SL",4362.0,42265.0,42265.0,"",-13.083261,8.279166,1,"","mapping",2008.0,5.0,14.0,108,30,108,8,108,11,1,22830,0.2777777777777778,0.07407407407407407,0.10185185185185185,0.37677974192843355,660.31566639089,20,20,20,14
"SLE","SL",4359.0,42253.0,42253.0,"",-12.898934,9.052028,1,"","mapping",2008.0,5.0,14.0,120,34,120,0,120,0,1,22797,0.2833333333333333,0.0,0.0,0.26729559748427667,2009.1676879159936,21,21,21,15
"SLE","SL",4361.0,42263.0,42263.0,"",-12.49884,8.272024,1,"","mapping",2008.0,5.0,14.0,120,49,120,10,120,22,1,22815,0.4083333333333333,0.08333333333333333,0.18333333333333332,0.525539395527603,267.5375280066967,22,22,22,16
"SLE","SL",4360.0,42260.0,42260.0,"",-11.6641388,8.6322791,1,"","mapping",2008.0,5.0,14.0,110,28,110,7,110,2,1,22828,0.2545454545454545,0.06363636363636363,0.01818181818181818,0.2968629063124618,433.1519579833785,23,23,23,17
"SLE","SL",4360.0,42256.0,42256.0,"",-12.0530904,8.8706961,1,"","mapping",2008.0,5.0,14.0,98,16,98,6,98,0,1,22788,0.16326530612244897,0.061224489795918366,0.0,0.20235279325438296,1138.6310327038307,24,24,24,18
"SLE","SL",4360.0,42259.0,42259.0,"",-12.874306,8.4455109,3,"","mapping",2008.0,5.0,14.0,105,26,105,10,105,3,1,22821,0.24761904761904763,0.09523809523809523,0.02857142857142857,0.3195506414605374,71.23215889051026,25,25,25,19
"SLE","SL",4361.0,42261.0,42261.0,"",-11.666667,7.833333,1,"","mapping",2008.0,5.0,14.0,136,13,136,8,136,0,1,22784,0.09558823529411764,0.058823529411764705,0.0,0.14036691258079256,1204.4440658097176,26,26,26,20
"SLE","SL",4360.0,42256.0,42256.0,"",-11.909345,8.7879,1,"","mapping",2008.0,5.0,14.0,105,22,105,14,105,0,1,22789,0.20952380952380953,0.13333333333333333,0.0,0.2970949386043725,189.82523344468746,27,27,27,21
