"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"TCD","TD",1163,10666,10666,10800.0,19.2294444,17.9477778,3,"","",2015.0,"","",50,0,50,1,50,0,1,14274,0.0,0.02,0.0,0.018867924528301886
"TCD","TD",1163,10666,10666,10801.0,19.1841667,18.0533333,3,"","",2015.0,"","",50,0,50,0,50,0,1,14272,0.0,0.0,0.0,0.0
"TCD","TD",1187,10703,10703,101155.0,16.635025,7.928886,2,"","",2015.0,11.0,0.0,50,1,50,0,50,0,1,568,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1175,10716,10716,11037.0,14.9208333,9.3813889,3,"","",2015.0,"","",50,0,50,0,50,0,1,14444,0.0,0.0,0.0,0.0
"TCD","TD",1162,10664,10664,11052.0,17.3144444,13.1105556,3,"","",2015.0,"","",50,0,50,0,50,0,1,14265,0.0,0.0,0.0,0.0
"TCD","TD",1176,10719,10719,101335.0,19.0762329,9.7040414,1,"","",2015.0,10.0,0.0,50,1,50,0,50,0,1,603,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1168,10685,10685,10937.0,15.9247222,12.9952778,3,"","",2015.0,"","",50,0,50,0,50,0,1,14345,0.0,0.0,0.0,0.0
"TCD","TD",1169,10687,10687,10932.0,15.3088889,14.1347222,3,"","",2015.0,"","",50,0,50,0,50,8,1,14354,0.0,0.0,0.16,0.1509433962264151
"TCD","TD",1168,10686,10686,10942.0,15.7344444,12.9991667,3,"","",2015.0,"","",50,0,50,0,50,0,1,14348,0.0,0.0,0.0,0.0
"TCD","TD",1168,10685,10685,10938.0,15.7683333,12.8505556,3,"","",2015.0,"","",50,0,50,0,50,0,1,14341,0.0,0.0,0.0,0.0
"TCD","TD",1180,10733,10733,10840.0,20.8,9.9481468,1,"","",2015.0,"","",50,0,50,0,50,0,1,14515,0.0,0.0,0.0,0.0
"TCD","TD",1183,10741,10741,10839.0,22.1061111,14.5130556,3,"","",2015.0,"","",50,0,50,0,50,0,1,14533,0.0,0.0,0.0,0.0
"TCD","TD",1181,10737,10737,10883.0,16.2955556,9.4013889,3,"","",2015.0,"","",50,0,50,0,50,0,1,14528,0.0,0.0,0.0,0.0
"TCD","TD",1168,10683,10683,10746.0,17.05876,12.3783745,1,"","",2015.0,"","",50,1,50,0,50,0,1,14331,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1186,10725,10725,10674.0,20.4671728,12.7658352,1,"","",2015.0,"","",50,0,50,0,50,0,1,14493,0.0,0.0,0.0,0.0
"TCD","TD",1186,10725,10725,10675.0,20.4671728,12.7658352,1,"","",2015.0,"","",50,0,50,0,50,0,1,14489,0.0,0.0,0.0,0.0
"TCD","TD",1167,10680,10680,10917.0,19.6186111,12.3472222,3,"","",2015.0,"","",50,0,50,0,50,0,1,14319,0.0,0.0,0.0,0.0
"TCD","TD",1168,10684,10684,10927.0,15.5219444,13.1755556,3,"","",2015.0,"","",50,0,50,0,50,0,1,14337,0.0,0.0,0.0,0.0
"TCD","TD",1166,10675,10675,10679.0,22.8372222,16.0661111,3,"","",2015.0,"","",50,0,50,0,50,0,1,14303,0.0,0.0,0.0,0.0
"TCD","TD",1168,10685,10685,10939.0,15.7380556,12.8266667,3,"","",2015.0,"","",50,1,50,0,50,0,1,14342,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1179,10728,10728,10644.0,20.8297222,13.8338889,3,"","",2015.0,"","",50,0,50,0,50,0,1,14501,0.0,0.0,0.0,0.0
