"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"ZMB","ZM",5335.0,50876.0,50876.0,59914.0,26.133333,-15.533333,1,"","",2005.0,"","",61,51,61,0,61,0,2,18321,0.8360655737704918,0.0,0.0,0.7887411073306526,16654.190226022205,0,0,0,1
"ZMB","ZM",5339.0,53177.0,53177.0,59902.0,28.7857,-16.360500000000002,3,"","",2005.0,"","",72,1,72,1,72,0,2,18354,0.013888888888888888,0.013888888888888888,0.0,0.026023468436990445,14020.947137893148,1,1,1,2
"ZMB","ZM",5337.0,50837.0,50837.0,59871.0,32.740101,-13.3024,3,"","",2002.0,"","",54,25,54,0,54,0,2,18284,0.46296296296296297,0.0,0.0,0.4367575122292103,7811.176808705324,5,5,5,4
"ZMB","ZM",5335.0,50823.0,50823.0,59959.0,27.451799,-15.5184,3,"","",2005.0,"","",62,19,62,4,62,0,2,18260,0.3064516129032258,0.06451612903225806,0.0,0.3313176133351658,11416.56312762301,6,6,6,5
"ZMB","ZM",5342.0,50877.0,50877.0,59936.0,26.2894,-16.5011,3,"","",2005.0,"","",61,0,61,1,61,0,2,18330,0.0,0.01639344262295082,0.0,0.015465511908444168,3483.3063754164614,8,8,8,6
"ZMB","ZM",5337.0,50837.0,50837.0,59872.0,32.686901,-13.3512,3,"","",2002.0,"","",53,26,53,0,53,0,2,18275,0.49056603773584906,0.0,0.0,0.4627981488074047,8138.750820518597,9,9,9,7
"ZMB","ZM",5342.0,50874.0,50874.0,59904.0,27.194599,-16.7936,3,"","",2005.0,"","",61,4,61,0,61,0,2,18306,0.06557377049180328,0.0,0.0,0.06186204763377667,18496.06228288735,10,10,10,8
"ZMB","ZM",5337.0,50837.0,50837.0,59873.0,32.3386,-13.8725,3,"","",2002.0,"","",66,36,66,1,66,0,2,18289,0.5454545454545454,0.015151515151515152,0.0,0.5210769790529652,6054.53259842858,12,12,12,9
"ZMB","ZM",5337.0,50837.0,50837.0,59874.0,32.763401,-13.2175,3,"","",2002.0,"","",45,27,45,1,45,1,2,18281,0.6,0.022222222222222223,0.022222222222222223,0.5826228744467736,8308.231213939434,13,13,13,10
"ZMB","ZM",5337.0,50837.0,50837.0,59875.0,32.6447001,-13.6445104,1,"","",2002.0,"","",60,33,60,0,60,2,2,18264,0.55,0.0,0.03333333333333333,0.5330188679245284,633.9787403152319,14,14,14,11
