iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
ZWE,ZW,5549.0,52902.0,52902.0,aisleby,18052.0,28.5823513,-20.0661435,1,,,2010.0,,,0,0,0,0,0,0,1,18375,,,,
ZWE,ZW,5549.0,52902.0,52902.0,baines infant,18053.0,28.5832632,-20.1338602,1,,,2010.0,,,0,0,0,0,0,0,1,18367,,,,
ZWE,ZW,5551.0,52907.0,52907.0,bandanyenje,18197.0,31.9627778,-18.8630556,1,,,2010.0,,,0,0,0,0,0,0,1,18409,,,,
ZWE,ZW,5550.0,52903.0,52903.0,batanai,18136.0,31.0171812,-17.8852773,1,,,2010.0,,,0,0,0,0,0,0,1,18378,,,,
ZWE,ZW,5553.0,52926.0,52926.0,beatrice township,18274.0,30.8527655,-18.251033,1,,,2010.0,,,0,0,0,0,0,0,1,18434,,,,
ZWE,ZW,5552.0,52916.0,52916.0,bemberi,18231.0,31.36847,-16.7639,3,,,2010.0,,,0,0,0,0,0,0,1,18420,,,,
ZWE,ZW,5556.0,52946.0,52946.0,bidi,18219.0,28.33297,-21.202,3,,,2010.0,,,0,0,0,0,0,0,1,18467,,,,
ZWE,ZW,5554.0,52930.0,52930.0,bumbe,18180.0,30.415,-18.5841667,1,,,2010.0,,,0,0,0,0,0,0,1,18440,,,,
ZWE,ZW,5551.0,52908.0,52908.0,burma,,32.783298,-19.1833,3,,,1987.0,1.0,99.0,99,71,99,7,0,0,3,29424,0.7171717171717171,0.0707070707070707,,
ZWE,ZW,5551.0,52908.0,52908.0,burma valley,,32.783298,-19.1833,3,,,1990.0,5.0,16.0,815,430,0,0,0,0,3,31706,0.5276073619631901,,,
ZWE,ZW,5551.0,52908.0,52908.0,burma valley,,32.783298,-19.1833,3,,,1982.0,16.0,99.0,200,177,200,87,200,27,3,29418,0.885,0.435,0.135,0.8903741745283018
ZWE,ZW,5554.0,52931.0,52931.0,charara estate,,28.9528,-16.5517,3,,,1990.0,1.0,16.0,56,44,0,0,0,0,3,31190,0.7857142857142857,,,
ZWE,ZW,5556.0,52941.0,52941.0,chaswingo,18031.0,30.0647222,-19.9586111,1,,,2010.0,,,0,0,0,0,0,0,1,20163,,,,
ZWE,ZW,5555.0,52934.0,52934.0,chedutu,18034.0,31.2944444,-20.6088889,1,,,2010.0,,,0,0,0,0,0,0,1,20138,,,,
ZWE,ZW,5555.0,52939.0,52939.0,chesvingo,18256.0,31.4727778,-19.5486111,1,,,2010.0,,,0,0,0,0,0,0,1,20157,,,,
ZWE,ZW,5552.0,52918.0,52918.0,chihuri,18278.0,31.42212,-16.89432,3,,,2010.0,,,0,0,0,0,0,0,1,18423,,,,
ZWE,ZW,5550.0,52903.0,52903.0,chinamano,18137.0,31.0497152,-17.8173117,2,,,2010.0,,,0,0,0,0,0,0,1,18387,,,,
ZWE,ZW,5558.0,52956.0,52956.0,chinyenyetu,18110.0,29.0166667,-17.8833333,2,,,2010.0,,,0,0,0,0,0,0,1,18474,,,,
ZWE,ZW,5555.0,52934.0,52934.0,chinyika,18035.0,31.4572222,-19.5236111,1,,,2010.0,,,0,0,0,0,0,0,1,20137,,,,
ZWE,ZW,5555.0,52940.0,52940.0,chipinda,18295.0,31.9333333,-21.3,1,,,2010.0,,,0,0,0,0,0,0,1,18459,,,,
ZWE,ZW,5558.0,52956.0,52956.0,chireya,18111.0,28.60325,-17.54927,3,,,2010.0,,,0,0,0,0,0,0,1,18475,,,,
ZWE,ZW,5550.0,52903.0,52903.0,chirodzo,18138.0,31.0308888,-17.8572269,1,,,2010.0,,,0,0,0,0,0,0,1,20037,,,,
ZWE,ZW,5551.0,52906.0,52906.0,chisumbanje,18085.0,32.2285171,-20.7683931,1,,,2010.0,,,0,0,0,0,0,0,1,18406,,,,
ZWE,ZW,5550.0,52903.0,52903.0,chizungu,18139.0,31.1630513,-17.906642,1,,,2010.0,,,0,0,0,0,0,0,1,18390,,,,
ZWE,ZW,5550.0,52903.0,52903.0,courteney selous,18140.0,31.0594431,-17.8218953,2,,,2010.0,,,0,0,0,0,0,0,1,20041,,,,
