iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
BFA,BF,599.0,5367.0,5367.0,arbinda s,50088.0,-0.8603645,14.2293346,1,,,2004.0,,,35,1,,,35,0,,,35,1,,,2,2369,49140.27598900518,0,0,0
BFA,BF,599.0,5370.0,5370.0,bana,50160.0,0.7535820999999999,13.2250153,1,,,2004.0,,,60,3,,,60,0,,,60,0,,,2,2377,56041.00282128298,1,1,1
BFA,BF,600.0,5371.0,5371.0,banaba ip,50064.0,-2.8834,9.8188,3,,,2004.0,,,60,9,,,60,0,,,60,0,,,2,2378,40183.99789729338,2,2,2
BFA,BF,600.0,5374.0,5374.0,banwan,50102.0,-2.9489,10.1684,3,,,2004.0,,,64,5,,,64,0,,,64,2,,,2,2381,40183.99789729338,3,3,3
BFA,BF,596.0,5355.0,5355.0,bereba,50109.0,-3.6876803,11.6207692,1,,,2004.0,,,60,0,,,60,0,,,60,0,,,2,2357,32607.446460982563,4,4,4
BFA,BF,596.0,5352.0,5352.0,bobo dioulasso,,-4.293,11.181,3,,,1980.0,1.0,99.0,265,61,,,265,3,,,265,1,,,3,28653,24567.192827261348,5,5,5
BFA,BF,588.0,5312.0,5312.0,bondo,50070.0,-3.4318022,11.760385,1,,,2004.0,,,58,25,,,58,1,,,58,3,,,2,2278,32607.446460982563,6,6,6
BFA,BF,595.0,5351.0,5351.0,bossoari,50134.0,0.60610002,11.0313,3,,,2004.0,,,58,2,,,58,0,,,58,0,,,2,2350,27036.956038203574,7,7,7
BFA,BF,591.0,5329.0,5329.0,boudangou,50132.0,0.3223896,12.1427273,1,,,2004.0,,,61,3,,,61,0,,,61,0,,,2,2296,8863.815440220269,8,8,8
BFA,BF,599.0,5368.0,5368.0,boudougue,50095.0,0.085299999,14.0315,3,,,2004.0,,,66,1,,,66,0,,,66,0,,,2,2372,5261.721234154801,9,9,9
BFA,BF,594.0,5344.0,5344.0,boungou,50136.0,-0.9332,11.0433,3,,,2004.0,,,61,0,,,61,0,,,61,0,,,2,2316,50632.887953837984,10,10,10
BFA,BF,594.0,5343.0,5343.0,bourzem,50122.0,-0.69910002,11.4258,3,,,2004.0,,,59,0,,,59,0,,,59,0,,,2,2315,8084.044072088191,11,11,11
BFA,BF,588.0,5312.0,5312.0,dakayes,50071.0,-2.7356,11.4782,3,,,2004.0,,,61,8,,,61,1,,,61,2,,,2,2279,24186.375626204568,12,12,12
BFA,BF,595.0,5346.0,5346.0,dakiri,50066.0,0.1596,13.1771,3,,,2004.0,,,61,0,,,61,0,,,61,0,,,2,2337,39415.88983477235,13,13,13
BFA,BF,592.0,5334.0,5334.0,dakiskiem,50072.0,-0.42680001,12.5269,3,,,2004.0,,,61,0,,,61,0,,,61,0,,,2,2301,11915.683835524997,14,14,14
BFA,BF,593.0,5337.0,5337.0,dapoury,50119.0,-1.8246,12.2519,3,,,2004.0,,,60,0,,,60,0,,,60,0,,,2,2305,19778.445060619953,15,15,15
BFA,BF,592.0,5335.0,5335.0,delga,50113.0,-1.1668,13.146,3,,,2004.0,,,59,0,,,59,0,,,59,0,,,2,2302,32532.682774837307,16,16,16
BFA,BF,589.0,5319.0,5319.0,dianabana,50123.0,-4.4555998,10.39,3,,,2004.0,,,59,3,,,59,0,,,59,0,,,2,2292,39548.141642131195,17,17,17
BFA,BF,599.0,5368.0,5368.0,diaounga,50096.0,0.25060001,13.9349,3,,,2004.0,,,65,2,,,65,0,,,65,0,,,2,2371,21480.421759948138,18,18,18
BFA,BF,600.0,5373.0,5373.0,diebougou,50087.0,-3.2432781,10.9578957,1,,,2004.0,,,59,0,,,59,0,,,59,0,,,2,2380,36717.95868051867,19,19,19
