iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
BDI,BI,706.0,6389.0,6389.0,bitare,,29.333333,-2.883333,1,school,mapping,2014.0,12.0,14.0,50,2,0.0,0.0,50,3,0.0,0.0,50,0,0.0,0.0,1,23394,0.04,0.06,0.0,0.0920754716981132,10367.615774115517,0,0,0
BDI,BI,715.0,6414.0,6414.0,buhiga ii,,29.7915,-2.906027778,3,school,mapping,2016.0,13.0,14.0,50,0,0.0,0.0,50,9,0.0,0.02,50,24,0.0,0.04,1,23577,0.0,0.18,0.48,0.541132075471698,5574.965279097866,1,1,1
BDI,BI,702.0,6378.0,6378.0,buhina,10243.0,29.438,-3.4523,1,,,2014.0,,,47,0,,,47,12,,,47,9,,,1,18499,0.0,0.2553191489361702,0.1914893617021276,0.3753939714888491,8154.867369618726,2,2,2
BDI,BI,717.0,6418.0,6418.0,buhonga,,30.333333,-3.65,1,school,mapping,2014.0,12.0,16.0,50,1,0.0,0.0,50,1,0.0,0.0,50,0,0.0,0.0,1,23613,0.02,0.02,0.0,0.0373584905660377,7035.244498480952,3,3,3
BDI,BI,710.0,6402.0,6402.0,burarana,,30.0882,-2.6908000000000003,1,school,mapping,2014.0,12.0,15.0,50,1,0.0,0.0,50,2,0.0,0.0,50,0,0.0,0.0,1,23476,0.02,0.04,0.0,0.0558490566037735,0.0,4,4,5
BDI,BI,710.0,6402.0,6402.0,burarana,10373.0,30.0882,-2.6908000000000003,1,,,2014.0,,,50,1,,,50,1,,,50,0,,,1,18630,0.02,0.02,0.0,0.0373584905660377,0.0,5,5,4
BDI,BI,709.0,6396.0,6396.0,bushoka,,29.808,-3.0943,3,school,mapping,2014.0,13.0,14.0,50,2,0.0,0.0,50,4,0.0,0.0,50,0,0.0,0.0,1,23438,0.04,0.08,0.0,0.110188679245283,7883.542588803293,6,6,6
BDI,BI,717.0,6419.0,6419.0,busoro,,30.4327029,-3.2515663,1,school,mapping,2014.0,12.0,16.0,50,2,0.0,0.0,50,3,0.0,0.0,50,0,0.0,0.0,1,23623,0.04,0.06,0.0,0.0920754716981132,7487.927948228562,7,7,7
BDI,BI,705.0,6387.0,6387.0,busumanyi,,30.6339,-3.0634,3,school,mapping,2014.0,12.0,15.0,50,7,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,23371,0.14,0.0,0.0,0.1320754716981132,0.0,8,8,9
BDI,BI,705.0,6387.0,6387.0,busumanyi,10314.0,30.6339,-3.0634,3,,,2014.0,,,50,6,,,50,0,,,50,0,,,1,2185,0.12,0.0,0.0,0.1132075471698113,0.0,9,9,8
