iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
BEN,BJ,375,3262.0,3262,,,1.885303,6.396553,3,,mapping+lf-tas,2017,8.0,10.0,57.0,1.0,0.0,0.0,57.0,3.0,2.0,0.0,57.0,1.0,0.0,0.0,1,22309,0.0,0,0,1
BEN,BJ,375,3262.0,3262,,,1.885303,6.396553,3,,mapping+lf-tas,2017,8.0,10.0,57.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1,22311,0.0,1,1,0
BEN,BJ,375,3262.0,3262,,,1.885303,6.396553,3,,mapping+lf-tas,2017,8.0,10.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1,22310,0.0,2,2,0
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,18.0,2.0,0.0,80.0,5.0,5.0,0.0,80.0,0.0,0.0,0.0,1,22305,0.0,3,3,4
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,3.0,0.0,0.0,80.0,3.0,0.0,0.0,80.0,2.0,0.0,0.0,1,22308,0.0,4,4,3
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,5.0,0.0,0.0,80.0,1.0,0.0,0.0,80.0,0.0,0.0,0.0,1,22307,0.0,5,5,3
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,1.0,0.0,0.0,80.0,1.0,0.0,0.0,80.0,0.0,0.0,0.0,1,22306,0.0,6,6,3
BEN,BJ,375,3266.0,3266,,,1.745019,6.723203,3,,mapping+lf-tas,2017,8.0,10.0,80.0,12.0,0.0,0.0,80.0,0.0,1.0,0.0,80.0,0.0,0.0,0.0,1,22304,0.0,7,7,3
BEN,BJ,373,3255.0,3255,,,1.684444,6.904556,3,,mapping+lf-tas,2017,8.0,10.0,133.0,42.0,0.0,0.0,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,1,22343,0.0,8,8,9
BEN,BJ,373,3255.0,3255,,,1.684444,6.904556,3,,mapping+lf-tas,2017,8.0,10.0,133.0,41.0,0.0,0.0,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,1,22344,0.0,9,9,8
BEN,BJ,373,3255.0,3255,,,1.684444,6.904556,3,,mapping+lf-tas,2017,8.0,10.0,134.0,36.0,0.0,0.0,134.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,1,22345,0.0,10,10,8
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,30.0,0.0,0.0,67.0,23.0,8.0,0.0,67.0,0.0,0.0,0.0,1,22336,0.0,11,11,12
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,15.0,0.0,0.0,67.0,14.0,7.0,0.0,67.0,1.0,0.0,0.0,1,22334,0.0,12,12,11
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,4.0,0.0,0.0,67.0,14.0,9.0,0.0,67.0,0.0,0.0,0.0,1,22333,0.0,13,13,11
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,11.0,0.0,0.0,67.0,12.0,1.0,0.0,67.0,0.0,0.0,0.0,1,22335,0.0,14,14,11
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,14.0,1.0,0.0,67.0,5.0,0.0,0.0,67.0,0.0,0.0,0.0,1,22332,0.0,15,15,11
BEN,BJ,373,3258.0,3258,,,1.7902749999999998,6.875742,3,,mapping+lf-tas,2017,8.0,10.0,67.0,10.0,0.0,0.0,67.0,1.0,0.0,0.0,67.0,0.0,0.0,0.0,1,22331,0.0,16,16,11
BEN,BJ,373,3265.0,3265,,,1.910447,6.914883,3,,mapping+lf-tas,2017,8.0,10.0,133.0,26.0,0.0,0.0,133.0,9.0,2.0,0.0,133.0,0.0,0.0,0.0,1,22338,0.0,17,17,18
