iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
COD,CD,1498.0,24760.0,13954.0,abbe mangongo,11460.0,20.39833333,2.415277778,3,,,2015.0,,,50,23,,,50,3,,,50,0,,,1,3473,POINT (2270732.07932706 268947.157625323),11747.247559490852,0,0,0
COD,CD,1506.0,24780.0,14228.0,abulakama,50809.0,25.24098,1.09174,3,,,2013.0,,,50,14,,,50,18,,,50,8,,,1,4249,POINT (2809813.040723203 121539.2956942084),4882.02353328145,1,1,1
COD,CD,1498.0,24760.0,13936.0,ado mbangi,11327.0,21.04194444,2.784722222,3,,,2015.0,,,50,1,,,50,29,,,50,19,,,1,3387,POINT (2342378.540361154 310115.9769744063),17928.484113703056,2,2,2
COD,CD,1506.0,24779.0,14219.0,adobea,50726.0,30.54483,3.0539701,3,,,2013.0,,,30,0,,,30,1,,,30,0,,,1,4197,POINT (3400234.921967107 340127.4897937173),2739.7134777753754,3,3,3
COD,CD,1506.0,24780.0,14225.0,afilondo,50772.0,25.311934,1.5656,3,,,2013.0,,,50,26,,,50,13,,,50,3,,,1,4235,POINT (2817711.603872948 174303.4867167437),1731.0069147170313,4,4,4
COD,CD,1506.0,24779.0,14220.0,agamba,50730.0,30.828671,2.86128,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4201,POINT (3431831.95755336 318648.7053983652),968.3458786704678,5,5,5
COD,CD,1506.0,24779.0,14286.0,agoyi,52022.0,27.96586,2.1063001,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4481,POINT (3113145.294795977 234525.084783645),6078.066471399566,6,6,6
COD,CD,1506.0,24779.0,14221.0,ahologo,50735.0,30.50576,2.5537,3,,,2013.0,,,50,1,,,50,1,,,50,0,,,1,4206,POINT (3395885.669461813 284370.7509306213),5259.218024810496,7,7,7
COD,CD,1506.0,24779.0,14258.0,akonzkanyi,51550.0,31.011101,2.2184701,3,,,2013.0,,,50,0,,,50,1,,,50,0,,,1,4372,POINT (3452139.972258777 247020.6921525545),1703.476699643848,8,8,8
COD,CD,1506.0,24777.0,14276.0,akpudu,51875.0,26.98814,3.0595801,3,,,2013.0,,,50,9,,,50,1,,,50,12,,,1,4447,POINT (3004306.002257579 340752.8819552092),13255.651141312956,9,9,9
