iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
CIV,CI,1608.0,15329.0,15329.0,abidjan,,-4.032,5.334,3,,,1994.0,4.0,15.0,1001,63,,,1001,165,,,1001,234,,,3,28682,0.0,0,0,1
CIV,CI,1608.0,15329.0,15329.0,abidjan,,-4.032,5.334,3,,,1992.0,15.0,44.0,388,167,,,388,96,,,388,96,,,3,30052,0.0,1,1,0
CIV,CI,1609.0,15339.0,15339.0,abri 2000 2,,-3.9443,5.30547,3,school,mapping,2014.0,7.0,13.0,30,0,0.0,0.0,30,0,0.0,0.0,30,4,0.0,0.0,1,23838,4.019002771450982,2,2,2
CIV,CI,1611.0,15349.0,15349.0,adaou,,-4.85478,6.54992,3,school,mapping,2014.0,7.0,12.0,30,15,0.0,0.1333,30,0,0.0,0.0,30,1,0.0,0.0,1,23923,12582.80882829328,3,3,3
CIV,CI,1618.0,15378.0,15378.0,aeeci pelezi 1,,-6.4854,7.16551,3,school,mapping,2014.0,7.0,14.0,32,6,0.0,0.0,32,0,0.0,0.0,32,0,0.0,0.0,1,24420,577.3819520490059,4,4,4
CIV,CI,1610.0,15342.0,15342.0,agboville,,-4.2230836,5.9354963,1,,,2001.0,5.0,15.0,360,54,,,360,20,,,360,49,,,2,30043,12713.03721356075,5,5,5
CIV,CI,1619.0,15379.0,15379.0,agni extension,,-3.47577,6.7251,3,school,mapping,2014.0,7.0,13.0,31,2,0.0,0.0,31,0,0.0,0.0,31,0,0.0,0.0,1,24435,2171.4772223079494,6,6,6
CIV,CI,1610.0,15346.0,15346.0,ahouaty,,-4.972778,6.109444,3,,,2010.0,40.0,83.0,8,6,,,8,0,,,8,2,,,1,28670,3139.132776723261,7,7,7
CIV,CI,1609.0,15340.0,15340.0,aliodan 4,,-3.96316,5.30748,3,school,mapping,2014.0,7.0,13.0,33,0,0.0,0.0,33,2,0.0,0.0,33,16,0.0,0.0,1,23853,592.9136280424472,8,8,8
CIV,CI,1610.0,15346.0,15346.0,amani m?acnou,50686.0,-4.9830561,6.083333,3,,,2010.0,,,15,4,,,15,0,,,15,1,,,1,2544,0.0,9,9,10
CIV,CI,1610.0,15346.0,15346.0,amani menou,,-4.9830561,6.083333,3,,,2010.0,26.0,64.0,15,4,,,15,0,,,15,1,,,1,28672,0.0,10,10,9
