iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
CMR,CM,819.0,7432.0,7432.0,bafia,,11.23,4.752,3,,,1980.0,0.0,99.0,689,411,,,689.0,476,,,689.0,483,,,3,29141,POINT (1250117.881608462 529597.72781524),62798.72263688347,0,0,0
CMR,CM,827.0,7602.0,7602.0,bai foe,50438.0,9.2124004,4.4748001,3,,,1998.0,,,48,12,,,48.0,34,,,48.0,30,,,3,2578,POINT (1025519.72151175 498639.6443528293),1677.2972949892257,1,1,1
CMR,CM,827.0,7604.0,7604.0,bai panya,50483.0,9.3274282,4.5345138,1,,,1998.0,,,28,6,,,28.0,19,,,28.0,6,,,3,2583,POINT (1038324.55763482 505307.5407778702),12450.821647509223,2,2,2
CMR,CM,827.0,7599.0,7599.0,barombi kang,,9.4575,4.607222,3,,,2010.0,5.0,15.0,162,12,,,162.0,28,,,162.0,18,,,1,31296,POINT (1052804.084177385 513427.2055041368),29.823233429739187,3,3,3
CMR,CM,827.0,7599.0,7599.0,barombi kang,50386.0,9.4576998,4.6073999,3,,,1998.0,,,40,4,,,40.0,20,,,40.0,13,,,3,2573,POINT (1052826.325811645 513447.0734420678),29.823233429739187,4,4,4
CMR,CM,827.0,7600.0,7600.0,bolifamba,50394.0,9.3048959,4.1715071,1,,,0.0,,,425,14,,,425.0,115,,,425.0,104,,,3,2576,POINT (1035816.273472419 464780.8455067221),4952.571872086777,5,5,5
CMR,CM,827.0,7600.0,7600.0,buea,50395.0,9.2632243,4.1559658,1,,,0.0,,,85,5,,,85.0,50,,,85.0,45,,,3,2577,POINT (1031177.412179878 463046.217576372),4952.571872086777,6,6,6
CMR,CM,822.0,7512.0,7512.0,cebec loum b,50399.0,9.75,4.7305999,3,,,2000.0,,,142,1,,,142.0,69,,,142.0,103,,,3,2567,POINT (1085365.035234417 527207.299676519),35328.62064846111,7,7,7
CMR,CM,818.0,7422.0,7422.0,djohong,,14.691,6.834,3,,,1985.0,0.0,99.0,763,352,,,763.0,34,,,763.0,60,,,3,29126,POINT (1635394.639243982 762567.6890887369),634.3818508555312,8,8,8
CMR,CM,821.0,7477.0,7477.0,e pri cath djougoumta,10441.0,15.26857,10.09638,3,,,2012.0,,,50,4,,,50.0,0,,,50.0,0,,,1,2614,POINT (1699689.437541453 1129786.080231333),6274.7383720522475,9,9,9
CMR,CM,821.0,7495.0,7495.0,e an gr 1a mora,10545.0,14.1407948,11.0465171,1,,,2012.0,,,50,1,,,50.0,0,,,50.0,0,,,1,19008,POINT (1574146.076548171 1237382.398561527),5548.368350424286,10,10,10
CMR,CM,821.0,7473.0,7473.0,e djiddel,10394.0,14.7533198,10.81632,3,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2604,POINT (1642332.047646321 1211283.38619856),12416.843449040136,11,11,11
CMR,CM,821.0,7477.0,7477.0,e gr 1 ardaf,10440.0,15.27195,10.03109,3,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2613,POINT (1700065.697420334 1122404.456448412),4961.085192605952,12,12,12
CMR,CM,821.0,7474.0,7474.0,e pri cath djimi,10399.0,13.55076,10.27468,1,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,18912,POINT (1508463.70306186 1149952.165435152),7458.823384039141,13,13,13
CMR,CM,821.0,7494.0,7494.0,e priv cath ouro tada,10540.0,13.77587,10.736,3,,,2012.0,,,50,2,,,50.0,0,,,50.0,0,,,1,19002,POINT (1533522.833634333 1202181.696827055),3241.6204981582523,14,14,14
CMR,CM,823.0,7536.0,7536.0,e sanguere djalingo,10573.0,13.4612924,9.2780215,1,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,19092,POINT (1498504.215387363 1037368.230791397),7239.821100161202,15,15,15
CMR,CM,823.0,7530.0,7530.0,ea bibemire ii,10420.0,13.4090842,9.316294,3,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2680,POINT (1492692.42514813 1041685.417812768),1886.517483620094,16,16,16
CMR,CM,821.0,7480.0,7480.0,ea gr 3a kaele,10460.0,14.4432179,10.1111834,1,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2624,POINT (1607811.662044294 1131459.946163484),3335.784805366544,17,17,17
CMR,CM,823.0,7537.0,7537.0,eap gr 1 pitoa,10583.0,13.5060994,9.3860529,1,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2702,POINT (1503492.107811338 1049555.529560959),11408.663311120887,18,18,18
CMR,CM,827.0,7604.0,7604.0,ediki,50484.0,9.4499998,4.5339999,3,,,1998.0,,,70,22,,,70.0,20,,,70.0,24,,,3,2581,POINT (1051969.165732537 505250.1540852793),3622.508048920428,19,19,19
CMR,CM,821.0,7495.0,7495.0,ep aissa harde,10546.0,14.3333712,10.5912728,2,,,2012.0,,,50,4,,,50.0,0,,,50.0,0,,,1,19007,POINT (1595583.583334973 1185787.615371282),13084.343293950456,20,20,20
CMR,CM,821.0,7498.0,7498.0,ep alagarno,10578.0,14.7022,11.01361,1,,,2012.0,,,50,2,,,50.0,0,,,50.0,0,,,1,19024,POINT (1636641.417540866 1233650.252697568),15365.262844907482,21,21,21
CMR,CM,818.0,7428.0,7428.0,ep alme,10613.0,12.48333,7.81667,3,,,2012.0,,,50,8,,,50.0,0,,,50.0,0,,,1,18901,POINT (1389637.939004396 872859.5829229747),21247.724313348972,22,22,22
CMR,CM,821.0,7476.0,7476.0,ep ardebe,10435.0,14.23345,12.50374,1,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,18917,POINT (1584460.40623152 1403091.636358454),14908.169744669676,23,23,23
CMR,CM,821.0,7483.0,7483.0,ep ardebe kousseri,10475.0,15.0148322,12.087083,1,,,2012.0,,,50,1,,,50.0,0,,,50.0,0,,,1,2632,POINT (1671443.474850448 1355620.619169125),36288.501265218234,24,24,24
CMR,CM,823.0,7532.0,7532.0,ep babouri,10430.0,13.77741,9.79017,3,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2686,POINT (1533694.265650155 1095179.070530554),5786.717816160732,25,25,25
CMR,CM,821.0,7497.0,7497.0,ep badjava,10555.0,14.19125,10.21279,3,,,2012.0,,,50,2,,,50.0,0,,,50.0,0,,,1,19015,POINT (1579762.723720043 1142951.004328108),14388.635013043026,26,26,26
CMR,CM,821.0,7479.0,7479.0,ep bamguel,10455.0,13.83287,10.29302,3,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2618,POINT (1539868.04460955 1152027.09786943),8172.588052337516,27,27,27
CMR,CM,818.0,7420.0,7420.0,ep bandam,10379.0,11.45199,6.154317,1,,,2012.0,,,50,8,,,50.0,5,,,50.0,7,,,1,18863,POINT (1274829.695369661 686416.6370307035),8731.399725812382,28,28,28
CMR,CM,821.0,7478.0,7478.0,ep barlang,10450.0,14.85232,10.05986,1,,,2012.0,,,50,3,,,50.0,0,,,50.0,0,,,1,18925,POINT (1653352.699498753 1125656.980665579),7564.513083733405,29,29,29
CMR,CM,823.0,7531.0,7531.0,ep bascheo,10426.0,13.37222,9.67222,3,,,2012.0,,,50,0,,,50.0,0,,,50.0,0,,,1,2682,POINT (1488588.721175629 1081857.254357366),11709.527185150853,30,30,30
CMR,CM,821.0,7486.0,7486.0,ep begue palam,10495.0,15.12974,10.68885,3,,,2012.0,,,50,1,,,50.0,0,,,50.0,0,,,1,2642,POINT (1684234.952634623 1196839.888365531),8931.837780790458,31,31,31
CMR,CM,818.0,7427.0,7427.0,ep beka gotto,10608.0,13.116667,6.75,1,,,2012.0,,,50,5,,,50.0,0,,,50.0,0,,,1,18895,POINT (1460140.691344935 753150.763305234),39441.72522296586,32,32,32
