iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
KEN,KE,2534.0,24797.0,24797.0,a. c. tegat,12530.0,35.09603,0.20122,3,,,2013.0,,,55.0,0,,,55.0,10,,,55.0,0,,,1,19522,5576.609574995546,0,0,0
KEN,KE,2528.0,24761.0,54081.0,a. k. magugu,12388.0,36.79287,-1.08847,3,,,2013.0,,,54.0,1,,,54.0,6,,,54.0,0,,,1,6169,3936.7168061935827,1,1,1
KEN,KE,2532.0,24783.0,54285.0,abakore,53996.0,39.7111401,0.6288978,1,,,2008.0,,,52.0,0,,,52.0,0,,,52.0,0,,,1,7562,21468.473810281073,2,2,2
KEN,KE,2533.0,24789.0,54244.0,abidha,,34.188202,-0.0299,3,,,2005.0,5.0,20.0,31.0,17,,,31.0,8,,,31.0,1,,,2,30362,2421.7586104964657,3,3,3
KEN,KE,2533.0,24789.0,54244.0,abom,52743.0,34.334499,-0.038957998,3,,,1997.0,,,378.0,77,,,378.0,175,,,378.0,35,,,3,7287,0.0,4,4,5
KEN,KE,2533.0,24789.0,54244.0,abom,52742.0,34.334499,-0.038957998,3,,,1996.0,,,869.0,101,,,869.0,218,,,869.0,52,,,3,7304,0.0,5,5,4
KEN,KE,2529.0,24770.0,54250.0,abori,53972.0,37.6936411,-3.4600935,1,,,1998.0,,,316.0,5,,,316.0,2,,,316.0,3,,,3,7478,13846.771674253943,6,6,6
KEN,KE,2531.0,24780.0,,addar academy,12488.0,36.92313,-1.23088,3,,,2013.0,,,61.0,0,,,61.0,0,,,61.0,0,,,1,19383,650.3639521390444,7,7,7
KEN,KE,2533.0,24784.0,54044.0,adiedo,53574.0,34.6064,-0.42601001,3,,,2007.0,,,25.0,1,,,25.0,1,,,25.0,0,,,1,6686,2231.956899774936,8,8,8
KEN,KE,2529.0,24766.0,54092.0,adu,,39.9804,-2.8351,3,,,2008.0,5.0,16.0,97.0,0,,,97.0,1,,,97.0,4,,,1,29007,0.011145590920932591,9,9,10
KEN,KE,2529.0,24766.0,54091.0,adu,53359.0,39.9804,-2.8350999,3,,,2012.0,,,108.0,34,,,108.0,9,,,108.0,3,,,1,6889,0.011145590920932591,10,10,9
KEN,KE,2533.0,24789.0,54244.0,aduoyo,,34.396999,-0.1726879999999999,3,,,2001.0,10.0,12.0,36.0,12,,,36.0,5,,,36.0,11,,,2,31559,1227.5005168189837,11,11,11
KEN,KE,2535.0,24805.0,1934.0,agenga,,34.063702,0.24367,3,,,1999.0,5.0,17.0,65.0,37,,,65.0,6,,,65.0,9,,,3,30139,863.2936278384935,12,12,12
KEN,KE,2533.0,24784.0,54044.0,agoro sare,53575.0,34.734798,-0.49735001,3,,,2007.0,,,221.0,16,,,221.0,73,,,221.0,11,,,1,6672,1232.470986474965,13,13,13
KEN,KE,2533.0,24789.0,54244.0,agwara,,34.195599,-0.064317,3,,,2005.0,5.0,20.0,41.0,15,,,41.0,0,,,41.0,1,,,2,30371,914.1195133390686,14,14,14
KEN,KE,2534.0,24802.0,24802.0,aic besiebor,12613.0,35.0472,0.61733,3,,,2013.0,,,59.0,0,,,59.0,0,,,59.0,0,,,1,19569,5853.219955121121,15,15,15
KEN,KE,2534.0,24797.0,24797.0,aic kamotong,12531.0,35.12635,0.52739,3,,,2013.0,,,55.0,0,,,55.0,1,,,55.0,0,,,1,19525,4227.041941573185,16,16,16
KEN,KE,2534.0,24801.0,1993.0,aic lopiding,,34.39046,4.20626,3,,,2008.0,5.0,16.0,196.0,0,,,196.0,0,,,196.0,2,,,1,28853,0.0,17,17,18
KEN,KE,2534.0,24801.0,1993.0,aic lopiding,,34.39046,4.20626,3,,,2009.0,5.0,18.0,106.0,0,,,106.0,0,,,106.0,0,,,1,29482,0.0,18,18,17
KEN,KE,2534.0,24793.0,24793.0,aic namanga,12368.0,37.39992,-2.54605,3,,,2013.0,,,64.0,0,,,64.0,0,,,64.0,2,,,1,19491,14532.069478084532,19,19,19
KEN,KE,2534.0,24796.0,24796.0,ainamoi,12508.0,35.25162,0.28440005,3,,,2015.0,,,46.0,0,,,46.0,1,,,46.0,1,,,1,19500,0.0,20,20,21
KEN,KE,2534.0,24802.0,24802.0,ainamoi,12614.0,35.25162,0.28440005,3,,,2013.0,,,58.0,0,,,58.0,0,,,58.0,0,,,1,19565,0.0,21,21,20
KEN,KE,2528.0,24762.0,1948.0,aipca bishop kigunda,,37.349998,-0.6144879999999999,3,,,2004.0,5.0,16.0,11.0,1,,,11.0,1,,,11.0,1,,,2,30436,244.95816992620732,22,22,22
KEN,KE,2529.0,24766.0,54091.0,airport,53360.0,40.097301,-3.2341001,3,,,2012.0,,,108.0,26,,,108.0,2,,,108.0,11,,,1,6913,6262.502919253088,23,23,23
KEN,KE,2533.0,24786.0,54113.0,akado,53225.0,34.439499,-0.14793,3,,,2007.0,,,106.0,6,,,106.0,16,,,106.0,31,,,1,7075,1482.3358646754186,24,24,24
KEN,KE,2533.0,24789.0,54246.0,akom,53644.0,34.3386,-0.18061,3,,,2006.0,,,38.0,2,,,38.0,5,,,38.0,7,,,1,7405,1562.9339001777557,25,25,25
KEN,KE,2532.0,24781.0,1938.0,al fatah,,39.665401,-0.481346,3,,,2009.0,5.0,15.0,93.0,0,,,93.0,0,,,93.0,0,,,1,28974,0.0011132341314805672,26,26,31
KEN,KE,2531.0,24780.0,,al madrasa,12489.0,36.75703,-1.361877,3,,,2013.0,,,46.0,0,,,46.0,0,,,46.0,0,,,1,19389,6617.951427362366,27,27,27
KEN,KE,2533.0,24789.0,54244.0,alara,,34.408501,-0.135736,3,,,2001.0,10.0,12.0,46.0,14,,,46.0,8,,,46.0,7,,,2,31552,0.0,28,28,29
KEN,KE,2533.0,24789.0,54246.0,alara,53646.0,34.408501,-0.135736,3,,,2006.0,,,61.0,1,,,61.0,10,,,61.0,23,,,1,7389,0.0,29,29,28
KEN,KE,2533.0,24784.0,54046.0,alara korayo,52929.0,34.525948,-0.50993699,3,,,2012.0,,,108.0,19,,,108.0,10,,,108.0,3,,,1,6631,2783.3754654955446,30,30,30
KEN,KE,2532.0,24781.0,54036.0,alfatah,52884.0,39.665401,-0.48134601,3,,,2008.0,,,51.0,0,,,51.0,0,,,51.0,0,,,1,6603,0.0011132341314805672,31,31,26
KEN,KE,2530.0,24777.0,24777.0,alhuda,12411.0,39.06024,3.52321,3,,,2013.0,,,63.0,1,,,63.0,0,,,63.0,2,,,1,19355,4277.971858909541,32,32,32
KEN,KE,2533.0,24786.0,54113.0,alungo,53226.0,34.504501,-0.16864,3,,,2007.0,,,106.0,7,,,106.0,11,,,106.0,25,,,1,7069,1170.9122574871117,33,33,33
KEN,KE,2533.0,24786.0,1949.0,alwala,,34.483898,-0.13884,3,,,2009.0,5.0,15.0,109.0,1,,,109.0,3,,,109.0,3,,,1,28964,627.8344650963763,34,34,34
KEN,KE,2533.0,24786.0,54113.0,alwala,53227.0,34.4891278,-0.1367286,1,,,2007.0,,,109.0,9,,,109.0,8,,,109.0,13,,,1,7070,627.8344650963763,35,35,35
KEN,KE,2534.0,24793.0,24793.0,amboseli,12369.0,37.36604,-2.74414,3,,,2013.0,,,51.0,0,,,51.0,0,,,51.0,0,,,1,19497,7973.255350038755,36,36,36
KEN,KE,2533.0,24785.0,54105.0,ameagara,53388.0,34.969318,-0.83400702,3,,,2012.0,,,108.0,4,,,108.0,43,,,108.0,0,,,1,7025,4059.966281760636,37,37,37
KEN,KE,2531.0,24780.0,,ananda marga mission,12490.0,36.86835,-1.25905,3,,,2013.0,,,58.0,0,,,58.0,2,,,58.0,2,,,1,19388,950.1168672621499,38,38,38
