iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
LSO,LS,2645,0,25817,bocheletsane,12683,28.2860556,-29.5214087,1,,,2015,,,50,0,,,50,33,,,50,0,,,1,8778,11122.855237742111,0,0,0
LSO,LS,2637,0,25809,damaseka primary school,12643,28.4142816,-28.8153166,1,,,2015,,,50,0,,,50,3,,,50,49,,,1,8740,4297.758350326525,1,1,1
LSO,LS,2641,0,25813,hloahloeng,12663,28.2009172,-30.0346778,1,,,2015,,,50,0,,,50,22,,,50,0,,,1,8759,20242.858460339132,2,2,2
LSO,LS,2644,0,25816,koali primary,12678,27.8475881,-30.2827949,1,,,2015,,,50,0,,,50,28,,,50,0,,,1,8774,17363.09508480434,3,3,3
LSO,LS,2636,0,25808,lancers gap,12638,27.55,-29.3147222,1,,,2015,,,51,0,,,51,17,,,51,2,,,1,8735,4573.238175091237,4,4,4
LSO,LS,2639,0,25811,lebona r.c.c,12653,27.68781667,-29.83656167,4,,,2015,,,50,1,,,50,5,,,50,0,,,1,8751,10406.489078244716,5,5,5
LSO,LS,2637,0,25809,lehloara primary school,12644,28.56093833,-28.949185,3,,,2015,,,50,1,,,50,10,,,50,49,,,1,8738,23334.14827491587,6,6,6
LSO,LS,2637,0,25809,lepatoa primary school,12645,28.51622,-28.61582167,3,,,2015,,,50,0,,,50,5,,,50,50,,,1,8741,24148.837360210855,7,7,7
LSO,LS,2645,0,25817,lesobeng priimary,12684,28.24846,-29.44082,3,,,2015,,,50,0,,,50,23,,,50,0,,,1,8779,11122.855237742111,8,8,8
LSO,LS,2640,0,25812,letlapeng,12658,27.46531167,-29.67301,3,,,2015,,,50,0,,,50,2,,,50,0,,,1,8754,16744.81268879426,9,9,9
LSO,LS,2645,0,25817,liseleng primary school,12685,28.60043333,-29.275685,3,,,2015,,,50,0,,,50,30,,,50,0,,,1,8782,29684.502473016793,10,10,10
LSO,LS,2639,0,25811,litsoeneng l.e.c,12654,27.0498741,-29.6416632,1,,,2015,,,50,0,,,50,10,,,50,0,,,1,8748,46420.305406227664,11,11,11
LSO,LS,2641,0,25813,luma luma,12665,28.41714833,-29.924995,3,,,2015,,,50,0,,,50,18,,,50,1,,,1,8760,17850.4044829987,12,12,12
LSO,LS,2638,0,25810,malibamatso,12649,28.29657,-29.06459,3,,,2015,,,50,0,,,50,13,,,50,46,,,1,8746,15598.515331353583,13,13,13
LSO,LS,2636,0,25808,mapheleng,12639,28.07141,-29.18597833,3,,,2015,,,50,0,,,50,15,,,50,0,,,1,8737,27182.809372905598,14,14,14
LSO,LS,2641,0,25813,maphutsaneng,12667,27.42553,-30.24401,3,,,2015,,,50,0,,,50,17,,,50,0,,,1,8762,36807.44698858557,15,15,15
LSO,LS,2645,0,25817,masakoane primary school,12686,28.81566,-29.74286333,3,,,2015,,,50,0,,,50,30,,,50,0,,,1,8781,31664.258415900873,16,16,16
LSO,LS,2643,0,25815,maseepho,12673,28.47742,-29.5622,4,,,2015,,,50,2,,,50,22,,,50,33,,,1,8769,16345.733914583207,17,17,17
LSO,LS,2639,0,25811,masemouse l.e.c,12655,27.6609551,-29.9142034,1,,,2015,,,50,1,,,50,6,,,50,0,,,1,8752,10406.489078244716,18,18,18
LSO,LS,2642,0,25814,matjota,12668,29.06751,-29.2875557,1,,,2015,,,50,0,,,50,12,,,50,0,,,1,8764,0.0,19,19,27
LSO,LS,2644,0,25816,matsiring ps,12679,28.03314,-30.14228,3,,,2015,,,50,0,,,50,39,,,50,0,,,1,8777,18102.208417837708,20,20,20
LSO,LS,2636,0,25808,mejametalana,12640,27.5005643,-29.3043298,1,,,2015,,,50,0,,,50,19,,,50,0,,,1,8736,3563.957672262858,21,21,21
LSO,LS,2636,0,25808,mokonyane,12641,27.85626333,-29.28676167,3,,,2015,,,52,0,,,52,2,,,52,2,,,1,8733,17930.780955137416,22,22,22
LSO,LS,2642,0,25814,moremoholo,12669,29.0797,-29.11177,3,,,2015,,,55,0,,,55,9,,,55,0,,,1,8765,10107.297563950933,23,23,23
LSO,LS,2644,0,25816,moyeni,12680,27.7080133,-30.4015687,1,,,2015,,,50,0,,,50,12,,,50,0,,,1,8775,21820.273206944687,24,24,24
LSO,LS,2636,0,25808,muela,12642,27.97607167,-28.95564333,3,,,2015,,,50,0,,,50,20,,,50,0,,,1,8734,26549.148178549473,25,25,25
LSO,LS,2637,0,25809,mutlanyana primary school,12646,28.44581,-28.79579167,3,,,2015,,,50,0,,,50,8,,,50,50,,,1,8739,4297.758350326525,26,26,26
LSO,LS,2642,0,25814,pae la ithlatsoa,12670,29.06751,-29.2875557,1,,,2015,,,50,0,,,50,7,,,50,0,,,1,8763,0.0,27,27,19
LSO,LS,2638,0,25810,pontmain,12651,28.2143063,-28.9653924,3,,,2015,,,50,0,,,50,36,,,50,44,,,1,8745,15598.515331353583,28,28,28
LSO,LS,2643,0,25815,qachasnek primary,12674,28.678979,-30.1114565,1,,,2015,,,51,3,,,51,15,,,51,8,,,1,8768,29886.21540508712,29,29,29
LSO,LS,2642,0,25814,ralefatla,12671,29.16427,-29.18603,3,,,2015,,,50,0,,,50,1,,,50,0,,,1,8767,13349.935902719577,30,30,30
LSO,LS,2645,0,25817,ramaomane,12687,28.41812,-29.44529,3,,,2015,,,50,0,,,50,20,,,50,0,,,1,8780,16345.733914583207,31,31,31
LSO,LS,2640,0,25812,rankhelepe,12659,27.43049333,-29.4683,3,,,2015,,,50,0,,,50,3,,,50,0,,,1,8753,19899.519847119995,32,32,32
LSO,LS,2640,0,25812,samuel,12660,28.12343333,-29.892155,4,,,2015,,,50,0,,,50,6,,,50,0,,,1,8755,20242.858460339132,33,33,33
LSO,LS,2644,0,25816,sinxondo primary,12681,27.732939,-30.5722262,1,,,2015,,,50,0,,,50,23,,,50,0,,,1,8776,22219.332146499753,34,34,34
LSO,LS,2637,0,25809,st alphonse,12647,28.2468148,-28.7653754,1,,,2015,,,53,0,,,53,12,,,53,52,,,1,8742,19692.053165046844,35,35,35
LSO,LS,2640,0,25812,st. philomena,12661,27.89293833,-29.42346667,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,8756,17930.780955137416,36,36,36
LSO,LS,2639,0,25811,thaba tsoeu,12656,27.4364796,-29.8012005,1,,,2015,,,50,0,,,50,4,,,50,0,,,1,8750,16744.81268879426,37,37,37
LSO,LS,2643,0,25815,thaba koto,12675,29.03031,-29.54034,4,,,2015,,,49,3,,,49,34,,,49,42,,,1,8772,32568.3745329776,38,38,38
LSO,LS,2642,0,25814,thaba moea,12672,29.03987,-29.04046,3,,,2015,,,52,0,,,52,6,,,52,0,,,1,8766,10107.297563950933,39,39,39
LSO,LS,2639,0,25811,thabana morena,12657,27.4233344,-29.95796,1,,,2015,,,50,0,,,50,7,,,50,0,,,1,8749,20178.73418220584,40,40,40
LSO,LS,2640,0,25812,thamae,12662,27.5128925,-29.3300923,1,,,2015,,,50,0,,,50,19,,,50,0,,,1,8757,3563.957672262858,41,41,41
LSO,LS,2643,0,25815,thamathu,12676,29.0857376,-29.8203325,1,,,2015,,,52,2,,,52,29,,,52,33,,,1,8770,31664.258415900873,42,42,42
LSO,LS,2644,0,25816,tsatsane,12682,28.00354,-30.28046,3,,,2015,,,50,0,,,50,13,,,50,0,,,1,8773,17363.09508480434,43,43,43
LSO,LS,2643,0,25815,tsunke,12677,28.4162,-30.06387,3,,,2015,,,51,1,,,51,24,,,51,28,,,1,8771,17850.4044829987,44,44,44
