iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
MDG,MG,2864.0,0.0,27853.0,agnalarajy,12950.0,49.86160333,-16.981015,3,,,2015.0,,,50,2,,,50,15,,,50,40,,,1,8809,POINT (5550568.292831794 -1918615.186753539),6012.116273323441,0,0,0
MDG,MG,2881.0,0.0,27936.0,alatsinainy,55159.0,46.736698,-19.643499,3,,,1995.0,,,121,2,,,121,76,,,121,8,,,3,9088,POINT (5202705.422719006 -2230845.966933362),1989.6187957482805,1,1,1
MDG,MG,2863.0,0.0,27842.0,alatsinainy,12780.0,47.679829,-19.32358,1,,,2015.0,,,50,0,,,50,11,,,50,2,,,1,8796,POINT (5307694.285390357 -2193069.508875427),36970.709404197725,2,2,2
MDG,MG,2871.0,0.0,27889.0,ambalabe/befanjava,12885.0,46.95271167,-15.77795,3,,,2015.0,,,50,0,,,50,1,,,50,0,,,1,8914,POINT (5226751.954467794 -1779022.345263435),5350.504274029328,3,3,3
MDG,MG,2881.0,0.0,27936.0,ambalafeno,55160.0,46.6666669,-20.116667,1,,,1995.0,,,78,0,,,78,63,,,78,4,,,3,9076,POINT (5194909.596327314 -2286856.868274672),13321.721722818389,4,4,4
MDG,MG,2874.0,0.0,27900.0,ambalakindresy,,47.332001,-21.166,3,,,1990.0,1.0,10.0,96,0,,,96,75,,,96,31,,,3,29173,POINT (5268974.249546715 -2411683.356958843),5463.126670468492,5,5,5
MDG,MG,2872.0,0.0,27894.0,ambalanjanakomby,55248.0,47.0753348,-16.6980043,1,,,1996.0,,,104,61,,,104,18,,,104,7,,,3,8929,POINT (5240402.298858872 -1885699.098715192),19432.209993860022,6,6,6
MDG,MG,2880.0,0.0,27929.0,ambalavelona,104155.0,47.5833333,-16.1999999,3,,,2015.0,10.0,0.0,50,0,,,50,0,,,50,0,,,1,859,POINT (5296952.433202618 -1827895.521527214),20763.57325833366,7,7,7
MDG,MG,2871.0,0.0,27887.0,ambaliha,104015.0,46.0,-17.45,1,,,2015.0,10.0,0.0,50,0,,,50,0,,,50,0,,,1,828,POINT (5120696.576490585 -1973271.215321905),8392.116592186305,8,8,8
MDG,MG,2879.0,0.0,27922.0,ambanifaho,12815.0,50.28308833,-14.91431667,3,,,2015.0,,,50,2,,,50,31,,,50,43,,,1,9019,POINT (5597487.788408797 -1679327.417028168),12197.742584807407,9,9,9
MDG,MG,2880.0,0.0,27931.0,ambanjabe,104200.0,47.703911,-15.64412,1,,,2015.0,9.0,0.0,50,15,,,50,0,,,50,0,,,1,872,POINT (5310375.081367642 -1763546.261385106),8916.557865074445,10,10,10
MDG,MG,2870.0,0.0,27884.0,ambanjabe ouest,12875.0,46.04979167,-17.50399167,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,8892,POINT (5126239.359840731 -1979572.419463193),8392.116592186305,11,11,11
MDG,MG,2880.0,0.0,27925.0,ambarijiby sud,104040.0,47.680099,-14.93211,1,,,2015.0,9.0,0.0,50,10,,,50,0,,,50,2,,,1,831,POINT (5307724.341652873 -1681377.300298377),42249.45420728546,12,12,12
MDG,MG,2876.0,0.0,27908.0,ambatomainty,12830.0,46.683333,-18.816667,1,,,2015.0,,,50,0,,,50,6,,,50,2,,,1,8962,POINT (5196764.858092824 -2133363.270156278),7419.974570754047,13,13,13
MDG,MG,2872.0,0.0,27893.0,ambatomainty sud,12865.0,46.113392,-18.9743,1,,,2015.0,,,50,5,,,50,3,,,50,2,,,1,8927,POINT (5133319.316190614 -2151910.390072571),11708.581615155452,14,14,14
MDG,MG,2867.0,0.0,27863.0,ambatomanambahitse,,44.9797424,-24.568543,3,,sentinel site,2015.0,7.0,10.0,55,0,0.0,0.0,55,0,0.0,0.0,55,1,0.0,0.0,1,26248,POINT (5007122.019980617 -2822842.181984643),0.0,15,15,16
MDG,MG,2867.0,0.0,27863.0,ambatomanambahitse,,44.9797424,-24.568543,3,,sentinel site,2017.0,7.0,10.0,60,0,0.0,0.0,60,0,0.0,0.0,60,0,0.0,0.0,1,26249,POINT (5007122.019980617 -2822842.181984643),0.0,16,16,15
MDG,MG,2872.0,0.0,27894.0,ambatomandondona,,45.77566667,-18.98186111,3,,mapping,2015.0,9.0,13.0,50,0,0.0,0.0,50,1,0.0,0.0,50,2,0.0,0.0,1,26300,POINT (5095723.904427025 -2152800.471069606),28032.62180873937,17,17,17
MDG,MG,2881.0,0.0,27946.0,ambatomanga,55212.0,47.533333,-19.7,1,,,1995.0,,,158,24,,,158,66,,,158,8,,,3,9113,POINT (5291386.425267107 -2237525.467923709),14304.557565583435,18,18,18
MDG,MG,2881.0,0.0,27936.0,ambatomaroanaka,55161.0,46.722099,-19.9216,3,,,1995.0,,,12,0,,,12,9,,,12,1,,,3,9057,POINT (5201080.269472916 -2263745.679829406),456.5939502556325,19,19,19
