iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
MUS,MU,3341,32098,32098,antoinette prudence gs,13553,63.44693833,-19.71369333,3,,,2015,,,50,0,,,50,2,,,50,16,,,1,9635,1490.261046976406,0,0,0
MUS,MU,3341,32098,32098,araucaria community gs,13554,63.44284667,-19.70169333,3,,,2015,,,22,0,,,22,0,,,22,3,,,1,9634,1490.261046976406,1,1,1
MUS,MU,3337,32094,32094,arsenal govt school,13546,57.5406263,-20.1010109,1,,,2015,,,20,0,,,20,8,,,20,0,,,1,9614,3883.598041015494,2,2,2
MUS,MU,3334,32091,32091,b rosunee gs,13515,57.717659,-20.200199,1,,,2015,,,36,0,,,36,0,,,36,0,,,1,9599,1151.261297217618,3,3,3
MUS,MU,3339,32096,32096,bambous a government school,13537,57.49889,-20.1887446,1,,,2015,,,18,0,,,18,2,,,18,2,,,1,9627,1630.9863874083385,4,4,4
MUS,MU,3339,32096,32096,bambous b government school,13538,57.49889,-20.1608912,1,,,2015,,,32,0,,,32,0,,,32,1,,,1,9631,259.61931642889977,5,5,5
MUS,MU,3335,32092,32092,beau vallon g.s,13524,57.70472833,-20.41732167,3,,,2015,,,48,0,,,48,1,,,48,1,,,1,9605,5459.983296935362,6,6,6
MUS,MU,3339,32096,32096,briquetterie govt s chool,13539,57.5226713,-20.1436198,1,,,2015,,,25,0,,,25,0,,,25,3,,,1,9630,690.9014763863255,7,7,7
MUS,MU,3338,32095,32095,candos gs (zep),13529,57.4782836,-20.2763888,1,,,2015,,,16,0,,,16,0,,,16,0,,,1,9621,2752.188004278809,8,8,8
MUS,MU,3334,32091,32091,caroline gs,13516,57.75471,-20.24806167,3,,,2015,,,16,0,,,16,0,,,16,0,,,1,9596,1181.8405795495848,9,9,9
MUS,MU,3338,32095,32095,chooroommooney gs,13530,57.4853561,-20.3054872,1,,,2015,,,33,0,,,33,1,,,33,2,,,1,9623,0.0,10,10,34
MUS,MU,3339,32096,32096,emmanuel anquetil government school,13540,57.5117192,-20.1447708,1,,,2015,,,30,0,,,30,8,,,30,7,,,1,9624,577.6785645103855,11,11,11
MUS,MU,3337,32094,32094,h ramnarain govt school,13547,57.52713667,-20.13122167,3,,,2015,,,49,0,,,49,19,,,49,11,,,1,9609,1551.7856946895465,12,12,12
MUS,MU,3339,32096,32096,jules koenig government school,13541,57.4842386,-20.1887446,1,,,2015,,,50,0,,,50,0,,,50,1,,,1,9626,1630.9863874083385,13,13,13
