"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"MWI","MW",2993.0,28954.0,28954.0,"",35.28772,-15.97972,4,"school","sentinel site",2016,6.0,11.0,118,0,118,0,118,0,1,26478,0.0,0.0,0.0,0.0,0.0,0,0,2
"MWI","MW",2993.0,28954.0,28954.0,"",33.81958,-14.00754,3,"school","sentinel site",2012,5.0,12.0,121,0,121,0,121,0,1,26479,0.0,0.0,0.0,0.0,251.03615958977784,1,1,1
"MWI","MW",2993.0,28954.0,28954.0,"",35.28772,-15.97972,4,"school","sentinel site",2017,6.0,11.0,115,0,115,0,115,0,1,26480,0.0,0.0,0.0,0.0,0.0,2,2,0
"MWI","MW",2993.0,28954.0,28954.0,"",35.28772,-15.97972,4,"school","sentinel site",2015,6.0,12.0,82,0,82,0,82,0,1,26481,0.0,0.0,0.0,0.0,0.0,3,3,0
"MWI","MW",2993.0,28954.0,28954.0,"",33.4434647,-14.1569117,3,"school","mapping",2018,10.0,14.0,29,0,29,0,29,0,1,26482,0.0,0.0,0.0,0.0,28.613118692839954,4,4,4
"MWI","MW",2993.0,28954.0,28954.0,"",33.443675,-14.157055,3,"school","mapping",2012,10.0,13.0,30,0,30,0,30,0,1,26418,0.0,0.0,0.0,0.0,28.613118692839954,5,5,5
"MWI","MW",2984.0,28945.0,28945.0,"",34.910505,-15.676695,3,"school","mapping",2012,11.0,14.0,30,0,30,0,30,0,1,26976,0.0,0.0,0.0,0.0,41.259480293245424,6,6,6
"MWI","MW",2984.0,28945.0,28945.0,"",34.9108137,-15.6764975,3,"","mapping",2018,10.0,14.0,30,1,30,0,30,0,1,26977,0.0333333333333333,0.0,0.0,0.0314465408805031,41.259480293245424,7,7,7
"MWI","MW",2999.0,28972.0,28972.0,"",33.994915,-11.40484,3,"","mapping",2012,10.0,14.0,30,0,30,0,30,0,1,26772,0.0,0.0,0.0,0.0,81.65860667407622,8,8,8
"MWI","MW",2999.0,28972.0,28972.0,"",33.9944379,-11.4042938,3,"","mapping",2018,10.0,14.0,29,0,29,0,29,0,1,26773,0.0,0.0,0.0,0.0,81.65860667407622,9,9,9
