iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
NGA,NG,3799.0,36845.0,36845.0,4th avenue,13940.0,3.2799237,6.4759676,1,,,2014.0,,,43,2,,,43,3,,,43,5,,,1,12056,3010.6703301521134,0,0,0
NGA,NG,3788.0,36608.0,36608.0,5 primary schools in mbaukwu,56311.0,7.1833301,6.2666702,3,,,0.0,,,514,160,,,514,110,,,514,35,,,3,10876,4718.60563915227,1,1,1
NGA,NG,3808.0,37061.0,37061.0,500 estate model pri sch old airport,56445.0,5.2475518,13.0058731,1,,,2011.0,,,60,3,,,60,0,,,60,0,,,1,12927,0.0,2,2,25
NGA,NG,3803.0,36920.0,36920.0,a.u.d,55763.0,5.7418599,7.5179701,3,,,2011.0,,,52,0,,,52,9,,,52,0,,,1,12309,589.4278130548472,3,3,3
NGA,NG,3803.0,36921.0,36921.0,a.u.d,55768.0,5.9078202,7.6883101,3,,,2011.0,,,50,0,,,50,4,,,50,0,,,1,12320,0.0,4,4,5
NGA,NG,3803.0,36921.0,36921.0,a.u.d,55769.0,5.9078202,7.6883101,3,,,2011.0,,,50,0,,,50,0,,,50,0,,,1,12313,0.0,5,5,4
NGA,NG,3804.0,36943.0,36943.0,aagba,14194.0,4.6960756,7.8935611,1,,,2014.0,,,50,0,,,50,11,,,50,0,,,1,12463,3729.961628113189,6,6,6
NGA,NG,3778.0,36408.0,36408.0,abaegbu,13950.0,6.79701,6.41364,3,,,2011.0,,,53,10,,,53,1,,,53,0,,,1,10468,0.011131949140690267,7,7,8
NGA,NG,3778.0,36408.0,36408.0,abaegbu pry sch,55803.0,6.7970099,6.41364,3,,,2011.0,,,53,10,,,53,1,,,53,0,,,1,10464,0.011131949140690267,8,8,7
NGA,NG,3798.0,36829.0,36829.0,abagyama,14357.0,7.94161,8.8891769,1,,,2012.0,,,59,3,,,59,0,,,59,0,,,1,11905,0.0,9,9,648
NGA,NG,3789.0,36613.0,36613.0,abaji,13825.0,6.9450688,8.4746755,1,,,2014.0,,,48,3,,,48,0,,,48,0,,,1,10921,548.9386729998514,10,10,10
NGA,NG,3785.0,36551.0,36551.0,abarigwe,14342.0,8.016667,6.5,1,,,2010.0,,,60,2,,,60,2,,,60,0,,,1,10778,9208.43376967887,11,11,11
NGA,NG,3785.0,36551.0,36551.0,abarigwe isieke p/s,55911.0,8.0274274,6.3850252,2,,,2011.0,,,60,2,,,60,2,,,60,0,,,1,10779,0.0,12,12,2097
NGA,NG,3811.0,37103.0,37103.0,abarma,14555.0,7.416807333,12.18992,4,,,2009.0,,,60,4,,,60,5,,,60,0,,,1,13084,6897.196321484757,13,13,13
NGA,NG,3811.0,37103.0,37103.0,abarma model pri sch,55997.0,6.62606,12.18992,3,,,2011.0,,,60,4,,,60,5,,,60,0,,,1,13081,6211.922935756704,14,14,14
NGA,NG,3794.0,36722.0,36722.0,abasawa,14514.0,8.6621209,11.9935609,3,,,2013.0,,,50,16,,,50,0,,,50,0,,,1,11348,2917.19016812334,15,15,15
NGA,NG,3804.0,36949.0,36949.0,abata egba,14658.0,3.8677076,7.0159061,2,,,2014.0,,,50,0,,,50,32,,,50,0,,,1,12496,11764.003082745032,16,16,16
NGA,NG,3778.0,36415.0,36415.0,abatete,14640.0,6.9262805,6.1239333,1,,,2011.0,,,53,0,,,53,0,,,53,0,,,1,10510,477.10549717486805,17,17,17
NGA,NG,3779.0,36438.0,36438.0,abatiyo,15025.0,10.44286966,11.60330057,3,,,2014.0,,,50,12,,,50,5,,,50,0,,,1,10613,9727.187154191553,18,18,18
NGA,NG,3806.0,37005.0,37005.0,abattior,56122.0,8.916667,9.916667,3,,,0.0,,,560,113,,,560,98,,,560,78,,,3,12617,1427.3484123095468,19,19,19
NGA,NG,3779.0,36435.0,36435.0,abba korawa,14519.0,10.1993,11.3882479,1,,,2014.0,,,50,6,,,50,0,,,50,0,,,1,10598,15903.99558226389,20,20,20
NGA,NG,3779.0,36427.0,36427.0,abbas,13930.0,10.7080828,10.156884,1,,,2014.0,,,50,11,,,50,1,,,50,0,,,1,10561,24320.81361660366,21,21,21
NGA,NG,3808.0,37060.0,37060.0,abdul baki model pri sch,56426.0,5.5464201,12.5944,3,,,2011.0,,,60,9,,,60,0,,,60,0,,,1,12921,96.95233220928772,22,22,22
NGA,NG,3795.0,36767.0,36767.0,abdulawa,14961.0,7.75376,13.1954564,1,,,2013.0,,,50,3,,,50,0,,,50,0,,,1,11575,6829.698487890714,23,23,23
NGA,NG,3808.0,37056.0,37056.0,abdullahi fodio road,15758.0,5.2176562,13.0708301,1,,,2011.0,,,59,2,,,59,1,,,59,1,,,1,12879,1041.5688230231667,24,24,24
NGA,NG,3808.0,37044.0,37044.0,abdulrahman model pri sch,55962.0,5.2475518,13.0058731,2,,,2011.0,,,61,6,,,61,0,,,61,0,,,1,12765,0.0,25,25,2
NGA,NG,3797.0,36823.0,36823.0,abejukolo,15525.0,7.5084806,7.8648896,1,,,2014.0,,,52,3,,,52,0,,,52,0,,,1,11859,17021.063409952763,26,26,26
NGA,NG,3802.0,36900.0,36900.0,abeokuta,55750.0,3.3657283,7.1376758,1,,,1998.0,,,1060,154,,,1060,640,,,1060,232,,,3,12243,0.0,27,27,28
NGA,NG,3802.0,36900.0,36900.0,abeokuta,55749.0,3.3657283,7.1376758,1,,,0.0,,,180,22,,,180,42,,,180,5,,,3,12244,0.0,28,28,27
NGA,NG,3802.0,36901.0,36901.0,abeokuta,,3.349,7.16,3,,,1998.0,6.0,13.0,1060,154,,,1060,640,,,1060,232,,,3,30648,1826.7583760511511,29,29,29
NGA,NG,3802.0,36901.0,36901.0,abeokuta north local govt pri sch,55752.0,3.3586353,7.1731797,2,,,2011.0,,,50,4,,,50,11,,,50,0,,,1,12247,1826.7583760511511,30,30,30
NGA,NG,3777.0,36396.0,36396.0,abiakpo ikot out,15440.0,7.578377,5.305302,3,,,2014.0,,,48,41,,,48,3,,,48,0,,,1,10396,8972.502528006353,31,31,31
NGA,NG,3804.0,36959.0,36959.0,abidemi,14837.0,4.2,7.266667,3,,,2014.0,,,50,0,,,50,34,,,50,0,,,1,12537,4175.486131332266,32,32,32
NGA,NG,3798.0,36827.0,36827.0,abiodun model pry,55844.0,4.74089,8.1678104,3,,,2011.0,,,47,0,,,47,6,,,47,0,,,1,11887,311.9989797542444,33,33,33
NGA,NG,3781.0,36459.0,36459.0,abo mbayion,14509.0,8.716667,7.266667,3,,,2011.0,,,50,2,,,50,0,,,50,0,,,1,10678,16324.701333750863,34,34,34
NGA,NG,3778.0,36410.0,36410.0,abogu pry sch,55832.0,7.0548,6.2672801,3,,,2011.0,,,60,0,,,60,18,,,60,0,,,1,10484,673.9023547655106,35,35,35
NGA,NG,3798.0,36826.0,36826.0,aboto oja,13992.0,4.54338,8.159980000000001,3,,,2012.0,,,59,3,,,59,10,,,59,0,,,1,11873,6586.212078399764,36,36,36
NGA,NG,3784.0,36527.0,36527.0,abraka,,6.1023468,5.7894321,1,,,2004.0,5.0,15.0,301,75,,,301,131,,,301,40,,,2,30641,18855.013126467602,37,37,37
NGA,NG,3797.0,36816.0,36816.0,abugi,15243.0,6.25,8.566667,3,,,2014.0,,,50,16,,,50,0,,,50,0,,,1,11824,17783.16760185463,38,38,38
NGA,NG,3795.0,36779.0,36779.0,abukur,15628.0,7.6629495,12.8746406,1,,,2013.0,,,46,2,,,46,0,,,46,0,,,1,11638,4795.3701220740195,39,39,39
NGA,NG,3779.0,36433.0,36433.0,abutta,14479.0,10.423944,12.14300394,3,,,2014.0,,,50,8,,,50,0,,,50,0,,,1,10587,6772.061969240256,40,40,40
NGA,NG,3778.0,36410.0,36410.0,achalla,14028.0,6.9880335,6.3367475,1,,,2011.0,,,55,0,,,55,11,,,55,2,,,1,10479,6644.149035961043,41,41,41
NGA,NG,3777.0,36385.0,36385.0,achan ika,14724.0,7.5843171,5.0416361,1,,,2014.0,,,52,25,,,52,4,,,52,3,,,1,10344,3968.6681298297735,42,42,42
NGA,NG,3797.0,36809.0,36809.0,acharu,14303.0,7.3086068,7.5139327,1,,,2014.0,,,51,22,,,51,0,,,51,0,,,1,11788,5451.262955804769,43,43,43
NGA,NG,3797.0,36807.0,36807.0,achele,13968.0,7.63196,7.4053197,1,,,2014.0,,,51,15,,,51,2,,,51,0,,,1,11778,0.0,44,44,680
NGA,NG,3788.0,36608.0,36608.0,achi,15553.0,7.3613246,6.1234071,1,,,2010.0,,,61,5,,,61,4,,,61,0,,,1,10877,832.916734152865,45,45,45
NGA,NG,3794.0,36749.0,36749.0,achibia,15948.0,8.8442896,11.8091352,3,,,2013.0,,,50,7,,,50,0,,,50,0,,,1,11483,0.0,46,46,2598
NGA,NG,3804.0,36943.0,36943.0,ada,14195.0,4.7167596,7.8641421,1,,,2014.0,,,50,1,,,50,14,,,50,0,,,1,12464,1589.7956423244245,47,47,47
NGA,NG,3777.0,36403.0,36403.0,adadia,15884.0,8.066667,4.983333,1,,,2014.0,,,54,29,,,54,21,,,54,10,,,1,10434,3985.9812720669383,48,48,48
NGA,NG,3794.0,36712.0,36712.0,adakawa,14241.0,8.5123765,12.0098608,1,,,2013.0,,,49,1,,,49,0,,,49,0,,,1,11302,1399.9438628367711,49,49,49
NGA,NG,3795.0,36750.0,36750.0,adako,14057.0,7.42425,11.5576973,1,,,2013.0,,,50,11,,,50,1,,,50,0,,,1,11488,0.0,50,50,1360
NGA,NG,3779.0,36442.0,36442.0,adamami,15727.0,9.9,11.4333333,3,,,2014.0,,,50,8,,,50,1,,,50,0,,,1,10635,5837.726742921942,51,51,51
NGA,NG,3788.0,36611.0,36611.0,adani,15909.0,7.0014657,6.7367367,1,,,2010.0,,,50,2,,,50,1,,,50,0,,,1,10899,4475.327600544863,52,52,52
NGA,NG,3777.0,36388.0,36388.0,adatak,14754.0,7.71082,5.1744472,1,,,2014.0,,,48,23,,,48,4,,,48,0,,,1,10357,0.0,53,53,1091
NGA,NG,3778.0,36409.0,36409.0,adazi nnukwu,13955.0,7.0122134,6.101763,1,,,2011.0,,,50,1,,,50,0,,,50,0,,,1,10475,77.39466800152945,54,54,54
NGA,NG,3799.0,36849.0,36849.0,addo,14419.0,3.583967,6.497937,3,,,2014.0,,,50,7,,,50,16,,,50,11,,,1,12078,2054.0843053120875,55,55,55
NGA,NG,3797.0,36822.0,36822.0,ade,15515.0,5.8459341,7.8425597,1,,,2014.0,,,41,17,,,41,0,,,41,0,,,1,11850,2808.7490483315078,56,56,56
NGA,NG,3799.0,36850.0,36850.0,adeba,14606.0,3.7321623,6.465152,1,,,2014.0,,,50,7,,,50,19,,,50,9,,,1,12079,948.1420884194712,57,57,57
NGA,NG,3777.0,36379.0,36379.0,adiasm,14414.0,7.7164353,5.0830254,1,,,2014.0,,,54,20,,,54,2,,,54,2,,,1,10313,2164.5795495089183,58,58,58
NGA,NG,3781.0,36465.0,36465.0,adikpo,,9.2314492,6.887796,1,,,2004.0,1.0,99.0,200,13,,,200,38,,,200,1,,,2,31656,8120.379400278109,59,59,59
NGA,NG,3804.0,36944.0,36944.0,adogbe,14347.0,8.919474,7.739117,4,,,2014.0,,,50,2,,,50,25,,,50,0,,,1,12469,9001.607507263683,60,60,60
NGA,NG,3781.0,36473.0,36473.0,adoka,15583.0,8.5129208,7.2682709,1,,,2011.0,,,50,2,,,50,0,,,50,0,,,1,10732,20247.583371922723,61,61,61
NGA,NG,3793.0,36694.0,36694.0,aduma,14966.0,10.84786237,8.026628494,4,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,11217,23901.038792507054,62,62,62
NGA,NG,3777.0,36377.0,36377.0,afaha eket,14374.0,7.925909199999999,4.6355623,1,,,2014.0,,,50,10,,,50,7,,,50,0,,,1,10303,1366.0028818709684,63,63,63
NGA,NG,3777.0,36403.0,36403.0,afaha ikot,15885.0,7.741411,4.983377,3,,,2014.0,,,54,20,,,54,22,,,54,12,,,1,10431,5513.878471381395,64,64,64
NGA,NG,3777.0,36394.0,36394.0,afaha nsit,15411.0,7.855051599999999,4.8286874,1,,,2014.0,,,50,20,,,50,5,,,50,5,,,1,10388,2808.414642166126,65,65,65
NGA,NG,3777.0,36405.0,36405.0,afaha oku,15904.0,7.9253157,5.0555798,1,,,2014.0,,,49,8,,,49,6,,,49,1,,,1,10442,1264.1474255499256,66,66,66
NGA,NG,3777.0,36402.0,36402.0,afahaik akwa,15874.0,7.94721,4.6307,3,,,2014.0,,,47,6,,,47,2,,,47,2,,,1,10429,2432.5825664141657,67,67,67
NGA,NG,3777.0,36395.0,36395.0,afia nsit attai,15416.0,7.9311687,4.789796,1,,,2014.0,,,54,24,,,54,8,,,54,1,,,1,10390,828.3979993467764,68,68,68
NGA,NG,3803.0,36921.0,36921.0,afin,13883.0,5.7010293,7.636295,1,,,2012.0,,,50,0,,,50,4,,,50,0,,,1,12316,9443.850055245826,69,69,69
NGA,NG,3798.0,36826.0,36826.0,afon,13993.0,4.333333,8.45,3,,,2012.0,,,55,3,,,55,14,,,55,0,,,1,11881,13518.283261163957,70,70,70
NGA,NG,3777.0,36384.0,36384.0,afua,14625.0,7.8638103,5.2677364,1,,,2014.0,,,51,15,,,51,3,,,51,0,,,1,10335,4389.747329978347,71,71,71
NGA,NG,3797.0,36819.0,36819.0,agada,15470.0,6.113,7.274,4,,,2014.0,,,45,5,,,45,8,,,45,0,,,1,11838,21706.8664882226,72,72,72
NGA,NG,3797.0,36821.0,36821.0,agassa,15489.0,6.2216678,7.5401614,1,,,2014.0,,,47,1,,,47,1,,,47,2,,,1,11849,1282.5688669353415,73,73,73
NGA,NG,3797.0,36812.0,36812.0,agbanaka,14689.0,6.063293333,7.0772,4,,,2014.0,,,50,22,,,50,0,,,50,0,,,1,11805,10470.775260749333,74,74,74
NGA,NG,3804.0,36948.0,36948.0,agbangbara,14653.0,5.312670667,7.481067,4,,,2014.0,,,52,0,,,52,31,,,52,5,,,1,12491,6493.3543509501615,75,75,75
NGA,NG,3788.0,36606.0,36606.0,agbani,15402.0,7.5626411,6.3049636,1,,,2010.0,,,55,14,,,55,2,,,55,0,,,1,10864,6127.569726648255,76,76,76
NGA,NG,3784.0,36541.0,36541.0,agbarho ii,56433.0,5.8604,5.585603,1,,,0.0,,,27,2,,,27,18,,,27,6,,,3,10761,0.0,77,77,78
NGA,NG,3784.0,36541.0,36541.0,agbarho ii,56433.0,5.8604,5.585603,1,,,0.0,,,47,3,,,47,19,,,47,11,,,3,10760,0.0,78,78,77
NGA,NG,3784.0,36541.0,36541.0,agbarho iii,56434.0,5.8617632,5.5903145,1,,,0.0,,,37,8,,,37,13,,,37,10,,,3,10762,0.0,79,79,80
NGA,NG,3784.0,36541.0,36541.0,agbarho iv,56435.0,5.8617632,5.5903145,1,,,0.0,,,44,1,,,44,17,,,44,12,,,3,10763,0.0,80,80,79
NGA,NG,3797.0,36823.0,36823.0,agbenema,15526.0,7.2712,7.4826,3,,,2014.0,,,52,14,,,52,0,,,52,0,,,1,11857,5451.262955804769,81,81,81
NGA,NG,3804.0,36960.0,36960.0,agberire,14852.0,4.05,7.65,3,,,2014.0,,,50,0,,,50,15,,,50,0,,,1,12541,3123.547873046143,82,82,82
NGA,NG,3798.0,36832.0,36832.0,agbeyangi,14781.0,4.8114899,8.5872738,1,,,2012.0,,,56,2,,,56,4,,,56,0,,,1,11941,347.13615731869504,83,83,83
