iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
SLE,SL,4360.0,42258.0,42258.0,alikalia,,-11.3913379,9.1505664,1,,mapping,2008.0,5.0,14.0,90,82,,,90,6,,,90,1,,,1,22809,1075.0458847351902,0,0,0
SLE,SL,4360.0,42258.0,42258.0,alusainya kamayimbo,,-11.70214,9.4542,3,,mapping,2008.0,5.0,14.0,111,64,,,111,0,,,111,0,,,1,22808,54.89538099502442,1,1,1
SLE,SL,4361.0,42264.0,42264.0,bandajuma,,-12.394611,7.716422,1,,mapping,2008.0,5.0,14.0,104,6,,,104,6,,,104,4,,,1,22823,10346.816464108937,2,2,2
SLE,SL,4361.0,42262.0,42262.0,baoma kpenge,,-12.2299066,7.4476715,3,,mapping,2008.0,5.0,14.0,136,69,,,136,7,,,136,16,,,1,22791,186.99538163308858,3,3,3
SLE,SL,4360.0,42258.0,42258.0,dogolia,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,80,36,,,80,2,,,80,2,,,1,22806,0.0,4,4,5
SLE,SL,4359.0,42253.0,42253.0,fdlu,,-11.5,8.5,3,,mapping,2008.0,5.0,14.0,115,36,,,115,0,,,115,0,,,1,22796,0.0,5,5,4
SLE,SL,4362.0,42265.0,42265.0,fullah town,,-13.1313101,8.3725004,3,,mapping,2008.0,5.0,14.0,102,20,,,102,9,,,102,2,,,1,22833,8915.945684372362,6,6,6
SLE,SL,4360.0,42257.0,42257.0,gbinleh,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,104,18,,,104,9,,,104,0,,,1,22798,0.0,7,7,4
SLE,SL,4361.0,42261.0,42261.0,golu,,-11.544567,7.905127999999999,1,,mapping,2008.0,5.0,14.0,101,23,,,101,4,,,101,2,,,1,22785,14605.185958604841,8,8,8
SLE,SL,4359.0,42254.0,42254.0,jenneh,,-12.2517,7.431283,4,,mapping,2008.0,5.0,14.0,117,47,,,117,0,,,117,2,,,1,22804,0.0,9,9,10
SLE,SL,4359.0,42254.0,42254.0,jenneh,16274.0,-12.2517,7.431283,4,,,2008.0,,,118,47,,,118,0,,,118,2,,,1,19820,0.0,10,10,9
SLE,SL,4360.0,42257.0,42257.0,kanku bramaia,,-12.770467,9.322433,1,,mapping,2008.0,5.0,14.0,103,15,,,103,10,,,103,0,,,1,22801,0.0,11,11,53
SLE,SL,4360.0,42256.0,42256.0,karina,,-12.016667,9.166667,1,,mapping,2008.0,5.0,14.0,104,14,,,104,6,,,104,1,,,1,22787,382.53729700671187,12,12,12
SLE,SL,4360.0,42257.0,42257.0,kawula,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,110,19,,,110,23,,,110,2,,,1,22800,0.0,13,13,4
SLE,SL,4359.0,42254.0,42254.0,kdi,,-11.5,8.5,3,,mapping,2008.0,5.0,14.0,110,36,,,110,0,,,110,0,,,1,22803,0.0,14,14,4
SLE,SL,4361.0,42264.0,42264.0,kowama,,-11.5835329,8.065495,2,,mapping,2008.0,5.0,14.0,120,53,,,120,24,,,120,5,,,1,22825,0.0,15,15,16
SLE,SL,4361.0,42264.0,42264.0,kowama,16295.0,-11.5835329,8.065495,2,,,2008.0,,,120,55,,,120,24,,,120,5,,,1,13616,0.0,16,16,15
SLE,SL,4361.0,42262.0,42262.0,luawa,,-12.1446911,7.6143003,1,,mapping,2008.0,5.0,14.0,136,61,,,136,0,,,136,11,,,1,22790,585.5108200128963,17,17,17
SLE,SL,4360.0,42260.0,42260.0,mabonto,,-11.8136325,8.861578,1,,mapping,2008.0,5.0,14.0,110,29,,,110,20,,,110,2,,,1,22826,13327.869713275364,18,18,18
SLE,SL,4360.0,42259.0,42259.0,maboronor,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,108,62,,,108,10,,,108,2,,,1,22818,0.0,19,19,4
SLE,SL,4362.0,42265.0,42265.0,macdonald,,-13.083261,8.279166,1,,mapping,2008.0,5.0,14.0,108,30,,,108,8,,,108,11,,,1,22830,660.31566639089,20,20,20
SLE,SL,4359.0,42253.0,42253.0,magbema,,-12.898934,9.052028,1,,mapping,2008.0,5.0,14.0,120,34,,,120,0,,,120,0,,,1,22797,2009.1676879159936,21,21,21
SLE,SL,4361.0,42263.0,42263.0,magbenka,,-12.49884,8.272024,1,,mapping,2008.0,5.0,14.0,120,49,,,120,10,,,120,22,,,1,22815,267.5375280066967,22,22,22
SLE,SL,4360.0,42260.0,42260.0,makali,,-11.6641388,8.6322791,1,,mapping,2008.0,5.0,14.0,110,28,,,110,7,,,110,2,,,1,22828,433.1519579833785,23,23,23
SLE,SL,4360.0,42256.0,42256.0,makama,,-12.0530904,8.8706961,1,,mapping,2008.0,5.0,14.0,98,16,,,98,6,,,98,0,,,1,22788,1138.6310327038307,24,24,24
SLE,SL,4360.0,42259.0,42259.0,mamamah,,-12.874306,8.4455109,3,,mapping,2008.0,5.0,14.0,105,26,,,105,10,,,105,3,,,1,22821,71.23215889051026,25,25,25
SLE,SL,4361.0,42261.0,42261.0,mamboma,,-11.666667,7.833333,1,,mapping,2008.0,5.0,14.0,136,13,,,136,8,,,136,0,,,1,22784,1204.4440658097176,26,26,26
SLE,SL,4360.0,42256.0,42256.0,mapaki,,-11.909345,8.7879,1,,mapping,2008.0,5.0,14.0,105,22,,,105,14,,,105,0,,,1,22789,189.82523344468746,27,27,27
SLE,SL,4360.0,42260.0,42260.0,masingbi,,-11.4722494,8.636758,1,,mapping,2008.0,5.0,14.0,102,25,,,102,8,,,102,2,,,1,22829,584.4075602518133,28,28,28
SLE,SL,4360.0,42256.0,42256.0,masongbo,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,103,22,,,103,12,,,103,1,,,1,22786,0.0,29,29,4
SLE,SL,4361.0,42264.0,42264.0,massa,,-11.5539362,7.5540303,3,,mapping,2008.0,5.0,14.0,136,19,,,136,20,,,136,4,,,1,22824,59.392801437163214,30,30,30
SLE,SL,4360.0,42257.0,42257.0,mathuraneh,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,106,21,,,106,18,,,106,5,,,1,22799,0.0,31,31,4
SLE,SL,4360.0,42260.0,42260.0,mayossoh,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,105,15,,,105,10,,,105,7,,,1,22827,0.0,32,32,4
SLE,SL,4361.0,42263.0,42263.0,mokonde,,-12.168,7.7678,3,,,1993.0,1.0,16.0,420,60,,,420,190,,,420,95,,,3,29310,10610.033257203255,33,33,33
SLE,SL,4360.0,42258.0,42258.0,mongo,,-11.75292,9.82324,3,,mapping,2008.0,5.0,14.0,60,35,,,60,2,,,60,0,,,1,22807,26110.25030541515,34,34,34
SLE,SL,4361.0,42263.0,42263.0,ngeihun,,-12.4613061,7.9282828,3,,mapping,2008.0,5.0,14.0,102,56,,,102,11,,,102,3,,,1,22816,24936.664374737982,35,35,35
SLE,SL,4359.0,42255.0,42255.0,nyamundu,,-11.0799402,8.5977205,3,,mapping,2008.0,5.0,14.0,100,13,,,100,5,,,100,2,,,1,22811,0.0,36,36,37
SLE,SL,4359.0,42255.0,42255.0,nyamundu,16282.0,-11.0799402,8.5977205,3,,,2008.0,,,100,14,,,100,5,,,100,1,,,1,13550,0.0,37,37,36
SLE,SL,4361.0,42261.0,42261.0,pelewahun,,-11.719,8.268,3,,,1993.0,1.0,16.0,185,23,,,185,90,,,185,45,,,3,29313,18202.330657668703,38,38,38
SLE,SL,4360.0,42259.0,42259.0,rogbere junction,,-11.5,8.5,4,,mapping,2008.0,5.0,14.0,111,39,,,111,28,,,111,2,,,1,22820,0.0,39,39,4
SLE,SL,4360.0,42259.0,42259.0,romeni,,-12.7128599,8.894876,1,,mapping,2008.0,5.0,14.0,102,55,,,102,5,,,102,0,,,1,22819,3438.9003674767496,40,40,40
SLE,SL,4361.0,42261.0,42261.0,sahn,,-11.841511,7.432244,1,,mapping,2008.0,5.0,14.0,104,54,,,104,1,,,104,1,,,1,22783,15910.759876543056,41,41,41
SLE,SL,4359.0,42253.0,42253.0,sakiema,,-10.67395,8.005811,1,,mapping,2008.0,5.0,14.0,115,24,,,115,0,,,115,0,,,1,22794,168.32212988989266,42,42,42
SLE,SL,4362.0,42265.0,42265.0,samuel town,,-13.0760283,8.307778,3,,mapping,2008.0,5.0,14.0,104,20,,,104,6,,,104,2,,,1,22832,171.5579098978883,43,43,43
SLE,SL,4359.0,42254.0,42254.0,school in baoma,,-11.055,8.040833,3,,,2008.0,8.0,16.0,53,22,,,53,0,,,53,1,,,1,29331,13991.124304089388,44,44,44
SLE,SL,4362.0,42265.0,42265.0,school in baoma,,-13.079556,8.28375,3,,,2008.0,8.0,16.0,69,20,,,69,6,,,69,6,,,1,29355,660.31566639089,45,45,45
SLE,SL,4360.0,42259.0,42259.0,school in baoma,,-12.874889,8.44525,3,,,2008.0,8.0,16.0,26,10,,,26,3,,,26,0,,,1,29365,71.23215889051026,46,46,46
SLE,SL,4360.0,42257.0,42257.0,school in baoma,,-12.906028,9.068417,3,,,2008.0,8.0,16.0,60,16,,,60,11,,,60,4,,,1,29357,2009.1676879159936,47,47,47
SLE,SL,4361.0,42263.0,42263.0,school in biriwa,,-12.237778,7.891944,3,,,2008.0,8.0,16.0,55,39,,,55,7,,,55,12,,,1,29351,0.0,48,48,49
SLE,SL,4361.0,42263.0,42263.0,school in biriwa,,-12.237778,7.891944,3,,,2008.0,8.0,16.0,58,34,,,58,6,,,58,2,,,1,29349,0.0,49,49,48
SLE,SL,4361.0,42261.0,42261.0,school in biriwa,,-11.597222,8.16,3,,,2008.0,8.0,16.0,28,20,,,28,0,,,28,1,,,1,29318,10735.303382313372,50,50,50
SLE,SL,4360.0,42260.0,42260.0,school in biriwa,,-11.473583,8.641778,3,,,2008.0,8.0,16.0,75,19,,,75,5,,,75,1,,,1,29323,584.4075602518133,51,51,51
SLE,SL,4360.0,42260.0,42260.0,school in bramaia,,-11.981972,8.587667,3,,,2008.0,8.0,16.0,70,12,,,70,5,,,70,7,,,1,29316,23954.16207621938,52,52,52
SLE,SL,4361.0,42264.0,42264.0,school in bramaia,,-12.770467,9.322433,1,,,2008.0,8.0,16.0,29,22,,,29,2,,,29,0,,,1,29352,0.0,53,53,11
SLE,SL,4360.0,42258.0,42258.0,school in bramaia,,-11.5475,9.711667,3,,,2008.0,8.0,16.0,67,36,,,67,2,,,67,2,,,1,29324,0.0,54,54,55
SLE,SL,4360.0,42258.0,42258.0,school in bramaia,,-11.5475,9.711667,3,,,2008.0,8.0,16.0,37,21,,,37,0,,,37,0,,,1,29329,0.0,55,55,54
SLE,SL,4362.0,42265.0,42265.0,school in bureh kasseh,,-13.076306,8.306278,3,,,2008.0,8.0,16.0,44,11,,,44,2,,,44,2,,,1,29330,171.5579098978883,56,56,56
SLE,SL,4361.0,42263.0,42263.0,school in bureh kasseh,,-12.499444,8.269722,3,,,2008.0,8.0,16.0,43,27,,,43,4,,,43,13,,,1,29326,267.5375280066967,57,57,57
SLE,SL,4360.0,42260.0,42260.0,school in bureh kasseh,,-11.660833,8.63025,3,,,2008.0,8.0,16.0,87,21,,,87,6,,,87,2,,,1,29341,433.1519579833785,58,58,58
SLE,SL,4360.0,42257.0,42257.0,school in bureh kasseh,,-12.832083,9.251778,3,,,2008.0,8.0,16.0,49,8,,,49,4,,,49,0,,,1,29315,10514.9218185956,59,59,59
SLE,SL,4361.0,42264.0,42264.0,school in dasse,,-11.553611,7.553611,3,,,2008.0,8.0,16.0,55,14,,,55,12,,,55,2,,,1,29336,59.392801437163214,60,60,60
SLE,SL,4359.0,42253.0,42253.0,school in dasse,,-10.813333,7.918056,3,,,2008.0,8.0,16.0,57,30,,,57,0,,,57,0,,,1,29356,90.41699926959973,61,61,61
