iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst
SWZ,SZ,4682,45411,45411,all saints,16586,31.093943,-26.378803,3,,,2015.0,,,60,0,,,60,54,,,60,0,,,1,14008,POINT (3461361.901515073 -3046073.46572593),5342.100284377746,0,0,0
SWZ,SZ,4684,45440,45440,antioch,16581,31.516004,-26.2694818,1,,,2015.0,,,51,0,,,51,7,,,51,0,,,1,14154,POINT (3508345.517118773 -3032495.882626524),5856.291091998981,1,1,1
SWZ,SZ,4682,45412,45412,ararat,16591,31.2602,-26.2273,3,,,2015.0,,,43,0,,,43,18,,,43,4,,,1,14013,POINT (3479869.546095891 -3027260.366586207),5852.2164443133215,2,2,2
SWZ,SZ,4682,45409,45409,bahai,16554,31.1565,-26.3644,3,,,2015.0,,,27,0,,,27,0,,,27,0,,,1,13996,POINT (3468325.714900629 -3044283.894001594),3085.2953329562993,3,3,3
SWZ,SZ,4685,45456,45456,beersheba,16682,31.415359,-27.286119,3,,,2015.0,,,50,0,,,50,1,,,50,0,,,1,14227,POINT (3497141.766967884 -3159264.241048765),4447.523553701952,4,4,4
SWZ,SZ,4684,45459,45459,bethany,16697,31.2681553,-26.4987338,1,,,2015.0,,,45,0,,,45,2,,,45,0,,,1,14091,POINT (3480755.126040998 -3060983.539108647),4767.565179144596,5,5,5
SWZ,SZ,4685,45445,45445,bethel lutheran,16436,30.990077,-26.979555,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14178,POINT (3449799.591284339 -3120917.648655582),1190.6114817121054,6,6,6
SWZ,SZ,4682,45406,45406,bhalekane nazarene,16500,31.5515621,-26.0833301,1,,,2015.0,,,49,1,,,49,0,,,49,0,,,1,13978,POINT (3512303.826704349 -3009405.399034661),5762.0111075103105,7,7,7
SWZ,SZ,4685,45446,45446,bhejisa,16450,31.554413,-27.218813,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14181,POINT (3512621.187440652 -3150836.241122751),3997.0942493288735,8,8,8
SWZ,SZ,4682,45411,45411,bhekephi,16587,31.085558,-26.421126,3,,,2015.0,,,50,0,,,50,1,,,50,0,,,1,14007,POINT (3460428.487584772 -3051333.387197118),5342.100284377746,9,9,9
SWZ,SZ,4684,45430,45430,bhekinkhosi nazarene,16431,31.4229575,-26.3333437,1,,,2015.0,,,48,0,,,48,0,,,48,0,,,1,14105,POINT (3497987.628118677 -3040425.909376061),2963.3809538206456,10,10,10
SWZ,SZ,4683,45426,45426,bholi methodist,16642,31.927981,-26.827367,3,,,2015.0,,,50,2,,,50,7,,,50,0,,,1,14082,POINT (3554206.586977313 -3101920.043395455),5256.591298513259,11,11,11
SWZ,SZ,4684,45439,45439,bhunya,16565,30.9962356,-26.5380011,1,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14149,POINT (3450485.163500338 -3065868.718571069),3859.4521941941416,12,12,12
SWZ,SZ,4684,45441,45441,bugeleni,16607,31.4158016,-26.5465245,1,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14157,POINT (3497191.03697451 -3066929.321360178),4145.9154886867045,13,13,13
SWZ,SZ,4682,45406,45406,buhlebuyeza/mabhibha,16501,31.601476,-26.095638,3,,,2015.0,,,49,0,,,49,1,,,49,0,,,1,13982,POINT (3517860.216635856 -3010930.949077146),5762.0111075103105,14,14,14
SWZ,SZ,4684,45441,45441,bulunga,16608,31.553988,-26.617029,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14156,POINT (3512573.876657065 -3075705.52127767),5900.2568977795,15,15,15
SWZ,SZ,4684,45442,45442,cana,16627,31.0026074,-26.7515205,1,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14165,POINT (3451194.469031775 -3092461.67093598),691.1661058965951,16,16,16
SWZ,SZ,4682,45413,45413,cetjwayo,16617,31.435674,-26.007904,3,,,2015.0,,,50,0,,,50,2,,,50,0,,,1,14017,POINT (3499403.222423349 -3000059.920649164),4606.523565834013,17,17,17
SWZ,SZ,4685,45458,45458,chibidze ame,16717,31.274138,-27.225917,3,,,2015.0,,,50,0,,,50,0,,,50,0,,,1,14237,POINT (3481421.117158568 -3151725.557334545),3892.250812605512,18,18,18
SWZ,SZ,4684,45439,45439,dingizwe,16566,30.862597,-26.480796,3,,,2015.0,,,48,0,,,48,0,,,48,0,,,1,14147,POINT (3435608.582598013 -3058752.482775692),4969.843521109234,19,19,19
SWZ,SZ,4683,45421,45421,dlakadla,16485,31.8598,-26.9658,3,,,2015.0,,,48,3,,,48,6,,,48,0,,,1,14057,POINT (3546616.712775537 -3119199.56042696),7178.975675829941,20,20,20
SWZ,SZ,4682,45404,45404,dlangeni,16441,31.238,-26.3368,3,,,2015.0,,,52,1,,,52,1,,,52,1,,,1,13971,POINT (3477398.25340028 -3040855.218788015),4337.316394060166,21,21,21
