iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
TZA,TZ,4797.0,46531.0,46531.0,abainano,,34.2848917,-1.3877117,3,school,mapping,2017.0,11.0,15.0,30,0,0.0,0.0,30,1,0.0,0.0,30,0,0.0,0.0,1,37145,0.0,0.0333333333333333,0.0,0.0314465408805031,4366.461723465257,0,0,0
TZA,TZ,4809.0,46610.0,46610.0,azimio,59845.0,32.078701,-5.0795999,3,,,2004.0,,,60,18,,,60,2,,,60,2,,,2,15986,0.3,0.0333333333333333,0.0333333333333333,0.3263102725366875,8973.961518318778,1,1,1
TZA,TZ,4797.0,46528.0,46528.0,azimio,,33.8047617,-1.5016817,3,school,mapping,2017.0,10.0,14.0,29,1,0.0,0.0,29,0,0.0,0.0,29,0,0.0,0.0,1,36991,0.0344827586206896,0.0,0.0,0.0325309043591411,0.19216923043328524,2,2,404
TZA,TZ,4807.0,46595.0,46595.0,badugu,59529.0,33.65,-2.466667,1,,,1997.0,,,113,40,,,113,0,,,113,0,,,3,15918,0.3539823008849557,0.0,0.0,0.3339455668725997,6339.104343697856,3,3,3
TZA,TZ,4793.0,46503.0,46503.0,bagwe,,29.6191033,-4.8987983,3,school,sentinel site,2018.0,9.0,15.0,60,2,0.0,0.0,60,4,0.0,0.0,60,0,0.0,0.0,1,36840,0.0333333333333333,0.0666666666666666,0.0,0.0922431865828092,0.0,4,4,5
TZA,TZ,4793.0,46503.0,46503.0,bagwe,,29.6191033,-4.8987983,3,school,sentinel site,2016.0,8.0,14.0,58,3,0.0,0.0,58,3,0.0,0.0,58,0,0.0,0.0,1,36836,0.0517241379310344,0.0517241379310344,0.0,0.0950687636012832,0.0,5,5,4
TZA,TZ,4793.0,46503.0,46503.0,bagwe,,29.6191033,-4.8987983,3,school,sentinel site,2017.0,8.0,14.0,61,1,0.0,0.0,61,0,0.0,0.0,61,0,0.0,0.0,1,36837,0.0163934426229508,0.0,0.0,0.0154655119084441,0.0,6,6,4
TZA,TZ,4803.0,46575.0,46575.0,baleni,,39.799,-7.85,3,,,2000.0,6.0,18.0,105,92,,,105,2,,,105,34,,,3,29376,0.8761904761904762,0.019047619047619,0.3238095238095238,0.8659205880615198,14422.968995302894,7,7,7
TZA,TZ,4797.0,46631.0,46631.0,balili,,33.87212,-2.031722,3,ward,mapping,2018.0,,,30,0,0.0,,30,0,0.0,,30,0,0.0,,1,22897,0.0,0.0,0.0,0.0,0.5575996879590478,8,8,9
TZA,TZ,4797.0,46631.0,46631.0,balili a,,33.872115,-2.0317217,3,school,mapping,2017.0,11.0,15.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,36884,0.0,0.0,0.0,0.0,0.5575996879590478,9,9,8
TZA,TZ,4797.0,46631.0,46631.0,balili b,,33.87247,-2.0316483,3,school,mapping,2017.0,10.0,15.0,31,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,0.0,1,36885,0.0,0.0,0.0,0.0,39.81730680733855,10,10,10
TZA,TZ,4797.0,46531.0,46531.0,bamagi vision,,34.646875,-1.3946567,3,school,mapping,2017.0,10.0,15.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,37146,0.0,0.0,0.0,0.0,0.5575990221141164,11,11,666
TZA,TZ,4797.0,46529.0,46529.0,baraki,,33.96552,-1.369015,3,ward,mapping,2018.0,,,30,0,0.0,,30,0,0.0,,30,0,0.0,,1,23023,0.0,0.0,0.0,0.0,0.1892431336455047,12,12,1017
TZA,TZ,4797.0,46526.0,46526.0,baranga,,34.2260267,-1.6781217,3,school,mapping,2017.0,10.0,15.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,36906,0.0,0.0,0.0,0.0,5090.061291817324,13,13,13
TZA,TZ,4807.0,46593.0,46593.0,bariadi,59504.0,33.9917222,-2.8069614,1,,,2004.0,,,62,3,,,62,0,,,62,0,,,2,15903,0.0483870967741935,0.0,0.0,0.0456482045039561,14730.270884240867,14,14,14
