iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
ZAF,ZA,4471.0,43314.0,43314.0,aan de doorns,56802.0,19.5,-33.7,1,,,2001.0,,,0,0,,,28,1,,,28,7,,,2,18243,,0.0357142857142857,0.25,,7504.068501037945,0,0,0
ZAF,ZA,4463.0,43274.0,43274.0,aberdeen primary school,,24.0611,-32.4743,3,school,mapping,2017.0,5.0,15.0,37,0,0.0,0.0,37,12,0.0,0.0,37,0,0.0,0.0,1,36314,0.0,0.3243243243243243,0.0,0.3059663437021927,114449.73681737855,1,1,1
ZAF,ZA,4465.0,43283.0,43283.0,akasia primary school,,28.1291,-25.6679,3,school,mapping,2017.0,5.0,16.0,50,4,0.0,0.0,50,7,0.0,0.0,50,0,0.0,0.0,1,36360,0.08,0.14,0.0,0.1969811320754717,6666.720594235628,2,2,2
ZAF,ZA,4463.0,43274.0,43274.0,alexandria primary school,,26.4155,-33.6501,3,school,mapping,2017.0,5.0,15.0,27,4,0.0,0.0,27,2,0.0,0.0,27,0,0.0,0.0,1,36315,0.1481481481481481,0.074074074074074,0.0,0.199290835209773,41907.11414164951,3,3,3
ZAF,ZA,4465.0,43280.0,43280.0,alrapark primary school,,28.5086,-26.4355,3,school,mapping,2017.0,5.0,16.0,46,1,0.0,0.0,46,10,0.0,10.0,46,0,0.0,0.0,1,36321,0.0217391304347826,0.217391304347826,0.0,0.2211363555301922,19800.32502527657,4,4,4
ZAF,ZA,4466.0,43287.0,43287.0,amahlongwa,56840.0,30.7177509,-30.2360179,1,,,0.0,,,155,18,,,155,87,,,155,121,,,3,18153,0.1161290322580645,0.5612903225806452,0.7806451612903226,0.8631531746639955,28712.95393849797,5,5,5
ZAF,ZA,4466.0,43288.0,43288.0,babazani,56849.0,32.3447,-28.1119,3,,,0.0,,,168,139,,,168,121,,,168,141,,,3,18173,0.8273809523809523,0.7202380952380952,0.8392857142857143,0.9360742907338137,43429.09705316724,6,6,6
ZAF,ZA,4469.0,43306.0,43306.0,b.m mokitime primary shool,,25.5884,-25.8672,3,school,mapping,2017.0,5.0,16.0,35,2,0.0,0.0,35,13,0.0,7.69,35,0,0.0,0.0,1,36655,0.0571428571428571,0.3714285714285714,0.0,0.3842895648825568,4194.452788416131,7,7,7
ZAF,ZA,4463.0,43269.0,43269.0,balasi primary school,,27.4429,-32.8306,3,school,mapping,2017.0,5.0,15.0,48,0,0.0,0.0,48,8,12.5,0.0,48,0,0.0,0.0,1,36286,0.0,0.1666666666666666,0.0,0.1572327044025157,7407.936500319745,8,8,8
ZAF,ZA,4465.0,43280.0,43280.0,bapsfontein primary school,,28.428,-25.9999,3,school,mapping,2017.0,5.0,16.0,47,1,0.0,0.0,47,0,0.0,0.0,47,0,0.0,0.0,1,36322,0.0212765957446808,0.0,0.0,0.0200722601364913,12046.104662966522,9,9,9
